;newlyConst;balcony;yearConstructed;scoutId;hasKitchen;courtage;cellar;houseNumber;livingSpace;zipCode;condition;parkingSpace;lift;streetPlain;typeOfFlat;geo_plz;noRooms;rented;floor;purchasePrice;numberOfFloors;regio3;URL;beschreibung;lastRefurbish;price_per_m2;useless
0;False;True;1905.0;116900457;False;True;False;4;109.26;12159.0;first_time_use_after_refurbishment;no_information;True;Bennigsenstraße;apartment;12159;4.0;False;1.0;834000.0;4.0;Friedenau_Schöneberg;/expose/116900457;"['Der um 1905 erbaute Altbau wird nach revitalisierenden Sanierungsarbeiten in altem West-Berliner-Charme erstrahlen. Bestehend aus einem Vorderhaus und einem kleinen Seitenflügel bietet er insgesamt 10 Eigentumswohnungen; 2 Erdgeschosswohnungen, 6 Etagenwohnungen und 2 moderne, neu errichtete Dachgeschosswohnungen mit Dachterrassen. Ein neuer, verglaster Aufzug erschließt komfortabel alle Wohnungen. Wohnungsgrößen von 98 bis 119 m² Wohnfläche mit 2 bis 4 Zimmern und unterschiedlichen Wohnungsvarianten stehen zur Verfügung. \nIndividuelle Käuferwünsche bzgl. Grundrissgestaltung sind im Rahmen der bautechnischen Gegebenheiten noch möglich. Ebenso können aktuell durch Wohnungszusammenlegungen auch größere Wohnungsvarianten mit ca. 230 m² Wohnfläche umgesetzt werden.\nZu den umfangreichen baulichen Maßnahmen am Gemeinschaftseigentum zählen unter anderem die Anbringung neuer Balkone im grünen Hofbereich, Einbau neuer Holzisolierglasfenster im Altbaucharakter, die Instandsetzung und Neugestaltung der Straßen- und Hoffassaden, der Einbau einer neuen Gaszentralheizung, die Installation neuer Kellergrundleitungen und Steigestränge, Instandsetzung und Neugestaltung des Treppenhauses, Revitalisierung der Garten- und Hofbereiche etc…\nAlle Eigentumswohnungen werden ebenfalls umfangreich saniert und verfügen über moderne und unterschiedliche Grundrissvarianten, um individuelle Erwerberansprüche zu realisieren. Hochwertige Wohnungsausstattungen stehen den Erwerbern zur Verfügung.', 'Sie wohnen in sehr gefragter Friedenauer Lage in einer ruhigen und grünen Wohnstraße nahe dem Perelsplatz. Zahlreiche nette Cafés und Restaurants im Umfeld laden zum Verweilen und Genießen ein. \n\nDas nähere Umfeld bietet Einkaufsmöglichkeiten für den täglichen Bedarf; die gut erreichbare Schloßstraße darüber hinaus zahlreiche Shoppingcenter und umfangreiche Unterhaltungsangebote. \n\nIn wenigen Minuten erreichen sie fußläufig den Breslauer Platz, auf dem Sie mittwochs und samstags ein zahlreiches Angebot an frischen Gemüse und Obst treffen und regionale Leckereien genießen können. \n\nDie infrastrukturellen Gegebenheiten sind mit sehr gut zu bezeichnen.', 'WEITERE EINHEITEN:\n\nNeben dieser Eigentumswohnung stehen im Objekt weitere Eigentumswohnungen unterschiedlicher Wohnungsgrößen für Selbstnutzer sowie Kapitalanleger zur Verfügung.\n\nFIRMENHOMEPAGE:\n\nAuf der Homepage www.nehls-immo.de finden Sie weitere Immobilienangebote anderer Objekte.\n\nHAFTUNGSHINWEISE:\n\nBei abgebildeten Grundrissen handelt es sich um schematische Grundrisszeichnungen; exakte Maße können nicht abgeleitet werden. Die zeichnerischen Darstellungen können vom tatsächlichen baulichen Bestand (Wandstärken, Nischen, Pfeiler, Türschläge, Anordnung der Sanitärobjekte, etc.) abweichen. Dargestellte Möbel und Einrichtungsgegenstände in abgebildeten Grundrissen, außer im Kaufumfang enthaltener und beschriebener, dienen als Möblierungsvorschläge und sind nicht im Kaufpreis inbegriffen. Abgebildete Illustrationen (Innen- und Außenansichten) können in ihrer zeichnerischen Darstellung vom tatsächlichen baulichen Bestand oder geplanten und ausgeführten baulichen Leistungen (Wände, Fenster, Türen, Boden und Wandbeläge, Fassaden, Farbgebungen, Dächer, Balkone und Terrassen, Möbel, Bäume, Pflanzen, etc.) abweichen und bilden in ihrer Darstellung keine Zusicherung von Eigenschaften.']";;7634.0;False
1;False;True;;112392228;False;True;True;18A;104.0;10711.0;first_time_use;no_information;True;Karlsruher_Str.;no_information;10711;4.0;False;3.0;789000.0;6.0;Wilmersdorf_Wilmersdorf;/expose/112392228;['Vier individuelle Wohnhäuser in traditioneller Architektursprache und der erste Wohnturm der City West bilden gemeinsam das HIGH WEST in der Heilbronner Straße, Ecke Karlsruher und Katharinenstraße, im Charlottenburger Ortsteil Halensee. Eine Tiefgarage ergänzt das Ensemble auf dem insgesamt 5.000 Quadratmeter großen Grundstück.\nWährend die Häuser komplett neu entstehen, wird der bisher rein gewerblich genutzte Turm entkernt, mit einer modernen Natursteinfassade versehen und durch neue Trennwände in attraktive Wohneinheiten unterteilt. Ob man „hoch hinaus“ will oder es eher „bodenständig“ mag – das HIGH WEST bietet ein breites Spektrum an Wohnungen unterschiedlicher Größe und Ausrichtung. Ein ideales Zuhause sowohl für Familien als auch für Singles und Paare.\n\nHelligkeit prägt die Wohnungen im HIGH WEST, die bis ins letzte Detail durchdacht und kompakt angelegt sind: Die Schlafzimmer liegen zum ruhigen Innenhof, alle Aufenthaltsräume verfügen über große Fensterfronten und jede Wohnung erhält eine Loggia, einen Balkon oder eine Terrasse. Freuen Sie sich auf eine wertige Ausstattung, die sämtliche moderne Standards erfüllt – auf Wunsch sind auch Sonderausführungen möglich. Insbesondere für die Einrichtung der Küchen stehen verschiedene Optionen zur Auswahl. Sprechen Sie uns an, wir beraten Sie gern!', 'Vom lebhaften Ku’damm über die gemütlichen Kieze in direkter Nachbarschaft bis hin zur grünen Lunge, dem Grunewald: Rund um das HIGH WEST erwartet Sie eine bunte Mischung verschiedenster Spots, Quartiere und Naherholungsziele, die ein Großstadtleben voller Abwechslung und Inspirationen bieten.\n\nOb Radeln, Joggen, Paddeln oder Schwimmen: Der Grunewald bietet mit seiner Seenkette, der Havel und dem Wannsee unzählige Möglichkeiten für Erholungssuchende wie Sportbegeisterte. Mit der S-Bahn erreicht man das grüne Paradies vom Bahnhof Charlottenburg aus bereits in fünf Minuten! Schöne Spaziergänge ermöglicht auch der nahe Lietzensee mit seinen idyllischen Uferwegen.\n\nAbseits vom Großstadttrubel geht es am westlichen Ende des Stuttgarter Platzes beschaulich zu. Entlang der schönen Leonhardt- und Windscheidstraße reihen sich originelle Geschäfte und Boutiquen, kreative Werkstätten und Feinkostläden aneinander. In den vielen Cafés und Restaurants trifft sich ein buntes Publikum aus Jung und Alt zum geselligen Miteinander.'];;7587.0;False
2;True;True;2019.0;117093420;False;True;True;no_information;105.0;10785.0;mint_condition;garage;True;no_information;no_information;10785;4.0;False;1.0;795000.0;6.0;Kreuzberg_Kreuzberg;/expose/117093420;['Der „Gleis Park Berlin“ wurde von der Bauwens Unternehmensgruppe konstruiert und gebaut. Der beeindruckende Gebäudekomplex umfasst insgesamt vier Häuser, welche rückseitig mit zwei Patios und schönen Arkaden-Gängen versehen sind. Dank der durchdachten Ausrichtung besitzen alle Wohneinheiten einen Westblick auf den Park am Gleisdreieck. Die liebevolle Landschafts- und Außenplanung lässt den Komplex mit der Umgebung verwachsen und ein allgemeines Parkgefühl entstehen. Die hier angebotene Maisonettewohnung befindet sich im EG sowie 1. OG und besitzt eine Wohnfläche von ca. 104,64 m², die sich über vier Zimmer erstreckt. Im EG ist ein großzügiger\r\nWohn-, Koch- und Essbereich vorhanden, der Zugang zur Terrasse mit Garten gewährt. Ein weiteres Zimmer sowie ein Gäste-WC und ein Abstellraum komplettieren die Etage. Im OG\r\nfinden Sie zwei weitere Zimmer mit Balkonzugang vor sowie ein Dusch- und ein Wannenbad. Somit wird Ihnen eine komfortable Maisonettewohnung geboten, die, durch Ihren Schnitt, ideal für Familien und Paare geeignet ist.\r\n\r\n\r\nAusstattung:\r\n\r\n● Echtholzparkett\r\n● großzügige, bodentiefe Fensterfronten mit Parkblick\r\n● Ausstattung namhafter Hersteller (Keramag, Hansgrohe, Gira, Hoppe, Bauwerk)\r\n● tagesbelichtetes Wannenbad\r\n● Duschbad\r\n● Gäste-WC\r\n● Terrasse mit Garten und Westausrichtung\r\n● Balkon im OG mit Westausrichtung\r\n● Sonnenschutzverglasung an der Westfassade\r\n● Abstellraum\r\n● Deckenhöhe bis zu ca. 2,80 m\r\n● Keller\r\n● repräsentatives Entrée und Treppenhaus', 'Abstellkammer\nParkett', 'Die Umgebung am Gleis Park bietet Ihnen eine hervorragende Komposition einer ruhigen, naturnahen und dennoch zentralen Lage. In direkter Nähe befinden sich mehrere Grundschulen,\r\nSpielplätze und weitere Grünanlagen, wie z.B. der Mendelssohn-Bartholdy-Park und der Park am Gleisdreieck. Auch der weitläufige\r\nTiergarten liegt in unmittelbarer Nähe und ist fußläufig erreichbar. Der 2013 neu eröffnete Park am Gleisdreieck bietet eine Vielfalt an Nutzungsmöglichkeiten. Mit seinen drei Sportplätzen, einem Skatepark, einem Naturspielplatz sowie einer Vielzahl an ausgedehnten Liegewiesen, nimmt er eine Schlüsselposition in der Berliner Freiraumkonzeption ein. Der belebte Potsdamer Platz mit diversen Einkaufsund Ausgehmöglichkeiten ist innerhalb einer U-Bahnstation oder einem ca. 10-minütigen Fußweg zu erreichen. Der Potsdamer Platz ist einer der schönsten und modernsten Orte Berlins. Natur und Kultur - Tiergarten und Philharmonie, Neue Nationalgalerie, Kulturforum, Brandenburger Tor und Reichstag befinden sich in der fußläufigen Umgebung. Das umfassende\r\nAngebot an guten Restaurants, einladenden Cafés, schönen kleinen Läden und Galerien in der direkten Nachbarschaft, garantiert eine lebendige und urbane Atmosphäre.', 'Die Courtage in Höhe von 7,14 % inkl. der gesetzlichen Mehrwertsteuer auf den Kaufpreis ist mit dem Zustandekommen des Kaufvertrages (notarieller Vertragsabschluss) verdient und fällig. Die vermittelnde und/oder nachweisende Engel & Völkers Berlin Mitte GmbH (Lizenznehmer der Engel & Völkers Residential GmbH ) und ggf. deren Beauftragter, erhalten einen unmittelbaren Zahlungsanspruch gegenüber dem Käufer (Vertrag zugunsten Dritter, § 328 BGB).\r\nHinweise: \r\nAlle Angaben sind ohne Gewähr und basieren ausschließlich auf Informationen, die uns von unserem Auftraggeber übermittelt wurden. Wir übernehmen keine Gewähr für die Vollständigkeit, Richtigkeit und Aktualität dieser Angaben. Zwischenvermietung bleibt vorbehalten. Sollte das von uns nachgewiesene Objekt bereits bekannt sein, teilen Sie uns dieses bitte unverzüglich mit. Die Weitergabe dieses Exposés an Dritte ohne unsere Zustimmung löst gegebenenfalls Courtage- bzw. Schadensersatzansprüche aus. Im übrigen gelten die allgemeinen Geschäftsbedingungen für die Rechtsbeziehung zwischen Ihnen und Engel & Völkers Büro Berlin Mitte GmbH. Wir stehen Ihnen mit weiteren Informationen zum Objekt und zum Eigentümer sowie für Besichtigungen gern zur Verfügung.'];2020.0;7572.0;False
3;True;True;2019.0;114792688;False;True;True;15;104.0;10711.0;no_information;no_information;True;Katharinenstraße;no_information;10711;4.0;False;2.0;785000.0;6.0;Wilmersdorf_Wilmersdorf;/expose/114792688;['Vier individuelle Wohnhäuser in traditioneller Architektursprache und der erste Wohnturm der City West bilden gemeinsam das HIGH WEST in der Heilbronner Straße, Ecke Karlsruher und Katharinenstraße, im Charlottenburger Ortsteil Halensee. Eine Tiefgarage ergänzt das Ensemble auf dem insgesamt 5.000 Quadratmeter großen Grundstück.\nWährend die Häuser komplett neu entstehen, wird der bisher rein gewerblich genutzte Turm entkernt, mit einer modernen Natursteinfassade versehen und durch neue Trennwände in attraktive Wohneinheiten unterteilt. Ob man „hoch hinaus“ will oder es eher „bodenständig“ mag – das HIGH WEST bietet ein breites Spektrum an Wohnungen unterschiedlicher Größe und Ausrichtung. Ein ideales Zuhause sowohl für Familien als auch für Singles und Paare.\n\nHelligkeit prägt die Wohnungen im HIGH WEST, die bis ins letzte Detail durchdacht und kompakt angelegt sind: Die Schlafzimmer liegen zum ruhigen Innenhof, alle Aufenthaltsräume verfügen über große Fensterfronten und jede Wohnung erhält eine Loggia, einen Balkon oder eine Terrasse. Freuen Sie sich auf eine wertige Ausstattung, die sämtliche moderne Standards erfüllt – auf Wunsch sind auch Sonderausführungen möglich. Insbesondere für die Einrichtung der Küchen stehen verschiedene Optionen zur Auswahl. Sprechen Sie uns an, wir beraten Sie gern!', 'Vom lebhaften Ku’damm über die gemütlichen Kieze in direkter Nachbarschaft bis hin zur grünen Lunge, dem Grunewald: Rund um das HIGH WEST erwartet Sie eine bunte Mischung verschiedenster Spots, Quartiere und Naherholungsziele, die ein Großstadtleben voller Abwechslung und Inspirationen bieten.\n\nOb Radeln, Joggen, Paddeln oder Schwimmen: Der Grunewald bietet mit seiner Seenkette, der Havel und dem Wannsee unzählige Möglichkeiten für Erholungssuchende wie Sportbegeisterte. Mit der S-Bahn erreicht man das grüne Paradies vom Bahnhof Charlottenburg aus bereits in fünf Minuten! Schöne Spaziergänge ermöglicht auch der nahe Lietzensee mit seinen idyllischen Uferwegen.\n\nAbseits vom Großstadttrubel geht es am westlichen Ende des Stuttgarter Platzes beschaulich zu. Entlang der schönen Leonhardt- und Windscheidstraße reihen sich originelle Geschäfte und Boutiquen, kreative Werkstätten und Feinkostläden aneinander. In den vielen Cafés und Restaurants trifft sich ein buntes Publikum aus Jung und Alt zum geselligen Miteinander.'];;7549.0;False
4;False;True;1893.0;115562546;False;False;True;10;110.42;10625.0;no_information;no_information;False;Pestalozzistraße;apartment;10625;4.0;False;1.0;830000.0;5.0;Charlottenburg_Charlottenburg;/expose/115562546;"['Das Objekt Pestalozzistraße 10  ist ein ca. im Jahr 1992 modernisierter Altbau und befindet sich in einer zentralen Citylage des alten Westberlins. Bei der Pestalozzistraße 10 handelt es sich um eine traditionell gute Wohnadresse.\n\nDer repräsentative fünfgeschossige Altbau wurde um das Jahr 1893 errichtet und gliedert sich in ein Vorderhaus, zwei Seitenflügel sowie ein Gartenhaus. Die Wohnanlage beherbergt insgesamt 47 Wohn- und Teileigentumseinheiten.\n\nDer Altbau strahlt einen besonderen Charme aus, der durch nostalgische Elemente, wie die Original-Holzdielenböden und den in einigen Wohnungen noch vorhandenen Deckenstuck, hervorgehoben wird. Abgerundet werden die liebevollen Objektdetails durch einen repräsentativen Eingangsbereich.', 'Zum Kauf steht eine bezugsfreie Vorderhauswohnung im 1. Obergeschoss. Die Wohnung verfügt über eine Wohnfläche von ca. 110 m², verteilt über vier Zimmer, ein geräumiges Duschbad mit Fenster,  eine Küche, eine Diele sowie einen nach Süden ausgerichteten Balkon. \n\nDie Wohnung besticht durch die noch vorhandenen Altbau-Details, wie z.B. hohe Decken, Dielen- und Parkettböden sowie einige Stuckverzierungen an den Decken. \n\nDie Beheizung erfolgt mittels Fernwärme;  die Warmwasserzubereitung über einen elektrischen Durchlauferhitzer. \n\nDes Weiteren gehört zu der Wohnung ein Kellerabteil.', 'Die Wohnanlage Pestalozzistraße 10 liegt inmitten des pulsierenden Bezirks Charlottenburg, unweit des über die Stadtgrenzen hinaus bekannten Savignyplatzes. In der Nähe befindet sich der Kurfürstendamm mit seinen zahlreichen Einkaufsmöglichkeiten, kulturellen Angeboten und seiner gastronomischen Vielfalt. \n\nDie Verkehrsanbindung ist sehr gut. So befindet sich z. B. der S-Bahnhof Savignyplatz nur wenige Gehminuten entfernt. Darüber hinaus sind die Schlüterstraße und die nahe gelegene Kantstraße über diverse Buslinien an das Nahverkehrsnetz angeschlossen. Ebenso kann die Stadtautobahn in wenigen Fahrminuten erreicht werden. Der Standort verbindet Ruhe und ein überaus attraktives Umfeld zu höchster innerstädtischer Wohnqualität.\n\nIn unmittelbarer Nachbarschaft befinden sich zahlreiche Einkaufsmöglichkeiten für den täglichen Bedarf, Dienstleistungsangebote, Schulen und Kitas, die bequem zu Fuß erreicht werden können.', 'Das Angebot ist für den Käufer provisionsfrei. ']";;7517.0;False
5;False;True;1906.0;118714756;True;False;True;no_information;101.0;10709.0;first_time_use_after_refurbishment;no_information;True;no_information;raised_ground_floor;10709;4.0;False;0.0;757000.0;5.0;Wilmersdorf_Wilmersdorf;/expose/118714756;['Die Wohnung befindet sich im Vorderhaus eines\nMehrfamilienhauses aus der vorigen Jahrhundertwende.\n\nDas Haus befindet sich in einem sehr gepflegten\nZustand und ist in 23 Wohnungen geteilt, die sich auf\nVorderhaus und Gartenhaus verteilen.\n\nDie angebotene Wohnung liegt im Hochpartere des\nVorderhauses. \n\nDie Schlafzimmer, Badezimmer und die\nWohnküche orientieren sich zum sehr ruigen und\nbegrünten Hof. \n\nDie Wohnung ist frisch renoviert.', 'Das Objekt ist frisch saniert. Wände, Decken, Türen,\nBöden, Sanitär sind neu.\n- Stuckdecken\n- LED Spots in allen Räumen\n- Deckenvouten im Bad, Entré und Flur mit indirekter\nLED Beleuchtung.\n- Hochwertiges Parket\n- Aufwendiger Fliesenpiegel im Badezimmer\n- Bidet\n- Sehr geräumige Dusche\n- Farblich abgestimmte Dekovorhänge\n- Rolläden in den beiden Schlafzimmern und der\nWohnküche.\n- Einbauküche mit allen Geräten (Kühl-Gefrierkombi,\nGeschirrspüler, Backofen, Ceranfelder)\n- Diverse Möbel gehören zur Ausstattung dazu. Die\nMöbel sind alle neu.', 'Charlottenburg-Wilmersdorf ist einer der beliebtesten,\nnatürlich gewachsenen Stadtteile des alten Westberlins.\n\nDie Wohnung befindet sich nur wenige Schritte vom\nKurfürstendamm auf Höhe des Ardenauerplatzes.\n\nDurch die zentrale Innenstadtlage können Sie bequem\nzu Fuß zahlreiche attraktive Restaurants und\nEinkaufsmöglichkeiten jeglicher Art erreichen. \nFür eine sehr gute Anbindung in andere Stadtteile Berlins sorgen\nBus, U-Bahn und S-Bahn. Die Flughäfen Tegel und\nSchönefeld sind in zwanzig Minuten zu erreichen, der\nAnschluss an die Stadt-autobahn ist nur 2 Kilometer\nentfernt.'];2020.0;7496.0;False
6;True;True;2021.0;117991760;False;False;True;7;107.83;10587.0;first_time_use;underground_garage;True;Pascalstraße;apartment;10587;4.0;False;1.0;803500.0;7.0;Charlottenburg_Charlottenburg;/expose/117991760;[];;7452.0;False
7;False;True;1903.0;117876738;False;False;False;20;105.55;10965.0;no_information;no_information;True;Katzbachstraße;apartment;10965;4.0;False;3.0;775000.0;;Kreuzberg_Kreuzberg;/expose/117876738;['Dieses 5-geschossige Wohnhaus wurde um die Jahrhundertwende erbaut. Es verfügt über 11 Wohneinheiten sowie eine Gewerbeeinheit.', 'Die aufwendig sanierte und gut geschnittene 4-Zimmer Wohnung im 3.Obergeschoss des Hauses bietet genügend Platz für eine Familie. Mit dem Aufzug erreichen Sie bequem Ihre Etage. Ein nach Westen ausgerichteter Balkon sowie eine Loggia gen Osten laden zum Verweilen an der frischen Luft ein. Das moderne Tageslichtbad verfügt über eine Wanne mit Dusche sowie ein Doppelwaschbecken. Die Zimmer sind mit massivem Parkett ausgestattet und Doppelflügeltüren verleihen der Wohnung den besonderen Charm.', 'Das Objekt befindet sich in Bestlage in Berlins beliebtem Bezirk Kreuzberg. Umgeben von mehreren Parks, unter anderem dem bekannten Park am Gleisdreieck und dem Viktoriapark bietet die Gegend sowohl trendige Viertel, als auch grüne Orte zur Erholung und Freizeitgestaltung. Das Tempelhofer Feld, ein ehemaliger Flughafen, der nun eine der weltweit größten innerstädtischen Freiflächen ist, befindet sich ebenfalls nur einen 20-minütigen Fußweg entfernt. \n\nIn der direkten Umgebung finden Sie zahlreiche Restaurants, Bars, Cafes und jegliche Geschäfte des täglichen Bedarfs. In nur wenigen Gehminuten sind sämtliche Haltestellen des ÖPNV zu erreichen (Bus, S1, S2, S25,  S26, U6, U7).'];;7343.0;False
8;False;True;2018.0;116675675;True;True;True;no_information;111.0;10785.0;mint_condition;underground_garage;True;no_information;apartment;10785;4.5;False;;795000.0;;Schöneberg_Schöneberg;/expose/116675675;['Das vom Architekturbüro Klaus Theo Brenner entworfene exklusive Ensemble „Carré Voltaire“ überzeugt mit seiner zeitlosen und gleichzeitig modernen Ausstattung. Die ausschließliche Verwendung von hochwertigen, klassischen Baumaterialien kreiert ein exklusives, luxuriöses und gleichzeitig klassisches Wohngefühl. Die hier angebotene Vier-Zimmerwohnung überzeugt mit insgesamt drei Außenflächen, einen nach Süden ausgerichteten Balkon und zwei weitere nach Norden. Die praktische Grundrissgestaltung präsentiert einen großzügigen Küchen-/ Essbereich, einen Wohnbereich, einen privaten Schlafbereich mit en suite Badezimmer sowie ein weiteres Zimmer. Das weitere Zimmer lässt sich gut als Arbeits-\r\noder auch Kinderzimmer nutzen. Eine hochwertige Einbauküche, welche über sämtliche elektrischen Geräte verfügt, wurde integriert. Ein Doppelparker-Tiefgaragenstellplatz kann miterworben werden und vervollständigt dieses Angebot.\r\n\r\nAusstattung:\r\n\r\n• ca. 2,80 m Deckenhöhe\r\n• Parkettfußboden\r\n• Fliesen im Bad\r\n• Fußbodenheizung\r\n• Voll ausgestattete Einbauküche \r\n• Gäste-Bad\r\n• Hauswirtschaftsraum\t\r\n• zwei Balkone mit Nordausrichtung \r\n• großer Balkon mit Südausrichtung (ca. 10,2 m²)\r\n• Grundrissänderung möglich\r\n• Fahrradkeller\r\n• Kellerraum\r\n• Tiefgaragen-Stellplatz | Doppelparker', 'Abstellkammer\nParkett\nFliesen\nVollunterkellert', 'Das repräsentative Ensemble Carré Voltaire finden Sie zwischen dem Zentrum Berlins, Richtung Potsdamer Platz und der City West mit all ihren Vorzügen wie beispielsweise dem Kaufhaus des Westens, diversen gemütlichen Cafés, einer  Vielfalt an Restaurants und vielen weiteren attraktiven Angeboten. Der nahe gelegene Nollendorfplatz, der Winter-feldplatz und auch der schöne Park am Gleisdreieck sind von hier aus fußläufig zu erreichen. Einkaufsmöglichkeiten zur Deckung des täglichen Bedarfs, Schulen und Kitas, Ärzte und viele weitere Dienstleistungsangebote finden Sie unweit des Carré Voltaire. \r\nEine ausgezeichnete Verkehrsanbindung ist durch die nahe  gelegenen U-Bahnhöfe Nollendorfplatz und Kurfürstenstraße gewährleistet. Eine aufstrebende Lage am Puls der Zeit.', 'Die Courtage in Höhe von 7,14 % inkl. der gesetzlichen Mehrwertsteuer auf den Kaufpreis ist mit dem Zustandekommen des Kaufvertrages (notarieller Vertragsabschluss) verdient und fällig. Die vermittelnde und/oder nachweisende Engel & Völkers Berlin Mitte GmbH (Lizenznehmer der Engel & Völkers Residential GmbH ) und ggf. deren Beauftragter, erhalten einen unmittelbaren Zahlungsanspruch gegenüber dem Käufer (Vertrag zugunsten Dritter, § 328 BGB).\r\nHinweise: \r\nAlle Angaben sind ohne Gewähr und basieren ausschließlich auf Informationen, die uns von unserem Auftraggeber übermittelt wurden. Wir übernehmen keine Gewähr für die Vollständigkeit, Richtigkeit und Aktualität dieser Angaben. Zwischenvermietung bleibt vorbehalten. Sollte das von uns nachgewiesene Objekt bereits bekannt sein, teilen Sie uns dieses bitte unverzüglich mit. Die Weitergabe dieses Exposés an Dritte ohne unsere Zustimmung löst gegebenenfalls Courtage- bzw. Schadensersatzansprüche aus. Im übrigen gelten die allgemeinen Geschäftsbedingungen für die Rechtsbeziehung zwischen Ihnen und Engel & Völkers Büro Berlin Mitte GmbH. Wir stehen Ihnen mit weiteren Informationen zum Objekt und zum Eigentümer sowie für Besichtigungen gern zur Verfügung.'];;7163.0;False
9;False;True;1986.0;118318849;False;True;True;no_information;110.2;10719.0;no_information;no_information;True;no_information;apartment;10719;4.0;False;5.0;777000.0;7.0;Wilmersdorf_Wilmersdorf;/expose/118318849;['Die Wohnung befindet sich in einem sehr gepflegten Mehrfamilienhaus aus den 80er Jahren, welches unter Denkmalschutz steht. Ein Fahrstuhl ist vorhanden. Die 110 qm große 4- Zimmer Wohnung mit Balkon, ist gut geschnitten und besticht durch Ihre Helligkeit. Die Wohnung ist mit Parkettboden versehen. Das Gäste- WC, das Badezimmer und die Küche müssen renoviert werden. Ein Keller ist vorhanden.  Grundriss und weitere Unterlagen, erhalten Sie bei telefonischer Anfrage', 'Die Wohnung befindet sich direkt im Herzen der City West, nahe der berühmten Flaniermeile, dem Kurfürstendamm. Umgeben von feinsten Shopping-Adressen, ausgezeichneter Gastronomie, sowie von vielfältigen Geschäften für den täglichen Bedarf, besticht die Immobilie durch ihre zentrale Lage. Auch die Verkehrsanbindung ist optimal.'];;7051.0;False
