timestamp;obj_regio1;obj_heatingType;obj_telekomTvOffer;obj_cId;obj_newlyConst;obj_balcony;obj_picture;obj_picturecount;obj_pricetrend;obj_telekomUploadSpeed;obj_telekomTrackingGroup;obj_telekomInternetTechnology;obj_yearConstructed;obj_telekomInternetType;obj_pricetrendbuy;obj_scoutId;obj_firingTypes;obj_hasKitchen;obj_ExclusiveExpose;obj_telekomInternetProductName;obj_courtage;geo_bln;obj_cellar;obj_purchasePriceRange;obj_yearConstructedRange;obj_houseNumber;obj_pricetrendrent;obj_livingSpace;geo_krs;obj_zipCode;obj_condition;obj_interiorQual;ga_cd_cxp_historicallisting;obj_telekomDownloadSpeed;obj_parkingSpace;obj_street;obj_lift;obj_telekomInternetUrlMobile;obj_telekomInternetUrl;obj_streetPlain;obj_typeOfFlat;geo_plz;obj_noRooms;obj_assistedLiving;obj_ityp;obj_telekomHdTelephone;geo_land;ga_cd_via;obj_telekomInternet;obj_immotype;obj_rented;obj_telekomInternetServices;obj_telekomInternetProductAvailable;obj_cwId;obj_purchasePrice;ga_cd_application_requirements;obj_numberOfFloors;obj_noRoomsRange;ga_cd_maillead_default_shown;obj_garden;evt_count_pm_sig;obj_barrierFree;obj_international;obj_regio3;obj_objectnumber;obj_livingSpaceRange;obj_regio2;URL;beschreibung;ga_cd_via_qualified;obj_rentSubsidy;obj_floor;obj_lastRefurbish;obj_energyType;obj_energyEfficiencyClass;obj_thermalChar;obj_noParkSpaces;obj_usableArea;obj_groupnumber;obj_galleryAd;ga_cd_developer_virtualreality
2020-05-24 20:57:42.054352;Berlin;central_heating;ONE_YEAR_FREE;164338;y;y;https://pictures.immobilienscout24.de/listings/47e388f9-e4f1-46fe-9aa7-b7a6db3db062-1362812057.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;8;10.62;40 MBit/s;telekom_layer_magenta_l;über VDSL;2019;REGULAR;10.62;117246174;no_information;n;false;MagentaZuhause L;y;Berlin;y;9;9;no_information;5.93;104;Berlin;13187;mint_condition;sophisticated;false;100 MBit/s;no_information;no_information;y;https://padlock.link/ioml;https://padlock.link/ml;no_information;apartment;13187;4;n;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;n;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.164338;690000;profile0;4;4;true;n;showqualicontactform;n;n;Pankow_Pankow;AIB12873;5;Berlin;/expose/117246174;"['Es handelt sich um eine einzigartige 4-Zimmer-Architekten-Wohnung mit ca. 104 qm exklusiver und moderner Wohnfläche, gelegen im 3. Obergeschoss eines Neubaus aus dem Jahre 2019.\r\rDie Wohnung verfügt über 98,55 qm Nettowohnfläche ohne Terrasse. Die 11,62 qm Terrassenfläche sind zu 50 % in die Wohnflächenberechnung angerechnet worden. Somit verfügt die Wohnung über 104,36 qm Wohnfläche. \r\rDie Wohnung befindet sich in einem erstklassigen und modernen Zustand. \rDie Wohnung verfügt über einen offenen Eingangsbereich, ein modernes Gäste-WC sowie über einen exklusiven Wohn- und Speisebereich mit offener Küche. Die Wohnung verfügt über ein großzügiges Kinderzimmer, ein modernes Badezimmer sowie über ein großzügiges Schlafzimmer und ein exklusives Arbeitszimmer.\r\rZu den besonderen Ausstattungsmerkmalen gehören: exklusive Gesamtausstattung, Parkettböden, Fußbodenheizung, bodentiefe Fenster, Sonnenbalkon.\r\rDie Wohnung ist nach Absprache bezugsfrei.', 'Eine gefragte Adresse in zentraler Lage von Berlin-Pankow – dicht Schlosspark Schönhausen! Öffentliche Verkehrsmittel, Einkaufsmöglichkeiten sowie mehrere Kindergärten befinden sich unmittelbarer Nähe. ', 'Unser Service für Eigentümer\rWir stehen Ihnen bei dem Verkauf Ihrer Immobilie vom Anfang bis zum fertigen Abschluss diskret und kompetent zur Verfügung. \rJeder Schritt erfolgt nach Absprache mit Ihnen. \rSie entscheiden über die Verkaufsstrategie Ihres Objektes, ob diskret und ""off-market"" oder eine qualifizierte Vermarktung in Print- sowie Onlinemedien. \rWir verfügen immer über den richtigen Käufer. \rZudem bewerten wir Ihre Immobilie kostenfrei, entsprechend dem aktuellen Marktwert.\rGerne beraten wir Sie kostenlos persönlich in unserem Büro, per Telefon oder per E-Mail!\rWir freuen uns von Ihnen zu hören!\rwww.immo-boerse.com']";;;;;;;;;;;;
2020-05-24 20:57:42.418475;Berlin;district_heating;ONE_YEAR_FREE;446752;n;n;https://pictures.immobilienscout24.de/listings/a2a4917d-5f63-4bd9-9e61-dd37e219517a-1362992046.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;3;12.7;40 MBit/s;telekom_layer_magenta_l;über VDSL;;REGULAR;12.7;117285390;no_information;n;false;MagentaZuhause L;y;Berlin;n;2;;no_information;7.58;26.58;Berlin;10559;no_information;no_information;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;apartment;10559;1;n;2,active;true;Deutschland;premium;100 MBit/s;wohnung_kauf;y;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.446752;99000;profile0;;1;true;n;;n;n;Tiergarten_Tiergarten;117285390;1;Berlin;/expose/117285390;['Das Grundstück liegt zentral im Bezirk Mitte, Ortsteil Moabit. In der Umgebung befinden sich zahlreiche Schulen, Kindertagesstätten und Einkaufsmöglichkeiten.', 'Die Wohnung ist vermietet.'];true;160;3;;;;;;;;;
2020-05-24 20:57:42.923338;Berlin;self_contained_central_heating;ONE_YEAR_FREE;12602611;n;n;https://pictures.immobilienscout24.de/listings/ae02b3f8-f868-4b08-94ff-3123b9e9b1ad-1362848279.png/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;9;10.66;40 MBit/s;telekom_layer_magenta_l;über VDSL;1887;REGULAR;10.66;117237908;natural_gas_heavy;y;false;MagentaZuhause L;n;Berlin;y;8;1;4;5.91;51;Berlin;10119;well_kept;normal;false;100 MBit/s;no_information;"Alte Sch&ouml;nhauser Strasse";n;https://padlock.link/ioml;https://padlock.link/ml;Alte_Schönhauser_Strasse;apartment;10119;2;n;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;n;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.12602611;435000;profile0;4;2;true;n;showqualicontactform;n;n;Mitte_Mitte;2202edf8-bb0b-4180-a362-6d052a4c5997;2;Berlin;/expose/117237908;['zur Umgebung:\n\nAls Teil des Ensembles der Spandauer Vorstadt, liegt die charmante Wohnung in bevorzugter Lage im erlesenen und trendigen Herzen Berlins.\n\nzum Haus:\n\nDie Wohnung ist in der 3.Etages eines soliden, exquisiten und denkmalgeschützten Altbaus aus der Jahrhundertwende.\nDer gesamte Gebäudekomplex wurde in den Jahren 2001 bis 2003 aufwändig saniert.\n\nzur Wohnung:\n\nEingebettet in die Südseite des Seitenflügels, blickt man aus der lichtdurchfluteten und ruhigen Wohnung auf einen begrünten Hinterhof.\nDie außergewöhnliche Deckenhöhe von knapp 4 Metern bietet ein großzügiges Raumerleben. Durch das echte Holzstäbchenparkett, die maßgefertigten Einbauten, und das Designer Wannenbad entfaltet die Wohnung  ein besonderes Flair.\n'];;;3;2003;;;;;;;;
2020-05-24 20:57:43.336168;Berlin;central_heating;ONE_YEAR_FREE;18395549;n;y;https://pictures.immobilienscout24.de/listings/20f53438-37ca-4f58-a0bf-7aa3495127dc-1307844695.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;7;16.53;40 MBit/s;telekom_layer_magenta_l;über VDSL;2002;REGULAR;16.53;112580512;gas;n;false;MagentaZuhause L;n;Berlin;y;9;6;4-5;9.26;80;Berlin;12047;mint_condition;no_information;false;100 MBit/s;no_information;"Schinkestra&szlig;e";y;https://padlock.link/ioml;https://padlock.link/ml;Schinkestraße;apartment;12047;3;n;2,active;true;Deutschland;premium;100 MBit/s;wohnung_kauf;n;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;009.a3eb148b-01e5-4fe1-a304-a32b93d23dbf;529000;profile0;6;3;true;n;showqualicontactform;y;n;Neukölln_Neukölln;cb3b7ccb-3054-43fe-997f-f427de2b4eb7;3;Berlin;/expose/112580512;['Das Architektenhaus an der Ecke Schinkestr. und Spremberger Str. wurde 2002 fertiggestellt und hat im letzen Jahr eine Überarbeitung der Fassade erfahren. Das Dach wurde im selben Zuge komplett energetisch modernisiert. Die Wohnung wird bezugsfrei übergeben.', 'Der Bodenbelag in den Zimmern und im Flur ist mit Eichenparkett ausgestattet. Die Türen, Wände und Decken wurden 2019 überarbeitet. ', 'Ruhige Straße in beliebtester Gegend zwischen Neukölln und Kreuzberg in unmittelbarer Nähe zum Maybachufer. Die U8 ist nur rund 50m entfernt.', 'Die Wohnung ist geeignet für kleine junge Familien und WG geeignet, gleichzeitig ist die Wohnung schwellenlos erreichbar durch den Aufzug und die barrierefrei Automatik-Hauseingangstür.'];;320;3;2019;energy_required;NO_INFORMATION;79;;;;;
2020-05-24 20:57:43.800730;Berlin;self_contained_central_heating;ONE_YEAR_FREE;446752;n;y;https://pictures.immobilienscout24.de/listings/92a34e4d-ba86-4699-90d2-7238fbd6e339-1362988713.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;8;11.12;40 MBit/s;telekom_layer_magenta_l;über VDSL;;REGULAR;11.12;117285019;gas;n;false;MagentaZuhause L;y;Berlin;n;9;;no_information;6.13;113.25;Berlin;10789;no_information;no_information;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;apartment;10789;3;n;2,active;true;Deutschland;premium;100 MBit/s;wohnung_kauf;n;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.446752;699000;profile0;;3;true;n;;n;n;Charlottenburg_Charlottenburg;117285019;5;Berlin;/expose/117285019;['Das Grundstück liegt im Bezirk Charlottenburg-Wilmersdorf, im traditionsreichen, westlichen Zentrum Berlins nahe der Gedächtniskirche und dem Kurfürstendamm. Edle Einzelhandelsgeschäfte und Boutiquen befinden sich hier ebenso wie Gourmetrestaurants. Wenige Minuten entfernt liegen Berlins bekanntestes Kaufhaus, das KaDeWe, sowie der Breitscheidplatz mit dem Europa-Center.'];true;229.24;;;energy_required;NO_INFORMATION;172.5;;;;;
2020-05-24 20:57:44.224484;Berlin;floor_heating;ONE_YEAR_FREE;763130;n;y;https://pictures.immobilienscout24.de/listings/6596ffff-af0b-42d4-840a-9e8cc6f1b5d1-1363004614.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;13;12.78;40 MBit/s;telekom_layer_magenta_l;über VDSL;2000;REGULAR;12.78;117286402;district_heating;y;false;MagentaZuhause L;y;Berlin;y;11;5;3;7.25;118.37;Berlin;10787;mint_condition;luxury;false;100 MBit/s;garage;"Corneliusstra&szlig;e";y;https://padlock.link/ioml;https://padlock.link/ml;Corneliusstraße;terraced_flat;10787;3;n;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;n;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.763130;1284000;profile0;4;3;true;y;showqualicontactform;y;n;Tiergarten_Tiergarten;0003;5;Berlin;/expose/117286402;['Die Wohnung befindet sich im Botschaftsviertel in einer verkehrsberuhigten Einbahnstraße mit direktem Blick auf den Landwehrkanal. Durch die exponierte Lage im ersten Obergeschoss (Beletage) vermittelt diese ein besonderes innerstädtisches Wohngefühl. Dazu tragen die grosszügigen hellen Räume - Deckenhöhe 3,80 m,  die grossen nach Süden ausgerichtete Fensterfronten und eine grandiose zum Teil überdachte Terrasse bei.\nDas Gebäude wurde von den Architekten HILMER und SATTLER geplant und 2000 fertiggestellt.\nÜber die elegante durch eilen Doorman besetzte Lobby gelangt man zunächst in einen begrünten atriumartigen Innenhof mit Kreuzgang. Die Wohnung erreicht man dann über ein helles breites Treppenhaus oder mittels eines Fahrstuhl.', 'Grosszügiger Eingangsbereich/Lobby mit 24 Stunden Doorman-Service\nAtriumartiger Innenhof mit  Übergang zum privatem Pocket Park\nHöchste Sicherheit 1+ Sicherheitskriterien erfüllen höchste Ansprüche (Alarmanlage)\nOffener Grundriss\nDeckenhöhe 3,80 m\nParkettboden Fischgrät  (gewachste Eiche)\nGrosszügiges elegantes Badezimmer mit Fenster Badewanne, Dusche und Bidet \nGästebadezimmer mit Dusche\nAnkleideraum\nHauswirtschaftsraum\nExklusive Küche mit hochwertigen Küchengeräten - SieMatic\nGrandiose Terrasse ca.40 qm zum Teil überdacht\nGepflegtes helles Treppenhaus mit Fahrstuhl\nTiefgarage mit Stellplatz auf Anfrage\nEinzelkeller und Gemeinschaftskeller für Fahrräder und Kinderwagen\nBarrierefreier Zugang zur Wohnung', 'Die Lage im Zentrum des Botschaftsviertels neben der CDU Zentrale (Adenauer Stiftung)  ist bestechend und zählt zu den begehrtesten in der Stadt. Der Tiergarten liegt vor der Tür, das Brandenburger Tor und das Kultur Zentrum mit Philharmonie, Kammermusiksaal und Museen sind bequem zu Fuss zu erreichen. Parlament, Abgeordnetenbüros sind nicht weit entfernt: City Ost mit Friedrichstraße, Sony Centrum und Gendarmenmarkt als auch City West mit Kurfürstendamm, KadeWe und Zoo sind in kurzer Distanz.\nEine optimale Anbindung zu den öffentlicher Verkehrsmitteln ist durch die Nähe zu den Nordischen Botschaften, dem Lützowplatz, dem Bahnhof Zoo und der U Bahn Wittenbergplatz gewährleistet.', 'Auto-/Garagenstellplatz kann angemietet werden'];;878.54;1;;energy_consumption;C;100.5;1;;;;
2020-05-24 20:57:44.674525;Berlin;floor_heating;ONE_YEAR_FREE;17055614;y;y;https://pictures.immobilienscout24.de/listings/4a28f94b-be26-4405-b43b-986e41e01cf4-1361499938.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;15;10.66;40 MBit/s;telekom_layer_magenta_l;über Glasfaser;2020;REGULAR;10.66;117047520;district_heating;y;false;MagentaZuhause L;n;Berlin;y;8;9;19;5.92;50.14;Berlin;10179;first_time_use;luxury;false;100 MBit/s;no_information;"Wallstra&szlig;e";y;https://padlock.link/ioml;https://padlock.link/ml;Wallstraße;apartment;10179;2;n;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;n;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;009.b6b60fc6-af7f-4580-a41c-75ec2d2a0a23;479900;profile0;7;2;true;y;showqualicontactform;y;n;Mitte_Mitte;BLN;2;Berlin;/expose/117047520;['Sehr gut geschnittene 2-Zimmer Wohnung in elegantem und architektonisch sehr ansprechenden Gebäude in bester Lage in Berlin-Mitte.\n\nDie Wohnung befindet sich im 3. OG im ruhigen Innenhof und bietet einen hohen Wohnkomfort sowie einen großzügigen Balkon.\n\nEs wurde bereits ein Küche eingebaut und der Bezug der Wohnung ist kurzfristig möglich.', 'Die Wohnung wurde gerade fertiggestellt und hat folgende Ausstattung:\n\n- Helles Eiche-Parkett\n- Fußbodenheizung\n- Holzrahmenfenster \n- Elektrisch betriebener Sonnenschutz \n- Einbauküche mit Bosch-Geräten\n- großzügiger Balkon mit Holzdielen\n- Feinsteinzeug von Villeroy & Boch\n- Sanitärobjekte von Duravit\n- Hauswirtschaftsraum mit Waschmaschinenanschluss\n- Video-Gegensprechanlage\n- Kellerabteil', 'Exklusive Adresse in direkter Umgebung des Spreekanals und des historischen Hafens. In der Wallstraße sind u.a die australische und brasilianische Botschaft sowie verschiedene Hotels ansässig.\n\nDie Wallstraße verläuft zwischen dem Spittelmarkt und dem Märkischen Museeum und hat noch eine Vielzahl historischer Gebäude.\n\nPerfekte Anbindung an den öffentlichen Nahverkehr. In wenigen Schritten erreichen Sie die U-Bahn Stationen Spittelmarkt oder Märkisches Museum.', 'Vereinbaren Sie gerne einen persönlichen Besichtigungstermin unter folgender Rufnummer 0176-10299968.\n\nSie können die Wohnung gerne kontaktlos besichtigen. Wir schließen Ihnen die Wohnung auf und Sie sehen sich in Ruhe alleine um.'];;194;3;;energy_required;B;66.7;;2;19;;
2020-05-24 20:57:45.074663;Berlin;central_heating;ONE_YEAR_FREE;6333270;n;y;https://pictures.immobilienscout24.de/listings/29ce1c95-2136-4626-9df6-552f800e9266-1362096190.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;9;9.96;40 MBit/s;telekom_layer_magenta_l;über VDSL;1996;REGULAR;9.96;117116420;natural_gas_heavy;y;false;MagentaZuhause L;y;Berlin;n;8;5;8b;4.45;89.5;Berlin;12527;first_time_use_after_refurbishment;sophisticated;false;100 MBit/s;outside;Rehfeldtstr.;n;https://padlock.link/ioml;https://padlock.link/ml;Rehfeldtstr.;ground_floor;12527;3;n;2,active;true;Deutschland;premium;100 MBit/s;wohnung_kauf;n;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.6333270;449500;profile0;3;3;true;y;showqualicontactform;n;n;Grünau_Köpenick;B-RS8b-WE07-19-3;4;Berlin;/expose/117116420;"['Die Ausstattungsmerkmale der angebotenen Wohnung, insbesondere mit dem dazugehörigen Pkw-Stellplatz, Terrasse wie auch dem Bootsanleger, bilden ein sehr seltenes Alleinstellungsmerkmal.\n\nDarüber hinaus besticht die eingefriedete Neubauwohnanlage, welche Mitte der Neunziger Jahre mit imposanten Stadtvillen errichtet wurde, durch elektrischen Zufahrtstore;  einem eigenen Badesteg und einer Slipanlage für Bootstrailer.\n\nFerner bietet die WEG natürlich einen kleinen Kinderpielplatz sowie gesonderte Grillplätze am Wasser für die Bewohner; ganz gleich ob jung oder alt. Die bezugsfreien Wohnungseinheiten werden auf Wunsch vor Übergabe liebevoll saniert.', 'Diese Eigentumswohnung wurde soeben komplett neu saniert und steht Ihnen ab sofort zur Verfügung.\n\nDas abgebildete Mobiliar gehört nicht zum Kaufgegenstand dazu.', 'Wohnen wie im Urlaub: Immobilien mit Feriencharakter\n\nWer Köpenick hört, denkt unweigerlich an den Hauptmann. Vor dem Rathaus in der historischen Innenstadt steht er immer noch in Bronze gegossen.\n\nBeliebt ist Köpenick wegen seiner Lage im Grünen und am Wasser besonders bei jungen Familien, die aus der Innenstadt fliehen, es aber schätzen, binnen einer halben Stunde mit öffentlichen Verkehrsmitteln in Mitte zu sein.\n\nWassersport spielt eine große Rolle. In Köpenick fließt die Dahme in die Spree. Der Müggelsee wie auch der Lange See ist anders als die Seen im Westen der Stadt selbst im Sommer nicht hoffnungslos überfüllt.\n\nWillkommen in Köpenick!', 'Besuchen Sie auch die Projekthomepage unter: www.rehfeldt8.de']";true;276;0;2018;energy_consumption;;103;;;1;;
2020-05-24 20:57:45.473585;Berlin;self_contained_central_heating;ONE_YEAR_FREE;18571606;n;n;https://pictures.immobilienscout24.de/listings/99e47de7-6b73-412b-a01a-fc123e4e84ff-1349137055.jpeg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;7;11.28;40 MBit/s;telekom_layer_magenta_l;über VDSL;1905;REGULAR;11.28;115588848;natural_gas_light;n;false;MagentaZuhause L;y;Berlin;y;6;1;13;6.07;66.45;Berlin;12105;refurbished;sophisticated;false;100 MBit/s;no_information;"K&ouml;nigstra&szlig;e";n;https://padlock.link/ioml;https://padlock.link/ml;Königstraße;apartment;12105;2;n;2,active;true;Deutschland;premium;100 MBit/s;wohnung_kauf;n;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;009.a6d33f6b-f640-4d2c-a15b-255902f2ecfa;269000;profile0;4;2;true;n;showqualicontactform;n;n;Mariendorf_Tempelhof;115588848;3;Berlin;/expose/115588848;"['Diese ruhige und große 2-Zimmerwohnung im 2.OG des Seitenflügel eines schönen Altbaus mit sonnigem Balkon steht zum sofortigen Einzug bereit\nDas großzügig gestaltete Wohn-Esszimmer mit dem schönen Holzboden bietet viel Platz zum behaglichen Wohnen \nDas Badezimmer wurde komplett saniert und neu gefliest', '- Abgeschliffener Dielenboden\n- neues Bad mit Wanne und Tageslicht\n- Balkon\n- Etagenheizung (Gastherme):\nSie erzeugt Wärme für die Beheizung und die Warmwasserbereitung einer einzelnen Wohnung und bietet Wohnungseigentümern eine besonders individuelle und kostensparende Heizmöglichkeit (im Gegensatz zur Zentralheizung, welche nicht individuell betrieben werden kann)', 'Sehr gute Lage:\nBekannt ist der Bezirk für die Tempelhofer Freiheit (ehemaliger Flughafen Tempelhof) als großes Naherholungsgebiet\nDas Haus befindet sich in einer ruhigen Nebenstraße, aber unweit der U-Bahnstation Westphalweg und nur wenige Minuten entfernt vom Mariendorfer Damm. Hier befinden sich jegliche Einkaufsmöglichkeiten, auch das Einkaufscenter ""Hafen Tempelhof"".\n+++ Flughafen Schönefeld schnell zu erreichen - \n 10min Fahrzeit +++', 'zzgl. zum Kaufpreis ist eine Provision i.H.v. 7,14 % (6% + MwSt.) zu zahlen\n\n-------BESICHTIGUNG nach Absprache ------']";true;145;2;2020;energy_consumption;D;104;;;;;
2020-05-24 20:57:45.842603;Berlin;floor_heating;ONE_YEAR_FREE;763130;n;y;https://pictures.immobilienscout24.de/listings/979aeeca-f35d-47d9-83ef-21c71cafc08a-1363008000.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;13;11.37;40 MBit/s;telekom_layer_magenta_l;über VDSL;1906;REGULAR;11.37;117287549;local_heating;y;false;MagentaZuhause L;y;Berlin;y;8;1;89;5.8;77;Berlin;10779;mint_condition;sophisticated;false;100 MBit/s;no_information;"Motzstra&szlig;e";n;https://padlock.link/ioml;https://padlock.link/ml;Motzstraße;no_information;10779;1.5;n;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;n;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.763130;415800;profile0;;1;true;y;showqualicontactform;n;n;Wilmersdorf_Wilmersdorf;0006;3;Berlin;/expose/117287549;['Die Wohnung liegt in einem Ensemble in einer schönen Wohngegend direkt am Prager Platz. Hier gibt es viele Cafes, Restaurants und Einkaufsmöglichkeiten in unmittelbarer Nähe. \nDie U-Bahnstation Güntzelstraße befindet sich nur 5 Minuten zu Fuß entfernt. Von dort gelangt man in 2 Stationen zum Kurfürstendamm, der bekannt ist für seine exklusive Shoppingvielfalt.\nDie zauberhafte Wohnung ist geschmackvoll und liebevoll von HOME TO HOME eingerichtet.', 'exzellente Lichtverhältnisse\nHohe Decken\nMassives Holzparkett\nAtemberaubende Gestaltung mit Detail im ganzen Wohnbereich\nTraumhaftes Badezimmer mit Handtuchheizung\nGroßzügiger Wohn-/Essbereich \nBalkon mit Grünblick\nbegrünter Innenhof/familienfreundlich\ngute Lage/Verkehrsanbindung', 'Die Wohnung in der Motzstraße, liegt nur wenige Gehminuten vom Kurfürstendamm entfernt, nahe dem Prager Platz. Dort befinden sich nette kleine Cafés und Restaurants. Auch der Viktoria-Luise-Platz ist nur fußläufig von der Motzstraße entfernt. \nBoutiquen, Galerien, internationale Restaurants, Kinos und Theater eröffnen einen weiten Erlebnishorizont auf dem Kurfürstendamm. Auch Einkaufsmöglichkeiten für den täglichen Bedarf sind fußläufig  schnell erreichbar. Eine sehr gute Verkehrsanbindung ist gegeben, da sich der U-Bahnhof Spichernstraße nur 400 Meter entfernt, befindet.'];;254.91;;;energy_consumption;;92;1;;;;
