timestamp;obj_regio1;obj_heatingType;obj_telekomTvOffer;obj_cId;obj_newlyConst;obj_balcony;obj_picture;obj_picturecount;obj_pricetrend;obj_telekomUploadSpeed;obj_telekomTrackingGroup;obj_telekomInternetTechnology;obj_yearConstructed;obj_telekomInternetType;obj_pricetrendbuy;obj_scoutId;obj_firingTypes;obj_hasKitchen;obj_ExclusiveExpose;obj_telekomInternetProductName;obj_courtage;geo_bln;obj_cellar;obj_purchasePriceRange;obj_yearConstructedRange;obj_houseNumber;obj_energyType;obj_pricetrendrent;obj_livingSpace;geo_krs;obj_zipCode;obj_condition;obj_interiorQual;ga_cd_cxp_historicallisting;obj_telekomDownloadSpeed;obj_parkingSpace;obj_street;obj_lift;obj_telekomInternetUrlMobile;obj_telekomInternetUrl;obj_streetPlain;obj_typeOfFlat;geo_plz;obj_noRooms;obj_thermalChar;obj_assistedLiving;obj_lastRefurbish;obj_ityp;obj_telekomHdTelephone;geo_land;ga_cd_via;obj_telekomInternet;obj_immotype;obj_rented;obj_floor;obj_telekomInternetServices;obj_telekomInternetProductAvailable;obj_cwId;obj_purchasePrice;ga_cd_application_requirements;obj_noRoomsRange;ga_cd_maillead_default_shown;obj_garden;evt_count_pm_sig;obj_barrierFree;obj_international;obj_regio3;obj_objectnumber;obj_livingSpaceRange;obj_regio2;URL;beschreibung;obj_energyEfficiencyClass;obj_groupnumber;obj_numberOfFloors;obj_usableArea;obj_galleryAd;obj_rentSubsidy;obj_telekomHybridUploadSpeed;obj_telekomHybridDownloadSpeed;obj_noParkSpaces;ga_cd_via_qualified;ga_cd_developer_virtualreality
2020-05-24 21:09:40.054938;Berlin;central_heating;ONE_YEAR_FREE;12503090;n;y;https://pictures.immobilienscout24.de/listings/b6b3b1a9-5c9b-44a7-b55f-101d1e39a255-1351215082.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;6;10.57;40 MBit/s;telekom_layer_magenta_l;über VDSL;1905;REGULAR;10.57;115761433;natural_gas_heavy;n;false;MagentaZuhause L;n;Berlin;y;8;1;no_information;energy_consumption;5.16;92.89;Berlin;12524;no_information;normal;false;100 MBit/s;no_information;no_information;y;https://padlock.link/ioml;https://padlock.link/ml;no_information;apartment;12524;3;99;n;2019;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;n;2;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.12503090;455000;profile0;3;true;y;showqualicontactform;n;n;Altglienicke_Treptow;115761433;4;Berlin;/expose/115761433;['Hell, Idyllisch, Historisch! Diese wunderschöne Altbauwohnung strahlt mit der eindringenden Sonne um die wette! Hier finden Sie den sehr gut erhaltenen Dielenboden, den Stuck an den Decken und den nostalgischen Kassettentüren. Mit dem Traumhaften Ausblick von dem hinteren Balkon, können Sie die Abendstunden ausklingen lassen.', 'Das Objekt befindet sich im Bezirk Treptow-Köpenick, Ortsteil Altglienicke an der südlichen Seite der Straße Am Falkenberg. Altglienicke bietet Wohnen im Grünen und gleichzeitig eine schnelle und direkte Verkehrsanbindung in die Mitte Berlins. Eine Anschlussstelle an die Stadtautobahn ist 3km entfernt. Der Flughafen in Schönefeld ist nur 5 km entfernt. Öffentliche Verkehrsmittel, Einkaufs- und Dienstleistungsbereiche sowie Schulen und Kindergärten befinden sich in unmittelbarer Nähe. Die in fußläufiger Nähe weitläufigen Wasser- und Seengebiete bieten einen hohen Freizeit- und Erholungswert.', 'Das Grundstück ist mit einem vier-geschossigen, voll unterkellerten Mehrfamilienhaus mit ausgebautem Dachgeschoss und einer zweigeschossigen Remise bebaut. Beide Gebäude wurden im Jahr 1905 erbaut. In den Jahren 2003/2004 erfolgte eine umfassende Sanierung und Modernisierung des Haupthauses und der Remise. Folgende Arbeiten wurden ausgeführt: Erneuerung der gesamten Haustechnik, der Dächer, der Fenster und der Fassade. In dem Haupthaus wurde ein Personenaufzug installiert. Die Wohnungen vom 1. OG bis zum Dachgeschoss verfügen über sehr große Terrassen und Balkone an der Südseite. Zusätzlich haben die Wohnungen vom 1. Bis 4. OG auch straßenseitige Balkone. Die Einheiten im Erdgeschoss verfügen über südseitige Gartenterrassen. Die zwei Einheiten in der Remise haben Gartenanteile.'];;;;;;;;;;;
2020-05-24 21:09:40.446897;Berlin;no_information;ONE_YEAR_FREE;97549;n;y;https://pictures.immobilienscout24.de/listings/4c49d725-6bca-44af-b255-b0c59e8f4bd1-1362470373.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;15;11.49;40 MBit/s;telekom_layer_magenta_l;über VDSL;1910;REGULAR;11.49;115758134;gas;n;false;MagentaZuhause L;y;Berlin;y;7;1;4;energy_consumption;6.07;87.23;Berlin;12167;need_of_renovation;no_information;false;100 MBit/s;no_information;"Stephanstra&szlig;e";n;https://padlock.link/ioml;https://padlock.link/ml;Stephanstraße;apartment;12167;3;141;n;;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;n;2;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.97549;399000;profile0;3;true;n;showqualicontactform;n;n;Steglitz_Steglitz;Stephan4_5;4;Berlin;/expose/115758134;"['- Altbau, Baujahr ca. 1910', '- renovierungsbedürftig\n- Süd-Balkon und Loggia\n- Parkett/Dielen\n- Originalofen\n- Stuck\n- Altbaufenster/Altbautüren mit Messingbeschlägen\n- 2. Obergeschoss', 'Der Altbau liegt in einer Seitenstraße in Berlin-Steglitz unweit vom Stadtpark Steglitz. \n\nDer S-Bahnhof und Regionalbahnhof „Südende"" (S2, S25, S26) oder diversen Buslinien in der Halskestraße sind innerhalb weniger Minuten erreichbar.', 'Der Anbau eines Aufzugs ist in der Teilungserklärung genehmigt.']";E;3;5;;;;;;;;
2020-05-24 21:09:40.777829;Berlin;central_heating;ONE_YEAR_FREE;43451;n;y;https://pictures.immobilienscout24.de/listings/9f0c07ca-5f78-4f6a-b1ff-ec72ea8f8f55-1351143840.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;4;11.12;40 MBit/s;telekom_layer_magenta_l;über VDSL;1909;REGULAR;11.12;115757439;district_heating;n;false;MagentaZuhause L;y;Berlin;y;6;1;no_information;;6.13;48;Berlin;10629;well_kept;no_information;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;apartment;10629;2;;n;;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;y;1;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.43451;280000;profile0;2;true;n;showqualicontactform;n;n;Charlottenburg_Charlottenburg;Dar/Nie;2;Berlin;/expose/115757439;['Kapitalanlage Altbau Nahe Savignyplatz\n\nDie hier angeboten Wohnung befindet sich in der Niebuhrstr., im gutbürgerlichen Bezirk Charlottenburg. \nSie ist im ersten OG und absolut ruhig gelegen. \nDie Jahresmiete (netto kalt) beträgt 3.000 €. Die Wohnung ist gut beschnitten und hat einen ruhigen Balkon. Die hohen Decken werten die Wohnung auf.\n\nWeitere Unterlagen liegen vor, werden aber erst bei verdichtetem Interesse Versand. \n\nZu Rückfragen u. dem Wunsch einer Besichtigung erreichen Sie mich \nunter 01721444445 o. per Mail\n\nGruß Thomas duChesne\n\nVermarktung im Alleinauftrag'];;;4;50;disabled;198;;;;;
2020-05-24 21:09:41.378578;Berlin;no_information;ONE_YEAR_FREE;97549;n;y;https://pictures.immobilienscout24.de/listings/7cea9a05-9cd8-4719-b908-7761124aa9ad-1362463459.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;10;11.49;40 MBit/s;telekom_layer_magenta_l;über VDSL;1910;REGULAR;11.49;115756827;gas;n;false;MagentaZuhause L;y;Berlin;y;8;1;4;energy_consumption;6.07;78.32;Berlin;12167;no_information;no_information;false;100 MBit/s;no_information;"Stephanstra&szlig;e";n;https://padlock.link/ioml;https://padlock.link/ml;Stephanstraße;roof_storey;12167;3;141;n;;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;n;5;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.97549;419000;profile0;3;true;n;showqualicontactform;n;n;Steglitz_Steglitz;Stephan4_12;3;Berlin;/expose/115756827;"['- Altbau, Baujahr ca. 1910', '- Süd-Terrasse\n- Einbauküche\n- Bad mit Dusche + Wanne\n- Dachgeschoss', 'Der Altbau liegt in einer Seitenstraße in Berlin-Steglitz unweit vom Stadtpark Steglitz. \n\nDer S-Bahnhof und Regionalbahnhof „Südende"" (S2, S25, S26) oder diversen Buslinien in der Halskestraße sind innerhalb weniger Minuten erreichbar.', 'Der Anbau eines Aufzugs ist in der Teilungserklärung genehmigt.']";E;3;5;;;;;;;;
2020-05-24 21:09:41.711490;Berlin;self_contained_central_heating;ONE_YEAR_FREE;18261238;n;n;https://pictures.immobilienscout24.de/listings/75bf279d-e1fe-4c05-a681-c0a87ee6af2a-1351272848.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;4;12.7;2,4 MBit/s;telekom_layer_magenta_m_hybrid2;über Hybrid;1905;WITH_HYBRID;12.7;115770645;gas;n;false;MagentaZuhause M Hybrid (2);y;Berlin;y;10;1;no_information;energy_consumption;7.58;185;Berlin;10553;well_kept;normal;false;16 MBit/s;no_information;no_information;n;https://padlock.link/mmh2sa;https://padlock.link/mmhy2;no_information;apartment;10553;7;98;n;2012;2,active;true;Deutschland;standard;50 MBit/s;wohnung_kauf;n;3;web,email,bank,music,dl-ul,game,sd,mltstr,hd;true;009.4382751b-169f-4fec-ab56-03af6295e77c;763125;profile0;5;true;n;showqualicontactform;n;n;Tiergarten_Tiergarten;RS403OG;7;Berlin;/expose/115770645;['Die idealle Wohnung für z.B. eine Studenten - WG.\nOder auch eine Familie.', 'Es gibt sieben mögliche Einzelzimmer, eine geräumige Wohnküche, zwei Bäder.\nUnd einen Keller mit ca. 36 qm', 'Berlin - Moabit eine beliebte und gefragte Lage, unweit des Regierungsviertels und der Technischen Universität. Eine hervorragende Infrastruktur bietet alles was man für den täglichen Bedarf benötigt.', 'Es sind einige Umbau- und Modernisierungsarbeiten notwendig, Einzelheiten können bei einer Besichtigung besprochen werden.'];C;;;;;362.86;10 MBit/s;50 MBit/s;;;
2020-05-24 21:09:42.159279;Berlin;central_heating;ONE_YEAR_FREE;15349776;n;y;https://pictures.immobilienscout24.de/listings/1d43ddc9-e349-464b-9e20-b06f03aa216b-1351228193.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;8;11.12;40 MBit/s;telekom_layer_magenta_l;über VDSL;1907;REGULAR;11.12;115763247;district_heating;y;true;MagentaZuhause L;y;Berlin;y;8;1;23;energy_consumption;6.13;78;Berlin;10629;need_of_renovation;no_information;false;100 MBit/s;no_information;Mommsenstrasse;n;https://padlock.link/ioml;https://padlock.link/ml;Mommsenstrasse;raised_ground_floor;10629;2;145;n;;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;n;1;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.15297577;449000;profile0;2;true;n;showqualicontactform;n;n;Charlottenburg_Charlottenburg;ETW161;3;Berlin;/expose/115763247;['- Baujahr 1907\n- Altbauwohnung\n- Lage im Hochparterre\n- bezugsfrei ab sofort\n- 2 Zimmer \n- Kellerraum', '- überwiegend doppeltverglaste Kunststofffenster \n- Tageslichtbad mit Badewanne \n- Decken mit Stuckverzierungen\n- Laminat, Fliesen\n- Balkon', '- Bushaltestelle 220 Meter entfernt\n- U-Bahnhof Wilmersdorfer Straße 400 Meter entfernt\n- Supermärkte sind in wenigen Minuten zu Fuß erreicht\n- Kitas und Schulen zu Fuß erreichbar\n- zahlreiche Bars und Restaurants im näheren Umkreis\n- Shoppingcenter: Wilmersdorfer Arcaden, Europacenter', 'Sollten wir Ihr Interesse geweckt haben, erhalten Sie gern ein ausführliches Exposé sowie einen Besichtigungstermin.'];E;;6;;disabled;302.42;;;;;
2020-05-24 21:09:42.521280;Berlin;central_heating;ONE_YEAR_FREE;17228770;n;y;https://pictures.immobilienscout24.de/listings/a7352464-788d-49e2-bfd0-1de6dcca4b4e-1351108572.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;7;12.1;40 MBit/s;telekom_layer_magenta_l;über VDSL;1970;REGULAR;12.1;115755047;oil;y;false;MagentaZuhause L;y;Berlin;n;6;2;no_information;energy_consumption;7.07;80;Berlin;12157;well_kept;no_information;false;100 MBit/s;outside;no_information;y;https://padlock.link/ioml;https://padlock.link/ml;no_information;apartment;12157;3;133;n;;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;n;1;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;002.01007994385;300000;profile0;3;true;y;;n;n;Schöneberg_Schöneberg;#01078;3;Berlin;/expose/115755047;['Die Ausstattung Ihrer Wohnung lässt nahezu keinen Wunsch offen und weist u.a. folgende Ausstattungsmerkmale auf:\n\n+ großzügiger Balkon\n+ ideale Raumaufteilung\n+ hell und lichtdurchflutet\n+ voll ausgestatete Küche \n+ Laminat\n+ Badezimmer mit Dusche, Handtuchhalterheizung und Lüftung\n+ Kunststoff-ISO-Fenster\n+ praktische Einbauschränke im Flur \n+ praktische Gardrobennische \n+ hohe Rücklagen\n+ trockener Keller\n+ Fahrradkeller\n+ Aufzug', 'Zentral zwischen der Schlossstraße, Rheinstraße und dem Grazer Damm befindet sich Ihre Wohnung. Die Umgebung ist geprägt von vielen anschaulichen Grünflächen, unter anderem den Natur-Park Schöneberger Südgelände, den Sie in Ihrer Freizeit zum Ausspannen nutzen können. Durch die exzellente Anbindung zur Schlossstraße haben Sie endlose Möglichkeiten, Ihre Freizeit zu gestallten, wie zum Beispiel ins Kino zu gehen, sich mit Freunden in einem Café zu treffen, oder einfach die Flaniermeile entlang zu schlendern. Zudem kommen noch etliche Restaurants, auch in fußläufiger Umgebung, die jeden kulinarischen Gaumen zufriedenstellen. Ihre Wohnung ist auch Ideal mit den Berliner Verkehrsbetrieben vernetz. Innerhalb weniger Gehminuten befindet sich die S-Bahnstation Friedenau, von der Sie die S-1 nehmen können um ganz Berlin schnellstmöglich zu erreichen.', 'Alle Angaben stammen vom Verkäufer. Wir übernehmen hierfür keine Haftung.\n\nIhren Besichtigungstermin können Sie selbstverständlich individuell nach Ihren Wünschen mit uns vereinbaren. Zur Beantwortung Ihrer Fragen können Sie uns jederzeit kontaktieren.\n\nSie möchten Ihre Immobilie verkaufen?\n\nWir stehen Ihnen gerne bei allen Fragen und Anliegen beratend beiseite und treten dafür ein, dass vor allem\nSie profitieren. Nutzen Sie die positive Marktlage und unser geschultes Team, um den Höchstpreis zu erzielen. Gerne unterstützen wir Sie bei all Ihren Fragen und Anliegen rund um Ihre Immobilie. Ganz individuell gehen wir auf Ihre persönlichen Bedürfnisse ein, um Ihnen eine ehrliche und kompetente Beratung zu gewährleisten, denn Ihre Zufriedenheit ist unser Ziel.\n\nIhr IMMODO-Team'];;;5;;disabled;320;;;1;;
2020-05-24 21:09:42.973445;Berlin;central_heating;;17110672;n;y;https://pictures.immobilienscout24.de/listings/9c458d5e-3fd9-4b7c-b6d7-92b138810da8-1351269369.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;2;10.95;;;;1908;;10.95;115771280;district_heating;y;false;;y;Berlin;y;7;1;XX;;6.54;52;Berlin;10435;well_kept;normal;false;;no_information;"Danziger Stra&szlig;e";n;;;Danziger_Straße;apartment;10435;2;;n;2002;2,active;;Deutschland;top;;wohnung_kauf;n;3;;;002.01007692978;374000;profile0;2;true;n;showqualicontactform;n;n;Prenzlauer_Berg_Prenzlauer_Berg;140;2;Berlin;/expose/115771280;"['Ein entsprechendes und vollständiges Exposee aus diesen hier angegebenen Eckdaten mit Grundriss und Bilder erhalten Sie auf Anfrage.\n\nAus diesem und benachbarten Postleitzahlengebiet bieten wir außerdem wenn aktuell vorhanden weitere Immobilien-Angebote an, mit ""verschiedenen"" Objektarten, Größen, häuslicher Gegebenheiten, und Kaufpreis, bezugsfrei oder als Kapitalanlage.\nKontaktieren Sie uns oder reichen uns Ihr persönliches Suchprofil ein.\nWir unterbreiten Ihnen dann die vorhandene dazu passende Immobilie.', '-renovierte Wohneinheiten', 'Der Prenzlauer Berg, auch ""Prenzlberg"" genannt, hat sich nach der Wende erst zum Szenebezirk und dann zum gutsituierten Familienbezirk gewandelt. Trendige Cafés, Kneipen, Restaurants, Bars und Clubs machen den Tag zur Nacht und lassen den Stadtteil auch zum Touristenmagnet werden. Besonders beliebt sind die Gegenden um den Kollwitz- und Helmholtzplatz.\n\nDas überregionale Interesse am Prenzlauer Berg, der noch vor 30 Jahren ein recht vernachlässigtes Viertel war, rührt wohl von dem schönen Wohnflair her: Der Ortsteil ist das größte zusammenhängende Gründerzeit-Altbaugebiet Deutschlands. Malerische Plätze und Straßenzüge mit durchsanierten Häuserblocks sind hier keine Seltenheit, dazu gesellen sich immer wieder Grünflächen mit Spielplätzen.', 'Wenn Sie Interesse an solch einer Immobilie mit etwaigen Eckdaten haben, so\nfreuen wir uns auf Ihren Kontakt! Tel.: 030-255 81 803\n\nBei Anfragen bitten wir um vollständige Absenderangaben. \nBitte mit Adresse, Telefon, Fax und Email. \nWir bitten um Verständnis, dass ohne die vorgenannten Angaben ein Versand leider nicht möglich ist.\n\nAlle Daten sowie Informationen beruhen auf den Angaben des jeweiligen Eigentümers bzw. entstammen Objektunterlagen und werden hier nach bestem Wissen wider gegeben. \nIrrtümer und Zwischenverkauf bleiben vorbehalten. \nDie rechtliche Verbindlichkeit ergibt sich ausschließlich durch einen notariell abgeschlossenen Kaufvertrag.\n\n\nAuf Anfragen von Investoren und Kapitalanlegern für Anlageimmobilien, Hotelanlagen, Großobjekte, Projektierung und Realisation rund um die Immobilie können wir Ihnen aus unserem breiten Off-Market-Angebot entsprechendes unterbreiten.\n\nAuch verfügen wir für unsere Kunden zu unseren Objekten über sehr gutes Netzwerk an Finanzierungsmöglichkeiten wenn die Realisierung bei der eigenen Haus-Bank nicht ausreicht.\n \nGerne können Sie mich auch telefonisch direkt unter 0176-84055531 erreichen.\nAleksander Vukas, Immobilienfachwirt, Immobilien Ökonom\nAV Immobilien Berlin - Real Estate Consulting & Agency']";;1;6;;;;;;;;
2020-05-24 21:09:43.341155;Berlin;central_heating;ONE_YEAR_FREE;2808866;n;y;https://pictures.immobilienscout24.de/listings/ce4e9fdf-6981-41e4-96af-26451be0ec32-1351237284.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;7;11.12;40 MBit/s;telekom_layer_magenta_l;über VDSL;1959;REGULAR;11.12;115763780;district_heating;n;false;MagentaZuhause L;y;Berlin;y;4;2;73;energy_consumption;6.13;67.17;Berlin;13627;well_kept;normal;false;100 MBit/s;no_information;Heilmannring;n;https://padlock.link/ioml;https://padlock.link/ml;Heilmannring;apartment;13627;3;157.6;n;;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;y;3;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.2808866;199000;profile0;3;true;n;showqualicontactform;n;n;Charlottenburg_Charlottenburg;115763780;3;Berlin;/expose/115763780;['Bei dem Objekt handelt es sich um eine 3-Zimmer Etagenwohnung in einer denkmalgeschützten Eigentumswohnanlage aus dem Jahr 1959. \nDas Gebäude wird mit Fernwärme versorgt und liegt im Norden des beliebten Bezirks Charlottenburg. \nDie Wohnung hat einen vorteilhaften Grundriss, drei separate Zimmer und verfügt über einen Balkon mit Aussicht auf die zwischen den Gebäuden liegenden Grünflächen. Weiterhin liegen ein Spielplatz, Tischtennisplatten und Sitzbänke an, wodurch in unmittelbarer Nähe die eigene Freizeit genossen werden kann. Zusätzlich ist das Badezimmer der Wohnung mit einem Fenster und einem Wannenbad ausgestattet. In den Apartments wurden überwiegend Gegensprechanlagen installiert. Der Wohnung ist weiterhin ein separates Kellerabteil zugeordnet. Parkähnliche Flächen direkt vor der Tür verhelfen zu einem einzigarten Wohnumfeld.', 'Bei dem Objekt handelt es sich um eine vermietete \n3-Zimmerwohnung.\nDie Wohnung hat folgenden Merkmalen:\n- 3 separate Zimmer\n- ein Balkon\n- Wannenbad mit Fenster\n- Küche\n- ein Flur\n- ein Mieterkeller', 'Der Heilmannring liegt zwischen dem Schloss Charlottenburg im Süden (ca. 2 km) und dem Volkspark Jungfernheide im Norden (600 m). Der Volkspark ermöglicht vielfältige Freizeitgestaltung durch das anliegende Strandbad mit Badesee, einer Sportanlage und neben ausgiebigen Wander- und Fahrradwegen ist ebenfalls ein Kletterpark vorhanden. In südlicher Richtung befindet sich weiterhin die Spree. Der Kurfürstendamm liegt ca. 3 km von dem Objekt entfernt. Dieser ist geprägt von Handel und Gastronomie und gilt als einer der touristischen Anlaufpunkte in der City-West. Einkaufsmöglichkeiten, Schulen und Kindertagesstätten sind in der nahen Umgebung ausreichend vorhanden und schaffen ein angenehmes Wohnumfeld für Familien. Die U-Bahnstationen Halemweg und Siemensdamm der Linie U7 sind schnell erreicht und verbinden in weniger als 10 Minuten mit dem Charlottenburger Zentrum. Diverse Buslinien ergänzen zusätzlich das öffentliche Nahverkehrsangebot. Auch die Autobahnauffahrt ist zügig erreicht und ermöglicht die Zufahrt zum Berlin Stadtring.', 'Besichtigungen sind ab sofort nach Terminabsprache mit dem Mieter möglich.\nWir können leider keine Fotos von der Wohnung veröffentlichen, weil die Wohnung vermietet ist.\n \nDiese Wohnung ist seit mehr als 10 Jahren vermietet und somit ist die Wohnung für Kapitalanleger geeignet.\nBitte kontaktieren Sie uns. Wir freuen uns auf Ihre Mail oder Ihren Anruf.\nFür Rückfragen zu der Wohnung stehen wir Ihnen gern zur Verfügung. \nAlle genannten Angaben zum Objekt beruhen auf den Angaben des Eigentümers. \nFür die Richtigkeit der Angaben übernehmen wir keine Haftung.\nSollte aufgrund unserer Nachweis- bzw. Vermittlungstätigkeit ein notarieller Kaufvertrag zustande kommen, so erheben wir eine Provision in Höhe von netto 6% zzgl. der gesetzlichen MwSt. in Höhe von 19%. \n\nBei diesem Objekt haben wir weitere 5 vermieteten Wohnungen. \nBei Interesse würden wir Ihnen gerne die Eckdaten der Wohnungen zur Verfügung stellen.'];;;3;5;;265;;;;;
2020-05-24 21:09:43.756330;Berlin;;ONE_YEAR_FREE;18052783;n;y;https://pictures.immobilienscout24.de/listings/66e28e79-5a86-4446-81cc-bd292a0746f2-1351107808.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;6;16.53;40 MBit/s;telekom_layer_magenta_l;über VDSL;1956;REGULAR;16.53;115754894;no_information;n;false;MagentaZuhause L;n;Berlin;n;6;2;no_information;energy_required;9.26;68.5;Berlin;10247;well_kept;normal;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;apartment;10247;3;146;n;;2,active;true;Deutschland;premium;100 MBit/s;wohnung_kauf;y;1;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;002.01008679649;257000;profile0;3;true;n;showqualicontactform;n;n;Neukölln_Neukölln;498688;3;Berlin;/expose/115754894;['Die im 1. Obergeschoss gelegene 3-Zimmer-Wohnung ist ein ideales Investment. Über den Flur erreicht man direkt alle Zimmer dieser Wohnung. Die Küche mit Fenster bietet genügend Platz für eine gemütliche Sitzecke. Besonders praktisch ist der Abstellraum im Flur, in welchem alles verstaut werden kann, was das Auge stört. Über das Wohnzimmer erreicht man den wunderschönen Balkon. Begeistern Sie die Mieter mit der Südausrichtung und den wundervollen Sonnenstunden, welche auf dem Balkon genossen werden können. \r\n\r\nUnser Projekt Good Life befindet sich im Berliner Trendbezirk Kreuzkölln, wo sich Kreuzberg und Neukölln treffen. Hier ist immer etwas los, man muss gar nicht weit fahren, um etwas zu erleben. Ob Ausspannen am Landwehrkanal, Besuche in einer der unzähligen Restaurants und Bars oder Feiern gehen, man hat alles fast direkt vor der Haustür. Und selbst wenn es einen mal ein Stück aus dem Kiez zieht, ist das kein Problem dank der super Verkehrsanbindung. Die Pannierstraße 20 profitiert von einer idealen Lage in der Hauptstadt.', '-    Wohnzimmer\r\n-    2 weitere Schlafzimmer\r\n-    Balkon mit Südausrichtung\r\n-    Bad mit Badewanne\r\n-    Küche mit Fenster\r\n-    Flur mit Abstellraum', '-    Ca 2 Gehminuten zur Busstation Pflügerstraße, von welcher aus die Linien 171,                 194 und M29 verkehren \r\n-    Ca. 10 Gehminuten zum U-Bahnhof Hermannplatz\r\n-    In 3 Gehminuten sind Sie am Maybachufer des Landwehrkanals\r\n-    Zahlreiche Parks in der Nähe, wie zum Beispiel der Treptower Park, Volkspark Hasenheide, Görlitzer Park\r\n-    Unzählige Cafés, Bars, Restaurants und Veranstaltungsorte, wie beispielsweise Huxleys Neue Welt\r\n-    Viele Möglichkeiten zum Einkaufen in der Nähe, wie Netto, Bio Company und Edeka'];E;4;4;68.5;;295.37;;;;true;
