timestamp;obj_regio1;obj_heatingType;obj_telekomTvOffer;obj_cId;obj_newlyConst;obj_balcony;obj_picture;obj_picturecount;obj_pricetrend;obj_telekomUploadSpeed;obj_telekomTrackingGroup;obj_usableArea;obj_telekomInternetTechnology;obj_yearConstructed;obj_telekomInternetType;obj_pricetrendbuy;obj_scoutId;obj_firingTypes;obj_hasKitchen;obj_ExclusiveExpose;obj_telekomInternetProductName;obj_courtage;geo_bln;obj_cellar;obj_purchasePriceRange;obj_yearConstructedRange;obj_rentSubsidy;obj_houseNumber;obj_pricetrendrent;obj_livingSpace;geo_krs;obj_zipCode;obj_condition;obj_interiorQual;ga_cd_cxp_historicallisting;obj_telekomDownloadSpeed;obj_parkingSpace;obj_street;obj_lift;obj_telekomInternetUrlMobile;obj_telekomInternetUrl;obj_streetPlain;obj_typeOfFlat;geo_plz;obj_noRooms;obj_assistedLiving;obj_lastRefurbish;obj_groupnumber;obj_ityp;obj_telekomHdTelephone;geo_land;ga_cd_via;obj_telekomInternet;obj_immotype;obj_rented;obj_floor;obj_telekomInternetServices;obj_telekomInternetProductAvailable;obj_cwId;obj_purchasePrice;ga_cd_application_requirements;obj_numberOfFloors;obj_noRoomsRange;ga_cd_maillead_default_shown;obj_garden;evt_count_pm_sig;obj_barrierFree;obj_international;obj_regio3;obj_objectnumber;obj_livingSpaceRange;obj_regio2;URL;beschreibung;obj_energyType;obj_energyEfficiencyClass;obj_thermalChar;obj_galleryAd
2020-05-24 20:39:32.409212;Berlin;central_heating;ONE_YEAR_FREE;527905;y;y;https://pictures.immobilienscout24.de/listings/c4a6bd2c-34fa-481a-b8f8-948b57862292-1370972952.png/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;8;12.19;40 MBit/s;telekom_layer_magenta_l;11.3;über VDSL;2020;REGULAR;12.19;118700091;gas;n;false;MagentaZuhause L;y;Berlin;n;11;9;595;no_information;7.48;145.89;Berlin;10999;first_time_use;luxury;false;100 MBit/s;no_information;no_information;y;https://padlock.link/ioml;https://padlock.link/ml;no_information;apartment;10999;4;n;2020;1;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;n;1;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.527905;1152531;profile0;4;4;true;y;showqualicontactform;y;n;Kreuzberg_Kreuzberg;118700091;6;Berlin;/expose/118700091;['Rückwärtiges Grundstück mit Blick ins Grüne, 150 m zum Paul Lincke Ufer, \n\nNeubau mit nur 4 Einheiten/Etagen\n\n1. OG - 4-5 Zimmer (je nach Gusto), ca. 145,89 m² - mit Süd-Balkon (ca. 11,30 m²), Treppe direkt in den Garten und Blick ins Grüne, Aufzug bis in die Wohnung, 2 Bäder, loftiger Koch-/Wohn-/Essbereich (ca. 51,00 m²), \n3 Schlafzimmer (je ca. 16,00 m²), großzügiger Eingangsbereich, Umplanung noch möglich.', 'Die Wohnung ist barrierefrei / schwellenfrei.\n\nEine gemeinschaftliche Aufdach-Terrasse für die Bewohner vom 1.-3. OG und der gemeinschaftliche Garten stehen dem Käufer zusätzlich zu seinem eigenen Balkon zur Verfügung.', '150 m zum Paul Lincke Ufer', 'Der Ausbau, erfolgt von einem sehr erfahrenem Bauträger ganz nach den Sonderwünschen des Käufers. Eine Übergabe kann auch ohne Innenausbau erfolgen, dann wird der Innenausbaubetrag vom Kaufpreis abgezogen.\n\nWeitere Etagen ebenfalls erwerblich'];;;;
2020-05-24 20:39:32.954446;Berlin;self_contained_central_heating;ONE_YEAR_FREE;527905;n;y;https://pictures.immobilienscout24.de/listings/59493ffa-c0e0-4c7b-91f6-50e6c46bfc8c-1370973059.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;14;12.19;40 MBit/s;telekom_layer_magenta_l;182;über VDSL;1890;REGULAR;12.19;118700117;gas;n;false;MagentaZuhause L;y;Berlin;n;11;1;684;no_information;7.44;168;Berlin;10999;refurbished;normal;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;apartment;10999;5;n;1990;1;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;n;1;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.527905;1393000;profile0;5;5;true;n;showqualicontactform;n;n;Kreuzberg_Kreuzberg;118700117;7;Berlin;/expose/118700117;['LAGE LAGE LAGE - Tolle Altbauwohnung mit Wasserblick am Paul-Lincke-Ufer und mit viel Potential.\nEs handelt sich um eine bourgeoise Stuckaltbauwohung mit herrschaftlichem Treppenhaus. Die Wohnung verfügt über einen tollen Jugendstilkamin und einen Süd-West-Balkon zum Wasser.\n\nEs handelt sich um 2 Wohnungen nebeneinanderliegende, zusammengelegte Wohnungen von 125 m²  und 43 m². Beide verfügen jeweils über ein Bad und eine Küche und sind über einen Durchgang mit kleiner Stufe miteinander verbunden.\n\nRenovierung sollte noch erfolgen...', 'Kachelofen, zwei Bäder  (eins davon mit Fenster), Fischgrätparkett und abgezogene Dielen, sehr schöner Stuck, Flügeltüren, Balkon zum Wasser', 'Paul-Lincke-Ufer', 'Erfragen Sie ein ausführliches Exposé.'];energy_required;E;150;
2020-05-24 20:39:33.338144;Berlin;central_heating;ONE_YEAR_FREE;17958406;n;y;https://pictures.immobilienscout24.de/listings/9f229c30-08b1-4609-8e2d-567f07649369-1370988219.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;1;11.3;40 MBit/s;telekom_layer_magenta_l;;über VDSL;;REGULAR;11.3;118707367;no_information;y;false;MagentaZuhause L;y;Berlin;y;9;;;no_information;5.73;114;Berlin;10789;well_kept;normal;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;no_information;10789;3;n;;;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;n;;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;002.01008673168;590000;profile0;5;3;true;n;showqualicontactform;n;n;Charlottenburg_Charlottenburg;1079;5;Berlin;/expose/118707367;['Angeboten wird eine Wohnung in absoluter Toplage Berlins. 130 m² verteilen sich auf 3 Zimmer, die dank der großzügigen Fenster, eine gute Lichtdurchflutung genießen. \nAufgrund der Diskretion bitten wir Sie um Kontaktaufnahme zur weiteren Besprechung der Details und Informationen.', 'Der Bedarf des täglichen Lebens wird durch eine Auswahl von Supermärkten und Geschäften gedeckt. Auch Arztpraxen und Apotheken finden sich in unmittelbarer Nachbarschaft. Grund- und weiterführende Schulen sowie Sportvereine und Fitness- und Yoga-Studios sind fußläufig zu erreichen.\nDie Anbindung an öffentliche Verkehrsmittel ist über mehrere Buslinien sowie den S-und U-Bahnhöfen in der Nähe gegeben.'];;;;
2020-05-24 20:39:33.697322;Berlin;gas_heating;ONE_YEAR_FREE;17128975;n;n;https://pictures.immobilienscout24.de/listings/9784b277-a7c8-44f4-8601-63c0d13fe1c7-1370978077.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;10;10.26;40 MBit/s;telekom_layer_magenta_l;70;über VDSL;1905;REGULAR;10.26;111605146;gas;y;false;MagentaZuhause L;n;Berlin;y;5;1;;34;6.35;70;Berlin;13507;first_time_use_after_refurbishment;normal;false;100 MBit/s;no_information;Beckumer Str;n;https://padlock.link/ioml;https://padlock.link/ml;Beckumer_Str;apartment;13507;3;n;2020;;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;n;0;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;009.397f4fbd-0b4e-42e7-9c98-47ba9714b0eb;235000;profile0;5;3;true;n;showqualicontactform;n;n;Tegel_Reinickendorf;111605146;3;Berlin;/expose/111605146;['Das Mehrfamilienhaus befindet sich in einem TOP Zustand.\nInsgesamt enthält das Objekt 50 Wohnungen. 1984 wurde das Wohnhaus modernisiert und instandgesetzt ( neue Steigleitungen, Vollwärmeschutzfassade und Kunststoff-Isolierglasfenster ) und 2016 mit einer Gas-Zentralheizung versehen. Der Innenhof wurde Mitte der 90er Jahre neu gestaltet. Aufgänge im sehr gepflegten Zustand', 'Es handelt sich um eine sanierte 3 Zimmer Wohnung im Erdgeschoss mit Südausrichtung. Die Beheizung erfolgt durch die Zentralheizung, die Warmwasserbereitung durch einen 50 Liter Speicher. Alle Fenster und Balkontüren sind mit neuen Kunststofffenstern mit Sicherheitsverglasung A1  und Aufhebelsicherung ausgestattet. Die Wohnung wurde instand gesetzt. Es wurde ein neues Bad mit begehbarer Dusche, Waschbecken und WC und neuen Fliesen erstellt. Eine neue Einbauküche mit elektrischen Geräten, wird eventuell nach Wahl des Käufers montiert. Das Wohnzimmer und das Schlafzimmer sind mit Fertigparkett ausgestattet. Die Wognung ist mit nur einer Stufe erreichbar.', 'Die Wohnung liegt in einer  begrünten ruhigen Seitenstraße im Norden Berlins.\nIn der Nähe gibt es diverse  Einkaufsmöglichkeiten des täglichen Bedarfs. Die Hallen am Borsigturm sind fußläufig zu erreichen. \nIn der näheren Umgebung befindet sich der Tegeler See, der Flughafen See und der Flughafen Tegel.\nDie U-Bahnhöfe Alt-Tegel und Borsigwerke, zahlreiche Buslinien sowie der S-Bahnhof Tegel sind fußläufig zu erreichen.'];energy_consumption;NO_INFORMATION;113.6;
2020-05-24 20:39:34.253384;Berlin;self_contained_central_heating;ONE_YEAR_FREE;527905;n;y;https://pictures.immobilienscout24.de/listings/b7906e02-37d0-49a8-afda-c1563f96b60b-1370972592.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;4;12.19;40 MBit/s;telekom_layer_magenta_l;100;über VDSL;;REGULAR;12.19;118699961;;n;false;MagentaZuhause L;y;Berlin;n;7;;220;no_information;7.44;57;Berlin;10999;refurbished;sophisticated;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;ground_floor;10999;2;n;2014;1;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;n;0;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.527905;399000;profile0;5;2;true;y;showqualicontactform;n;n;Kreuzberg_Kreuzberg;118699961;2;Berlin;/expose/118699961;['Feine Erdgeschosswohnung ....gewerblich nutzbar, der davor liegende Garten gehört zu der Einheit', 'Holzböden', 'Erfragen Sie ein ausführliches Exposé.'];;;;
2020-05-24 20:39:34.629867;Berlin;self_contained_central_heating;ONE_YEAR_FREE;527905;n;y;https://pictures.immobilienscout24.de/listings/d3693753-b50e-4f01-81a0-49e6b7270e29-1370972891.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;3;11.14;40 MBit/s;telekom_layer_magenta_l;;über VDSL;;REGULAR;11.14;118700076;gas;n;false;MagentaZuhause L;y;Berlin;n;4;;;no_information;6.17;47.55;Berlin;10409;no_information;normal;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;apartment;10409;1;n;;1;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;y;2;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.527905;190200;profile0;;1;true;n;showqualicontactform;n;n;Prenzlauer_Berg_Prenzlauer_Berg;118700076;2;Berlin;/expose/118700076;['Schöne Altbauwohnung in guter Prenzlauer-Berg-Lage, ruhig, super Infrastruktur\n\nSüd-West Balkon, große Wohnküche, großes Schlafzimmer mit Wohnen und Süd-West Balkon\n\nMieterin zahlt rund 8 € Miete netto kalt\n\nEigenbedarfskündigung nicht ausgeschlossen', 'Balkon, Keller,', 'Nördlicher Prenzlauer Berg'];;;;
2020-05-24 20:39:35.009229;Berlin;central_heating;ONE_YEAR_FREE;377811;n;n;https://pictures.immobilienscout24.de/listings/86983a02-7ced-4cfa-91b0-3804c9ebb58f-1368898779.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;9;11.48;10 MBit/s;telekom_layer_magenta_m;;über VDSL;;REGULAR;11.48;118314770;;n;false;MagentaZuhause M;y;Berlin;n;7;;236.56;14;7.14;74.13;Berlin;10247;refurbished;no_information;false;50 MBit/s;no_information;"Oderstra&szlig;e";n;https://padlock.link/iomm;https://padlock.link/mm;Oderstraße;apartment;10247;2;n;;;2,active;true;Deutschland;standard;50 MBit/s;wohnung_kauf;y;3;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.377811;328000;profile0;4;2;true;n;showqualicontactform;n;n;Friedrichshain_Friedrichshain;118314770;3;Berlin;/expose/118314770;"['Bei dem Objekt handelt es sich um einen sehr gepflegten Stuck-Altbau, der 1998 vollständig saniert und modernisiert worden ist.\n\nDas repräsentative fünfgeschossige Wohnhaus besteht aus zwei Eck-Vorderhäusern und verfügt insgesamt über 26 Einheiten (23 Whg. + 3 Gewerbe).\n\nDie Treppenhäuser sind im Altbaustil wiederhergerichtet worden und haben\nstilvolle Wohnungseingangstüren. Die Treppen sind mit einem Sisalteppich belegt.\n\nDie hier angebotene und aktuell vermietete klassische Stuck-Altbauwohnung befindet sich im 3. OG und verfügt über eine sonnige Süd-West-Ausrichtung.', '- zwei vom Flur separat zu erreichende sonnige Zimmer\r\n- Dielenboden in beiden Zimmern und im Flur\r\n- großzügige Küche (Essplatz möglich) \r\n- modern gefliestes Wannenbad', 'Fussläufig zur Frankfurter Allee mit diversen Einkausfszentren und vielen Einzelhandelsgeschäften, sowie dem beliebten Wohnkiezen rund um\r\ndie Simon-Dach-Straße und dem Samariterviertel.\r\n\r\nGute Anbindungen an das öffentliche Nahverkehrssystem:\r\nU-Bhf Samariterstraße (U 5), U-/S-Bhf Frankfurter Allee (U5, S8, S10); S-Bhf Ostkreuz (S3, 6, 7, 9, 75, RE1, RE3); Buslinie 240;\r\nStraßenbahnlinien 21, M13', 'Informationen zur Mieteinnahme:\n\nBei dem vorbenannten Mietzins in Höhe von 829,71 EUR handelt es sich um den monatlichen Gesamtwarmmietzins.\n\nDie aktuelle Nettokaltmiete beträgt 670,00 EUR.\n\nInformation zu den Kündigungsfristen des Mietverhältnisses für Eigennutzungsinteressenten:\n\nBei gewünschter Eigennutzung ist die Kündigung unter Einhaltung der ordentlichen Kündigungsfrist gemäß Mietvertrag, hier derzeit innerhalb von sechs Monaten, ab Eigentumsumschreibung möglich.\n\nZusätzliche Kündigungssperrfristen bestehen nicht mehr.\n\nZum Wohngeld:\n\nDas Wohngeld inkl. des Zuführungsanteils zur Instandhaltungsrücklage beträgt 255,83 EUR/Monat.']";;;;
2020-05-24 20:39:35.388320;Berlin;district_heating;ONE_YEAR_FREE;527905;n;y;https://pictures.immobilienscout24.de/listings/446b967c-ec0f-473b-a6f2-052613c4c885-1370971870.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;6;12.41;40 MBit/s;telekom_layer_magenta_l;400;über VDSL;1920;REGULAR;12.41;118699842;district_heating;n;false;MagentaZuhause L;y;Berlin;y;10;1;500;no_information;6.33;260;Berlin;12101;need_of_renovation;simple;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;loft;12101;6;n;2009;1;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;n;0;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.527905;965000;profile0;5;5;true;n;showqualicontactform;y;n;Tempelhof_Tempelhof;118699842;7;Berlin;/expose/118699842;['Gewerbeeinheit zum loftigen Wohnen oder gewerblicher Nutzung.\n\nUmnutzung in Atelier/Praxis/Wohnen möglich.\n \nDie Raumhöhe beträgt 4,20 m\n\n\nDie Gesamtfläche setzt sich aus ca. 246 m² im Parterre und ca. 123 m² Kellergeschoss zusammen.  Außenflächen wurden hier nicht eingerechnet.', 'Inklusive sehr großer Keller (ca. 123 m²)\n\nGartenterrrasse und straßenseitige Terrasse', 'wenige Minuten vom Bergmannkiez', 'Renovierungskosten round about 100.000 €\n\nFotos stammen aus einem von uns bereits verkauften Objekt. welches ähnliche Attribute ausweist'];;;;
2020-05-24 20:39:35.799108;Berlin;self_contained_central_heating;ONE_YEAR_FREE;527905;n;n;https://pictures.immobilienscout24.de/listings/e3c89408-0260-4c3b-9a5c-4845261053c1-1370971665.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;8;12.19;40 MBit/s;telekom_layer_magenta_l;29;über VDSL;2015;REGULAR;12.19;118699787;gas;y;false;MagentaZuhause L;y;Berlin;n;6;8;120;no_information;7.44;34;Berlin;10999;mint_condition;sophisticated;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;apartment;10999;1;n;2015;1;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;n;2;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.527905;290000;profile0;5;1;true;n;showqualicontactform;n;n;Kreuzberg_Kreuzberg;118699787;1;Berlin;/expose/118699787;['LAGE LAGE LAGE \n\n..ruhig und saniert.....ideale Stadtwohnung...im Seitenflügel gelegen', 'Original Dielenboden, Kassettentüren, hohe Decken, große Fenster, Wannenbad etc. - siehe Fotos\n\nFenster lassen sich mit franz. Balkonen ausbilden/gestalten', 'Berlin-Kreuzberg in bester Kiezlage', 'Erfragen Sie ein ausführliches Exposé.'];energy_required;;141;
2020-05-24 20:39:36.153620;Berlin;self_contained_central_heating;ONE_YEAR_FREE;527905;n;y;https://pictures.immobilienscout24.de/listings/1b9e6783-b99c-4eb5-882e-f473fe830999-1370973144.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;3;12.19;40 MBit/s;telekom_layer_magenta_l;126;über VDSL;1900;REGULAR;12.19;118700168;natural_gas_light;n;false;MagentaZuhause L;y;Berlin;n;10;1;;no_information;7.44;100;Berlin;10999;need_of_renovation;no_information;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;roof_storey;10999;3;n;;1;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;n;4;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.527905;950000;profile0;5;3;true;n;showqualicontactform;n;n;Kreuzberg_Kreuzberg;118700168;4;Berlin;/expose/118700168;['Altbauwohnung in einem guten, historischen Bestandsobjekt - 4-Zimmer-Wohnung ca 100 m² mit Küche und Bad + optional Dachboden ca. 26 m² zum Selbstausbau', 'Gerne senden wir Ihnen ein ausführliches Exposé - fragen Sie uns', 'Berlin-Kreuzberg - Landwehrkanal'];energy_required;;157.5;
