timestamp;obj_regio1;obj_heatingType;obj_cId;obj_newlyConst;obj_balcony;obj_picture;obj_picturecount;obj_pricetrend;obj_yearConstructed;obj_pricetrendbuy;obj_scoutId;obj_firingTypes;obj_hasKitchen;obj_ExclusiveExpose;obj_courtage;geo_bln;obj_cellar;obj_purchasePriceRange;obj_yearConstructedRange;obj_rentSubsidy;obj_houseNumber;obj_energyType;obj_pricetrendrent;obj_livingSpace;geo_krs;obj_zipCode;obj_condition;obj_interiorQual;ga_cd_cxp_historicallisting;obj_parkingSpace;obj_street;obj_lift;obj_streetPlain;obj_typeOfFlat;geo_plz;obj_noRooms;obj_assistedLiving;obj_ityp;geo_land;ga_cd_via;obj_immotype;obj_rented;obj_floor;obj_telekomInternetProductAvailable;obj_cwId;obj_purchasePrice;ga_cd_application_requirements;obj_numberOfFloors;obj_noRoomsRange;ga_cd_maillead_default_shown;obj_garden;evt_count_pm_sig;obj_barrierFree;obj_international;obj_regio3;obj_objectnumber;obj_livingSpaceRange;obj_regio2;URL;beschreibung;obj_telekomTvOffer;obj_telekomUploadSpeed;obj_telekomTrackingGroup;obj_telekomInternetTechnology;obj_telekomInternetType;obj_galleryAd;obj_noParkSpaces;obj_telekomInternetProductName;obj_telekomDownloadSpeed;obj_telekomInternetUrlMobile;obj_telekomInternetUrl;obj_thermalChar;obj_telekomHdTelephone;obj_telekomInternet;obj_telekomInternetServices;ga_cd_developer_virtualreality;obj_usableArea;obj_lastRefurbish;obj_energyEfficiencyClass;ga_cd_via_qualified
2020-05-24 20:40:47.798199;Berlin;district_heating;5240003;y;y;https://pictures.immobilienscout24.de/listings/5356de69-d9e4-4723-bd9d-87adf2fd1110-1370719526.png/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;8;11.48;2019;11.48;118640991;district_heating;y;false;y;Berlin;y;9;9;320;0;no_information;7.11;90;Berlin;10249;first_time_use;sophisticated;false;no_information;Ebertystr.;y;Ebertystr.;roof_storey;10249;2;n;2,active;Deutschland;standard;wohnung_kauf;n;6;false;001.5240003;705000;profile0;6;2;true;n;showqualicontactform;n;n;Friedrichshain_Friedrichshain;ETW 22052020-004;4;Berlin;/expose/118640991;['Die hierbei angebotene Neubauwohnung, die 2019 im Zuge eines Neubauprojektes entstand, befindet sich im 6. OG, die Sie mühelos mit einem Fahrstuhl erreichen können.\n\nDie Wohnung besteht aus einem Flur im Eingangsbereich, einem Schlafzimmer mit Zugang zur Terrasse mit Nordost-Ausrichtung, einem Duschbad sowie aus einem großen Wohnzimmer mit offener und hochwertiger Küche und ebenfalls zwei Zugängen zu den Terrassen, die von beiden Seiten der Wohnung erreichbar sind.\n\nAls Fußbodenbelag wurde hier hochwertiges Parkett in der ganzen Wohnung verlegt.\n\nAuch ein Kellerabteil ist Bestandteil dieses Angebots.', 'Die Wohnung befindet sich im beliebten Samariterviertel in naher Umgebung des U-Bhf. Frankfurter-Tor, der Linie U5 den man in wenigen Minuten fußläufig erreicht. \n\nDes Weiteren gibt es ein Straßenbahnnetz der Linie 21 und Buse M10.\nSomit bietet die Verkehrsanbindung außer Bus, Tram und Bahn eine schnelle Vernetzung zum Stadtzentrum. \n\nEinkaufsmöglichkeiten sowie verschiedene Cafés, Bars, Restaurants und medizinische Einrichtungen bieten den Bewohnern die Möglichkeit jeglicher Art, Ihre alltäglichen Erledigungen nachzugehen.\n\nNaheliegende Parkanlagen wie der „Forckenbeckplatz“ oder der „Blankensteinpark“ laden zum Verweilen ein.'];;;;;;;;;;;;;;;;;;;;
2020-05-24 20:40:48.125440;Berlin;central_heating;174522;n;y;https://pictures.immobilienscout24.de/listings/c3ab126d-bacb-486e-bfd0-4f2dd4b58125-1370715022.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;14;10.99;1995;10.99;118640457;gas;y;true;y;Berlin;n;6;5;;no_information;energy_consumption;5.59;74;Berlin;13597;no_information;no_information;false;underground_garage;no_information;y;no_information;apartment;13597;2;n;2,active;Deutschland;top;wohnung_kauf;n;;true;001.174522;300000;profile0;;2;true;n;showqualicontactform;n;n;Spandau_Spandau;118640457;3;Berlin;/expose/118640457;['Auf dem frisch mit Wachs imprägnierten Mosaikparkett erhalten Sie in dieser Wohnung ein ansprechendes lichtdurchflutetes Ambiente. Der Eingang führt in ein Entree, das viel Platz für die Garderobe bietet. Danach öffnet sich durch eine Glastür der großzügige Wohn- und Essbereich mit großer bodentiefer Fensterverglasung und einer charmanten Raumstimmung dank des gepflegten und stilvollen Holzbodens. Verbaut wurden überall Holzfenster mit Isolierverglasung. Der weitere Gang führt in die adrette Einbauküche, die sehr gut als geräumige Wohnküche mit Balkon nutzbar ist. Auch das Schlafzimmer hat eine Tür zum Sonnenbalkon, der zum ruhigen rückwärtigen Gartenareal weist. Sowohl dieser erholsame Balkon als auch die Küche sind klassisch weiß gefliest. Zur exquisiten Atmosphäre tragen die charaktervollen Marmorfliesen im Bad bei, das u.a. mit einer Wanne ausgestattet ist. Diese schöne Wohnung ist an eine Gaszentralheizung angeschlossen. Ein Kellerraum steht zur Verfügung. Im Untergeschoss gibt es eine Gemeinschaftswaschküche, die Vollwasch- und Trockenautomaten mit Münzzähler enthält. Der Personenfahrstuhl fährt bis ins Untergeschoss, wo dieser Wohnung außerdem ein Tiefgaragenstellplatz zugeordnet Ist. Lernen Sie einen tollen Berliner Stadtteil, eine sehr gepflegte Wohnanlage und eine sofort Wohlbefinden auslösende Wohnung kennen.', 'Sie möchten den Marktwert Ihrer Immobilie wissen oder Ihre Immobilie verkaufen? Wir sind seit 1995 erfolgreich im Verkauf von Immobilien in Berlin, Potsdam und Umgebung tätig. Unsere exzellenten Eigentümerbewertungen sprechen für sich.\n\n•\tOftmals haben wir schon den richtigen Käufer für Ihre Immobilie in unserer Kartei\n•\tWir sind Bellevue Best Property Agent und Mitglied in den Verbänden IVD & FIABCI\n•\tWir benötigen keinen schriftlichen Alleinauftrag\n•\tKosten entstehen Ihnen bei uns keine\n•\tUnsere Spezialisten stehen Ihnen gerne für ein erstes – für Sie unverbindliches - Gespräch zur Verfügung\n\nWir freuen uns über Ihre Kontaktaufnahme unter einkauf@immoberlin.de oder (030) 895 72 20.\nBitte besuchen Sie auch unsere Website: \nhttps://www.immoberlin.de'];ONE_YEAR_FREE;40 MBit/s;telekom_layer_magenta_l;über VDSL;REGULAR;disabled;1;MagentaZuhause L;100 MBit/s;https://padlock.link/ioml;https://padlock.link/ml;133;true;100 MBit/s;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;;;;;
2020-05-24 20:40:48.599144;Berlin;central_heating;1230634;n;y;https://pictures.immobilienscout24.de/listings/71fc6324-ef85-4f15-8c2c-92b444988886-1370709581.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;26;10.77;1996;10.77;118639469;gas;y;false;y;Berlin;y;6;5;179;45;energy_required;5.67;55.2;Berlin;10115;well_kept;no_information;false;no_information;"Boyenstra&szlig;e";y;Boyenstraße;raised_ground_floor;10115;2;n;2,active;Deutschland;standard;wohnung_kauf;n;0;true;001.1230634;270000;profile0;;2;true;n;showqualicontactform;n;n;Mitte_Mitte;5562;2;Berlin;/expose/118639469;"['In einem 1996 errichteten Mehrfamilienhaus bieten wir eine schöne Wohnung; zentral, jedoch ruhig gelegen. Die 2-Zimmer-Wohnung liegt im Hochparterre und verfügt über rund 55 m². Über den Flur betritt man das Wohnzimmer, das die Mitte der Wohnung bildet. Von hier hat man Zugang zum Balkon mit Südausrichtung und Blick in den grünen Innenhof. Die Küche ist mit einer Einbauküche ausgestattet. Vom Wohnzimmer aus betritt man die zwei kleinen Schlafzimmer, die ursprünglich einen Raum bildeten. Daher hat das eine Schlafzimmer auch ein Fenster zum Innenhof, das zweite Schlafzimmer hat Oberlichter für natürliche Helligkeit. Das Bad ist gefliest und hat eine Badewanne. Auch die Waschmaschine findet hier Platz. Beheizt wird die Wohnung über eine Zentralheizung.\r\nDas Haus ist in einem sehr gepflegten Zustand. Der Innenhof ist begrünt und bietet Abstellmöglichkeiten für die Fahrräder sowie einen kleinen Spielplatz.\r\nDie Boyenstraße ist eine ruhige Seitenstraße der Chausseestraße, entsprechend sind öffentlicher und individueller Verkehr gut erschlossen - die U6 fährt um die Ecke, der Hauptbahnhof ist nur wenige Minuten zu Fuß entfernt. Wochenmärkte, verschiedenste Läden, Parks und kulturelle Einrichtungen in Berlin-Mitte und Prenzlauer Berg erreicht man innerhalb weniger Minuten zu Fuß oder mit dem Fahrrad.']";ONE_YEAR_FREE;40 MBit/s;telekom_layer_magenta_l;über VDSL;REGULAR;;;MagentaZuhause L;100 MBit/s;https://padlock.link/ioml;https://padlock.link/ml;116;true;100 MBit/s;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;;;;
2020-05-24 20:40:48.941584;Berlin;central_heating;5240003;n;y;https://pictures.immobilienscout24.de/listings/020ba424-c38a-4ed9-8768-51b1f1d9efe4-1370718438.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;17;9.73;1978;9.73;118640874;gas;y;false;y;Berlin;y;9;3;550;0;;3.79;102;Berlin;14195;well_kept;no_information;false;underground_garage;Lentzeallee;n;Lentzeallee;apartment;14195;4;n;2,active;Deutschland;standard;wohnung_kauf;n;2;true;001.5240003;670000;profile0;2;4;true;n;showqualicontactform;n;n;Dahlem_Zehlendorf;ETW 22052020-002;5;Berlin;/expose/118640874;['Das Haus beziehungsweise das Wohnviertel wurde ca. 1978 erbaut und befindet sich in einem sehr gepflegten Zustand.\n\nIm Zuge der Sanierungsmaßnahmen, die 2019 stattfanden, wurden die Dächer erneuert.\n\nDie Einheit ist sehr praktisch und modern mit Nord-Süd-Ausrichtung geschnitten und weist ohne der Terrassen eine Wohnfläche von ca. 102 m² auf. Die Nutzfläche umfasst ca. 118 m².\n\nDiese bestehen aus dem Flur und dem Gäste-WC im Eingangsbereich, aus 2 kleineren ca. 10 m² großen Kinder- oder Arbeitszimmern mit jeweils einem Zugang zur Terrasse, einem geräumigen Wohnzimmer mit ebenfalls einem Zugang zur Terrasse, einer Küche mit EBK, großen Schlafzimmer und einem Wannenbad mit Fenster. Vom Flur aus ist die zweite Terrasse, die nach Osten ausgerichtet ist, erreichbar.\n\nDie komplette Wohnung wurde ca. 2017 renoviert.\n\nAls Fußbodenbelag wurde in der Wohnung hochwertiges Eichenparkett und im Badbereich große Fliesen verlegt.\n\nDes Weiteren gibt es einen Tiefgaragenstellplatz, der im Kaufpreis inkludiert ist.\n\nEin trockener Kellerraum rundet das ansprechende Angebot ab.', 'Die Wohnung befindet sich im 2. OG eines Vorderhauses in beliebtem südwestlichen Ortsteil Dahlem im Bezirk Zehlendorf, das zu den wohlhabendsten Wohngebieten von Berlin zählt. \n\nViele Villen und Parkanlagen prägen das Bild des Ortsteils. Unter anderem sind viele Wissenschaftseinrichtungen, Universitäten und Museen angesiedelt.\n\nFußläufig erreichen Sie mühelos zahlreiche Einkaufsmöglichkeiten, verschiedene Bars und Restaurants, medizinische Versorgungen, Schulen, Kitas und viel mehr, die sich in der unmittelbaren Umgebung befinden um Ihre alltäglichen Bedürfnisse zu erledigen.'];ONE_YEAR_FREE;10 MBit/s;telekom_layer_magenta_m;über VDSL;REGULAR;;1;MagentaZuhause M;50 MBit/s;https://padlock.link/iomm;https://padlock.link/mm;;true;50 MBit/s;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;;118;2019;;
2020-05-24 20:40:49.289075;Berlin;central_heating;4681225;n;y;https://pictures.immobilienscout24.de/listings/3f1ac97f-8d87-4636-81d9-1137c3814c9e-1370724945.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;6;11.13;1964;11.13;118641726;gas:oil;y;true;y;Berlin;n;3;2;139;no_information;energy_consumption;5.02;32;Berlin;12247;well_kept;no_information;false;outside;no_information;n;no_information;apartment;12247;1;n;2,active;Deutschland;top;wohnung_kauf;n;2;true;001.4681225;119800;profile0;3;1;true;n;showqualicontactform;n;n;Lankwitz_Steglitz;43100103-01014;1;Berlin;/expose/118641726;['Bezugsfertige Einzimmerwohnung in ruhiger Lage mit Balkon, Einbauküche und Duschbad. Das Apartment ist frei und kann sofort bezogen werden. Der Balkon lädt in ruhiger Umgebung zum Entspannen ein.', '-Wohn- / Schlafraum ca. 20m²\r\n-Duschbad\r\n-Einbauküche mit Geschirrspüler, Kühlschrank, Kochherd und Spüle-\r\n-Keller\r\n-KFZ-Stellplatz', 'Lichterfelde ist einer der  gewachsenen Bezirke im Süd-Westen von Berlin. Es gibt eine sehr gute Infrastruktur mit Anschluss an die Stadtautobahn und den öffentlichen Nahverkehr mit Bussen sowie der S-Bahn und Regionalbahn (Lichterfelde-Ost, S25, S26, RE 3,4,5). \r\n\r\nIn ca. 20 Minuten erreichen Sie den Kurfürstendamm mit dem Auto, ebenfalls schnell gelangen Sie für einen Ausflug zum Schlachtensee, Wannsee oder in das Berliner Umland. Die umliegenden Parks und Grünanlagen laden zum Spazierengehen ein.', 'Gerne stehen wir Ihnen für einen individuellen Besichtigungstermin zur Verfügung. \r\nSchreiben Sie uns hierzu bitte eine E-Mail oder rufen Sie uns an: 030/ 20 67 99 21 40.\r\n\r\nAuf Wunsch erstellen Ihnen die Finanzierungsexperten der Postbank ein unverbindliches Finanzierungsangebot. Bei Renovierungs- oder Umbauwünschen stehen wir Ihnen ebenfalls kompetent zu Seite.\r\n\r\nBitte haben Sie Verständnis dafür, dass wir im Sinne unserer Auftraggeber nur nach Übermittlung Ihrer vollständigen Kontaktdaten weitere Informationen bereitstellen oder Besichtigungstermine nach Legitimation vereinbaren können. \r\n\r\nDer veröffentlichte Preis ist ein Angebotspreis, der je nach Nachfrage sinken oder steigen kann.'];ONE_YEAR_FREE;40 MBit/s;telekom_layer_magenta_l;über VDSL;REGULAR;disabled;1;MagentaZuhause L;100 MBit/s;https://padlock.link/ioml;https://padlock.link/ml;173;true;100 MBit/s;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;;;2018;F;
2020-05-24 20:40:49.635639;Berlin;central_heating;174522;n;y;https://pictures.immobilienscout24.de/listings/d425f5ba-7a3e-487d-af9a-854d5e71aa4f-1370713511.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;8;11.14;1997;11.14;118640283;district_heating;y;true;y;Berlin;n;7;5;;no_information;energy_consumption;6.17;64;Berlin;10407;no_information;no_information;false;no_information;no_information;y;no_information;apartment;10407;2;n;2,active;Deutschland;top;wohnung_kauf;y;;true;001.174522;384000;profile0;;2;true;n;showqualicontactform;n;n;Prenzlauer_Berg_Prenzlauer_Berg;118640283;3;Berlin;/expose/118640283;['Die beiden sonnenhellen Zimmer, die neuwertige Einbauküche, das Bad und der Südwestbalkon formen eine sehr komfortable Wohnung. Innerhalb der durchdachten Raumaufteilung gibt es qualitativ hochwertige Ausstattungen. Die langfristigen Mieter schätzen an dieser exquisiten Wohnung besonders das lichtdurchflutete Ambiente und den sonnigen Balkon. Abgerundet wird das Ausstattungspaket von dem Kellerraum, modernen Personenaufzug und der effizienten Fernheizung.\nSo eine optimal positionierte, sehr gut aufgeteilte und ästhetisch ausgestattete Wohnung ist ein willkommener Lichtblick am Berliner Immobilienhimmel – eine wertstabile Kapitalanlage in einem der beliebtesten Citystadtteile.', 'Sie möchten den Marktwert Ihrer Immobilie wissen oder Ihre Immobilie verkaufen? Wir sind seit 1995 erfolgreich im Verkauf von Immobilien in Berlin, Potsdam und Umgebung tätig. Unsere exzellenten Eigentümerbewertungen sprechen für sich.\n\n•\tOftmals haben wir schon den richtigen Käufer für Ihre Immobilie in unserer Kartei\n•\tWir sind Bellevue Best Property Agent und Mitglied in den Verbänden IVD & FIABCI\n•\tWir benötigen keinen schriftlichen Alleinauftrag\n•\tKosten entstehen Ihnen bei uns keine\n•\tUnsere Spezialisten stehen Ihnen gerne für ein erstes – für Sie unverbindliches - Gespräch zur Verfügung\n\nWir freuen uns über Ihre Kontaktaufnahme unter einkauf@immoberlin.de oder (030) 895 72 20.\nBitte besuchen Sie auch unsere Website: \nhttps://www.immoberlin.de'];ONE_YEAR_FREE;40 MBit/s;telekom_layer_magenta_l;über VDSL;REGULAR;disabled;;MagentaZuhause L;100 MBit/s;https://padlock.link/ioml;https://padlock.link/ml;96.7;true;100 MBit/s;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;;;;;
2020-05-24 20:40:50.025420;Berlin;no_information;174522;n;y;https://pictures.immobilienscout24.de/listings/10bb8f0b-9e11-47f2-bf35-cc9554227713-1370713178.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;12;11.73;;11.73;118640231;;y;true;y;Berlin;n;9;;;no_information;;5.75;110;Berlin;12165;no_information;no_information;false;underground_garage;no_information;y;no_information;apartment;12165;4;n;2,active;Deutschland;top;wohnung_kauf;n;;true;001.174522;649000;profile0;;4;true;n;showqualicontactform;n;n;Steglitz_Steglitz;118640231;5;Berlin;/expose/118640231;['Diese Wohnung fasziniert mit einer familienfreundlichen und teilweise offenen Raumstruktur. Das Entree geht in den Wohn- und Essbereich über, der sich der großen Einbauküche und Loggia öffnet. Daneben hat das große Badezimmer neben dem Schlafzimmer eine ideale Grundrissposition für die Eltern. Durch eine kleine Diele vom Wohn- und Essbereich abgetrennt eignet sich der Seitentrakt aus zwei Zimmern und Bad sehr gut für Kinder. Oder aber hier werden Gäste untergebracht und ein Arbeitszimmer eingerichtet. Charaktervolle Akzente gehen von den durchgängig verlegten Holzböden aus.\nDie zeitgemäße Küche und gepflegten Bäder wurden mit weißen Fliesen klassisch gestaltet. Das größere Badezimmer enthält u.a. eine Wanne. Inklusive Personenaufzug und zwei Tiefgaragenplätzen ist diese Wohnung bestens für das Familienleben, aber auch Senioren ausgestattet.\nDie architektonische Aufmachung dieser Wohnung verdient Lob. Hier können Sie auf großzügiger und lichtdurchfluteter Fläche wohnen sowie die vielfältige Attraktivität des Steglitzer Zentrums bequem ausschöpfen. \n\nEin Energieausweis ist nicht vorhanden.', 'Sie möchten den Marktwert Ihrer Immobilie wissen oder Ihre Immobilie verkaufen? Wir sind seit 1995 erfolgreich im Verkauf von Immobilien in Berlin, Potsdam und Umgebung tätig. Unsere exzellenten Eigentümerbewertungen sprechen für sich.\n\n•\tOftmals haben wir schon den richtigen Käufer für Ihre Immobilie in unserer Kartei\n•\tWir sind Bellevue Best Property Agent und Mitglied in den Verbänden IVD & FIABCI\n•\tWir benötigen keinen schriftlichen Alleinauftrag\n•\tKosten entstehen Ihnen bei uns keine\n•\tUnsere Spezialisten stehen Ihnen gerne für ein erstes – für Sie unverbindliches - Gespräch zur Verfügung\n\nWir freuen uns über Ihre Kontaktaufnahme unter einkauf@immoberlin.de oder (030) 895 72 20.\nBitte besuchen Sie auch unsere Website: \nhttps://www.immoberlin.de'];ONE_YEAR_FREE;40 MBit/s;telekom_layer_magenta_l;über VDSL;REGULAR;disabled;1;MagentaZuhause L;100 MBit/s;https://padlock.link/ioml;https://padlock.link/ml;;true;100 MBit/s;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;;;;;
2020-05-24 20:40:50.359515;Berlin;district_heating;5240003;n;y;https://pictures.immobilienscout24.de/listings/e28d45cb-0953-425c-b60e-414a4f42623b-1370718808.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;2;11.3;1940;11.3;118640909;district_heating;y;false;y;Berlin;y;6;1;240;0;;5.73;50;Berlin;10629;modernized;no_information;false;no_information;Niebuhrstr.;n;Niebuhrstr.;apartment;10629;2;n;2,active;Deutschland;standard;wohnung_kauf;n;2;true;001.5240003;277000;profile0;3;2;true;n;showqualicontactform;n;n;Charlottenburg_Charlottenburg;ETW 22052020-003;2;Berlin;/expose/118640909;['Zum Verkauf steht eine wunderschöne 2 Zimmer-Wohnung mit Balkon in gefragter Lage von Charlottenburg, nahe gelegen am Kurfürstendamm und Kantstraße.\n\nWir bitten um Verständnis dafür, dass wir im Interesse des Eigentümers bzw. des Mieters\nweitere Auskünfte, insbesondere detaillierte Innenaufnahmen und Terminvereinbarungen erst erteilen können, wenn Sie uns Ihren vollständigen Namen, ihre Postanschrift und Ihre Telefonnummer mitgeteilt haben.', 'Die ETW liegt im Bezirk Charlottenburg in einer ruhigen Seitenstraße ca. 5 Minuten vom Kurfürstendamm entfernt.'];ONE_YEAR_FREE;40 MBit/s;telekom_layer_magenta_l;über VDSL;REGULAR;;;MagentaZuhause L;100 MBit/s;https://padlock.link/ioml;https://padlock.link/ml;;true;100 MBit/s;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;;;;;
2020-05-24 20:40:50.727693;Berlin;central_heating;63078;n;y;https://pictures.immobilienscout24.de/listings/f9581119-105a-4064-b72c-57940315185f-1370713282.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;12;12.24;1900;12.24;118640234;district_heating;y;false;y;Berlin;y;8;1;459.69;53;energy_consumption;6.53;97.76;Berlin;10825;modernized;sophisticated;false;no_information;"Badensche Stra&szlig;e";y;Badensche_Straße;apartment;10825;3;n;2,active;Deutschland;standard;wohnung_kauf;y;4;true;001.63078;493000;profile0;5;3;true;n;;n;n;Schöneberg_Schöneberg;118640234;4;Berlin;/expose/118640234;['Es handelt sich um einen sehr aufwendig modernisierten Stuckaltbau.\nWie im Bild zu sehen ist, ist der Eingangsbereich mit stilvoller Holztäfelung, Deckenmalerein mit Blattgold und Granit mit einem schmiedeeisernen Aufzug, beleuchteter Fassade, im Hofbereich einen Teich, im Innenhof einen weißen 2m  Engelsfigur etc.\nIm angegebenen Hausgeld sind alle Nebenkosten wie z.B. Heizung und Warmwasser enthalten.', 'Die Wohnung liegt im 4. Obergeschoß und ist mit einem Aufzug zu erreichen, \nverfügt über einen gepflegten Fischgrät-Massiv-Pakettfußboden und sehr schönen teilweise beleuchteten Stuckdecken.\nWeiter gibt es\n- gefließtes Design-Wannenbad, \n- einer offenen Einbauküche - Wohnküche\n- eine Loggia\netc.', 'Das Haus liegt zwischen Rathaus Schöneberg und der Bundesallee nahe dem Bayerischen Platz.\r\nNahe der U-Bahnstation Rathaus Schöneberg am Volkspark Schöneberg.', 'Für weitere Fragen oder einer Besichtigung stehen wir Ihnen gerne zur Verfügung.\r\nEine Besichtigung findet nach Absprache statt.\r\n\r\n\r\n'];ONE_YEAR_FREE;40 MBit/s;telekom_layer_magenta_l;über VDSL;REGULAR;disabled;;MagentaZuhause L;100 MBit/s;https://padlock.link/ioml;https://padlock.link/ml;103;true;100 MBit/s;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;;97.76;2007;;
2020-05-24 20:40:51.076527;Berlin;no_information;174522;n;y;https://pictures.immobilienscout24.de/listings/92e9f18d-2968-4990-8431-c91d60be6549-1370714217.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;14;11.3;;11.3;118640354;;n;true;y;Berlin;n;7;;;no_information;;5.73;78;Berlin;10627;no_information;no_information;false;no_information;no_information;y;no_information;apartment;10627;3;n;2,active;Deutschland;top;wohnung_kauf;n;;true;001.174522;389000;profile0;;3;true;n;showqualicontactform;n;n;Charlottenburg_Charlottenburg;118640354;3;Berlin;/expose/118640354;['Diese Wohnung bietet sehr angenehme Raumstimmungen. Die zwei Schlafzimmer, das Bad und die Küche haben Fenster in die anregende Morgensonne. Das Wohnzimmer öffnet sich mit dem Fenster und der extrabreiten Glasdoppelflügeltür zum Balkon in den sonnigen Westen. Damit liegt für diese Wohnung eine exzellente Fensterausrichtung im Tageslichtverlauf vor. Alle Fenster und die Balkontür präsentieren sich in einer modernen Isolierbauweise. Vorteilhaft sind zudem, dass es in der Diele einen großen Einbauschrank und im Bad eine Wanne vor dem Fenster gibt. Die Ausstattungen im Bad und in der Küche sind in die Jahre gekommen. Wer in ein zeitgemäßes Ambiente ziehen möchte, sollte über eine Modernisierung nachdenken. Positiv sind der allgemeine gute Pflegezustand und die Funktionalität der technischen Anlagen. Die Wärmeversorgung obliegt einer effizienten Fernheizung. Hinter dem Haus steht ein Hofgarten mit Kinderspielplatz zur Verfügung. \nVor allem die ruhige Lage in einem erlebnisreichen Stadtteil nah dem Lietzensee, sowie die Raumstruktur und -helligkeit, erklären die besondere Wohnqualität dieser Immobilie.\n\nEin Energieausweis ist nicht vorhanden.', 'Sie möchten den Marktwert Ihrer Immobilie wissen oder Ihre Immobilie verkaufen? Wir sind seit 1995 erfolgreich im Verkauf von Immobilien in Berlin, Potsdam und Umgebung tätig. Unsere exzellenten Eigentümerbewertungen sprechen für sich.\n\n•\tOftmals haben wir schon den richtigen Käufer für Ihre Immobilie in unserer Kartei\n•\tWir sind Bellevue Best Property Agent und Mitglied in den Verbänden IVD & FIABCI\n•\tWir benötigen keinen schriftlichen Alleinauftrag\n•\tKosten entstehen Ihnen bei uns keine\n•\tUnsere Spezialisten stehen Ihnen gerne für ein erstes – für Sie unverbindliches - Gespräch zur Verfügung\n\nWir freuen uns über Ihre Kontaktaufnahme unter einkauf@immoberlin.de oder (030) 895 72 20.\nBitte besuchen Sie auch unsere Website: \nhttps://www.immoberlin.de'];ONE_YEAR_FREE;40 MBit/s;telekom_layer_magenta_l;über VDSL;REGULAR;disabled;;MagentaZuhause L;100 MBit/s;https://padlock.link/ioml;https://padlock.link/ml;;true;100 MBit/s;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;;;;;
