timestamp;obj_regio1;obj_heatingType;obj_telekomTvOffer;obj_cId;obj_newlyConst;obj_balcony;obj_picture;obj_picturecount;obj_pricetrend;obj_telekomUploadSpeed;obj_telekomTrackingGroup;obj_telekomInternetTechnology;obj_yearConstructed;obj_telekomInternetType;obj_pricetrendbuy;obj_scoutId;obj_firingTypes;obj_hasKitchen;obj_ExclusiveExpose;obj_telekomInternetProductName;obj_courtage;geo_bln;obj_cellar;obj_purchasePriceRange;obj_yearConstructedRange;obj_houseNumber;obj_energyType;obj_pricetrendrent;obj_livingSpace;geo_krs;obj_zipCode;obj_condition;obj_interiorQual;obj_energyEfficiencyClass;ga_cd_cxp_historicallisting;obj_telekomDownloadSpeed;obj_parkingSpace;obj_street;obj_lift;obj_telekomInternetUrlMobile;obj_telekomInternetUrl;obj_streetPlain;obj_typeOfFlat;geo_plz;obj_noRooms;obj_thermalChar;obj_assistedLiving;obj_groupnumber;obj_ityp;obj_telekomHdTelephone;geo_land;ga_cd_via;obj_telekomInternet;obj_immotype;obj_rented;obj_floor;obj_telekomInternetServices;obj_telekomInternetProductAvailable;obj_cwId;obj_purchasePrice;ga_cd_application_requirements;obj_numberOfFloors;obj_noRoomsRange;ga_cd_maillead_default_shown;obj_garden;evt_count_pm_sig;obj_barrierFree;obj_international;obj_regio3;obj_objectnumber;obj_livingSpaceRange;obj_regio2;URL;beschreibung;obj_usableArea;obj_project_id;obj_nbp;obj_noParkSpaces;obj_rentSubsidy;ga_cd_via_qualified
2020-05-24 21:01:07.954840;Berlin;central_heating;ONE_YEAR_FREE;97549;n;y;https://pictures.immobilienscout24.de/listings/1adba958-c8f7-47d2-aa57-27b05713f397-1359916517.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;7;11.49;40 MBit/s;telekom_layer_magenta_l;über VDSL;1907;REGULAR;11.49;116907861;oil;n;false;MagentaZuhause L;y;Berlin;y;9;1;3;energy_consumption;6.07;122;Berlin;12169;no_information;no_information;C;false;100 MBit/s;no_information;"Althoffstra&szlig;e";n;https://padlock.link/ioml;https://padlock.link/ml;Althoffstraße;apartment;12169;4;86.9;n;0;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;y;1;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.97549;599000;profile0;4;4;true;n;showqualicontactform;n;n;Steglitz_Steglitz;Althoff3_6;6;Berlin;/expose/116907861;"['Altbau Baujahr ca. 1907', '- 2 Balkone\n- Tageslichtbad\n- 1. Obergeschoss\n- Vorderhaus', '- ruhige Seitenstraße nahe Althoffplatz\n- U- und S-Bahnhof Rathaus Steglitz ist fußläufig erreichbar\n\nNur wenige hundert Meter entfernt befindet sich der Hermann-Ehlers-Platz mit einem Wochenmarkt, die Einkaufsmeile Schloßstraße mit diversen Einkaufszentren und Läden aller Art sowie das Schloßparktheater + zwei Kinos.  Im direkten Umfeld befinden sich u.a. das Gymnasium Steglitz, die neue Grundschule in der Plantagenstraße  und der Kindergarten ""Blumenstadt"".', 'Da die Wohnung vermietet ist, stehen hier keine Innenfotos zur Verfügung.\nEs besteht kein 10-jähriger Kündigungsschutz.\n\nDie monatliche Nettokaltmiete beträgt 686,23 €.']";;;;;;
2020-05-24 21:01:08.292454;Berlin;floor_heating;;18027065;n;y;https://pictures.immobilienscout24.de/listings/1311c929-b426-458e-9ae4-48ead42240ff-1359870393.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;9;11.37;;;;;;11.37;116901066;;y;false;;y;Berlin;y;8;;8;;5.8;61;Berlin;10711;no_information;luxury;;false;;no_information;Heilbronner;y;;;Heilbronner;no_information;10711;2;;n;;2,active;;Deutschland;standard;;wohnung_kauf;n;4;;false;009.9233d0ff-ce69-47de-ab6b-2b67a0fbd406;449000;profile0;;2;true;y;showqualicontactform;n;n;Wilmersdorf_Wilmersdorf;HIWE413;3;Berlin;/expose/116901066;['Vom lebhaften Ku’damm über die gemütlichen Kieze in direkter Nachbarschaft bis hin zur grünen Lunge, dem Grunewald: Rund um das HIGH WEST erwartet Sie eine bunte Mischung verschiedenster Spots, Quartiere und Naherholungsziele, die ein Großstadtleben voller Abwechslung und Inspirationen bieten.\n\nOb Radeln, Joggen, Paddeln oder Schwimmen: Der Grunewald bietet mit seiner Seenkette, der Havel und dem Wannsee unzählige Möglichkeiten für Erholungssuchende wie Sportbegeisterte. Mit der S-Bahn erreicht man das grüne Paradies vom Bahnhof Charlottenburg aus bereits in fünf Minuten! Schöne Spaziergänge ermöglicht auch der nahe Lietzensee mit seinen idyllischen Uferwegen.\n\nAbseits vom Großstadttrubel geht es am westlichen Ende des Stuttgarter Platzes beschaulich zu. Entlang der schönen Leonhardt- und Windscheidstraße reihen sich originelle Geschäfte und Boutiquen, kreative Werkstätten und Feinkostläden aneinander. In den vielen Cafés und Restaurants trifft sich ein buntes Publikum aus Jung und Alt zum geselligen Miteinander.'];61;;;;;
2020-05-24 21:01:08.711562;Berlin;floor_heating;;18563079;n;y;https://pictures.immobilienscout24.de/listings/aa996fac-fd12-4d02-9eba-528017da30b7-1357523900.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;4;12.78;;;;2017;;12.78;116649740;district_heating;n;true;;n;Berlin;y;8;9;41-44;energy_required;7.25;57.6;Berlin;10785;mint_condition;sophisticated;;false;;underground_garage;"Kurf&uuml;rstenstra&szlig;e";y;;;Kurfürstenstraße;apartment;10785;2;45.1;n;172;2,active;;Deutschland;schaufenster;;wohnung_kauf;n;5;;false;002.01009463520;459500;profile0;6;2;true;n;showqualicontactform;n;n;Tiergarten_Tiergarten;172/I-5-2;2;Berlin;/expose/116649740;['Ihren Kaffee genießen Sie in Ihrer exklusiven Eigentumswohnung in SCHŒNEGARTEN, während Sie aus den großen, bodentiefen Fenstern nach draußen in den idyllisch-grünen Innenhof schauen. Bei gutem Wetter natürlich auf dem Balkon. Ein Glück, dass Ihr Tag immer so anfängt. Ein Blick ins Grüne – und das mitten in der Metropole Berlin! Über das edel verarbeitete Parkett schlendern Sie durch Ihr neues Zuhause im Herzen Berlins ins exklusiv gestaltete Bad. \r\rMit dem Fahrstuhl geht es hinunter in die Garage zu Ihrem optionalen Pkw-Stellplatz, ehe Sie aufbrechen und Berlin erkunden. Gewinnen Sie neue Eindrücke, in der berauschenden Vielfalt der Hauptstadt. Der größte Gewinn aber ist Ihre Wohnung – in SCHŒNEGARTEN.', '● KfW-Effizienz-Standard-55\r● Balkon in West-Ausrichtung\r● 2,85 bis 3,10 m lichte Raumhöhe\r● Innenarchitektonische Raffinesse und exklusive Ausstattung\r● Hochwertiges Echtholzparkett\r● Feinsteinzeug namhafter Sanitärhersteller\r● Objekte und Armaturen von renommierten Markenherstellern\r● Bodentiefe Fenster\r● Fußbodenheizung\r● Schlafzimmer mit Blick in den ruhigen und grünen Innenhof\r● Praktischer Hauswirtschaftsraum', 'Schöneberg + Tiergarten = SCHŒNEGARTEN. Genau am Schnittpunkt der beiden Stadtteile liegt das edle Neubauprojekt gleichen Namens. Die Summe aller Teile ergibt bekanntlich ein Ganzes: auch hier vor Ort, mitten im exklusiven Zentrum Berlins. In die eine Richtung geht es in den Tiergarten zum Joggen oder Spazieren. Die andere führt Sie in das Regierungsviertel, zum Brandenburger Tor und zur Siegessäule. Nicht zu vergessen: der historische Potsdamer Platz.\r \rNoch näher dran ist der weltberühmte Ku’damm mit seinen mannigfaltigen Einkaufsmöglichkeiten vom KaDeWe bis zu den Flagship-Stores der Haute Couture. Feinste Gastronomie mit und ohne Michelin-Sterne und ein aufregendes Jet-Set-Leben warten direkt vor Ihrer Türe darauf, von Ihnen entdeckt zu werden. Die kreative Sogwirkung des Quartiers spricht sich bereits herum. Eine Anziehungskraft, der sich auch Sony Music nicht entziehen kann. Der Umzug des Münchner Unternehmens in die Bülowstraße – spannende Perspektiven auch für Sie als Bewohner in der Nachbarschaft. Gönnen Sie sich hier, zentral und erstklassig versorgt, genau das exquisite Leben, das Sie sich verdient haben.'];;88417;true;;;
2020-05-24 21:01:09.062085;Berlin;central_heating;ONE_YEAR_FREE;175423;n;y;https://pictures.immobilienscout24.de/listings/f1029a9b-ee8d-4e1b-8664-6b982a4da058-1359871526.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;8;10.18;40 MBit/s;telekom_layer_magenta_l;über VDSL;1962;REGULAR;10.18;116901334;gas;y;false;MagentaZuhause L;y;Berlin;n;5;2;no_information;energy_consumption;5.21;59;Berlin;12205;well_kept;no_information;;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;apartment;12205;2;90;n;;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;n;1;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.175423;230000;profile0;;2;true;n;showqualicontactform;n;n;Lichterfelde_Steglitz;5450 (1/5450);2;Berlin;/expose/116901334;"['Bei der zum Verkauf stehenden Immobilien handelt es sich um eine gepflegte, vermietete Eigentumswohnung mit ca. 59 m² Wohnfläche, in der ersten Etage. Zu dem Objekt zählen zwei gut geschnittene und helle Zimmer.\rHervorzuheben ist auch der Sonnen-Balkon in süd-west-Richtung, auf dem es sich wunderbar vom Alltag erholen lässt. Eine Einbauküche, ein Kellerraum mit separatem Fahrradkeller und ein PKW – Stellplatz stehen ebenfalls zur Verfügung. Das Tageslicht-Bad ist mit einer Badewanne ausgestattet. Das Haus ist Baujahr 1962 und wurde im Jahre 2000 umfangreich modernisiert. So wurde zum Beispiel das Dach neu eingedeckt und von Öl- auf Gasheizung umgestellt! Das monatliche Hausgeld beträgt 267,00 €, die Instandhaltungsrücklage der WEG beträgt per 31.12.2018 ca. 290.000 €.\r\rAusstattung\r• Wannenbad\r• Laminat in den Wohnräumen und Flur\r• Terrazzo-Fliesen in Bad & Küche\r• Einbauküche\r• SAT-TV\r• Sonnen-Balkon in SW-Richtung\r• Gas / Zentralheizung\r\rDie Wohnung ist momentan zu einem Mietpreis von 430,00 € nettokalt vermietet. Der Mietvertrag wurde nach der Teilungserklärung geschlossen. Die Brutto-Anfangsrendite beträgt somit ca. 2,2%*.\r* Die dargestellte ""Rendite"" dient lediglich der groben Orientierung. Diese ist von unterschiedlichen Faktoren abhängig. Bitte lassen Sie sich hierzu von Ihrem Steuerberater oder einem sachkundigen Dritten beraten.\r', 'Lichterfelde ist ein Ortsteil im Berliner Bezirk Steglitz-Zehlendorf. Lichterfelde grenzt im Nordwesten an Dahlem, im Nordosten an Steglitz, im Westen an Zehlendorf. Der Ortsteil ist insbesondere durch seine in der zweiten Hälfte des 19. Jahrhunderts entstandenen Villenkolonie und den Botanischen Garten bekannt und gilt traditionell als bürgerlich und grün.\rDas Objekt liegt in einer ruhigen Seitenstraße. Fußläufig sind Cafés, Restaurants, Lebensmittelgeschäfte und Arztpraxen zu erreichen, aber auch die S-Bahn (Lichterfelde West - S1) und diverse Buslinien. Ebenfalls befinden sich Kitas, Schulen, Gymnasien und div. Freizeitmöglichkeiten in der Nachbarschaft.\rEine der beliebtesten Einkaufsstraßen Berlins, die Schloßstraße, erreicht man in ca. 10 Autominuten. Der Kudamm ist in ca. 15 und der Potsdamer Platz in ca. 30 Autominuten erreicht.\rS-Bahnhof Lichterfelde West 1 km\rFU Freie Universität Berlin 3 km\rMax-Planck-Institut 3 km\rSchloßstraße 4 km']";;;;;;
2020-05-24 21:01:09.779596;Berlin;no_information;ONE_YEAR_FREE;18027065;n;y;https://pictures.immobilienscout24.de/listings/7233a7df-7176-4a3b-b628-1e3eada5a429-1359873596.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;12;11.37;40 MBit/s;telekom_layer_magenta_l;über VDSL;;REGULAR;11.37;116901325;;n;false;MagentaZuhause L;y;Berlin;y;9;;18B;;5.79;97;Berlin;10711;first_time_use;luxury;;false;100 MBit/s;garage;Karlsruher Str.;y;https://padlock.link/ioml;https://padlock.link/ml;Karlsruher_Str.;no_information;10711;3;;n;;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;n;1;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;009.9233d0ff-ce69-47de-ab6b-2b67a0fbd406;740000;profile0;6;3;true;y;showqualicontactform;n;n;Wilmersdorf_Wilmersdorf;HIWE104;4;Berlin;/expose/116901325;['Vom lebhaften Ku’damm über die gemütlichen Kieze in direkter Nachbarschaft bis hin zur grünen Lunge, dem Grunewald: Rund um das HIGH WEST erwartet Sie eine bunte Mischung verschiedenster Spots, Quartiere und Naherholungsziele, die ein Großstadtleben voller Abwechslung und Inspirationen bieten.\n\nOb Radeln, Joggen, Paddeln oder Schwimmen: Der Grunewald bietet mit seiner Seenkette, der Havel und dem Wannsee unzählige Möglichkeiten für Erholungssuchende wie Sportbegeisterte. Mit der S-Bahn erreicht man das grüne Paradies vom Bahnhof Charlottenburg aus bereits in fünf Minuten! Schöne Spaziergänge ermöglicht auch der nahe Lietzensee mit seinen idyllischen Uferwegen.\n\nAbseits vom Großstadttrubel geht es am westlichen Ende des Stuttgarter Platzes beschaulich zu. Entlang der schönen Leonhardt- und Windscheidstraße reihen sich originelle Geschäfte und Boutiquen, kreative Werkstätten und Feinkostläden aneinander. In den vielen Cafés und Restaurants trifft sich ein buntes Publikum aus Jung und Alt zum geselligen Miteinander.'];97;;;1;290;
2020-05-24 21:01:10.164441;Berlin;floor_heating;;18563079;n;y;https://pictures.immobilienscout24.de/listings/a389edd5-15bd-4b85-984c-db9b857c9045-1357750899.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;5;12.78;;;;2017;;12.78;116679797;district_heating;y;true;;n;Berlin;y;11;9;41-44;energy_required;7.25;132.9;Berlin;10785;mint_condition;sophisticated;;false;;underground_garage;"Kurf&uuml;rstenstra&szlig;e";y;;;Kurfürstenstraße;penthouse;10785;3;45.1;n;172;2,active;;Deutschland;schaufenster;;wohnung_kauf;n;6;;false;002.01009463520;1489500;profile0;6;3;true;n;showqualicontactform;n;n;Tiergarten_Tiergarten;172/K-6-1;6;Berlin;/expose/116679797;['Ihren Kaffee genießen Sie in Ihrer exklusiven Eigentumswohnung in SCHŒNEGARTEN, während Sie aus den großen, bodentiefen Fenstern nach draußen in den idyllisch-grünen Innenhof schauen. Bei gutem Wetter natürlich auf dem Balkon. Ein Glück, dass Ihr Tag immer so anfängt. Ein Blick ins Grüne – und das mitten in der Metropole Berlin! Über das edel verarbeitete Parkett schlendern Sie durch Ihr neues Zuhause im Herzen Berlins ins exklusiv gestaltete Bad. \r\rMit dem Fahrstuhl geht es hinunter in die Garage zu Ihrem optionalen Stellplatz, ehe Sie aufbrechen und Berlin erkunden. Gewinnen Sie neue Eindrücke, in der berauschenden Vielfalt der Hauptstadt. Der größte Gewinn aber ist Ihre Wohnung – in SCHŒNEGARTEN.', '● KfW-Effizienz-Standard-55\r● Terrassen in Nord-und Süd-Ausrichtung\r● 2,85 bis 3,10 m lichte Raumhöhe\r● Innenarchitektonische Raffinesse und exklusive Ausstattung\r● Hochwertiges Echtholzparkett\r● Feinsteinzeug namhafter Sanitärhersteller\r● Objekte und Armaturen von renommierten Markenherstellern\r● Bodentiefe Fenster\r● Fußbodenheizung\r● Praktischer Hauswirtschaftsraum\r● Garderobe\r● Gäste-WC', 'Schöneberg + Tiergarten = SCHŒNEGARTEN. Genau am Schnittpunkt der beiden Stadtteile liegt das edle Neubauprojekt gleichen Namens. Die Summe aller Teile ergibt bekanntlich ein Ganzes: auch hier vor Ort, mitten im exklusiven Zentrum Berlins. In die eine Richtung geht es in den Tiergarten zum Joggen oder Spazieren. Die andere führt Sie in das Regierungsviertel, zum Brandenburger Tor und zur Siegessäule. Nicht zu vergessen: der historische Potsdamer Platz.\r \rNoch näher dran ist der weltberühmte Ku’damm mit seinen mannigfaltigen Einkaufsmöglichkeiten vom KaDeWe bis zu den Flagship-Stores der Haute Couture. Feinste Gastronomie mit und ohne Michelin-Sterne und ein aufregendes Jet-Set-Leben warten direkt vor Ihrer Türe darauf, von Ihnen entdeckt zu werden. Die kreative Sogwirkung des Quartiers spricht sich bereits herum. Eine Anziehungskraft, der sich auch Sony Music nicht entziehen kann. Der Umzug des Münchner Unternehmens in die Bülowstraße – spannende Perspektiven auch für Sie als Bewohner in der Nachbarschaft. Gönnen Sie sich hier, zentral und erstklassig versorgt, genau das exquisite Leben, das Sie sich verdient haben.'];;88417;true;;;
2020-05-24 21:01:10.509862;Berlin;;ONE_YEAR_FREE;175423;n;n;https://pictures.immobilienscout24.de/listings/c3c83a45-ebeb-4e9e-8fe7-e859441fb7a2-1359872026.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;15;12.25;40 MBit/s;telekom_layer_magenta_l;über VDSL;1900;REGULAR;12.25;116901385;gas;n;false;MagentaZuhause L;y;Berlin;n;4;1;no_information;energy_consumption;6.83;36;Berlin;12103;no_information;no_information;D;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;apartment;12103;1;126;n;;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;n;3;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.175423;162000;profile0;3;1;true;n;showqualicontactform;n;n;Tempelhof_Tempelhof;5452 (1/5452);1;Berlin;/expose/116901385;['Bezugsfertige Altbauwohnung.\rSchöner begrünter Hof.\rRuhige Lage.\rDie Wohnung wird möbliert verkauft. ', 'Für sonstige Informationen und Besichtigungen kontaktieren Sie bitte Herrn \rLutz W. Potempa\rMobil:    0172 672 46 40\rE-Mail: potempa@ez-immobilien.de'];;;;;;
2020-05-24 21:01:11.040618;Berlin;;ONE_YEAR_FREE;175423;n;n;https://pictures.immobilienscout24.de/listings/2a42f8ee-3d79-479f-b732-f815db8fb0ad-1359869890.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;1;11.13;40 MBit/s;telekom_layer_magenta_l;über VDSL;;REGULAR;11.13;116901169;no_information;n;false;MagentaZuhause L;;Berlin;n;7;;no_information;;5.02;40;Berlin;12249;no_information;no_information;;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;apartment;12249;2;;n;;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;n;;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.175423;352000;profile0;;2;true;n;showqualicontactform;n;n;Lankwitz_Steglitz;5447 (1/5447);1;Berlin;/expose/116901169;['- Hochwertige Ausstattung\n- ökologische Denkweise\n- Wohnungen von 40 bis 120 m²\n- Familiengerecht\n- Tiefgarage\n- Teilweise mit Gartenanteil'];;;;;;
2020-05-24 21:01:11.388014;Berlin;;ONE_YEAR_FREE;175423;n;n;https://pictures.immobilienscout24.de/listings/fcab4b69-fbf1-4910-abf8-c02cf30373af-1359869203.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;1;10.47;40 MBit/s;telekom_layer_magenta_l;über VDSL;;REGULAR;10.47;116901101;gas;n;false;MagentaZuhause L;n;Berlin;n;6;;no_information;energy_consumption;6.36;70;Berlin;13187;no_information;no_information;;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;apartment;13187;2;132;n;;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;n;;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.175423;298000;profile0;;2;true;n;showqualicontactform;n;n;Pankow_Pankow;5444 (1/5444);3;Berlin;/expose/116901101;[];;;;;;
2020-05-24 21:01:11.766359;Berlin;;;175423;n;n;https://pictures.immobilienscout24.de/listings/51e526ac-2571-4184-b770-ffa995b9b847-1359874037.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;1;10.66;;;;;;10.66;116901539;no_information;n;false;;;Berlin;n;10;;no_information;;5.91;92;Berlin;10115;no_information;no_information;;false;;no_information;no_information;n;;;no_information;apartment;10115;3;;n;;2,active;;Deutschland;standard;;wohnung_kauf;n;3;;false;001.175423;825000;profile0;;3;true;n;showqualicontactform;n;n;Mitte_Mitte;5456 (1/5456);4;Berlin;/expose/116901539;[];;;;;;
