timestamp;obj_regio1;obj_heatingType;obj_telekomTvOffer;obj_cId;obj_newlyConst;obj_balcony;obj_picture;obj_picturecount;obj_pricetrend;obj_telekomUploadSpeed;obj_telekomTrackingGroup;obj_telekomInternetTechnology;obj_yearConstructed;obj_telekomInternetType;obj_galleryAd;obj_pricetrendbuy;obj_scoutId;obj_firingTypes;obj_hasKitchen;obj_ExclusiveExpose;obj_telekomInternetProductName;obj_courtage;geo_bln;obj_cellar;obj_purchasePriceRange;obj_yearConstructedRange;obj_rentSubsidy;obj_houseNumber;obj_energyType;obj_pricetrendrent;obj_livingSpace;geo_krs;obj_zipCode;obj_condition;obj_interiorQual;obj_energyEfficiencyClass;ga_cd_cxp_historicallisting;obj_telekomDownloadSpeed;obj_parkingSpace;obj_street;obj_lift;obj_telekomInternetUrlMobile;obj_telekomInternetUrl;obj_streetPlain;obj_typeOfFlat;geo_plz;obj_noRooms;obj_thermalChar;obj_assistedLiving;obj_ityp;obj_telekomHdTelephone;geo_land;ga_cd_via;obj_telekomInternet;obj_immotype;obj_rented;obj_floor;obj_telekomInternetServices;obj_telekomInternetProductAvailable;obj_cwId;obj_purchasePrice;ga_cd_application_requirements;obj_numberOfFloors;obj_noRoomsRange;ga_cd_maillead_default_shown;obj_garden;evt_count_pm_sig;obj_barrierFree;obj_international;obj_regio3;obj_objectnumber;obj_livingSpaceRange;obj_regio2;URL;beschreibung;obj_groupnumber;ga_cd_via_qualified;obj_lastRefurbish;obj_usableArea;obj_noParkSpaces
2020-05-11 12:33:26.647296;Berlin;central_heating;ONE_YEAR_FREE;16785385;n;n;https://pictures.immobilienscout24.de/listings/629c44e7-3265-40f2-99a7-765b7bee8b67-1368303490.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;13;11.14;40 MBit/s;telekom_layer_magenta_l;über VDSL;1929;REGULAR;disabled;11.14;116128914;district_heating;n;false;MagentaZuhause L;y;Berlin;n;4;1;174;no_information;energy_consumption;6.17;51.84;Berlin;10439;no_information;normal;D;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;apartment;10439;1.5;100;n;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;y;4;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;002.01007573808;192000;profile0;4;1;true;n;showqualicontactform;n;n;Prenzlauer_Berg_Prenzlauer_Berg;KU_76-131;2;Berlin;/expose/116128914;['Die in der Denkmalliste erfasste Wohnanlage zeichnet sich durch seine großzügige Bauweise, ansprechnde Grundrisse in nachgefragten Wohnungsgrößen aus. \n\nDie optimal geschnittene 2-Raum-Wohnung befindet sich in verkehrsberuhigter Seitenstraße im Prenzlauer Berg. Der gesamte Komplex wurde Ende der 1990er Jahre saniert und modernisiert. Erneuert wurden zum Beispiel die Fenster, die Bäder die Dächer, Heizungsanlage, Elektrik und vieles mehr. Die Anlage wird kontinuierlich Instand gehalten.\n\nDie Wohngebäude fassen eine gepflegte Hofanlage mit altem Baumbestand ein. Der große Hof ist nur für Anwohner zugänglich!', 'Das Objekt befindet im sehr beliebten Berliner Stadtteil Prenzlauer Berg, am Übgang zu Pankow. Zwischen Prenzlauer Allee und Stahlheimer Straße befindet sich ein in den 1930er Jahren errichtetes Wohngebiet mit \nEinkaufsmöglichkeiten in direkter Nachbarschaft, allen Dienstleistern, ebenso Bus und Straßenbahn. Den S-Bahnhof Prenzlauer Allee erreicht man nach ca. 10 Gehminuten.', 'Die Wohnung ist vermietet.\n\nDie zur Zeit gezahlte Jahresnettokaltmiete liegt bei ca. 4.190 €.\n\nDas Hausgeld beträgt monatlich 174,- €, inklusive 21,- € Instandsetzungsrücklage.\n\nWeitere Informationen und Besichtigungstermine erhalten Sie gerne auf Anfrage nach Bestätigung unseres Agreementlinks. Wir bitten Sie auch Ihren Spam-Ordner zu prüfen, falls Sie wider Erwarten keine Nachricht von uns bekommen.'];;;;;
2020-05-11 12:33:27.109260;Berlin;central_heating;ONE_YEAR_FREE;16225148;n;n;https://pictures.immobilienscout24.de/listings/1e14d008-9771-4a9b-8aa9-d533c4e913c8-1331897337.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;8;12.78;40 MBit/s;telekom_layer_magenta_l;über VDSL;1900;REGULAR;disabled;12.78;113663736;no_information;y;false;MagentaZuhause L;y;Berlin;n;7;1;468.38;no_information;energy_consumption;7.25;106.47;Berlin;10559;no_information;no_information;;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;apartment;10559;3;68.9;n;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;n;4;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.15930480;359000;profile0;;3;true;n;showqualicontactform;n;n;Tiergarten_Tiergarten;728;5;Berlin;/expose/113663736;['Die hier angebotene, vermietete Wohnung befindet sich im 4. OG eines historischen Mehrfamilienhauses aus Gründerzeiten.\nSie verfügt über drei Zimmer mit Dielenboden, eine gemütliche Wohnküche und ein Badezimmer.\nDie Zimmer sind alle vom Flur separat begehbar. \nDie Wohnung liegt im ruhigen Gartenhaus und erzielt eine Jährliche Nettokaltmiete von 6.074,88 Euro.', 'Die Wohnung befindet sich in einem ruhigen Gebiet, in dem Altbauten das Straßenbild dominieren. In der unmittelbaren Umgebung lassen sich Supermärkte, Ärzte und Schulen finden. Vor allen Dingen in der nicht weit gelegenen Turmstrasse lassen sich zudem einige kulturelle Einrichtungen finden.\n\nDie Stationen Perleberger Strasse (Bus), Birkenstrasse (U-Bahn) und Westhafen (S-Bahn) befinden sich ca. jeweils 150 m, 600 m und 900 m entfernt, so dass die Anbindung an die öffentlichen Verkehrsmittel optimal ist.'];;;;;
2020-05-11 12:33:27.939192;Berlin;;ONE_YEAR_FREE;18052783;n;y;https://pictures.immobilienscout24.de/listings/7f44ab90-5dbe-4f2a-8f96-9a581f1c322d-1355291332.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;8;12.24;40 MBit/s;telekom_layer_magenta_l;über VDSL;1901;REGULAR;;12.24;116142967;no_information;n;false;MagentaZuhause L;n;Berlin;n;9;1;250;76;energy_required;6.53;114.99;Berlin;12159;no_information;no_information;;false;100 MBit/s;no_information;"Fregestra&szlig;e";n;https://padlock.link/ioml;https://padlock.link/ml;Fregestraße;apartment;12159;4;134.9;n;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;y;;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;002.01008679649;570000;profile0;5;4;true;n;showqualicontactform;n;n;Schöneberg_Schöneberg;499023;5;Berlin;/expose/116142967;"['Der herrschaftliche Altbau FREGE 76 umfasst insgesamt 20 Wohneinheiten. Diese setzen sich aus 2-, 4- und 5-Zimmer-Wohnungen zusammen und verteilen sich auf das Vorder- und Gartenhaus. Die Wohnungen verfügen zum Großteil über einen Balkon oder eine Terrasse. Die Lage des Wohnhauses und der Schnitt der Wohnungen machen das FREGE 76 zu einem idealen Heim für Singles, Paare und Familien.', 'Die Fregestraße in begehrter Wohnlage in Berlin-Friedenau ist ein echter Ruhepol inmitten der lebendigen Stadt. Der beschauliche Eindruck, den die kleine und ruhige Straße ausstrahlt, wird durch viele elegante Altbauten verstärkt. Aber auch der umliegende Kiez macht es leicht, bei einem Spaziergang durch die kleinen Sträßchen, ob Richtung Ceciliengärten oder Friedrich-Wilhelm-Platz, abzuschalten. \r\n\r\n-    Optimale Lage in Berlin Friedenau\r\n-    5 Gehminuten zum S-Bahnhof Friedenau (S1)\r\n-    9 Gehminuten zum U-Bahnhof Friedrich-Wilhelm-Platz (U9)\r\n-    6 Minuten mit dem Fahrrad oder 9 Minuten mit dem Bus M48/ M85 bis zur Schloßstraße\r\n-    3 Gehminuten bis Wochenmarkt am Breslauer Platz\r\n-    15 Minuten mit dem Bus bis zum Botanischen Garten \r\n-    10 Minuten mit dem Fahrrad zum Shoppingcenter ""Das Schloss"" und 15 Minuten zu KaDeWe und Ku\'damm\r\n-    Eine Vielzahl an Restaurants, Cafés und Bars in unmittelbarer Nähe\r\n-    Supermärkte sind fußläufig zu erreichen, zum Beispiel Edeka, Rewe, LPG Biomarkt oder Netto']";9;;;;
2020-05-11 12:33:28.282958;Berlin;central_heating;ONE_YEAR_FREE;179106;n;y;https://pictures.immobilienscout24.de/listings/04ff564a-f448-43ba-a42d-945d6ac34e13-1354146193.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;8;15.23;40 MBit/s;telekom_layer_magenta_l;über VDSL;1905;REGULAR;;15.23;110895557;no_information;n;true;MagentaZuhause L;y;Berlin;y;9;1;395;no_information;;8.57;92;Berlin;10629;first_time_use_after_refurbishment;sophisticated;;false;100 MBit/s;no_information;no_information;y;https://padlock.link/ioml;https://padlock.link/ml;no_information;roof_storey;10629;2;;n;2,active;true;Deutschland;schaufenster;100 MBit/s;wohnung_kauf;n;6;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.179106;659000;profile0;6;2;true;n;;n;n;Charlottenburg_Charlottenburg;J12838;4;Berlin;/expose/110895557;"[""Ein Penthouse in bester West-Berlin-Lage, nahe Ku'Damm und Grunewald: Hier ist die Chance zu einer ganz persönlichen Wohnnote! Das Penthouse wurde ursprünglich in den 90-ern auf eine herrschaftlichen Altbau aufgesetzt. Dabei wird der Wohnbereich im 6.OG durch einen großzügigen Wintergarten im 7.OG ergänzt. Von diesem Wintergarten aus erreicht man auch die großzügige Dach-Terrasse.\n\nDie Wohnung wurde kürzlich saniert: Elektrik, alle Fenster sowie das Parkett sind brand-neu. Lediglich das Bad sowie einige Trockenbau-Arbeiten sind noch auszuführen. Bei Interesse vermitteln wir Ihnen gerne ein fähiges Fach-Unternehmen, um den Bau in allerkürzester Zeit abzuschließen.\n\nVerwirklichen Sie einfach Ihre persönlichen Traum-Vorstellungen - hier ist es endlich möglich.\n\n"", 'Altbau, Aufzug, Balkon/Terrasse, Bezug nach Vereinbarung, Dachgeschoss, Dachterrasse, Erstbezug nach Sanierung, gehobene Ausstattung, Keller, Loft, Modernisiert, Parkett, Penthouse, Terrassenwohnung, unvermietet, Vollständig renoviert', ""Direkt im beliebten Charlottenburg, nahe des berühmten Kurfürstendamms. Die Mikrolage gehört durch ihre direkte Nähe zum Boulevard zu den exklusivsten und begehrtesten Quartieren Berlins. Die Kombination der extravaganten Modeschöpfer, wie Chanel, Hermés, Louis Vuitton und Prada präsentieren Ihnen ihre neuen Linien in direkter Nachbarschaft. Auch das berühmte KaDeWe lädt Sie zum Flanieren ein. Ob der Tiergarten als Central Park oder der Halensee, beide Idyllen bieten Ihnen entspannende Spaziergänge und ergänzen hierbei um ein weiteres hohes Maß an Lebensqualität.\nDirectly in the popular Charlottenburg, close to the famous Kurfürstendamm. Thanks to its direct proximity to the boulevard, this micro-location is one of Berlin's most exclusive and sought-after districts. The combination of the extravagant fashion designers such as Chanel, Hermés, Louis Vuitton and Prada present you their new lines in direct neighbourhood. The famous KaDeWe also invites you to take a stroll. Whether the Tiergarten as Central Park or the Halensee, both idylls offer you relaxing walks and complement them with a further high level of quality of life."", 'Sie möchten Ihre Immobilie verkaufen? Wir sind Ihr Partner für einen erfolgreichen Verkauf.\n1. Unsere Experten verfügen über tiefgehende Kenntnis des bestehenden Immobilienmarktes und entwickeln gerne eine individuelle Verkaufsstrategie für Sie. Wir bewerten Ihre Immobilie unverbindlich, kostenfrei und marktgerecht.\n2. Wir sind für Sie da und begleiten Sie von der kostenlosen Beratung bis hin zum Notartermin, immer getreu unserer Philosophie: kompetent, zuverlässig und diskret.\n3. Unser nationales und internationales Netzwerk sowie interne Synergien ermöglichen Ihnen den Zugang zu potenziellen Käufern aus aller Welt und somit einen erfolgreichen Abschluss. \nProfitieren Sie von unserem Know-How, rund 20 Jahren Erfahrung und 6 Büros in den besten Lagen Berlins. Gerne beraten wir Sie kostenlos in unserem Büro, per Telefon oder E-Mail!  \nEnergieausweis vorhanden:\nnein']";667;true;;;
2020-05-11 12:33:28.645064;Berlin;gas_heating;ONE_YEAR_FREE;12595003;n;y;https://pictures.immobilienscout24.de/listings/c29db669-1e0f-4301-a281-9fb2ee313463-1354138015.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;11;14.43;40 MBit/s;telekom_layer_magenta_l;über VDSL;1911;REGULAR;disabled;14.43;116142319;gas;n;false;MagentaZuhause L;n;Berlin;y;10;1;281;no_information;energy_required;7.95;114;Berlin;13347;refurbished;sophisticated;;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;terraced_flat;13347;4;147.8;n;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;n;0;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.12595003;873600;profile0;5;4;true;y;showqualicontactform;n;n;Wedding_Wedding;NH3 WE02;5;Berlin;/expose/116142319;['VEREINBAREN SIE EINEN BESICHTIGUNGSTERMIN !!\n\nEin sehr schöner, klassischer Berliner Altbau aus der vorletzten Jahrhundertwende wird hier hochwertig und sehr detailverliebt saniert. Das Gebäude besteht aus Vorderhaus, Quergebäude und 2 Seitenflügeln, die miteinander verbunden sind und somit einen geschlossenen Innenhof bilden. Insgesamt gibt es 24 Wohn- und 5 Gewerbeeinheiten, die sich im Erdgeschoß befinden. Es entstehen 3 großzügige Penthouses, die auch über einen Fahrstuhl erreicht werden können. Hier kommen Liebhaber des Altbaus in Verbindung mit modernen Ausbauelementen und aktueller Haustechnik auf Ihre Kosten.', '•\tgroßzügiger Wohnbereich mit offener Küche\n•\teigener in sich geschlossener Garten mit Terrasse\n•\tWände und Decken gespachtelt und geweißt\n•\tdas Bad wird komplett erneuert und mit hochwertigen Sanitärobjekten ausgestattet\n•\tGäste WC & Hauswirtschaftsraum\n•\thohe Decken mit Stuckelementen\n•\tGasheizung\n•\taufgearbeitete, original erhaltene Wohnungseingangstüren \n•\tWärmedämmung\n•\tVideogegensprechanlage\n•\tKeller \n\nExquisite Highlights auf einen Blick: \n+ Altbau in neuem Glanz \n+ Wannenbad mit Tageslicht\n+ Unterschiedliche Grundrissgestaltungen \n+ gespachtelte Wände \n+ Böden werden aufgearbeitet bzw. komplett erneuert \n\nDie Heizungsanlage wird erneuert und energetische Maßnahmen am Gebäude im Rahmen der Modernisierung durchgeführt.', '*Attraktiver Kiez: Die Neue Hochstraße, eine ruhige Nebenstraße in zentraler Lage, verläuft östlich der Chausseestraße unweit des Humboldthains.  \n*Beste Gastfreundschaft: Hier finden Sie hippe Berliner Bars, guten Kaffee und raffinierte Küche aus aller Welt.  \n*Anbindung: Die U-Bahnlinie 6 bringt Sie in 5 Minuten zum S-Bahnhof Friedrichstraße und zur Flaniermeile Unter den Linden. Berufsreisen oder Fernweh? In 20 Minuten sind Sie am Flughafen Tegel. Der Hauptbahnhof liegt nur wenige Fahrminuten entfernt.\n\nIm Überblick: \n* Park und Spielplätze in Laufweite\n* Direkte Anbindung an die U-Bahnlinie 6\n* ca. 5 Minuten bis Friedrichstraße / Unter den Linden \n* ca. 5 Minuten bis Hauptbahnhof\n* ca. 20 Minuten zum KADEWE\n* ca. 20 Minuten bis Flughafen Tegel \n* ca. 45 Minuten bis Flughafen Schönefeld', 'Alle Informationen zur Datennutzung und Datenverarbeitung durch die Insitu Immobilien Konzepte GmbH sowie zu Datenschutzrechten finden Sie auf unserer Website (www.insitu-immobilien.de/datenschutz).\n\nAlle Angaben beruhen auf Informationen der Eigentümer, Behörden oder Dritter und wurden von uns, soweit möglich, mit der gebotenen Sorgfalt geprüft. Eine Garantie für deren ursächliche Richtigkeit können wir nicht übernehmen. Alle Angebote sind unverbindlich und freibleibend, Zwischenverkauf bleibt vorbehalten. Maßgebend sind die im Kaufvertrag geschlossenen Vereinbarungen.\nHinweis: Bei den Fotos in unseren Anzeigen handelt es sich teilweise um Visualisierungen. Die abgebildeten Möbel und Designelemente sind nicht Bestandteil des Kaufgegenstandes.\nJegliche Haftung wird ausgeschlossen.'];3;;2021;;
2020-05-11 12:33:28.999845;Berlin;district_heating;ONE_YEAR_FREE;16225148;n;y;https://pictures.immobilienscout24.de/listings/63d4d7f3-c201-411f-bfc8-171102e026ca-1354026949.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;4;11.78;40 MBit/s;telekom_layer_magenta_l;über VDSL;1933;REGULAR;disabled;11.78;114548370;no_information;n;false;MagentaZuhause L;y;Berlin;n;3;1;;no_information;energy_consumption;6.65;50;Berlin;13629;well_kept;no_information;C;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;apartment;13629;2.5;99.5;n;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;n;2;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.15930480;132420;profile0;;2;true;n;showqualicontactform;n;n;Siemensstadt_Spandau;749;2;Berlin;/expose/114548370;"['In unmittelbarer Nachbarschaft des Wilhelm-von-Siemens-Park befindet sich die historische Gartenstadt am Rohrdamm mit altem Baumbestand und großzügig angelgten Parkflächen.\nDie um 1933 erbaute Wohnanlage wurde zusammen mit den vorhandenen Grün- und Freiflächen 1995 wegen ihrer geschichtlichen, künstlerischen, wissenschaftlichen Bedeutung sowie ihrer Bedeutung für das Stadtbild unter Denkmalschutz gestellt. Vorbild waren die englischen Gartenstädte des 19. Jahrhunderts.\nDie Bau- und Fassadengestaltung hat eine traditionalistische, süddeutsche Formensprache mit Übergang zur gemäßigten Moderne. ', 'Die hier angebotene, vermietete Wohnung verfügt über 2,5 Zimmer, ein Bad mit Wanne und Fenster sowie über einen Balkon.\nDie derzeitige Nettokaltmiete beträgt 287,- €; \ndie zuzüglichen Heiz- und Betriebskosten betragen zur Zeit 176 €.\nWohngeld: 247 € (davon Instandhaltungsrücklage: 61 €)', 'Die attraktive Kapitalanlage ist ruhig im Grünen, aber dennoch zentral gelegen. Unweit entfernt befindet sich der Volkspark Jungfernheide mit vielfältigen Erholungsmöglichkeiten.\nIn fußläufiger Entfernung befinden sich zahlreiche Einkaufsmöglichkeiten.\nMit der nahe gelegenen U-Bahn Station Rohrdamm und verschiedenen Buslinien ist eine sehr gute Anbindung an den öffentlichen Nahverkehr gegeben.\nÜber die unweit entfernte Stadtautobahn In ca. 10 min. Autofahrt erreicht man den Kurfürstendamm oder den Flughafen Tegel.']";;;;;
2020-05-11 12:33:29.302675;Berlin;central_heating;;14544073;n;y;https://pictures.immobilienscout24.de/listings/70f0a3a4-1216-4d2a-98b6-14b14dea3b6e-1354138560.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;1;11.49;;;;1960;;;11.49;116142435;oil;n;false;;y;Berlin;y;4;2;;.;energy_required;5.14;55.91;Berlin;12349;well_kept;no_information;;false;;no_information;Marienfelder Chaussee;n;;;Marienfelder_Chaussee;apartment;12349;2;128.5;n;2,active;;Deutschland;standard;;wohnung_kauf;y;2;;;002.01000690340;184500;profile0;;2;true;n;showqualicontactform;n;n;Buckow_Neukölln;502+;2;Berlin;/expose/116142435;['Das Wohnhaus befindet sich im Ortsteil Buckow,  Marienfelder Chaussee nahe dem Quarzweg.\n\nDer nahgelegene Britzer Garten lädt zur Freizeitgestaltung ein.\n\nDiverse Einkaufsmöglichkeiten sind in der Umgebung vorhanden.', '- Laminat\n- Wannenbad\n- Balkon', '- mit dem Bus in wenigen Minuten zum U-Bahnhof Johannisthaler Chaussee'];;;;;
2020-05-11 12:33:29.671173;Berlin;central_heating;ONE_YEAR_FREE;12595003;n;y;https://pictures.immobilienscout24.de/listings/0d2e9b22-d786-49d3-a8e2-c969197271ec-1354134939.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;7;14.43;40 MBit/s;telekom_layer_magenta_l;über VDSL;1911;REGULAR;disabled;14.43;116141492;gas;n;false;MagentaZuhause L;n;Berlin;y;7;1;162;no_information;energy_required;7.95;52;Berlin;13347;refurbished;sophisticated;;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;apartment;13347;2;147.8;n;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;n;1;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.12595003;374400;profile0;5;2;true;n;showqualicontactform;n;n;Wedding_Wedding;NH3WE11;2;Berlin;/expose/116141492;['Ein sehr schöner, klassischer Berliner Altbau aus der vorletzten Jahrhundertwende wird hier hochwertig und sehr detailverliebt saniert. Das Gebäude besteht aus Vorderhaus, Quergebäude und 2 Seitenflügeln, die miteinander verbunden sind und somit einen geschlossenen Innenhof bilden. Insgesamt gibt es 24 Wohn- und 5 Gewerbeeinheiten, die sich im Erdgeschoß befinden. Es entstehen 3 großzügige Penthouses, die auch über einen Fahrstuhl erreicht werden können. Hier kommen Liebhaber des Altbaus in Verbindung mit modernen Ausbauelementen und aktueller Haustechnik auf Ihre Kosten.\n\nVon der im 1.OG gelegenen Wohnung blicken Sie in den begrünten Innenhof. Individuelle Änderungswünsche bei der Grundrissgestaltung können bei der umfassenden Sanierung berücksichtigt werden.', '•großzügiger Wohnbereich mit amerikanischer Küche\n•Wände und Decken gespachtelt und geweißt\n•das Bad wird komplett erneuert und mit hochwertigen Sanitärobjekten ausgestattet\n•hohe Decken mit Stuckelementen\n•Gasheizung\n•Aufgearbeitete, original erhaltene \n Wohnungseingangstüren und Fenster\n•Balkon\n•Wärmedämmung\n•Videogegensprechanlage\n•Keller zu jeder Wohnung\n\nExquisite Highlights auf einen Blick: \n+ Altbau in neuem Glanz \n+ Wannenbad mit Tageslicht\n+ Unterschiedliche Grundrissgestaltungen \n+ gespachtelte Wände \n+ Böden werden aufgearbeitet bzw. komplett erneuert \n\nIm Zuge der Sanierung werden Aufzüge installiert. Die Heizungsanlage wird erneuert und energetische Maßnahmen am Gebäude im Rahmen der Modernisierung durchgeführt.', '*Attraktiver Kiez: Die Neue Hochstraße, eine ruhige Nebenstraße, liegt östlich der Chausseestraße unweit des Humboldthains.  \n*Beste Gastfreundschaft: Hier finden Sie hippe Berliner Bars, guten Kaffee und raffinierte Küche aus aller Welt.  \n*Anbindung: Die U-Bahnlinie 6 bringt Sie in 5 Minuten zum S-Bahnhof Friedrichstraße und zur Flaniermeile Unter den Linden. Berufsreisen oder Fernweh? In 20 Minuten sind Sie am Flughafen Tegel. Der Hauptbahnhof liegt nur wenige Fahrminuten entfernt.\n\nIm Überblick: \n* Park und Spielplätze in Laufweite\n* Direkte Anbindung an die U-Bahnlinie 6\n* ca. 5 Minuten bis Friedrichstraße / Unter den Linden \n* ca. 5 Minuten bis Hauptbahnhof\n* ca. 20 Minuten zum KADEWE\n* ca. 20 Minuten bis Flughafen Tegel \n* ca. 45 Minuten bis Flughafen Schönefeld', 'Alle Informationen zur Datennutzung und Datenverarbeitung durch die Insitu Immobilien Konzepte GmbH sowie zu Datenschutzrechten finden Sie auf unserer Website (www.insitu-immobilien.de/datenschutz).\n\nAlle Angaben beruhen auf Informationen der Eigentümer, Behörden oder Dritter und wurden von uns, soweit möglich, mit der gebotenen Sorgfalt geprüft. Eine Garantie für deren ursächliche Richtigkeit können wir nicht übernehmen. Alle Angebote sind unverbindlich und freibleibend, Zwischenverkauf bleibt vorbehalten. Maßgebend sind die im Kaufvertrag geschlossenen Vereinbarungen.\nHinweis: Bei den Fotos in unseren Anzeigen handelt es sich teilweise um Visualisierungen. Die abgebildeten Möbel und Designelemente sind nicht Bestandteil des Kaufgegenstandes.\nJegliche Haftung wird ausgeschlossen.'];3;;2021;;
2020-05-11 12:33:30.029758;Berlin;central_heating;ONE_YEAR_FREE;377811;n;y;https://pictures.immobilienscout24.de/listings/8a9ebe2c-a152-42c6-966c-54ca4ec2eed5-1346731707.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;10;11.14;40 MBit/s;telekom_layer_magenta_l;über VDSL;1906;REGULAR;;11.14;115414926;gas;n;false;MagentaZuhause L;y;Berlin;y;9;1;286.09;12;energy_consumption;6.17;97.25;Berlin;10407;well_kept;normal;;false;100 MBit/s;no_information;Dietrich-Bonhoeffer-Str.;n;https://padlock.link/ioml;https://padlock.link/ml;Dietrich-Bonhoeffer-Str.;apartment;10407;3;95;n;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;n;1;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.377811;550000;profile0;5;3;true;n;showqualicontactform;n;n;Prenzlauer_Berg_Prenzlauer_Berg;115414926;4;Berlin;/expose/115414926;['Bei dem Objekt handelt es sich um einen vollständig modernisierten fünfgeschossigen Altbau in beliebter Lage des Bezirks Prenzlauer-Berg.\n\nDie zur Straßen- und Hofseite ausgerichtete Wohnung befindet sich im 1. OG des Vorderhauses.', '- drei Zimmer \n- abgeschliffener und versiegelter Dielenboden\n- modern gefliestes Wannenbad\n- großzügiger Küchenbereich  (offen zum Wohnbereich) \n- zwei kleine Balkone', 'Die Dietrich-Bonhoeffer-Str. ist eine ruhige Anwohnerstraße im beliebten Bötzowviertel. Der weitläufige Volkspark Am Friedrichshain ist schnell per Fuss zu erreichen.\r\n\r\nDurch die zentrale innerstädtische Objektlage sind wesentliche Anlaufpunkte wie Alexanderplatz, Potsdamer Platz, Friedrichstr., Kurfürstendamm und Regierungsviertel sowohl mit öffentlichen Verkehrsmitteln, als auch mit dem eigenen Auto innerhalb maximal einer halben Stunde schnell und\r\nbequem zu erreichen.', 'Das Wohngeld inkl. des Zufürungsanteils zu der Instandhaltungsrücklage beträgt 319,70 EUR/Monat-'];2;;;;
2020-05-11 12:33:30.342346;Berlin;central_heating;;14544073;n;y;https://pictures.immobilienscout24.de/listings/527c0a04-d17d-4125-ab2b-486f05240094-1354134976.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;1;11.49;;;;1960;;;11.49;116141934;oil;n;false;;y;Berlin;y;5;2;;.;energy_required;5.14;65.89;Berlin;12349;well_kept;no_information;;false;;no_information;Marienfelder Chaussee;n;;;Marienfelder_Chaussee;apartment;12349;2;128.5;n;2,active;;Deutschland;standard;;wohnung_kauf;y;1;;;002.01000690340;217400;profile0;;2;true;n;showqualicontactform;n;n;Buckow_Neukölln;504+;3;Berlin;/expose/116141934;['Das Wohnhaus befindet sich im Ortsteil Buckow,  Marienfelder Chaussee nahe dem Quarzweg.\n\nDer nahgelegene Britzer Garten lädt zur Freizeitgestaltung ein.\n\nDiverse Einkaufsmöglichkeiten sind in der Umgebung vorhanden.', '- Laminat\n- Wannenbad\n- Balkon', '- mit dem Bus in wenigen Minuten zum U-Bahnhof Johannisthaler Chaussee'];;;;;
