timestamp;obj_regio1;obj_heatingType;obj_telekomTvOffer;obj_cId;obj_newlyConst;obj_balcony;obj_picture;obj_picturecount;obj_pricetrend;obj_telekomUploadSpeed;obj_telekomTrackingGroup;obj_telekomInternetTechnology;obj_yearConstructed;obj_telekomInternetType;obj_pricetrendbuy;obj_scoutId;obj_firingTypes;obj_hasKitchen;obj_ExclusiveExpose;obj_telekomInternetProductName;obj_courtage;geo_bln;obj_cellar;obj_purchasePriceRange;obj_yearConstructedRange;obj_rentSubsidy;obj_houseNumber;obj_energyType;obj_pricetrendrent;obj_livingSpace;geo_krs;obj_zipCode;obj_condition;obj_interiorQual;ga_cd_cxp_historicallisting;obj_telekomDownloadSpeed;obj_parkingSpace;obj_street;obj_lift;obj_telekomInternetUrlMobile;obj_telekomInternetUrl;obj_streetPlain;obj_typeOfFlat;geo_plz;obj_noRooms;obj_thermalChar;obj_assistedLiving;obj_ityp;obj_telekomHdTelephone;geo_land;ga_cd_via;obj_telekomInternet;obj_immotype;obj_rented;obj_telekomInternetServices;obj_telekomInternetProductAvailable;obj_cwId;obj_purchasePrice;ga_cd_application_requirements;obj_numberOfFloors;obj_noRoomsRange;ga_cd_maillead_default_shown;obj_garden;evt_count_pm_sig;obj_barrierFree;obj_international;obj_regio3;obj_objectnumber;obj_livingSpaceRange;obj_regio2;URL;beschreibung;obj_usableArea;obj_energyEfficiencyClass;obj_floor;obj_galleryAd;obj_project_id;obj_groupnumber;obj_nbp;ga_cd_via_qualified;ga_cd_developer_virtualreality;obj_noParkSpaces;obj_lastRefurbish;obj_telekomHybridUploadSpeed;obj_telekomHybridDownloadSpeed
2020-05-11 12:20:41.785050;Berlin;central_heating;ONE_YEAR_FREE;16921323;n;y;https://pictures.immobilienscout24.de/listings/5e734e59-9d72-4921-a789-1b9a0f0437fd-1364142841.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;12;11.48;40 MBit/s;telekom_layer_magenta_l;über VDSL;1900;REGULAR;11.48;117510616;gas;n;false;MagentaZuhause L;y;Berlin;n;5;1;161.54;28/30;energy_consumption;7.14;49.29;Berlin;10245;well_kept;normal;false;100 MBit/s;no_information;Corinthstr.;n;https://padlock.link/ioml;https://padlock.link/ml;Corinthstr.;ground_floor;10245;2;129.8;n;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;n;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;009.c282bcb0-d517-4793-83c4-cd4999b68120;239000;profile0;4;2;true;y;showqualicontactform;n;n;Friedrichshain_Friedrichshain;HA-122-WE21;2;Berlin;/expose/117510616;"['Das schlichte und aktuell etwas schmucklose Altbauensemble ist ein Eckgebäude mit Balkonen zur Straße und einem großen Innenhof. Das Objekt hat insgesamt 3 Eingangsbereiche.\n\nDie kleine 2 Zimmer Wohnung befindet sich im Erdgeschoß des Seitenflügels, sie ist in einem gepflegten Zustand allerdings auch etwas dunkel. Das Bad hat ein kleines Fenster und ist gefließt. Optional kann auch auch die Sondernutzungsfläche vor der Wohnung angeschlossen werden. \n\nDas Dachgeschoss wird vollständig neu ausgebaut und erhält Aufzüge. Die Fassade, Treppenhäuser und der Innenhof werden ebenfalls komplett neu gestaltet. Die Kosten hierfür trägt der Erwerber des DG.\n\n-\n\nThe simple and currently somewhat unadorned ensemble of old buildings is a corner building with balconies facing the street and a large inner courtyard. The property has a total of 3 entrance areas.\n\nThe small 2 room apartment is located on the ground floor of the side wing, but in a well-kept condition it is also somewhat dark. The bathroom has a window. Optionally also the special use area can be attached before the dwelling. \n\nThe attic floor is to be completely rebuilt and will be equipped with elevators. The facade will also be completely redesigned. The costs for this will be borne by the purchaser of the DG.', 'Das Mehrfamilienhaus, in dem sich die angebotene Wohnung befindet, wurde vor kurzem nach WEG aufgeteilt, daher ist die Instandhaltungsrücklage noch gering.\n\nSobald alle Wohnungen in diesem Haus verkauft wurden, gibt es keine überwiegenden Mehrheitseigner. Die neue Gemeinschaft von Eigentümern findet sich gerade frisch zusammen.\n\nDer Verkauf der Einheiten erfolgt im IST-Zustand. Bitte beachten Sie mögliche Kosten für eine Sanierung in Ihrer Kalkulation. \n\n-\n\nThe apartment building in which the offered apartment is located has recently been divided into flats, so the maintenance reserve is still low.\n\nOnce all the apartments in this house have been sold, there are no predominant majority owners. The new community of owners is just getting together.\n\nThe units are sold in the ACTUAL state.', 'Der Rudolfkiez liegt am südlichen Ende von Friedrichshain, die Oberbaumcity,  Mediaspree und Stralau mit der Rummelsburger Bucht und dem Treptower Park grenzen diesen Anfang des 20. Jahrhunderts enstandenen Bezirk ein. \n\nDie Simon-Dach-Straße, Revaler Straße, East-Side-Gallery und das angenzende Kreuzberg sind die bekannten Hotspots in der Nähe mit vielen Bars, Clubs und Restaurants und fußläufig erreichbar. \n\nDie öffentlichen Nahverkehrsanbindungen mit den Knotenpunkten\nWarschauer Straße und Ostkreuz sowie die B96 sind ein Garant für Mobilität. Einkaufsmöglichkeiten, Kitas und Schulen sind ebenso in unmittelbarer Nähe.\n\n-\n\nThe Rudolfkiez is situated at the southern end of Friedrichshain, the Oberbaumcity, Mediaspree and Stralau with the Rummelsburger Bucht and the Treptower Park border this district, which was founded at the beginning of the 20th century. \n\nThe Simon-Dach-Straße, Revaler Straße, East-Side-Gallery and the pleasant Kreuzberg are the well-known hotspots nearby with many bars, clubs and restaurants and within walking distance. \n\nThe public transport connections with the junctions\nWarschauer Strasse and Ostkreuz as well as the B96 are a guarantee for mobility. Shopping facilities, day-care centres and schools are also in the immediate vicinity.', ""Als wirtschaftliches Unternehmen sind wir selbstverständlich auf die Zahlung einer Provision angewiesen.\n\nEs gilt ein vom Käufer an uns zu entrichtendes Vermittlungs- bzw. Nachweishonorar (Maklercourtage) bei Abschluss des Kaufvertrages in Höhe von 7,14 % (inkl. gesetzl. MwSt.) auf den tatsächlichen Kaufpreis als vereinbart. Unsere Angebote sind nur für den Empfänger selbst bestimmt. Bei einer Weitergabe an Dritte haftet der Angebotsempfänger für unsere Courtage. Die Inhalte unserer Angebote beruhen auf den Angaben des Verkäufers bzw. anderer fremder Dritter und nicht auf unseren Ermittlungen und erfolgen deshalb ohne Gewähr für deren Richtigkeit. Unsere Angebote erfolgen freibleibend und unverbindlich. Zwischenverkauf bleibt vorbehalten.\n\n-\n\nAs an economic enterprise, we are naturally dependent on the payment of a commission.\n\nA brokerage or proof fee (broker's commission) to be paid to us by the buyer on conclusion of the purchase contract in the amount of 7.14% (incl. statutory VAT) on the actual purchase price is deemed to have been agreed. Our offers are only intended for the recipient himself. The offeree is liable for our brokerage fee in the event that the offer is passed on to third parties. The contents of our offers are based on the information provided by the seller or other third parties and not on our investigations and are therefore without guarantee for their accuracy. Our offers are subject to confirmation and non-binding. Subject to prior sale.""]";;;;;;;;;;;;;
2020-05-11 12:20:42.112047;Berlin;central_heating;ONE_YEAR_FREE;365519;n;n;https://pictures.immobilienscout24.de/listings/6810048f-9c89-47ec-9563-8d7a56dc1dda-1364094134.jpeg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;9;14.43;40 MBit/s;telekom_layer_magenta_l;über VDSL;1908;REGULAR;14.43;117501078;natural_gas_heavy;y;false;MagentaZuhause L;y;Berlin;y;4;1;205;no_information;energy_consumption;7.95;40;Berlin;13357;refurbished;normal;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;apartment;13357;1;175;n;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;n;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.365519;159000;profile0;4;1;true;y;;n;n;Wedding_Wedding;117501078;1;Berlin;/expose/117501078;['Bei dem Objekt handelt es sich um einen in der Jahrhundertwende erbauten und voll unterkellerten Altbau, der aufgrund diverser Modernisierungsmaßnahmen in den vergangenen Jahren seinen Altbaucharme bis heute bewahrt hat. Das Haus verfügt über mehrere Innenhöfe. Besonders hier macht sich der historische Charakter aus den Anfängen des 20 Jahrhunderts bis heute bemerkbar.\nDie Wohnung befindet sich Gartenhaus und ist absolut ruhig gelegen.', 'Dielenboden\nOriginal- Türen und Fenster\nBadewanne \nBad mit Fenster\nEinbauküche\nkomplett möbliert', 'Die Wohnung liegt in der Bellermannstraße und ist aufgrund der unmittelbaren Nähe zum Prenzlauer Berg in einer äußerst begehrten Lage. Fußnah zum Objekt befindet sich das Gesundbrunnencenter und somit unzähligen Einkaufsmöglichkeiten. Verschiede öffentliche Verkehrsmittel(Bus, U8, S- Bahn) sind ebenfalls fußnah erreichbar.', 'Besichtigungen können jederzeit mit uns vereinbart werden.\n\nDie Wohnung kann auch unmöbliert verkauft werden.'];40;NO_INFORMATION;2;;;;;;;;;;
2020-05-11 12:20:42.586270;Berlin;floor_heating;;15347;y;y;https://pictures.immobilienscout24.de/listings/9cb3cb12-317c-4b60-bbee-5c2abc4c22d1-1364120530.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;10;11.02;;;;2021;;11.02;117506088;;n;true;;n;Berlin;n;6;9;;312;;4.78;64;Berlin;12687;first_time_use;sophisticated;false;;no_information;"M&auml;rkische Allee";y;;;Märkische_Allee;apartment;12687;3;;n;2,active;;Deutschland;premium;;wohnung_kauf;n;;false;001.15347;255900;profile0;20;3;true;n;showqualicontactform;n;n;Marzahn_Marzahn;415 Eigentumswohnung - Wuhletaler Fenster;3;Berlin;/expose/117506088;['Die sehr attraktive 3-Zimmer-Eigentumswohnung mit Balkon wird Sie jeden Tag aufs Neue begeistern.\n\nGenießen Sie hohen Wohnkomfort und wahres Wohnvergnügen in dieser attraktiven Eigentumswohnung im Wuhletaler Fenster. Das ausgewählte Laminat, die Fußbodenheizung und das Bad mit Badewanne und bodengleicher Dusche versprechen kompromissloses Wohnglück. Selbstverständlich erreichen Sie Ihre neue Eigentumswohnung  mit einem der 3 Aufzüge. Freuen Sie sich auf Ihr neues, eigenes Zuhause in grüner, familienfreundlicher Nachbarschaft. Kaufen Sie hier Ihre Zukunft.', '- Balkon\n- offene Küche\n- Fußbodenheizung\n- bodengleiche Dusche\n- Wannenbad\n- Fahrstuhl', 'Die 203 Wohnungen des Wuhletaler Fensters sind nicht nur optimal geschnitten, sie sind zudem auch noch äußerst energieeffizient. Ob zwei, drei oder vier Zimmer – jede Wohnung wird aus dem Fernwärmenetz versorgt und erfüllt unter anderem\ndeshalb den KfW-55-Standard. So profitiert nicht nur die Umwelt, sondern auch Sie: dank geringer Betriebskosten und spezieller Fördermöglichkeiten durch den Staat.', 'Besuchen Sie uns im Infobüro in der Trusetaler Straße 84 in 12687 Berlin\n\nDi - Do  \t15:00 – 17:00 Uhr\nSa \t\t10:00 – 13:00 Uhr\nSo\t\t14:00 – 17:00 Uhr\n\nIhre und unsere Gesundheit ist uns wichtig! Für die kommende Zeit haben wir für die Vor-Ort-Beratungen viele Gesundheitsvorkehrungen getroffen und bitten um Beachtung und Verständnis. Informieren Sie sich bitte zu unseren Maßnahmen auf bonava.de/bleib-gesund'];3;;5;disabled;89273;7000230;true;;;;;;
2020-05-11 12:20:42.964482;Berlin;oil_heating;ONE_YEAR_FREE;17573076;n;y;https://pictures.immobilienscout24.de/listings/75dcb535-2e76-41b8-aa39-3334e0f6f9ce-1364124053.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;9;11.73;40 MBit/s;telekom_layer_magenta_l;über VDSL;1959;REGULAR;11.73;117507255;oil;y;false;MagentaZuhause L;y;Berlin;n;6;2;226;12b;energy_consumption;5.75;60;Berlin;12169;well_kept;normal;false;100 MBit/s;outside;Althoffstr.;n;https://padlock.link/ioml;https://padlock.link/ml;Althoffstr.;apartment;12169;3;137.9;n;2,active;true;Deutschland;premium;100 MBit/s;wohnung_kauf;n;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;002.01008279229;289000;profile0;;3;true;n;showqualicontactform;n;n;Steglitz_Steglitz;13407AS12;2;Berlin;/expose/117507255;['Das weiß selbst der Laie, bei Immobilien geht es um die Lage… Herzlich Willkommen in einer ruhigen, grünen und zentralen Berliner Toplage! Das Wohnhaus befindet sich neben der Schloßstraße an dem grünen Althoffplatz. Im ersten Obergeschosses eines Neubaus aus dem Jahr 1959 finden Sie eine sehr gepflegte 3-Zimmer Wohnung mit idealen Grundriss, bei dem von einem kleinen Flur jegliche Zimmer, sowie Bad und Küche betretbar sind. \n\nEin wunderschöner, sonniger Balkon lädt zum Verweilen ein. Neben dem gepflegten Zustand sind noch der vorhandene Keller, die Eingangstür als Sicherheitstür, die Möglichkeit einen PKW-Stellplatz anzumieten sowie die bereits verbaute Einbauküche zu benennen. ', '- Schöne Lage direkt am Althoffplatz\n- Idealer Grundriss\n- Gepflegter und bezugsfreier Zustand\n- PKW-Stellplatz anmietbar \n- Einbauküche mit Terrazzoboden \n- Balkon mit Blick auf den Park ', 'Die Althoffstraße liegt in Berlin-Steglitz in einer beruhigten und grünen Straße, direkt  neben dem Althoffplatz. Hier gibt es genügend Einkaufs- und Versorgungsmöglichkeiten, sowie  wichtige U-Bahn- und S-Bahnhöfe durch die Nähe zu  der bekannten Schloßstraße. Zur Stadtmitte benötigen Sie 20 Fahrminuten,  zum berühmten Kurfürstendamm gerade einmal 10-15 Fahrminuten.  Wer also Ruhe mag, aber nicht ohne den Trouble der Stadt auskommt ist hier genau der Richtige.  \n', 'Die Käuferprovision beträgt 7,14% inklusive der gesetzlichen 19% Mehrwertsteuer.'];;E;1;;;;;true;;;;;
2020-05-11 12:20:43.328023;Berlin;district_heating;;8874474;n;n;https://pictures.immobilienscout24.de/listings/0bf836ef-8899-4630-bfd5-2ae0d8df4f4b-1364107419.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;22;11.3;;;;1890;;11.3;117503375;district_heating;n;false;;y;Berlin;y;7;1;218.01;36;energy_required;5.73;61.85;Berlin;10625;fully_renovated;no_information;false;;no_information;Pestalozzistr;n;;;Pestalozzistr;apartment;10625;2;79;n;2,active;;Deutschland;standard;;wohnung_kauf;n;;;001.8874474;393000;profile0;;2;true;n;;n;n;Charlottenburg_Charlottenburg;BO-PE-36-30;3;Berlin;/expose/117503375;"['Der klassische Berliner Altbau wurde 1890 erbaut und besteht aus 36 Wohneinheiten und 2 Gewerbeeinheiten. Das Haus ist vollunterkellert und erstreckt sich über drei Treppenhäuser. Das komplette Dachgeschoss wurde in den 1980er Jahren ausgebaut. Weitere Modernisierungsmaßnahmen werden in den kommenden Monaten durchgeführt.', 'Diese charmante Wohnung besteht aus insgesamt ca.62m² und erstreckt sich über zwei gut geschnitte Räume. Sie wurde vor kurzem renoviert und befindet sich in einem sehr guten Zustand. Im Flur, Schlafzimmer und Wohnzimmer und der offenen Küche sind helle Holzdielen verlegt. Im Badezimmer sind dunkle und optisch ansprechende Fliesen verlegt.', 'Sehr zentral in bester Lage Charlottenburg gelegen! Cafés, Bars und Restaurants reihen sich ebenso wie Geschäfte des täglichen Bedarfs. Nur wenige Meter entfernt die Wilmersdorfer Straße mit den ""Wilmersdorfer Arcaden"" bietet zahlreiche Einkaufsmöglichkeiten, sowie eine perfekte Verkehrsanbindung durch die gleichnamige U-Bahnhof (U7). Die S-Bahnhof Charlottenburg (S3, 5, 7, 9, 42) ist ebenso innerhalb von 5 Minuten fußläufig erreichbar. Nach Süden hin der Kurfürstendamm mit all seinen Büros und Shoppingmöglichkeiten lädt zum Verweilen ein.']";;C;3;disabled;;;;;true;;;;
2020-05-11 12:20:43.675094;Berlin;floor_heating;;15347;y;y;https://pictures.immobilienscout24.de/listings/09a209ff-6dd1-41b0-a420-fec07692a827-1360667616.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;11;11.02;;;;2021;;11.02;116170319;;n;true;;n;Berlin;n;6;9;;312;;4.78;75;Berlin;12687;first_time_use;sophisticated;false;;no_information;"M&auml;rkische Allee";y;;;Märkische_Allee;ground_floor;12687;3;;n;2,active;;Deutschland;premium;;wohnung_kauf;n;;false;001.15347;294900;profile0;20;3;true;n;showqualicontactform;n;n;Marzahn_Marzahn;7000230-381;3;Berlin;/expose/116170319;['Richten Sie sich Ihr Leben schön ein: Diese schöne Eigentumswohnung bietet 3 Zimmer und eine große Terrasse.\n\nFreuen Sie sich auf Ihren kombinierten Wohn-/Küchenbereich. Wir nennen so einen praktischen Raum einfach Wohnküche. Und das trifft den Nagel auf den Kopf: Gemeinsam kochen, essen, lachen, diskutieren, lesen, fernsehen – all das können Sie in Ihrer neuen Eigentumswohnung. Tolles Plus: Ihre eigene Terrasse. Die Schlafzimmer bieten einen ruhigen Rückzugsort. Gemütlich und behaglich warm präsentiert sich Ihre neue Wohnung von ihrer besten Seite. Alle Räume sind mit einer Fußbodenheizung ausgestattet. Hausschuhe haben hier ausgedient. Entdecken Sie diesen komfortablen Vorzug gerade im Winter jeden Morgen aufs Neue, wenn Sie barfuß aus der Badewanne steigen.', '- Terrasse\n- offene Küche\n- Fußbodenheizung\n- bodengleiche Dusche\n- Wannenbad\n- Fahrstuhl', 'Die 203 Wohnungen des Wuhletaler Fensters sind nicht nur optimal geschnitten, sie sind zudem auch noch äußerst energieeffizient. Ob zwei, drei oder vier Zimmer – jede Wohnung wird aus dem Fernwärmenetz versorgt und erfüllt unter anderem\ndeshalb den KfW-55-Standard. So profitiert nicht nur die Umwelt, sondern auch Sie: dank geringer Betriebskosten und spezieller Fördermöglichkeiten durch den Staat.', 'Besuchen Sie uns im Infobüro in der Trusetaler Straße 84 in 12687 Berlin\n\nDi - Do  \t15:00 – 17:00 Uhr\nSa \t\t10:00 – 13:00 Uhr\nSo\t\t14:00 – 17:00 Uhr\n\nIhre und unsere Gesundheit ist uns wichtig! Für die kommende Zeit haben wir für die Vor-Ort-Beratungen viele Gesundheitsvorkehrungen getroffen und bitten um Beachtung und Verständnis. Informieren Sie sich bitte zu unseren Maßnahmen auf bonava.de/bleib-gesund'];7;;0;disabled;89273;7000230;true;;true;;;;
2020-05-11 12:20:43.995661;Berlin;floor_heating;ONE_YEAR_FREE;18633416;y;y;https://pictures.immobilienscout24.de/listings/2cdcbf4e-99f9-43f3-bca3-a25d99ee6bce-1366648588.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;13;11.48;40 MBit/s;telekom_layer_magenta_l;über Glasfaser;2019;REGULAR;11.48;117504237;district_heating;n;false;MagentaZuhause L;y;Berlin;y;7;9;150;1;;7.11;52.6;Berlin;10245;first_time_use;no_information;false;100 MBit/s;no_information;SIEGFRIED HIRSCHMANN PARK;y;https://padlock.link/ioml;https://padlock.link/ml;SIEGFRIED_HIRSCHMANN_PARK;apartment;10245;2;;n;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;n;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;009.270e1355-3188-4b1e-b4bc-4126ea394bff;378000;profile0;5;2;true;n;showqualicontactform;n;n;Friedrichshain_Friedrichshain;117504237;2;Berlin;/expose/117504237;['This 1bd is facing south. Opening the view to the centrally located Park. The generous recessed balcony and the floor to ceiling windows make a spacious and open impression.  \nCompleted in late 2019, no rental cap, ready to move in. \n\nDie 2-Zimmer Wohnung ist nach Süden ausgerichtet. Sie öffnet sich zum zentralen Park. Die große Loggia und die bodentiefen Fenster schaffen eine offene, räumlich großzügige Atmosphäre. Fertiggestellt Ende 2019, kein Mietdeckel, fertig zum Einziehen oder Vermieten.', 'This Apartment is located in the late 2019 opened Box 7 complex. Seven buildings compose an ensemble with impressive generosity. The carefully arranged park in its center feels like a calm oasis in the bustling area. Within walking distance, you can enjoy the restaurant and bar area around the Sonntagstraße and Simon Dach Straße, the flea and food market on the Boxhagener Platz, the Spree river and the green of the Treptower Park.\n\nLocated in the vibrant Friedrichshain neighborhood. This district is a young, colorful, international area, near the centre. Home of boutiques, artists, restaurants and cafés and start-up companies. With the new business district Mercedes plaza plenty of potential tenants are nearby. Companies like Zalando, Amazon, Coca Cola, BASF, Nike, Mercedes are present.    \n\nThe nearby City train station Ostkreuz is linked to the circular line or the main line to the center. Here direct connections bring you to the airport in just 20 minutes and to the center Alexanderplatz 10 minutes. \n\nDie 2 Zimmer Wohnung liegt im 2019 fertiggestellten Box Seven Projekt. Sieben Gebäude gruppieren sich zu einem Ensemble mit beeindruckender Weitläufigkeit. Der sorgfältig angelegte Park in der Mitte ist wie eine ruhige Oase in der wuseligen Großstadtleben. Ganz in der Nähe kann man die Restaurants und Cafés in der Sonntagstraße und Simon Dach Straße genießen, am Boxhagener Platz über den Flohmarkt und den Wochenmarkt schlendern oder sich am Spreeufer und im Treptower Park erholen.\n\nFriedrichshain ist ein beliebter vibrierender Bezirk. Jung, bunt, international und zentrumnah. Hier findet man viele Boutiquen, Künstler, Restaurants, Cafés und Start-up Firmen. Im neuen Geschäftsviertel Mercedes Platz sind zahlreiche namenhafte Firmen wie Zalando, Amazon, Coca-Cola, BASF, Nike, Mercedes angesiedelt. Viele potenzielle gute Mieter.\nOptimal an den ÖPNV angebunden. Von dem nahen Bahnhof Ostkreuz kann die Ringbahn oder die Hauptlinie der S-Bahn ins Zentrum benutzen. Hier gelangt man direkt zum neuen Flughafen in 20 Minuten oder in 10 Minuten zum Alexanderplatz.'];;;1;;;;;;;;;;
2020-05-11 12:20:44.335340;Berlin;central_heating;ONE_YEAR_FREE;365519;n;n;https://pictures.immobilienscout24.de/listings/93115b2c-95f5-4a4c-9277-32bf9be8481d-1364093655.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;12;16.54;40 MBit/s;telekom_layer_magenta_l;über VDSL;1900;REGULAR;16.54;117500979;natural_gas_heavy;n;false;MagentaZuhause L;y;Berlin;y;6;1;275;5;energy_required;8.84;61;Berlin;12055;well_kept;normal;false;100 MBit/s;no_information;"Zwiest&auml;dter str.";n;https://padlock.link/ioml;https://padlock.link/ml;Zwiestädter_str.;ground_floor;12055;2.5;147.8;n;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;n;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.365519;299000;profile0;4;2;true;n;;n;n;Neukölln_Neukölln;117500979;3;Berlin;/expose/117500979;['Bei dem Gebäude handelt es sich um einen herrschaftlichen und voll unterkellerten Altbau, der aufgrund diverser Modernisierungsmaßnahmen in den vergangenen Jahren seinen Altbaucharme bis heute bewahrt hat.  Das Dachgeschoss wurde ausgebaut. Der Innenhof ist begrünt, besonders hier macht sich der historische Charakter der Berliner Innenhöfe aus den Anfängen des 20. Jahrhunderts bis heute bemerkbar. \n\nDie Wohnung liegt im Erdgeschoss. Sämtliche Wohnräume sowie der Flur verfügen über einen sehr schönen Dielenboden. Die Küche ist als Wohnküche zu bezeichnen und bietet daher ausreichend Platz für einen Eßtisch. Die Wohnung verfügt über moderne Fenster.', 'großzügige Deckenhöhe\nDielenboden\nhochwertiger Fliesenboden in der Küche(Fliesen aus Marokko) ca. 2018 verlegt\noriginal Türen\nmoderne Fenster\nWohnküche\nDusche\nKeller', 'Direkt am Richardplatz handelt es sich um eine der beliebtesten Wohnlagen in Neukölln. Alle Einkaufsmöglichkeiten des täglichen Bedarf sind fußnah erreichbar, ebenso wie verschiedene öffentliche Verkehrsmittel (S-Bahn Ring, U7).', 'Besichtigungen können kurzfristig stattfinden.'];61;;0;;;;;;;;;;
2020-05-11 12:20:44.698459;Berlin;district_heating;;431366;n;y;https://pictures.immobilienscout24.de/listings/802d6fa1-7537-4fb3-b3e6-ccdef4dec8c0-1364087083.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;16;10.77;;;;1997;;10.77;117499547;district_heating;y;false;;y;Berlin;y;7;5;289.84;77a;energy_consumption;5.67;68.67;Berlin;10179;well_kept;normal;false;;underground_garage;Alte Jakobstrasse;y;;;Alte_Jakobstrasse;apartment;10179;2;77.7;n;2,active;;Deutschland;top;;wohnung_kauf;n;;false;001.431366;395000;profile0;7;2;true;n;;n;n;Mitte_Mitte;AJ77a-E113;3;Berlin;/expose/117499547;['Es handelt sich um eine attraktive Anlage, deren Straßenfassade durch eine ausgewogene Kombination von Glas und Naturstein besticht. Zu dem Gebäude gehört eine sechsgeschossige Tiefgarage mit direktem Zugang über Treppenhaus bzw. Aufzug.', 'Die Wohnung ist in einem gepflegten Zustand. \nDie Einbauküche mit Dunstabzugshaube, Herd und Kühlschrank ist in den großzügigen Wohnraum integriert.  \nDer Balkon ist nach Südwesten zum ruhigen Innenhof ausgerichtet. Ebenfalls zur Wohnung gehört ein Wannenbad und ein separates Gäste-WC.  Ein trockener und sauberer Kellerraum steht ebenfalls zur Verfügung. \n\nZur Wohnung gehört ein Tiergaragenstellplatz. \n\nDer Kaufpreis des Stellplatzes beträgt 25.000,-€ und kommt auf den angegebenen Kaufpreis der Wohnung hinzu. Somit ergibt sich ein Gesamtkaufpreis von 420.000 €. \n\nWohnung und Stellplatz werden ausschließlich zusammen verkauft.\n\nIm Keller gibt es Münzwaschmaschinen und -trockner.', 'Das Objekt befindet sich in einer sehr guten zentralen Lage im Herzen der Hauptstadt. Die angebotene Wohnung ist im 6. Obergeschoss zum ruhigen Innenhof gelegen. \nDirekt im Nachbargebäude ist ein großer Supermarkt sowie ein Bio-Markt gelegen. Diverse weitere Geschäfte des täglichen Bedarfs befinden sich im nahen Umfeld. \n\nDen U-Bahnhof Märkisches Museum erreichen Sie in ca. 3 Minuten bzw. fahren auch die Buslinien 147 und 265 in unmittelbarer Nähe.', 'Bitte sehen Sie sich auch die 360° Besichtigung an. Aufgrund der aktuellen Situation führen wir Besichtigungen nur unter strengen Schutzmaßnahmen durch. Dadurch ist auch die Personenanzahl bei einer Besichtigung beschränkt. Anfragen bitte per E-Mail, da wir teilweise aus dem Homeoffice arbeiten.'];;C;6;;;;;;true;1;;;
2020-05-11 12:20:45.161536;Berlin;central_heating;;1163286;n;y;https://pictures.immobilienscout24.de/listings/725a81b0-bce8-4f2f-81c9-d35c2034498a-1364111405.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;1;10.87;;;;1914;;10.87;117504079;district_heating;n;false;;y;Berlin;y;9;1;383;no_information;energy_required;5.63;118;Berlin;12159;well_kept;normal;false;;no_information;no_information;n;;;no_information;apartment;12159;4;125.7;n;2,active;;Deutschland;standard;;wohnung_kauf;y;;false;001.1163286;549000;profile1_customersettings;5;4;true;n;showqualicontactform;n;n;Friedenau_Schöneberg;117504888;5;Berlin;/expose/117504079;['Weitere Angebote zu unseren Eigentumswohnungen finden Sie auf unserer Homepage: http://www.wohllebe-immobilien.de/etw.php\nDie vermietete Eigentumswohnung befindet sich im 2. OG im Vorderhaus in einem Altbaugebäude aus dem Jahre 1914. Das Gebäude hat keinen Personenaufzug.\nThe dwelling is located in the 2. floor in a building of 1914.', 'Die vermietete Eigentumswohnung hat 4 Zimmer mit Dielen und ein Wannenbad mit Fenster. Die Wohnung hat einen ruhigen Süd-West-Balkon und einen 2. Balkon nach Osten ausgerichtet. Die Küche hat Platz für einen Essplatz. Für ein ausführliches Expose geben Sie bitte Ihren Namen und Postadresse an.\nThe dwelling has 4 rooms with wooden floor and a balcony to the south-west. If you whant more information with fotos, groundplan etc. please send us your name and your post adress.', 'Das Gebäude befindet sich in klassischer Lage Berlin Friedenau Die S-Bahn ist fußläufig erreichbar. In der näheren Umgebung befinden sich sämtliche Einkaufsmöglichkeiten und Dienstleistungen, die man für den täglichen Bedarf benötigt. Auch Schulen, Kitas und andere (öffentliche) Einrichtungen sind fußläufig erreichbar.\nThe building is in a quiet street of Friedenau. The S-Bahn is reachable  in a walking distance. In the near region you have schools and shopping possibilities around.'];;;2;;;;;;;;;;
