timestamp;obj_regio1;obj_cId;obj_newlyConst;obj_balcony;obj_picture;obj_picturecount;obj_pricetrend;obj_yearConstructed;obj_pricetrendbuy;obj_scoutId;obj_firingTypes;obj_hasKitchen;obj_ExclusiveExpose;obj_courtage;geo_bln;obj_cellar;obj_purchasePriceRange;obj_yearConstructedRange;obj_houseNumber;obj_energyType;obj_pricetrendrent;obj_livingSpace;geo_krs;obj_zipCode;obj_condition;obj_interiorQual;ga_cd_cxp_historicallisting;obj_parkingSpace;obj_street;obj_lift;obj_streetPlain;obj_typeOfFlat;geo_plz;obj_noRooms;obj_thermalChar;obj_assistedLiving;obj_ityp;geo_land;ga_cd_via;obj_immotype;obj_rented;obj_cwId;obj_purchasePrice;ga_cd_application_requirements;obj_noRoomsRange;ga_cd_maillead_default_shown;obj_garden;obj_barrierFree;obj_international;obj_regio3;obj_objectnumber;obj_livingSpaceRange;obj_regio2;URL;beschreibung;obj_heatingType;ga_cd_via_qualified;obj_telekomTvOffer;obj_telekomUploadSpeed;obj_telekomTrackingGroup;obj_telekomInternetTechnology;obj_telekomInternetType;obj_telekomInternetProductName;obj_rentSubsidy;obj_energyEfficiencyClass;obj_telekomDownloadSpeed;obj_telekomInternetUrlMobile;obj_telekomInternetUrl;obj_groupnumber;obj_telekomHdTelephone;obj_telekomInternet;obj_floor;obj_telekomInternetServices;obj_telekomInternetProductAvailable;obj_numberOfFloors;evt_count_pm_sig;obj_galleryAd;obj_usableArea;obj_lastRefurbish;obj_noParkSpaces;obj_telekomHybridUploadSpeed;obj_telekomHybridDownloadSpeed
2020-05-11 12:25:56.822024;Berlin;16273579;n;n;https://pictures.immobilienscout24.de/listings/2e2f5b3a-7892-450a-b354-8da71670a185-1360541232.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;3;11.35;1907;11.35;116962856;district_heating;n;false;y;Berlin;n;7;1;no_information;energy_consumption;7.53;70;Berlin;10245;no_information;no_information;false;no_information;no_information;n;no_information;apartment;10245;2;109;n;2,active;Deutschland;standard;wohnung_kauf;n;001.15952887;335000;profile0;2;true;n;n;n;Friedrichshain_Friedrichshain;469;3;Berlin;/expose/116962856;['Im Herzen von Friedrichshain gelegen befindet sich diese Wohnung im 3. Stockwerk eines typischen Berliner Altbaus. Dieser liegt in einer Straße, die ausschließlich von Altbauten geprägt ist. Die 2-Zimmer-Wohnung verfügt über natürlich belichtete Bad und Küche sowie über einen Balkon. Jeweils ein Zimmer ist zur Straße, eines zum Hof hin ausgerichtet.', 'Die Wohnung befindet sich in einer ruhigen Seitenstraße, das gesamte Umfeld besteht überwiegend aus Altbauten. Das Umfeld ist durch zahlreiche Bäume entlang der Straße begrünt. Das direkte Umfeld bietet ein abwechslungsreiches Angebot an zahlreichen Cafés und Restaurants.', 'Alle Angaben beruhen auf den Auskünften des Eigentümers, wir übernehmen dafür keine Gewähr. Zwischenverkauf / Änderung / Irrtum vorbehalten.'];;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-05-11 12:25:57.272724;Berlin;17452934;n;n;https://pictures.immobilienscout24.de/listings/f439e79e-4012-4193-b1b4-ab8bb8312164-1360509857.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;6;11.49;1925;11.49;116959842;gas;n;false;y;Berlin;y;5;1;no_information;energy_required;6.07;52.62;Berlin;12165;no_information;no_information;false;no_information;no_information;n;no_information;raised_ground_floor;12165;2;172.1;n;2,active;Deutschland;premium;wohnung_kauf;n;002.01000622582;221004;profile0;2;true;n;n;n;Steglitz_Steglitz;116959842;2;Berlin;/expose/116959842;['Der ursprüngliche Dielenboden ist in den Zimmern und dem Flur aufgearbeitet worden.\n\nDie alten Doppelkastenfenster sind bereits gegen Isolierglasfenster ausgetauscht worden.\n\nDas Bad mit Wanne ist direkt vom Flur begehbar. \n\nVom Flur gelangt man ebenfalls in beide Zimmer und in die große Küche.', '2 Zimmer\nIsolierglasfenster\nAbgezogener Dielenboden\nBad mit Wanne\nKeller', 'Das Objekt befindet sich im Stadtteil Berlin- Steglitz nur wenige Meter vom Rathaus Steglitz entfernt.\n\nDie Anbindung an den öffentlichen Personennahverkehr ist durch die nahegelegene U+S-Bahn-Station Rathaus Steglitz und diverse Buslinien hervorragend.\n\nMit dem Auto ist man schnell am Potsdamer Platz und in der City-West am Kurfürstendamm.\n\nFußläufig sind alle Geschäfte des täglichen Bedarfs in wenigen Minuten erreichbar. Der Botanische Garten befinden sich im direkten Umfeld.', 'Ein Besichtigungstermin kann jederzeit zeitnah vereinbart werden.'];self_contained_central_heating;true;ONE_YEAR_FREE;40 MBit/s;telekom_layer_magenta_l;über VDSL;REGULAR;MagentaZuhause L;137.28;NO_INFORMATION;100 MBit/s;https://padlock.link/ioml;https://padlock.link/ml;200;true;100 MBit/s;0;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;5;showqualicontactform;;;;;;
2020-05-11 12:25:57.593796;Berlin;16785385;n;n;https://pictures.immobilienscout24.de/listings/63869700-eed2-49ea-830d-a1cac0e3453f-1368303132.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;11;10.81;1939;10.81;116961609;district_heating;n;false;y;Berlin;n;3;1;no_information;energy_consumption;4.75;50.68;Berlin;12437;no_information;normal;false;no_information;no_information;n;no_information;apartment;12437;2;91;n;2,active;Deutschland;top;wohnung_kauf;y;002.01007573808;132000;profile0;2;true;n;n;n;Plänterwald_Treptow;KÖ_114-244;2;Berlin;/expose/116961609;['Das Haus wurde um die Jahrtausendwende umfassend saniert und modernisiert. Dazu gehören u. a. die Leitungen, die Bäder, die Fenster, das Dach, die Dämmung der Fassade und vieles mehr.', 'Die ausgezeichnete Infrastruktur sorgt für kurze Wege. Geschäfte für den täglichen Bedarf, Dienstleister Ärzte usw. befinden sich in unmittelbarer Nähe.\n\nVerkehrsanbindungen finden Sie über verschiedene Buslinien, sowie den S-Bahnhof Plänterwald (1000 Meter).\nViele Grünanlagen befinden sich in der fußläufigen Umgebung zum Wohnhaus, so zum Beispiel der Treptower Park und der Park Plänterwald, in Richtung Spree.', 'Die Wohnung ist vermietet.\n\nDie zur Zeit gezahlte Nettokaltmiete liegt bei 4.580,88 Euro im Jahr.\n\nDas Hausgeld beträgt  197,- Euro im Monat, inkl. der Instandhaltungsrücklage in Höhe von 31,- Euro. \n\nWeitere Informationen erhalten Sie gerne auf Anfrage.'];central_heating;;ONE_YEAR_FREE;40 MBit/s;telekom_layer_magenta_l;über VDSL;REGULAR;MagentaZuhause L;197;C;100 MBit/s;https://padlock.link/ioml;https://padlock.link/ml;;true;100 MBit/s;1;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;4;showqualicontactform;disabled;;;;;
2020-05-11 12:25:57.908416;Berlin;16785385;n;n;https://pictures.immobilienscout24.de/listings/5fb3d139-f6f1-465e-bc37-fb3ed376f3f8-1368302540.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;17;11.14;1897;11.14;116961766;gas;n;false;y;Berlin;n;7;1;no_information;energy_required;6.17;56.76;Berlin;10435;no_information;normal;false;no_information;no_information;n;no_information;apartment;10435;2;155.1;n;2,active;Deutschland;top;wohnung_kauf;y;002.01007573808;350000;profile0;2;true;n;n;n;Prenzlauer_Berg_Prenzlauer_Berg;HUs_9-29;2;Berlin;/expose/116961766;['Schön sanierter Altbau mit gepflegtem Mieterklientel. Das historische Wohnensemble besteht aus Vorderhaus, Seitenflügel und Hinterhaus (Quergebäude). \n\nDas Objekt wurde Mitte der 90iger Jahre des vorigen Jahrhunderts aufgeteilt und liebevoll restauriert.\n\nDie Wohnung befindet sich in der dritten Etage des ruhigen Quergebäudes.', 'Unmittelbar im bekannten und bei Investoren begehrten Kollwitz-Kiez in Prenzlauer Berg.\n\nUmgeben von diversen Einkaufsmöglichkeiten und Restaurants sowie dem beliebten Wochenmarkt. \n\nDie in der Nähe gelegene Kulturbrauerei, der Volkspark Friedrichshain und die gemütlichen Kiezstraßen sind bei den Berlinern und Ihren Gästen sehr beliebt.', 'Die Wohnung ist vermietet.\n\nDie zur Zeit gezahlte Nettokaltmiete liegt bei ca. 6.480 Euro im Jahr.\n\nDas Hausgeld in 2020 beträgt 198,00 € im Monat, inkl. der Instandsetzungsrücklage in Höhe von 45,00 €.\n\nWeitere Informationen erhalten Sie gerne auf Anfrage, nach Bestätigung der Widerrufsbelehrung zum Maklervertrag.\n\nBitte beachten Sie, dass die Wohnung vermietet und bewohnt ist. Besichtigungen können deshalb nur in Absprache mit den Mietern erfolgen. Hinterlassen Sie uns freundlicherweise Ihre Kontaktdaten und wir informieren Sie, wann eine Innenbesichtigung möglich ist.'];central_heating;;ONE_YEAR_FREE;40 MBit/s;telekom_layer_magenta_l;über VDSL;REGULAR;MagentaZuhause L;180;E;100 MBit/s;https://padlock.link/ioml;https://padlock.link/ml;;true;100 MBit/s;;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;4;showqualicontactform;disabled;;;;;
2020-05-11 12:25:58.224808;Berlin;16785385;n;n;https://pictures.immobilienscout24.de/listings/5a961ed9-0815-42f9-8e89-cc7bca5f6489-1368302425.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;18;11.48;1902;11.48;116961859;district_heating;n;false;y;Berlin;n;7;1;no_information;energy_consumption;7.14;62.87;Berlin;10247;no_information;normal;false;no_information;no_information;n;no_information;apartment;10247;2;110;n;2,active;Deutschland;top;wohnung_kauf;n;002.01007573808;310000;profile0;2;true;n;n;n;Friedrichshain_Friedrichshain;DOs_20-17;3;Berlin;/expose/116961859;['Gepflegter Altbau im Herzen der Stadt in einer ruhigen Nebenstraße, nahe Traveplatz im begehrten Friedrichshain. Das Haus wurde um die Jahrtausenwende umfassend saniert und präsentiert sich im gutem Zustand.', 'Das Objekt befindet sich in einer Seitenstraße der Frankfurter Allee in der Nähe vom Traveplatz. Unwesentlich entfernt sind die U bzw.S-Bahnhöfe Samariterstr. und Frankfurter Allee. Unter Anderem finden Sie den beliebten Simon-Dach-Kiez mit seinen Bars, Restaurants und Cafés in fußläufiger Umgebung.', 'Die Wohnung ist ab sofort bezugsfrei. \n\nDas Hausgeld beträgt 251,00 Euro im Monat, inkl. 64,00 Euro Instandsetzungsrücklage.\n\nWeitere Informationen erhalten Sie gerne auf Anfrage nach Bestätigung der Widerrufsbelehrung.\n\nDas Angebot versteht sich freibleibend!'];central_heating;;ONE_YEAR_FREE;10 MBit/s;telekom_layer_magenta_m;über VDSL;REGULAR;MagentaZuhause M;251;D;50 MBit/s;https://padlock.link/iomm;https://padlock.link/mm;;true;50 MBit/s;2;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;;showqualicontactform;disabled;;;;;
2020-05-11 12:25:58.601951;Berlin;76007;n;y;https://pictures.immobilienscout24.de/listings/a7e46056-62e6-4e82-a032-48531109eb86-1366396901.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;16;10.77;1895;10.77;116044516;gas;y;true;y;Berlin;y;8;1;no_information;energy_consumption;5.67;70;Berlin;10115;modernized;no_information;false;no_information;no_information;n;no_information;roof_storey;10115;2;100.6;n;2,active;Deutschland;standard;wohnung_kauf;n;001.76007;429000;profile0;2;true;n;n;n;Mitte_Mitte;68423;3;Berlin;/expose/116044516;"['Wir bitten Sie sich zu allererst über die Internetanzeige mit einer Anfrage bei uns zu registrieren. Im Anschluss erhalten Sie das vollständige Exposé und den Zugang zu der 360 Grad Tour.\r\n\r\nDie zum Verkauf stehende Eigentumswohnung befindet sich im Dachgeschoss (5.OG, ohne Lift)) eines sanierten Gebäudekomplexes ca. aus dem Jahre 1895. Das Dachgeschoss wurde 1998 im Zuge der Kernsanierung ausgebaut. Nur wenige hundert Meter vom Monbijoupark oder dem Naturkundemuseum befindet sich diese hochwertige Wohnung inmitten einer der begehrtesten City-Lagen mit gepflegter Altbaustruktur zwischen Chaussee-, Invaliden- und Torstraße.\r\n\r\nDie Wohnung verfügt über 2 Zimmer mit einer sehr schönen Terrasse von ca. 10 m², die nach Süden ausgerichtet ist. \r\n\r\nDie Wohnraumgestaltung ist gelungen: Die geräumige, helle Küche mit moderner Küchenzeile (2017 erneuert) hat Zugang zur Terrasse und verfügt über ein zusätzliches Fenster. Auch Tür und Fenster des hell gefließten Wannenbades führen zur Terrasse. Die Sanitärausstattung ist stilvoll und ansprechend. Die geräumige Abstellkammer (ca. 3,41 m²) erhält Licht über ein Fenster zur Terrasse. Sämtliche Türen und Fenster zur Terrassenseite sind im Jahr 2013 durch moderne, wärmeschutzverglaste Kunststofftüren ersetzt worden. Auch die Holzfenster zur Straßenseite enthalten Doppelisolierglafenster.\r\n\r\nAlle Zimmer der Wohnung sind jeweils vom Flur aus begehbar.\r\n\r\nDie Böden der Wohnung sind mit hellem Parkett bzw. im Bad mit Fliesen belegt. \r\n\r\nBeheizt wird das Haus über eine Gas-Zentralheizung.\r\n\r\nDas aktuelle Wohngeld liegt bei 240 EUR inkl. der allgemeinen Nebenkosten und Instandhaltungsrücklage', 'Top-Lage in Berlin-MITTE! \r\nDer Stadtbezirk Mitte liegt im Zentrum der Hauptstadt und ist der ""In-Bezirk"" sowie Verwaltungs-, Regierungs- und auch historisches Zentrum der Stadt. Zahlreiche kulturelle Institutionen machen den Bezirk zusätzlich attraktiv, wie z.B. viele Theater, 2 Opernhäuser, das Schauspielhaus am Gendarmenmarkt und die berühmten Museen auf der Museumsinsel. Daneben prägen viele gastronomische Einrichtungen, ausgefallene und exklusive Geschäfte und eine kreative Kulturszene das Bild dieses Bezirkes. \r\nDie Altbau-Wohnung hat eine optimale Lage in Berlin Mitte. Die Museumsinsel, das Regierungsviertel sowie ""Unter den Linden"" sind zu Fuß bequem in ca. 10 bis 20 Minuten zu erreichen. Der S- Bahnhof ""Nordbahnhof"" mit den Linien S1, S2, S25 und S26 ist nur 300m entfernst und zur U- Bahnstation Oranienburger Tor oder Rosenthaler Platz sind es ca. nur 550m. Die Lage bietet ideale Wohn- und Arbeitsqualität für diejenigen, die komfortabel im Herzen der Hauptstadt leben wollen.']";central_heating;;ONE_YEAR_FREE;40 MBit/s;telekom_layer_magenta_l;über VDSL;REGULAR;MagentaZuhause L;240;;100 MBit/s;https://padlock.link/ioml;https://padlock.link/ml;8101;true;100 MBit/s;5;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;;showqualicontactform;;;;;;
2020-05-11 12:25:58.919404;Berlin;380413;n;n;https://pictures.immobilienscout24.de/listings/cd077a57-4355-4f51-b7e9-9b8a6bdadaf8-1360498668.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;6;12.1;1903;12.1;116959084;oil;n;false;n;Berlin;y;5;1;2;energy_consumption;7.07;45;Berlin;10829;first_time_use_after_refurbishment;sophisticated;false;no_information;"Naumannstra&szlig;e";y;Naumannstraße;roof_storey;10829;1;198;n;2,active;Deutschland;top;wohnung_kauf;n;001.380413;250000;profile0;1;true;y;n;n;Schöneberg_Schöneberg;116959084;2;Berlin;/expose/116959084;['Das ca. im Jahr 1903 auf einem 879 m² großen Grundstück errichtete Eckhaus umfasst einen sechs geschossigen Altbau. Das Objekt bildet durch seine Lage an der Kreuzung von Brunhildstraße und Naumannstraße ein markantes Eckhaus, wodurch die Wohnungen sehr hell und großzügig sind.', '+ Erstbezug nach Sanierung\n+ lichtdurchlfutet dank großzügiger Fenster \n+ große Oberlichter\n+ Fesnteraustritt\n+ Modernes Wannenbad \n+ Flur mit Garderobe\n+ Parkett', 'Die Liegenschaft liegt in einer beliebten Wohnlage von Schöneberg unweit der belebten Hauptstraße. Die Straße befindet sich zwischen der Kolonnenstraße und der Monumentenstraße. Die Lage ist geprägt durch sehr schöne Altbauten mit größtenteils hochherrschaftlicher Ausstattung. In Fußnähe liegt der sehr beliebte Viktoriapark, der Gleisdreieckpark mit dem Museumsteich und der Heinrich von Kleist Park.\nDurch die nahegelegenen Geschäftsstraßen Kolonnenstraße, und Hauptstraße sowie die sehr gute ÖPNV Verkehrsanbindung ist der Standort hervorragend an die örtliche Infrastruktur angeschlossen. Die S-Bahnstation Julius-Leber-Brücke befindet sich in ca. 200 Metern Entfernung und die U-Bahn Station Kleistpark in ca. 600 Metern Entfernung. Auch eine Kita und Grundschule in nächster Umgebung bieten Ihren Kindern ein umfassendes Angebot. Es handelt sich um eine sehr beliebte Wohngegend, mit einem knappen Angebot an freien Mietwohnungen sowie einem großen Interesse an Eigentumswohnungen.'];central_heating;;ONE_YEAR_FREE;40 MBit/s;telekom_layer_magenta_l;über VDSL;REGULAR;MagentaZuhause L;135;;100 MBit/s;https://padlock.link/ioml;https://padlock.link/ml;;true;100 MBit/s;6;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;6;showqualicontactform;;48;2020;;;
2020-05-11 12:25:59.314511;Berlin;57619;n;n;https://pictures.immobilienscout24.de/listings/d17daee3-e697-4199-93eb-29568520b577-1360814503.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;17;8.71;1914;8.71;116959643;gas;n;true;y;Berlin;n;8;1;no_information;energy_consumption;4.16;151;Berlin;13467;well_kept;no_information;false;no_information;no_information;n;no_information;roof_storey;13467;5;142.6;n;2,active;Deutschland;premium;wohnung_kauf;n;001.57619;489800;profile0;5;true;n;n;n;Hermsdorf_Reinickendorf;10130#0gCdo;7;Berlin;/expose/116959643;['Das in der Gründerzeit gebaute Mehrfamilienhaus mit derzeit sieben Wohneinheiten ist der Jugendstilepoche entsprungen und stellt somit die klassischen Erwartungen an einen Altbau aus dieser Epoche dar. Die Teilmodernisierung erfolgte in mehreren Ausbaustufen in den Jahren 1986 bis 2006 mit dem Dachausbau der Eigentumswohnung über zwei Ebenen, mit einem Wohnzimmer von ca. 50 m² sowie einem Balkon und zwei Bädern.', 'Die Ausstattung der Wohnung entspricht modernen Erwartungen im Bereich der Bäder und der Elektrik. Die Etagengastherme mit Warmwasserspeicher ist im Jahr 2005 eingebaut worden. Weitere Instandhaltungs- und Modernisierungsmaßnahmen, z. B. Dachflächenfenster Velux inkl. Rollo in 2015 oder Grundsanierung des Balkons in 2012 führten zu einer höheren Wohnqualität. Die Grundrissgestaltung ist modern und praktisch, dennoch gibt es ausreichend Freiraum zur Gestaltung der Wohnfläche.', 'Hermsdorf liegt im Norden von Berlin und gilt als ein besonderer Stadtteil mit viel Natur und den Waldsee Hermsdorf (fußläufig in 10 Minuten) sowie den Hermsdorfer See (fußläufig in 15 Minuten). Eine wichtige öffentliche Verkehrsanbindung ist der Bahnhof Hermsdorf. Hier halten die Züge der S-Bahnlinie S1. Die wichtigsten Verkehrsstraßen sind die östlich des Bahndamms in Nord-Süd-Richtung verlaufende Berliner Straße (Bundesstraße 96) sowie der Hermsdorfer Damm. Die A 111 - Anschlussstelle erreichen Sie über den Waidmannsluster Damm. Die Buslinien 125, 326, 220, N20, N25 und die U-Bahnlinie 6 runden die öffentliche Verkehrsanbindung ab.', 'Die genannten Informationen beruhen auf den Angaben des Verkäufers. Für die Richtigkeit und Vollständigkeit der Angaben wird keine Gewähr oder Haftung übernommen.\r\n\r\nSeit dem 25. Mai 2018 gilt nach einer zweijährigen Übergangszeit in Deutschland die EU-Datenschutz-Grundverordnung (DS-GVO). Sie regelt, wie private Unternehmen und öffentliche Stellen personenbezogene Daten verarbeiten dürfen. Neben dem freien Datenverkehr innerhalb der Europäischen Union steht der Schutz der personenbezogenen Daten im Vordergrund.\r\nWeitere Angaben zum Umgang mit personenbezogenen Daten sowie Rechten finden Sie unter www.debeka.de/datenschutz.'];;true;ONE_YEAR_FREE;40 MBit/s;telekom_layer_magenta_l;über VDSL;REGULAR;MagentaZuhause L;275;E;100 MBit/s;https://padlock.link/ioml;https://padlock.link/ml;11;true;100 MBit/s;;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;;;;6;;;;
2020-05-11 12:25:59.638678;Berlin;16785385;n;n;https://pictures.immobilienscout24.de/listings/1a36a94f-9f91-4e44-8ea8-7ac757d7af92-1368303243.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;12;10.81;1939;10.81;116962028;district_heating;n;false;y;Berlin;n;3;1;no_information;energy_consumption;4.75;42.74;Berlin;12437;no_information;normal;false;no_information;no_information;n;no_information;apartment;12437;2;91;n;2,active;Deutschland;top;wohnung_kauf;y;002.01007573808;111000;profile0;2;true;n;n;n;Plänterwald_Treptow;KÖ_118-260;2;Berlin;/expose/116962028;['Das Haus wurde um die Jahrtausendwende umfassend saniert und modernisiert. Dazu gehören u. a. die Leitungen, die Bäder, die Fenster, das Dach, die Dämmung der Fassade und vieles mehr.', 'Die ausgezeichnete Infrastruktur sorgt für kurze Wege. Geschäfte für den täglichen Bedarf, Dienstleister Ärzte usw. befinden sich in unmittelbarer Nähe.\n\nVerkehrsanbindungen finden Sie über verschiedene Buslinien, sowie den S-Bahnhof Plänterwald (1000 Meter).\nViele Grünanlagen befinden sich in der fußläufigen Umgebung zur Wohnanlage, so zum Beispiel der Treptower Park und der Park Plänterwald, in Richtung Spree.', 'Die Wohnung ist vermietet.\n\nDie zur Zeit gezahlte Nettokaltmiete liegt bei 3.750,84 Euro im Jahr.\n\nDas Hausgeld beträgt  171,- Euro im Monat, inkl. der Instandhaltungsrücklage in Höhe von 26,- Euro. \n\nWeitere Informationen erhalten Sie gerne auf Anfrage.'];central_heating;;ONE_YEAR_FREE;40 MBit/s;telekom_layer_magenta_l;über VDSL;REGULAR;MagentaZuhause L;171;C;100 MBit/s;https://padlock.link/ioml;https://padlock.link/ml;;true;100 MBit/s;1;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;4;showqualicontactform;disabled;;;;;
2020-05-11 12:26:00.061657;Berlin;97549;n;y;https://pictures.immobilienscout24.de/listings/c96f732a-d05a-40a9-a805-91757b255578-1360528463.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;10;11.12;1900;11.12;116961657;district_heating;n;false;y;Berlin;y;8;1;24;energy_consumption;6.13;113.65;Berlin;14059;no_information;no_information;false;no_information;"Wundtstra&szlig;e";n;Wundtstraße;apartment;14059;3;137;n;2,active;Deutschland;top;wohnung_kauf;y;001.97549;499000;profile0;3;true;n;n;n;Charlottenburg_Charlottenburg;Wundt24_9;5;Berlin;/expose/116961657;['Das Haus steht auf einem 641 m² großen Grundstück.\n\n- stilechtes, altes Treppenhaus, gepflegt\n- großer Innenhof\n- Anbau größerer Balkone möglich, wenn Baugenehmigung vorliegt\n- Anbau eines Aufzugs möglich, wenn Baugenehmigung vorliegt', '- vermietet\n- hell\n- Süd-Ost-Loggia\n- Erker\n- 3. Obergeschoss\n\nDa die Wohnung vermietet ist, stehen hier keine Innenfotos zur Verfügung.', 'Der Altbau liegt in einer Nebenstraße vom Kaiserdamm, in der Nähe vom Sophie-Charlotte-Platz  sowie dem Lietzensee in zentraler Lage in Berlin-Charlottenburg.\n\nIm Umfeld gibt es zahlreiche Geschäfte, die „Antik-Meile“ in der Suarezstraße, Restaurants und Cafés sowie die Einkaufsmeile Wilmersdorfer Straße mit Kaufhäusern und Ständen.', 'Die monatliche Nettokaltmiete beträgt 691,90 €.'];district_heating;;ONE_YEAR_FREE;40 MBit/s;telekom_layer_magenta_l;über VDSL;REGULAR;MagentaZuhause L;;E;100 MBit/s;https://padlock.link/ioml;https://padlock.link/ml;0;true;100 MBit/s;3;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;;showqualicontactform;;;;;;
