timestamp;obj_regio1;obj_telekomTvOffer;obj_telekomHybridUploadSpeed;obj_cId;obj_newlyConst;obj_balcony;obj_picture;obj_picturecount;obj_pricetrend;obj_telekomUploadSpeed;obj_telekomTrackingGroup;obj_usableArea;obj_telekomInternetTechnology;obj_yearConstructed;obj_telekomInternetType;obj_project_id;obj_pricetrendbuy;obj_scoutId;obj_noParkSpaces;obj_firingTypes;obj_hasKitchen;obj_ExclusiveExpose;obj_telekomInternetProductName;obj_courtage;geo_bln;obj_cellar;obj_purchasePriceRange;obj_yearConstructedRange;obj_houseNumber;obj_energyType;obj_pricetrendrent;obj_livingSpace;geo_krs;obj_zipCode;obj_condition;obj_interiorQual;obj_energyEfficiencyClass;ga_cd_cxp_historicallisting;obj_telekomDownloadSpeed;obj_parkingSpace;obj_street;obj_lift;obj_telekomInternetUrlMobile;obj_telekomInternetUrl;obj_streetPlain;obj_typeOfFlat;geo_plz;obj_noRooms;obj_thermalChar;obj_assistedLiving;obj_ityp;obj_telekomHdTelephone;geo_land;ga_cd_via;obj_telekomInternet;obj_immotype;obj_telekomHybridDownloadSpeed;obj_rented;obj_floor;obj_nbp;obj_telekomInternetServices;obj_telekomInternetProductAvailable;obj_cwId;obj_purchasePrice;ga_cd_application_requirements;obj_numberOfFloors;obj_noRoomsRange;ga_cd_maillead_default_shown;obj_garden;evt_count_pm_sig;obj_barrierFree;obj_international;obj_regio3;obj_objectnumber;obj_livingSpaceRange;obj_regio2;URL;beschreibung;obj_heatingType;ga_cd_customer_group;obj_galleryAd;obj_rentSubsidy;obj_groupnumber;obj_lastRefurbish;ga_cd_via_qualified
2020-05-11 12:24:57.051070;Berlin;ONE_YEAR_FREE;10 MBit/s;16491914;y;n;https://pictures.immobilienscout24.de/listings/08f1d62c-6787-42cd-9658-44650fcf9e76-1361296611.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;18;11.42;10 MBit/s;telekom_layer_magenta_m_hybrid;108;über Hybrid;2020;WITH_HYBRID;90367;11.42;117028421;1;no_information;n;false;MagentaZuhause M Hybrid;y;Berlin;y;8;9;91A;energy_required;7.08;94.28;Berlin;10365;first_time_use;sophisticated;E;false;50 MBit/s;underground_garage;"Gotlindestra&szlig;e";y;https://padlock.link/mmha;https://padlock.link/mmh;Gotlindestraße;roof_storey;10365;3;136;n;2,active;true;Deutschland;premium;50 MBit/s;wohnung_kauf;50 MBit/s;n;0;true;web,email,bank,music,dl-ul,game,sd,mltstr,hd;true;002.01007340755;497900;profile0;5;3;true;n;showqualicontactform;n;n;Lichtenberg_Lichtenberg;84_WE 08#;4;Berlin;/expose/117028421;[];;;;;;;
2020-05-11 12:24:57.380768;Berlin;ONE_YEAR_FREE;;18501668;n;n;https://pictures.immobilienscout24.de/listings/c8a79da1-96ea-4570-bf39-748d94b602c7-1361295013.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;23;12.7;40 MBit/s;telekom_layer_magenta_l;5;über VDSL;1952;REGULAR;;12.7;117028246;;gas;n;false;MagentaZuhause L;y;Berlin;y;4;2;no_information;energy_consumption;7.58;54;Berlin;10551;well_kept;normal;E;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;raised_ground_floor;10551;3;143;n;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;;y;1;;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;002.01009378718;179500;profile0;1;3;true;n;showqualicontactform;n;n;Tiergarten_Tiergarten;BR69 D;2;Berlin;/expose/117028246;"['Die zum Verkauf stehende Wohnung befindet sich in einem Mehrfamilienhaus aus dem Baujahr 1952. \nDas Mehrfamilienhaus verfügt über 6 Etagen, aufgeteilt in 1 Kellergeschoss und 5 Wohnetagen. \nStraßenbegleitend fügt sich das Haus in die Bremer Straße ein. \n\nDie Eigentumswohnung ist aufgeteilt in 3 Zimmer; Küche; Bad sowie WC und bietet \neine hervorragende Möglichkeit für Anleger und Investoren in einem stark wachsenden Wohnumfeld.', '1. Obergeschoss Berlin-Moabit \nKauf Wohnung \nvermietet\nEtage: 1 von 5 \nWohnfläche: 54 m²\nZimmer: 3', 'Ruhige Quartiere mit Altbau- Wohnstraßen und neu entstandene Wohnbebauungen bilden einen angenehmen Wechsel. Gewerbe und Erholung liegen hier dicht beieinander. In der Bremer Straße ist die Arminiusmarkthalle nicht wegzudenken. Eine Institution, ein Kulturdenkmal vis à vis bietet Tradition; Moderne; Vielfältigkeit und zahlreiche Möglichkeiten direkt vor der Haustür. \nUnd das immer am Puls der Zeit. Sehr positiv zu erwähnen ist die positive Entwicklung des Bezirks Moabit. Dieser positive Trend bestärkt Anwohner; Anleger und Inverstoren weiterhin zu investieren und sorgt für eine gesunde Durchmischung des Bezirks. Ehemalige Industriegebäude erfahren eine neue Nutzung. Die alte Brauerei wurde zu einem ansprechenden Shopping- und Dienstleistungs-zentrum umgebaut, Initiativen wie „Aktive Zentren“ tragen ebenfalls zu der hervorragenden Entwicklung bei. \nBerlin Moabit gehört somit auch in den kommenden Jahren zu den Top-Adressen in Berlin. Die Verkehrsanbindung ist ebenfalls hervorzuheben. Egal ob Bus; S-Bahn oder U-Bahn. Alle Anbindungs-Möglichkeiten stehen Ihnen fast vor der Haustür zur Verfügung. Bis zum Hauptbahnhof Berlin sind es lediglich 4 Kilometer oder 10 Minuten mit dem Auto. Der Flughafen Berlin ist mit dem Auto in lediglich 10 Minuten erreicht. Die nächste Bushaltestation ist in 170 Metern erreicht und der U-Bahnhof Turmstraße ist ebenfalls nur 400 Meter entfernt. Wenn Sie eine zentrale Eigentumswohnung im Zentrum von Berlin suchen ist Diese sicher hervorragende Wahl.', 'Haben wir Ihr Interesse geweckt? \nWir beraten Sie gern und beantworten Ihre Fragen.\nKontaktieren Sie: Biberstein-Immobilien\nHerr Szilinski\nMobil: +49 162 - 213 2557 \nE-Mail: immobilien@biberstein.de']";district_heating;home_builder;;;;;
2020-05-11 12:24:57.693938;Berlin;ONE_YEAR_FREE;;5176424;n;y;https://pictures.immobilienscout24.de/listings/9fda38af-c8fe-44dd-a5b4-bea51bf08354-1351235698.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;6;8.95;40 MBit/s;telekom_layer_magenta_l;;über VDSL;1939;REGULAR;;8.95;114902013;;no_information;n;false;MagentaZuhause L;y;Berlin;y;4;1;no_information;energy_consumption;5.33;46.76;Berlin;12555;well_kept;no_information;;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;ground_floor;12555;2;98;n;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;;n;;;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.5176424;189000;profile0;0;2;true;y;showqualicontactform;n;n;Köpenick_Köpenick;KMS10GH26;2;Berlin;/expose/114902013;"['Wunderschöne 2 Zimmerwohnung mit Balkon im grünen Köpenick. Bezugsfrei und sofort zum Wohlfühlen.  \n\n""Ihre Chance auf einen Wohntraum – 10 min in die Altstadt""', 'Die 2 Zimmer-Wohnung verfügt über ein großzügiges Wohnzimmer sowie einem Schlafzimmer, in der Küche besteht die Möglichkeit die Waschmaschine unterzustellen. Das Badezimmer ist mit einer Badewanne ausgestattet sowie mit einem hängenden WC, Waschbecken und eine als Handtuchhalter geformte Heizung. Zu der Wohnung gehört ein kleiner Balkon der über das Wohnzimmer erreicht wird. Dieser bietet ausreichenden Platz für zwei Stühle und einen Tisch. Im rückwärtigen Bereich des Hauses befindet sich der schöne parkähnliche Innenhof mit alten Baumbeständen', 'Das Objekt befindet sich im Stadtteil Treptow Köpenick. Die Wohnung befindet sich 5 Gehminuten vom Forum Köpenick sowie dem S-Bahnhof Köpenick entfernt. Von dort aus erreichen Sie den Alexanderplatz in 25min, den Berliner Kurfürstendamm in 50 Min. \nVon Kindergärten über Grundschule bis hin zur Oberschule, sowie Arztpraxen, verschiedene Einkaufsmöglichkeiten, kulturelle Einrichtungen ist alles im näheren Umkreis vorhanden. \n']";central_heating;;disabled;;;;
2020-05-11 12:24:58.069465;Berlin;ONE_YEAR_FREE;;185949;n;y;https://pictures.immobilienscout24.de/listings/b6fd514d-2640-4580-b25d-826ea66c79dd-1367429123.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;9;14.32;40 MBit/s;telekom_layer_magenta_l;;über VDSL;1992;REGULAR;;14.32;114577718;;no_information;n;true;MagentaZuhause L;n;Berlin;y;5;5;24;energy_consumption;8.36;41.36;Berlin;13357;refurbished;no_information;C;false;100 MBit/s;no_information;"Pankstra&szlig;e";y;https://padlock.link/ioml;https://padlock.link/ml;Pankstraße;roof_storey;13357;1;81;n;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;;n;6;;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.185949;204900;profile0;6;1;true;n;showqualicontactform;n;n;Wedding_Wedding;16709563;2;Berlin;/expose/114577718;['Das 1992 errichtete Gebäude beherbergt 49 gut geschnittene 1- bis 2-Zimmer-Eigentumswohnungen, die sich auf sechs Etagen zuzüglich ausgebautem Dachgeschoss aufteilen. Die Wohnungen sind über zwei Aufgänge erreichbar, die Etagen vom Erdgeschoss bis zum fünften Obergeschoss verbindet zusätzlich ein Aufzug. Im Keller befindet sich neben den Mieterkellern auch die Übergabestation für die Versorgung mit Fernwärme, über die auch die Warmwasserversorgung erfolgt. Die Wohnungen sind überwiegend mit Wannenbädern, teilweise mit Duschbädern ausgestattet. In den Obergeschossen verfügen fast alle Wohnungen über Wintergärten, die in der Regel vom Wohnzimmer aus betreten werden. Im Erdgeschoss haben einige der Wohnungen Terrassenflächen zum gärtnerisch gestalteten Innenhof, in dem zusätzlich ein Spielbereich für Kinder angelegt ist.\r\n\r\nACCENTRO App für iOS https://goo.gl/KvMJTa und für Android https://goo.gl/ACqL6H', 'Die Pankstraße liegt in Wedding, einem Berliner Ortsteil im Bezirk Mitte und somit im Herzen Berlins. In acht Gehminuten erreichen Sie den S-Bahnhof Humboldthain sowie den S- und U-Bahnhof Wedding, mit den Ringbahnlinien S41 und S42. Mit der S-Bahnlinie S1 gelangen Sie in knapp zehn Minuten zum Potsdamer Platz. Hier finden Sie in der näheren Umgebung beispielsweise die Philharmonie, die neue Nationalgalerie, das Brandenburger Tor und den Reichstag. Aber auch wer shoppen möchte hat hier eine große Auswahl von Läden, die sich in den Arkaden  oder der Mall of Berlin befinden.\r\n\r\nIn etwa 12 Fahrminuten gelangen Sie mit der U-Bahnlinie U9 oder U2 vom nahegelegenen Nauener Platz zum Kurfürstendamm, wo sich zahlreiche exklusive Marken niedergelassen haben und es sich hervorragend flanieren lässt. Der Kurfürstendamm gehört mit seiner Länge von 3,5 km nicht nur zu den berühmtesten Straßen der Welt, sondern ist auch das Highlight der City-West. Für Kunst- und Kulturliebhaber tragen Theater wie die Schaubühne, die Komödie oder die Kinos Zoo-Palast und Astor Lounge zum einzigartigen Charme des Ku’damms bei. In der angrenzenden Tauentzienstraße befindet sich mit dem legendären Kaufhaus des Westens, kurz KaDeWe, das größte Warenhaus auf dem europäischen Kontinent. Neben erstklassigen Schmuck-, Beauty- und Haushaltswaren lockt das KaDeWe mit Gaumenfreuden in einer exquisiten Feinschmeckerabteilung.\r\n\r\nDas Gesundbrunnencenter erreichen Sie in wenigen Minuten mit der Bahn und bietet auf über 25.000 Quadratmetern eine große Vielfalt an Shoppingmöglichkeiten, Cafés und Restaurants. Die ärztliche Versorgung ist durch zwei Krankenhäuser in Ihrer unmittelbaren Nähe gesichert. Zeit für Entspannung finden Sie im Volkspark Humboldthain - dieser ist fußläufig circa zehn Minuten entfernt.'];central_heating;;disabled;250.53;3286;;
2020-05-11 12:24:58.379294;Berlin;ONE_YEAR_FREE;;16683611;n;y;https://pictures.immobilienscout24.de/listings/2f9fcce2-185c-4617-a009-d717d29eeeb2-1361300772.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;7;10.09;40 MBit/s;telekom_layer_magenta_l;;über VDSL;;REGULAR;;10.09;117028738;;district_heating;y;false;MagentaZuhause L;y;Berlin;y;4;;no_information;energy_consumption;4.59;50;Berlin;14165;no_information;no_information;;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;raised_ground_floor;14165;2;88;n;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;;n;;;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;002.01007500398;175000;profile0;;2;true;y;showqualicontactform;n;n;Zehlendorf_Zehlendorf;117028738;2;Berlin;/expose/117028738;"['Anfragen bitte unter Benennung Ihrer vollständigen Kontaktdaten (Name; Anschrift; Email; Telefonnummer). \n\nDie bezugsfreie Wohnung befindet sich im Hochparterre eines sehr gepflegten Mehrfamilienhauses in Zehlendorf-Süd. Die Wohnung verfügt über ein schönes Wohnzimmer, ein Schlafzimmer, eine Küche, ein Bad und einen Flur.\n\nDie Besonderheit ist der über den Balkon direkt erreichbare eigene Garten (Westausrichtung). Somit bietet die Wohnung jeden erdenklichen Komfort: ein Balkon, ein eigener Garten und ein großer Keller. Die Wohnung ist bezugsbereit, benötigt aber evtl. eine Teil-Modernisierung.', '- Garten\n- Balkon\n- Keller\n- Bad mit Fenster', 'Zehlendorf zählt unter den Berlinern zu den beliebtesten Wohnlagen. Die Wälder und sauberen Seen der Umgebung laden nicht nur im Sommer zum Erholen ein. Alle Einkaufsmöglichkeiten für den täglichen Bedarf befinden sich unweit am Teltower Damm und am S-Bahnhof Zehlendorf-Mitte. Zahlreiche Schulen, Kindergärten und Sportvereine sind unmittelbar erreichbar. Durch die nahe Autobahnanbindung und die Nähe der Öffentlichen Verkehrsmittel erreicht man die Stadtmitte in ca. 30 Minuten.', 'Alle Angaben wurden vom Eigentümer gemacht. Wir übernehmen hierfür keine Haftung oder Gewähr. Irrtum und Zwischenvermietung bzw. -verkauf vorbehalten. Geschäftsgrundlage sind unsere ""Allgemeinen Geschäftsbedingungen"", die Sie jederzeit auf unserer Homepage www.deutscher-immobilien-fundus.de abrufen können. Unsere Provision beträgt 7,14 % vom beurkundeten Kaufpreis inklusive der gesetzlichen Mehrwertsteuer und ist unmittelbar nach Vertragsabschluss vom Käufer an die Firma Deutscher Immobilien Fundus, Inh. Sven Rutsch, zu zahlen.']";central_heating;;disabled;210;;;
2020-05-11 12:24:58.814551;Berlin;ONE_YEAR_FREE;;5176424;n;y;https://pictures.immobilienscout24.de/listings/30bd7920-a6f8-4dd9-a9a9-691f45927f36-1351235520.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;12;8.95;40 MBit/s;telekom_layer_magenta_l;;über VDSL;2009;REGULAR;;8.95;114902017;;no_information;y;false;MagentaZuhause L;y;Berlin;n;9;7;no_information;energy_consumption;5.33;163.54;Berlin;12555;no_information;no_information;;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;maisonette;12555;5;175.9;n;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;;n;;;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.5176424;613275;profile0;2;5;true;n;showqualicontactform;n;n;Köpenick_Köpenick;KMS10GH29;7;Berlin;/expose/114902017;['Ihre Chance auf einen Wohntraum - \nTraumhafte Maisonette-Wohnung mit Dachterrasse im grünen Köpenick \n', 'Die ruhig gelegene Fünf-Zimmer Maisonette-Wohnung bietet Ihnen Raum für eine Familie. Für  einen reibungslosen Start in den Tag als auch für einen entspannten Ausklang des Abends mit einem Glas Wein sorgt das Masterbad mit einem Whirlpool. Beide Bäder verfügen über eine Erlebnisdusche. Die großflächige Dachterrasse bietet die Möglichkeit bei einem Grillabend mit den Liebsten den Abend ausklingen zu lassen oder in der vorhandenen Einbauküche gemeinsam zu kochen. Durch das integrierte Smart Home System können Sie alle Systeme entspannt vom Smartphone steuern und sich im Winter bequem beim Filmeabend vor den Kamin kuscheln.\n', 'ZWISCHEN ROMANTISCHEM LAND\nUND PULSIERENDER METROPOLE.\n\nDas Objekt befindet sich im Stadtteil Treptow Köpenick. Die Wohnung befindet sich 15 Gehminuten vom Forum Köpenick sowie dem S-Bahnhof Köpenick entfernt. Von dort aus erreichen Sie die City ganz einfach mit direkter S-Bahn Verbindung. \nVon Kindergärten über Grundschule bis hin zur Oberschule, sowie Arztpraxen, diverse Einkaufsmöglichkeiten, kulturelle Einrichtungen ist alles im näheren Umkreis vorhanden.'];;;disabled;404.92;;;
2020-05-11 12:24:59.211430;Berlin;;;16491914;n;n;https://pictures.immobilienscout24.de/listings/5cd67876-880d-4ee9-991c-51646f3155f3-1361300441.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;11;10.99;;;145.3;;;;90366;10.99;117028831;1;no_information;n;false;;y;Berlin;y;9;;216;;6.5;132.68;Berlin;12459;first_time_use;sophisticated;;false;;underground_garage;An der Wuhlheide;y;;;An_der_Wuhlheide;ground_floor;12459;4;;n;2,active;;Deutschland;top;;wohnung_kauf;;n;0;true;;false;002.01007340755;699900;profile0;3;4;true;n;showqualicontactform;n;n;Oberschöneweide_Köpenick;98/G2/E1/Eh23#;6;Berlin;/expose/117028831;['Das moderne Ensemble aus zwei Mehrfamilienhäusern gliedert sich in die Uferbebauung ein, als habe das schöne Spree-Grundstück nur darauf gewartet. Das zum Wasser in großzügigen Stufen absteigende Gebäude endet in einem Uferstück mit eigenem Bootsanlegeplatz. \r\nHinter der hellen Klinkerfassade verbergen sich unterschiedlich geschnittene 3- und 4-Zimmer-Wohnungen, die modernen Wohnansprüchen in allen Belangen gerecht werden. \r\n\r\n+ Ein Energieausweis liegt dem Verkäufer noch nicht vor. Alle Interessenten erhalten eine Nachricht, sobald der Energieausweis vorliegt. +\r\n', 'Unter den vier- und fünfstöckigen Gebäuden verbergen sich eine gemeinsame Tiefgarage, die Kellerräume, ein moderner Fahrradkeller und die Heiztechnik. \r\nDer extrabreite Aufzug verbindet alle Etagen, vom Keller bis ins Staffelgeschoss, was nahezu alle Wohnungen bis ins hohe Alter bewohnbar macht. \r\nDie Erdgeschosswohnungen sind mit eigenen Gärten, alle anderen Wohnungen mit Balkonen ausgestattet, von denen der Blick über das Wasser zum begrünten gegenüberliegenden Ufer schweifen kann. \r\nBei der Innenausstattung stehen diverse Parkettvarianten, elegante Villeroy & Boch Fliesen, zeitlose Badausstattungs-Serien sowie Armaturen zur Wahl.', 'Die Wuhlheide ist einer der grünsten Flecken Berlins. Im Süden durch die Spree begrenzt, im Norden von weiten Grünflächen eingerahmt, im Westen wartet die quirlige Innenstadt, im Osten bieten sich Wald und Müggelsee zu jeder Jahreszeit als erholsame Ausflugsziele an. Ein abwechslungsreiches Angebot insbesondere für Familien ist mit dem Kinder- und Jugendfreizeitzentrum Wuhlheide (FEZ) und dem Mellowpark zu Fuß zu erreichen. ', 'Sollten Sie Fragen zu weiteren Details haben oder einen Beratungstermin wünschen, freuen wir uns Ihnen unser Projekt vorzustellen. \r\n\r\nIndividuelle Beratungstermine können flexibel über die Rufnummer 030 208 48 99 98 oder per E-Mail über livingspree2@bewocon.com vereinbart werden.\r\n\r\nBesuchen Sie uns in unserem Showroom direkt auf dem Grundstück (An der Wuhlheide 216, 12459 Berlin)\r\njeden Samstag und Sonntag von 12 bis 14 Uhr\r\nsowie nach telefonischer Terminvereinbarung!\r\n\r\nDerzeit vermarkten wir mehrere Eigentumswohnungsprojekte in Berlin! Bitte teilen Sie uns Ihre Wohnungssuchkriterien telefonisch oder per E-Mail mit, falls Sie an weiteren Angeboten interessiert sind. \r\n\r\nAlle Angaben nach bestem Wissen. Irrtum und Zwischenverkauf vorbehalten.'];floor_heating;;;;;;
2020-05-11 12:24:59.534731;Berlin;;;5240003;n;n;https://pictures.immobilienscout24.de/listings/06889d96-2f31-48d9-a632-0d392708cd20-1361286140.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;8;11.35;;;;;1968;;;11.35;117027572;;district_heating;y;false;;y;Berlin;y;6;2;0;;7.53;56;Berlin;10243;modernized;no_information;;false;;no_information;Singerstr.;y;;;Singerstr.;apartment;10243;2;;n;2,active;;Deutschland;standard;;wohnung_kauf;;n;10;;;;001.5240003;299500;profile0;10;2;true;n;showqualicontactform;n;n;Friedrichshain_Friedrichshain;ETW 03042020-017;2;Berlin;/expose/117027572;['Dieses wunderschöne und vollständig modernisiertes 2 Zimmer-Apartment, wurde ca. 1968 mit Nord-Ost / Süd-West Ausrichtung erbaut und weist ca. 120 Einheiten auf.\n\nDas Haus wurde im Zuge der Sanierungsarbeiten 2012 vollständig instandgesetzt.\n\nIn der Wohnung wurden sämtliche Wasser- und Stromleitungen erneuert sowie Iso-Fenster verbaut und als Fußbodenbelag im Wohn- bzw. Schlafzimmer Laminat und Fliesen im Bad- und Küchenbereich verlegt.\n\nDas Apartment besteht aus einem Flur mit Abstellkammer, einem Wohn- und Schlafzimmer sowie einer Küche mit EBK und Duschbad.\n\nEin trockener Kellerraum rundet das ansprechende Angebot ab.', 'Das ansprechende Angebot befindet sich in Bestlage von Friedrichshain im 10. OG eines Vorderhauses.\n\nMan findet hier alles was das Herz begehrt: Kunst, Kultur, malerische Plätze, grüne Oasen und modernes Leben. Wer sich entspannen will, genießt im Schatten alter Stadtbäume einen Kaffee an der Spree, die Sie in nur wenigen Minuten erreichen. \n\nDem anspruchsvollen Shopper bieten die Geschäfte und Kaufhäuser um Alexander Platz, der in nur 2 S-Bahnstationen zu erreichen ist. \n\nIn unmittelbarer Umgebung findet man einen Edeka-Markt, verschiedene Bäcker, sowie nördlich der Wohnung den Strausberger Platz der Linie U5 und südlich den S-Bhf. Ostbahnhof.'];gas_heating;;;180;;;
2020-05-11 12:25:00.027676;Berlin;ONE_YEAR_FREE;10 MBit/s;16491914;y;y;https://pictures.immobilienscout24.de/listings/5bd13095-80cf-4049-b178-13f98f2be350-1361298694.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;16;11.42;10 MBit/s;telekom_layer_magenta_m_hybrid;261.29;über Hybrid;2020;WITH_HYBRID;90367;11.42;117028669;1;no_information;n;false;MagentaZuhause M Hybrid;y;Berlin;y;11;9;91A;energy_required;7.08;213.95;Berlin;10365;first_time_use;sophisticated;E;false;50 MBit/s;underground_garage;"Gotlindestra&szlig;e";y;https://padlock.link/mmha;https://padlock.link/mmh;Gotlindestraße;loft;10365;5;136;n;2,active;true;Deutschland;premium;50 MBit/s;wohnung_kauf;50 MBit/s;n;4;true;web,email,bank,music,dl-ul,game,sd,mltstr,hd;true;002.01007340755;1599900;profile0;5;5;true;n;showqualicontactform;n;n;Lichtenberg_Lichtenberg;84_WE 47;7;Berlin;/expose/117028669;[];;;;;;;
2020-05-11 12:25:00.342505;Berlin;;;17996698;n;y;https://pictures.immobilienscout24.de/listings/dd377c88-b4be-4204-8a91-0cdaa1616ca1-1361299895.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;5;9.57;;;;;;;;9.57;117028688;2;;n;false;;y;Berlin;y;11;;no_information;;4.14;244.3;Berlin;14195;first_time_use;luxury;;false;;underground_garage;no_information;y;;;no_information;apartment;14195;6;;n;2,active;;Deutschland;top;;wohnung_kauf;;n;1;;;false;009.67787689-3224-4a50-a286-ad259536f53f;2999000;profile0;2;5;true;n;showqualicontactform;n;n;Dahlem_Zehlendorf;117028688;7;Berlin;/expose/117028688;['Bei dieser exklusiven Wohnung handelt es sich um die komplette Belle Etage (1. OG) einer stilvollen Villa in Berlin-Dahlem. Dahlem zählt zu den wohlhabendsten Ortsteilen Berlins und ist geprägt durch viele Villen, kleine Parkanlagen und seine zentrumsnahe Lage.\n\nBei dieser letzten verfügbaren Einheit erleben Sie auf insgesamt knapp 250 qm Wohnfläche ein außergewöhnliches „Haus-im-Haus“-Wohngefühl mit beeindruckenden Raumhöhen von ca. 3,60 m. Hochwertigste Materialen bei der Außen- und Innenausstattung spiegeln dabei die besondere Wertigkeit dieser Immobilie wieder. Ein luxuriöses Stück Lebensqualität, dessen exklusive Grundrissgestaltung Sie auch noch selbst mitbestimmen können. Es erwartet Sie eine pflegeleichte und großzügige Wohnung in ruhiger Umgebung und damit aus unserer Sicht die beste Alternative zum eigenen Haus!\n\nDer vom Architekturbüro Kahlfeldt geplante Baukörper strahlt beeindruckende Eleganz aus und verbindet in seiner Architektur klassische Elemente mit moderner Bauarchitektur. Das Gebäude mit den stilprägenden Säulen besteht insgesamt aus zwei Vollgeschossen, einem Staffelgeschoss mit Flachdach sowie einem Keller mit Tiefgarage. Über einen Aufzug sind aus der Tiefgarage alle Ebenen erreichbar. Neben mehreren PKW-Stellplätzen sind selbstverständlich auch Kellerräume vorhanden.', 'ie Wohnung ist mit luxuriöser Ausstattung konzipiert. Sie erhält hochwertiges Parkett, Fußbodenheizung und Klimaanlage, elektrischen Sonnenschutz, exklusive Designerarmaturen in den Bädern sowie einbruchshemmende Fenster und Türen mit Alarmvorrichtung. Die Wohnung ist aktuell noch im Bau (Fertigstellung Ende 2020), sodass momentan noch individuelle Ausstattungswünsche berücksichtigt werden können.', 'Die Straße, in der sich das Objektgrundstück befindet, verläuft durch einen der schönsten Quartiere des Berliner Westens inmitten vieler denkmalgeschützter Bauten und Residenzen. Die sehr ruhige und wenig befahrene Straße reiht sich mit ihren imposanten Villen nahtlos in den Flair des Grunewalds ein. Zur Naherholung sind der Messelpark sowie der Grunewaldsee fußläufig in wenigen Minuten zu erreichen.\n\nDie nahe gelegene Clayallee gewährleistet eine gute Anbindung, sodass die Stadtautobahn mit dem Auto in 5 Minuten und der Kurfürstendamm in 10 Minuten erreicht ist.', 'Sämtliche Angaben und Informationen in diesem Angebot erfolgen gemäß den Auskünften des Verkäufers. Sofern nicht ausdrücklich anders vereinbart, prüft die Berlin Impact Real Estate GmbH nicht Vollständigkeit und Richtigkeit solcher Angaben bzw. Auskünfte und übernimmt hierfür keine Haftung. Der Käufer hat diese Informationen selbst eigenverantwortlich zu prüfen.\n\nAlle Visualisierungen sind unverbindlich. Die Angaben dienen nur der Information und stellen kein vertragliches Angebot dar. Die in den Grundrissen und Visualisierungen abgebildeten Ausstattungsgegenstände (Möbel, Küche, etc.) sind nicht im Leistungsumfang enthalten.\n\nWir freuen uns über Ihre Kontaktaufnahme und stehen für eine Besichtigung gerne zur Verfügung.'];floor_heating;;;;;;
