timestamp;obj_regio1;obj_heatingType;obj_telekomTvOffer;obj_cId;obj_newlyConst;obj_balcony;obj_picture;obj_picturecount;obj_pricetrend;obj_telekomUploadSpeed;obj_telekomTrackingGroup;obj_telekomInternetTechnology;obj_yearConstructed;ga_cd_developer_virtualreality;obj_telekomInternetType;obj_pricetrendbuy;obj_scoutId;obj_firingTypes;obj_hasKitchen;obj_ExclusiveExpose;obj_telekomInternetProductName;obj_courtage;geo_bln;obj_cellar;obj_purchasePriceRange;obj_yearConstructedRange;obj_rentSubsidy;obj_houseNumber;obj_energyType;obj_pricetrendrent;obj_livingSpace;geo_krs;obj_zipCode;obj_condition;obj_interiorQual;ga_cd_cxp_historicallisting;obj_telekomDownloadSpeed;obj_parkingSpace;obj_street;obj_lift;obj_telekomInternetUrlMobile;obj_telekomInternetUrl;obj_streetPlain;obj_typeOfFlat;geo_plz;obj_noRooms;obj_thermalChar;obj_assistedLiving;obj_lastRefurbish;obj_ityp;obj_telekomHdTelephone;geo_land;ga_cd_via;obj_telekomInternet;obj_immotype;obj_rented;obj_floor;obj_telekomInternetServices;obj_telekomInternetProductAvailable;obj_cwId;obj_purchasePrice;ga_cd_application_requirements;obj_numberOfFloors;obj_noRoomsRange;ga_cd_maillead_default_shown;obj_garden;obj_barrierFree;obj_international;obj_regio3;obj_objectnumber;obj_livingSpaceRange;obj_regio2;URL;beschreibung;obj_galleryAd;evt_count_pm_sig;obj_energyEfficiencyClass;obj_groupnumber;obj_noParkSpaces;ga_cd_via_qualified;obj_usableArea
2020-05-11 12:23:59.006361;Berlin;central_heating;ONE_YEAR_FREE;17610703;n;n;https://pictures.immobilienscout24.de/listings/58299b17-1b99-4b81-a44f-a9def34ae227-1364499073.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;14;12.7;40 MBit/s;telekom_layer_magenta_l;über VDSL;1901;true;REGULAR;12.7;117116717;gas;n;false;MagentaZuhause L;y;Berlin;y;3;1;173;36;energy_consumption;7.58;34.29;Berlin;10553;need_of_renovation;normal;false;100 MBit/s;no_information;"Beusselstra&szlig;e";n;https://padlock.link/ioml;https://padlock.link/ml;Beusselstraße;apartment;10553;1;99;n;2001;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;y;1;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;009.eb808053-c275-4395-8fce-dc755606f8bd;125000;profile0;4;1;true;n;n;n;Tiergarten_Tiergarten;117116717;1;Berlin;/expose/117116717;"['Ein klassisches Altbaugebäude aus dem 20. Jahrhundert in dem Sie eine Ein-Zimmerwohnung mit ca. 35 qm im\n1. Obergeschoss erwerben könnt. Die Wohnung ist kompakt und dennoch hat es durch den gut geschnittenen Wohnungsschnitt genug Platz. Die\nWohneinheit besteht aus einem Flur,\nSchlaf/Wohnzimmer, Bad und einer separaten großen Küche.\nDie Wohnung befindet sich im 1. Innenhof in dem Seitenflügel rechts des Gebäudes mit Blick auf den 2. Gartenhof.\n\nDie Wohnung wird in einem Renovierungsbedürftigen Zustand verkauft.', '- Schlaf/Wohnzimmer mit zwei Fenstern\n- separate Küche mit Fenster\n- Badezimmer (gefliest) mit einem kleinen Fenster\n- Bodenbelag besteht aus Dielen', 'Die hier angebotene Immobilie befindet sich in Moabit, ein beliebter und zentraler Berliner Ortsteil, in dem man die unterschiedlichsten Facetten der Hauptstadt hautnah erleben kann. Geschäfte des täglichen Bedarfs und ein vielfältiges gastronomisches Angebot sind fußläufig erreichbar und lassen fast nichts zu wünschen übrig.\n\nFreizeit- und Erholungsmöglichkeiten findet man am nahegelegenen Spreeufer mit seinen vielen Sandstrand-Cafés oder auch im Tiergarten - bekannt als Berlins ""Grüne Lunge"".\n\nDie Anbindungen an den öffentlichen Nahverkehr sind nahezu ideal. Mehrere Buslinien befinden sich praktisch vor der Haustür. Der U-Bahnhof Turmstraße (U9) ist etwa 600 Meter entfernt. Von hier aus sind es lediglich 2 Stationen bis zum Zoologischen Garten.', 'Die in diesem Exposé angegebenen Wohn- und Nutzflächen und Informationen zum Objekt beruhen auf Angaben Dritter. Für die Richtigkeit der Angaben übernehmen wir keine Gewähr. Irrtum und Zwischenverkauf/Zwischenvermietung vorbehalten.']";;;;;;;
2020-05-11 12:23:59.344460;Berlin;no_information;ONE_YEAR_FREE;174522;n;y;https://pictures.immobilienscout24.de/listings/19a044b7-3445-4070-a5c7-36c59d1331c1-1362089512.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;12;11.49;40 MBit/s;telekom_layer_magenta_l;über VDSL;;;REGULAR;11.49;117115919;;n;true;MagentaZuhause L;y;Berlin;y;4;;;no_information;;6.07;61;Berlin;12169;no_information;no_information;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;apartment;12169;2;;n;;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;y;;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.174522;187500;profile0;;2;true;n;n;n;Steglitz_Steglitz;117115919;3;Berlin;/expose/117115919;['Intelligente Wohnungsgrundrisse, Helligkeit und eine gute Belüftung zeichnen die Bauten von Paul Mebes und Paul Emmerich aus, die im Zeichen der Neuen Sachlichkeit stehen.\nDie gesamte historische Gebäudeanlage ist einwandfrei dokumentiert und in einem guten Zustand. Großzügig und komfortabel geschnitten sind die Zimmer, die sich dank der Ost- und Westausrichtung ihrer großen Doppelkastenfenster erquickend hell präsentieren. Westwärts erfreuen weite Ausblicke ins Grüne. Optimiert wird dieses Immobilienangebot von der effizienten Fernwärmeheizung. Denkbar wäre auch in Zukunft beide Wohnungen zusammenzulegen.\nGehen Sie auf Nummer sicher, in dem sie in beliebter Lage in eine immer gern bewohnte Architektur investieren, um nachgefragte Wohnqualität anbieten zu können.\nEin Energieausweis ist nicht vorhanden.', 'Sie möchten den Marktwert Ihrer Immobilie wissen oder Ihre Immobilie verkaufen? Wir sind seit 1995 erfolgreich im Verkauf von Immobilien in Berlin, Potsdam und Umgebung tätig. Unsere exzellenten Eigentümerbewertungen sprechen für sich.\n\n•\tOftmals haben wir schon den richtigen Käufer für Ihre Immobilie in unserer Kartei\n•\tWir sind Bellevue Best Property Agent und Mitglied in den Verbänden IVD & FIABCI\n•\tWir benötigen keinen schriftlichen Alleinauftrag\n•\tKosten entstehen Ihnen bei uns keine\n•\tUnsere Spezialisten stehen Ihnen gerne für ein erstes – für Sie unverbindliches - Gespräch zur Verfügung\n\nWir freuen uns über Ihre Kontaktaufnahme unter einkauf@immoberlin.de oder (030) 895 72 20.\nBitte besuchen Sie auch unsere Website: \nhttps://www.immoberlin.de'];disabled;showqualicontactform;;;;;
2020-05-11 12:23:59.708718;Berlin;self_contained_central_heating;ONE_YEAR_FREE;213082;n;y;https://pictures.immobilienscout24.de/listings/3d21761a-f4db-4dfe-b4b4-c06f966ca573-1362008501.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;7;10.18;40 MBit/s;telekom_layer_magenta_l;über VDSL;1910;;REGULAR;10.18;117103809;gas;n;false;MagentaZuhause L;y;Berlin;y;6;1;166.75;29;energy_consumption;5.21;74.28;Berlin;12207;well_kept;normal;false;100 MBit/s;no_information;"M&uuml;llerstr.";n;https://padlock.link/ioml;https://padlock.link/ml;Müllerstr.;apartment;12207;3;179;n;;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;n;2;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.213082;298995;profile0;4;3;true;n;n;n;Lichterfelde_Steglitz;rwi7644;3;Berlin;/expose/117103809;['Das Haus ist ein schöner Altbau in ruhiger Lage. Er wurde 1910 gebaut mit einer Hochparterre zwei Obergeschossen. Das Dach darüber ist, Stand September 2019, nicht ausgebaut. In dem Haus gibt es ausschließlich Wohnungen die sich über die Etagen in einem Vorderhaus und einem kurzen Seitenflügel verteilen. \r\rDie Ausrichtung des Hauses ist West-Ost. Zur Straße und Hof hin gibt es Balkone mit unterschiedlicher Ausrichtung. Der Hinterhof ist weitläufig und grün. ', 'Diese Wohnung ist befindet sich im 2. OG des Vorderhauses, hat 2 Zimmer und einen Balkon mit Ost-Ausrichtung. \r\rDie Zimmer zeigen zum grünen Innenhof und eines der beiden hat den erwähnten Balkon. Schöne Holzdielen und ein paar Stuckelemente sind in der Wohnung vorhanden. Das Vollbad und die Küche haben jeweils ein Fenster. \r\rDer Schnitt ist aktuell etwas eigenwillig. Daher haben wir einen unverbindlichen Vorschlag zur Umgestaltung entworfen, so dass hier 3 Zimmer entstehen würden. Hier würde ein Zimmer verlegt werden, und der große Raum zu einer großzügigen Wohnküche umgestaltet werden. Bitte beachten Sie, dass etwaige Kosten für Renovierung oder Umbauten NICHT im Kaufpreis enthalten sind. \r\rWeitere Details auf Anfrage. ', 'Das befindet sich in einer guten Lage in Lichterfelde in der Nähe der Grenze zu Brandenburg. Die Gegend ist durch recht lockere Bebauung gekennzeichnet. \r\rDas Haus selbst liegt in einer ruhigen Straße. Restaurants, Supermärkte, Friseur, Apotheke etc. sind aber fußläufig am nahen Ostpreußendamm erreichbar. Auch die Anbindung an den Nahverkehr ist durch die schnelle Erreichbar verschiedener Buslinien gegeben. Auch die S-Bahn-Haltestelle Osdorfer Str. ist nicht weit. Nahe Parks, der Teltowkanal oder die bekannte TV-Asahi-Kirschblütenallee (s.u.) bieten Entspannung von dem Stress des Alltags. ', 'Der Käufer hat bei Abschluss des Kaufvertrages eine Provision in Höhe von 7,14 % inkl. Mehrwertsteuer vom Kaufpreis an uns zu zahlen. Verdient und fällig bei Beurkundung. Alle Angaben sind ohne Gewähr und nach den Unterlagen des Eigentümers erstellt. Irrtümer und Änderungen vorbehalten. Bei aller Sorgfalt können wir keine Garantie dafür übernehmen, dass alle Angaben richtig sind, und das Objekt im Augenblick des Zugangs der Offerte noch verfügbar ist. \r\rBei Anfragen bitten wir um vollständige Absenderangaben. \r\rGerne zeigen wir Ihnen das Objekt, und freuen uns auf einen persönlichen Termin mit Ihnen. \r\rSie erreichen uns wie folgt:\rRüdiger Wilkanowski Immobilien\rIn Kooperation mit:\r\rJohannes Rudert Immobilien\rTelefon: 0174-9542360\rFax: 030 / 85605613\r\rGerne zeigen wir Ihnen das Objekt, und freuen uns auf einen persönlichen Termin mit Ihnen. \r\rWeitere interessante Angebote finden Sie auch im Internet unter www.wilkanowski-immobilien.de.\r\rSie wollen Ihre Immobilie verkaufen ?\r \rWir suchen im Stadtgebiet von Berlin Immobilien (freie Eigentumswohnungen, Mehrfamilienhäuser und Einfamilienhäuser). Sprechen sie uns gerne an oder vereinbaren Sie einen persönlichen Termin mit uns: 030-85605612.'];;;F;2001;;;
2020-05-11 12:24:00.107971;Berlin;central_heating;ONE_YEAR_FREE;16151718;n;y;https://pictures.immobilienscout24.de/listings/3ee16376-6e82-41f0-8bef-1e652c9a0323-1365522157.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;25;11.24;40 MBit/s;telekom_layer_magenta_l;über VDSL;2017;;REGULAR;11.24;117116997;district_heating;y;false;MagentaZuhause L;y;Berlin;y;9;9;297;no_information;energy_required;6.2;84;Berlin;10715;mint_condition;luxury;false;100 MBit/s;no_information;no_information;y;https://padlock.link/ioml;https://padlock.link/ml;no_information;apartment;10715;3;66;n;;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;n;1;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.15896515;649000;profile0;6;3;true;y;y;n;Wilmersdorf_Wilmersdorf;P/2020/Wil;4;Berlin;/expose/117116997;['Das Highlight der Wohnung ist der großzügige Wohn-/Essbereich mit offener Einbauküche, die anspruchsvolle Wünsche an modernes Kochen erfüllt. \n\nDer großzügige  Balkon bietet viel Platz zum \nSonnen und einen schönen Ausblick in den\nbegrünten, ruhigen Innenhof.\nAufgrund der Ost-West-Ausrichtung wird die\nWohnung optimal belichtet.\n\nDie 2 Schlafzimmer sind mit bodentiefen\nFenstern (franz.Balkonen) ausgestattet.\n\nDie Wohnung ist durchgängig mit hoch-\nwertigem Parkettboden ausgestattet.\n\nDie Bäder haben neutrale Fliesenbeläge,\ndie Sanitärausstattung ist von Villeroy & Boch bzw. Grohe, alles hochwertig und edel.', 'Wilmersdorf gehört zu den bevorzugten\nWohngegenden Berlins.\nAlteingesessene Einzelhandelsgeschäfte\nund alle Geschäfte des täglichen Bedarfs\nfindet man rund um den Bayerischen Platz.\n\nDas KaDeWe sowie die Einkaufszentren am Tauentzien erreicht man zu Fuß - \nein schöner Spaziergang an den beliebten\nOrten wie dem Prager Platz oder dem \nVikotria-Luise-Platz vorbei. \nEin vielfältiges Angebot an Schulen und\nKindergärten ist bequem zu erreichen.\n\nU-Bahnhöfe Berliner Straße und Bayerischer Platz bieten eine hervorragende Anbindung\nan das Nahverkehrsnetz.'];;showqualicontactform;B;1506;;;
2020-05-11 12:24:00.421019;Berlin;central_heating;ONE_YEAR_FREE;16048948;n;y;https://pictures.immobilienscout24.de/listings/f109e07e-b786-4288-b5fc-4a5e1c21667e-1362080785.jpeg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;7;11.37;40 MBit/s;telekom_layer_magenta_l;über VDSL;;;REGULAR;11.37;117114315;;n;false;MagentaZuhause L;y;Berlin;y;9;;;118;;5.8;70;Berlin;10717;well_kept;normal;false;100 MBit/s;no_information;Uhland str.;y;https://padlock.link/ioml;https://padlock.link/ml;Uhland_str.;apartment;10717;3;;n;2020;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;n;4;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.15850880;520000;profile0;6;3;true;n;n;n;Wilmersdorf_Wilmersdorf;117114315;3;Berlin;/expose/117114315;['Das Haus wird zur Zeit  komplett Saniert!!!\n\n- Wohnfläche: ca. 70 m²\n- 3 Zimmer, Küche und Bad\n- 2 Balkone.\n- ca. 2016 renoviert:\n-Bad neu\n- neue Elektrik\n- neues Dach  \n- neue Fassade \n\nDie  Eigentumswohnung liegt im Herzen von Berlin-Wilmersdorf.\n\nDie Wohnung wurde 2016 renoviert, u. a. wurde das Badezimmer und die Küche erneuert, neue Elektrik und der Fußboden, \ndaher befindet sich die Wohnung in einem gepflegten,  Zustand und wird Ihren neuen Eigentümern sicher viel Freude bereiten. \n\nDas Dach wurde 2016 erneuert und die Fassade und das Treppenhaus wurden vor knapp 4 Jahren renoviert.', 'Die Uhlandstraße im Berliner Bezirk Charlottenburg-Wilmersdorf durchquert den Bezirk parallel zur Bundesallee in Nord-Süd-Richtung. Zwischen Kantstraße und Kurfürstendamm unterquert die Uhlandstraße eine Brücke der Stadtbahn. In diesem Bereich wird die Wohnbesiedlung auch zusehends durch Geschäfte, Restaurants und Bars ergänzt.', 'Sie wollen Ihre Immobilie verkaufen?\nWir haben vielleicht schon einen Käufer für Sie!\nGerne kümmern wir uns professionell und engagiert um den Verkauf Ihres Objektes.'];;showqualicontactform;;;;;
2020-05-11 12:24:00.773846;Berlin;district_heating;ONE_YEAR_FREE;164338;n;y;https://pictures.immobilienscout24.de/listings/ff4cb6e3-98fb-437e-86f4-26d6d0346996-1362091447.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;7;11.37;40 MBit/s;telekom_layer_magenta_l;über VDSL;1905;;REGULAR;11.37;117109798;district_heating;y;false;MagentaZuhause L;y;Berlin;y;11;1;;no_information;energy_consumption;5.8;230;Berlin;10707;refurbished;sophisticated;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;apartment;10707;5;102;n;2015;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;n;4;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.164338;2500000;profile0;6;5;true;n;n;n;Wilmersdorf_Wilmersdorf;AIB12868;7;Berlin;/expose/117109798;"['Es handelt sich um eine herrschaftliche 5-Zimmer-Designer-Wohnung mit ca. 230 qm repräsentativer & stilvoller Wohnfläche, gelegen im 4 Obergeschoss eines herrschaftlichen Gründerzeit-Altbaus aus dem Jahre 1905, welcher in den Jahren 2013-2015 sehr aufwendig saniert und modernisiert wurde.\r\rDie Wohnung verfügt über einen großzügigen Empfang, ein modernes Gäste-WC, ein herrschaftliches Wohnzimmer, ein großes Speisezimmer mit offener Küche, ein geräumiges Kinder-/ Arbeitszimmer, ein großes Schlafzimmer mit Zugang zum exklusiven Designer-Bad, ein großzügiges Kinderzimmer mit Zugang zum Südbalkon, ein exklusives Designer-Badezimmer, sowie einen Hauswirtschaftsraum.\r\rDie Wohnung wurde für über 300.000,- € sehr hochwertig ausgestattet und befindet sich in einem hervorragenden Gesamtzustand.\rZu den besonderen Ausstattungsmerkmalen gehören: hochwertige Parkettböden, stuckverzierte Decken mit ca. 3,70 m Deckenhöhe, zwei exklusive Designer-Bäder mit Fußbodenheizung, modernes Gäste-WC, glatt gespachtelte Wände.\r\rDas Haus verfügt über einen Aufzug sowie einen lichtdurchfluteten und begrünten Innenhof mit einem kleinen Teich. Die Heizungsversorgung erfolgt über eine moderne Fernwärmeheizung, die Warmwasserversorgung erfolgt dezentral. Der Energieverbrauchskennwert des Gebäudes beträgt 102 kWh/(qm∙a).\r\rZu der Wohnung gehört ein Kellerraum. Die Wohnung ist sofort bezugsfrei. ', 'Eine ausgezeichnete Adresse in sehr begehrter Lage von Berlin-Wilmersdorf – nur wenige Gehminuten zum Kurfürstendamm, zwischen Ludwigkirchplatz und Olivaer Platz!', 'Unser Service für Eigentümer\rWir stehen Ihnen bei dem Verkauf Ihrer Immobilie vom Anfang bis zum fertigen Abschluss diskret und kompetent zur Verfügung. \rJeder Schritt erfolgt nach Absprache mit Ihnen. \rSie entscheiden über die Verkaufsstrategie Ihres Objektes, ob diskret und ""off-market"" oder eine qualifizierte Vermarktung in Print- sowie Onlinemedien. \rWir verfügen immer über den richtigen Käufer. \rZudem bewerten wir Ihre Immobilie kostenfrei, entsprechend dem aktuellen Marktwert.\rGerne beraten wir Sie kostenlos persönlich in unserem Büro, per Telefon oder per E-Mail!\rWir freuen uns von Ihnen zu hören!\rwww.immo-boerse.com']";;showqualicontactform;;;;;
2020-05-11 12:24:01.080607;Berlin;no_information;;300581;n;y;https://pictures.immobilienscout24.de/listings/530834f8-cfe4-42cc-8e6c-de6ede76efd3-1361837250.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;9;11.12;;;;1964;;;11.12;117081307;combined_heat_and_power_fossil_fuels;y;false;;y;Berlin;y;4;2;118;xx;energy_required;6.13;38.63;Berlin;10629;no_information;no_information;false;;no_information;"Sybelstra&szlig;e";n;;;Sybelstraße;raised_ground_floor;10629;1;120.5;n;;2,active;;Deutschland;standard;;wohnung_kauf;n;;;;001.300581;190000;profile0;;1;true;n;n;n;Charlottenburg_Charlottenburg;117081307;1;Berlin;/expose/117081307;"['Raumaufteilung:\n- Die Diele ist zentral gelegen, von ihr gehen alle Räume ab, \n- Küche, Bad und das Zimmer mit Balkon sind mit ihren Fenstern nach Süden ausgerichtet, \n- Das Wannenbad mit Fenster verfügt auch über einen Waschmaschinenstellplatz.', 'Das Zimmer und die Diele sind mit Teppichauslegeware versehen. \nDie Diele ist mit einem auch als Garderobe nutzbaren Einbauschrank ausgestatt. \nIm Wohnzimmer bietet ein weiterer Einbauschrank viel Stauraum; daneben ist es mit einem Ess-bzw. Arbeitstisch, sowie einem Schlafsofa und einem Couchtisch versehen. Ein Fernseher rundet die Einrichtung ab. \nBad und Küche sind gefliest.\nDer Balkon ist nach Süden ausgerichtet. \nDie Einbauküche mit Hänge- & Unterschränken sowie Arbeitsplatte verfügt neben Herd und Spüle über einen Kühlschrank mit Gefrierfach und eine Spülmaschine. \nDas Wannenbad ist mit einer Waschmaschine ausgestattet. \nZur Wohnung gehört ein Keller (Gemeinschaftseigentum), ein Fahrradkeller steht ebenso zur Verfügung.', 'Hochparterre mitte (Laut Teilungserkl. Erdgeschoss, baulich jedoch Hochparterre). \nDas Objekt befindet sich im Bezirk Charlottenburg in einer bevorzugten Wohnlage. \nIn der Nachbarschaft befinden sich gute Einkaufsmöglichkeiten: Die Wilmersdorfer \nStraße bietet auch über den täglichen Bedarf diverses an Einkaufsmöglichkeiten, zum Kurfürstendamm sind es ca. 250 Meter. \nDie Anbindung an den öffentlichen Nahverkehr ist durch Bus sowie S- und U-Bahn gegeben.  Mit  dem Auto ist man schnell  über den Kurfürstendamm oder die Kantstraße auf dem Stadtring. \nZum Naherholungsgebiet Grunewald mit seiner Seenkette oder dem Naturschutzgebiet am Teufelsberg sind es nur ca. 10 bis 15 Autominuten – je nach Verkehrslage.', 'Auf Wunsch vermitteln wir Immobilien zur Eigennutzung sowie zur Kapitalanlage.\nFür eine unverbindliche Beratung bzw. Einschätzung stehen wir Ihnen gerne zur Verfügung.\nKontaktieren Sie uns telefonisch oder per E-Mail:\n030 881 33 89 oder duelk-immobilien@t-online.de']";;showqualicontactform;NO_INFORMATION;;;;
2020-05-11 12:24:01.485505;Berlin;self_contained_central_heating;ONE_YEAR_FREE;446752;n;n;https://pictures.immobilienscout24.de/listings/d738ffa1-9133-4694-895b-f7b7b1b7514d-1362016243.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;6;11.12;40 MBit/s;telekom_layer_magenta_l;über VDSL;;;REGULAR;11.12;117105373;gas;n;false;MagentaZuhause L;y;Berlin;n;9;;155;no_information;energy_required;6.13;104.09;Berlin;10627;need_of_renovation;no_information;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;apartment;10627;4;129;n;;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;n;1;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.446752;509000;profile0;;4;true;n;n;n;Charlottenburg_Charlottenburg;117105373;5;Berlin;/expose/117105373;['Das Wohnhaus liegt im Zentrum des Ortsteils Charlottenburg im Berliner Stadtbezirk Charlottenburg-Wilmersdorf. Dies ist einer der begehrtesten Wohnlagen von Berlin. Die umliegende gewachsene Bebauung stammt aus unterschiedlichen Baujahren. Der Standort bietet ein urbanes Flair mit zahlreichen Restaurants, Cafés und einem abwechslungsreichen Angebot an Geschäften des täglichen Bedarfs sowie öffentlichen Einrichtungen.'];;;NO_INFORMATION;;;;
2020-05-11 12:24:01.786957;Berlin;no_information;ONE_YEAR_FREE;174522;n;y;https://pictures.immobilienscout24.de/listings/617d8731-27b2-4480-b949-8deb785b0785-1362089934.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;12;11.49;40 MBit/s;telekom_layer_magenta_l;über VDSL;;;REGULAR;11.49;117115980;;n;true;MagentaZuhause L;y;Berlin;y;7;;;no_information;;6.07;122;Berlin;12169;no_information;no_information;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;apartment;12169;4;;n;;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;y;;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.174522;375000;profile0;;4;true;n;n;n;Steglitz_Steglitz;117115980;6;Berlin;/expose/117115980;['Intelligente Wohnungsgrundrisse, Helligkeit und eine gute Belüftung zeichnen die Bauten von Paul Mebes und Paul Emmerich aus, die im Zeichen der Neuen Sachlichkeit stehen.\nDie gesamte historische Gebäudeanlage ist einwandfrei dokumentiert und in einem guten Zustand. Großzügig und komfortabel geschnitten sind die Zimmer, die sich dank der Ost- und Westausrichtung ihrer großen Doppelkastenfenster erquickend hell präsentieren. Westwärts erfreuen weite Ausblicke ins Grüne. Optimiert wird dieses Immobilienangebot von der effizienten Fernwärmeheizung. Denkbar wäre auch in Zukunft beide Wohnungen zusammenzulegen.\nGehen Sie auf Nummer sicher, in dem sie in beliebter Lage in eine immer gern bewohnte Architektur investieren, um nachgefragte Wohnqualität anbieten zu können.\nEin Energieausweis ist nicht vorhanden.', 'Sie möchten den Marktwert Ihrer Immobilie wissen oder Ihre Immobilie verkaufen? Wir sind seit 1995 erfolgreich im Verkauf von Immobilien in Berlin, Potsdam und Umgebung tätig. Unsere exzellenten Eigentümerbewertungen sprechen für sich.\n\n•\tOftmals haben wir schon den richtigen Käufer für Ihre Immobilie in unserer Kartei\n•\tWir sind Bellevue Best Property Agent und Mitglied in den Verbänden IVD & FIABCI\n•\tWir benötigen keinen schriftlichen Alleinauftrag\n•\tKosten entstehen Ihnen bei uns keine\n•\tUnsere Spezialisten stehen Ihnen gerne für ein erstes – für Sie unverbindliches - Gespräch zur Verfügung\n\nWir freuen uns über Ihre Kontaktaufnahme unter einkauf@immoberlin.de oder (030) 895 72 20.\nBitte besuchen Sie auch unsere Website: \nhttps://www.immoberlin.de'];disabled;showqualicontactform;;;;;
2020-05-11 12:24:02.121904;Berlin;central_heating;ONE_YEAR_FREE;17689537;n;n;https://pictures.immobilienscout24.de/listings/8ded57bd-26d9-408a-8c6f-91528e7a817e-1362003935.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;14;10.81;40 MBit/s;telekom_layer_magenta_l;über VDSL;1918;;REGULAR;10.81;117102019;gas;n;false;MagentaZuhause L;n;Berlin;n;5;1;162.55;50;energy_required;6.01;45.44;Berlin;12161;well_kept;no_information;false;100 MBit/s;no_information;"Rheinstra&szlig;e";n;https://padlock.link/ioml;https://padlock.link/ml;Rheinstraße;apartment;12161;1;307;n;;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;n;2;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;009.d41f4c69-eb7b-4709-b891-42c728a6b026;240000;profile0;4;1;true;n;n;n;Friedenau_Schöneberg;EBO010_RS50_WE21.1;2;Berlin;/expose/117102019;['REPRÄSENTATIVER ALTBAU IN EINER ATTRAKTIVEN LAGE\n\nDieser repräsentative und gepflegte Altbau aus dem Jahre 1918 umfasst insgesamt 27 Wohn- und 3 Gewerbeeinheiten. Des Weiteren bietet Ihnen diese Immobilie einen großzügigen und begrünten Hinterhof mit Fahrradabstellmöglichkeiten.', 'HELLE 1 ZIMMERWOHNUNG IN EINER TOP LAGE\n\nFolgende Ausstattungsmerkmale sind vorhanden:\n\n*helle Wohnung\n*top geschnitten\n*Dielen\n*Wannenbad\n*große Küche', 'ALLES, WAS DAS HERZ BEGEHRT \n\nFriedenau bildet den perfekten Übergang zwischen den dicht bebauten Innenstadtbezirken und den suburbanen Villen- und Eigenheimvororten. Der perfekte Ort für alle, die die Ruhe schätzen und trotzdem die Nähe zum Stadtzentrum nicht missen möchten. \n\nDas unmittelbare Umfeld dieser Immobilie bietet Ihnen ein eine nahezu perfekte Infrastruktur und bildet somit eine ideale Grundlage für Ihre Zukunft in der Rheinstraße. Ob eine Runde shoppen in der 5 min. entfernten Schlossstraße oder ein netter Abend am Rüdesheimer Platz mit einem Glas Wein. Diese und noch viele weitere Freizeitangebote machen diesen Ortsteil zu einem ganz Besonderen. \n\nAuch das Bildungsangebot kommt hier nicht zu kurz. Diverse Schulen und die Freie Universität sind unweit von der Immobilie vorzufinden. \nZu allen Anlaufstellen gelangen Sie in kürzester Zeit sowohl mit U- und S-Bahn, also auch mit Bussen.', 'Wir freuen uns von Ihnen zu hören und stehen für weitere Fragen und einen Besichtigungstermin selbstverständlich gern zur Verfügung!'];;showqualicontactform;;;;;
