timestamp;obj_regio1;obj_heatingType;obj_telekomTvOffer;obj_cId;obj_newlyConst;obj_balcony;obj_picture;obj_picturecount;obj_pricetrend;obj_telekomUploadSpeed;obj_telekomTrackingGroup;obj_telekomInternetTechnology;obj_yearConstructed;obj_telekomInternetType;obj_pricetrendbuy;obj_scoutId;obj_firingTypes;obj_hasKitchen;obj_ExclusiveExpose;obj_telekomInternetProductName;obj_courtage;geo_bln;obj_cellar;obj_purchasePriceRange;obj_yearConstructedRange;obj_rentSubsidy;obj_houseNumber;obj_energyType;obj_pricetrendrent;obj_livingSpace;geo_krs;obj_zipCode;obj_condition;obj_interiorQual;obj_energyEfficiencyClass;ga_cd_cxp_historicallisting;obj_telekomDownloadSpeed;obj_parkingSpace;obj_street;obj_lift;obj_telekomInternetUrlMobile;obj_telekomInternetUrl;obj_streetPlain;obj_typeOfFlat;geo_plz;obj_noRooms;obj_thermalChar;obj_assistedLiving;obj_ityp;obj_telekomHdTelephone;geo_land;ga_cd_via;obj_telekomInternet;obj_immotype;obj_rented;obj_floor;obj_telekomInternetServices;obj_telekomInternetProductAvailable;obj_cwId;obj_purchasePrice;ga_cd_application_requirements;obj_numberOfFloors;obj_noRoomsRange;ga_cd_maillead_default_shown;obj_garden;evt_count_pm_sig;obj_barrierFree;obj_international;obj_regio3;obj_objectnumber;obj_livingSpaceRange;obj_regio2;URL;beschreibung;obj_galleryAd;obj_usableArea
2020-05-11 12:26:45.242539;Berlin;oil_heating;ONE_YEAR_FREE;261165;n;y;https://pictures.immobilienscout24.de/listings/422de33b-8f75-4379-b069-beffef52612b-1359869869.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;6;10.18;40 MBit/s;telekom_layer_magenta_l;über VDSL;1979;REGULAR;10.18;116900754;oil;y;false;MagentaZuhause L;y;Berlin;y;5;3;178;no_information;energy_consumption;5.21;53;Berlin;12203;well_kept;normal;E;false;100 MBit/s;outside;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;apartment;12203;2;146.2;n;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;n;2;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.261165;225000;profile0;3;2;true;n;showqualicontactform;n;n;Lichterfelde_Steglitz;W-02H77A;2;Berlin;/expose/116900754;['Die 1970 auf einem ca. 1.436 m² großen Grundstück errichtete Wohnanlage besteht aus einem an der Straße liegenden Haus mit 15 Wohneinheiten und einem hinten auf dem Grundstück erbauten Haus mit 9 Wohneinheiten. Zwischen den beiden Gebäuden liegt die Tiefgarage mit 15 Stellplätzen. Diese gehören der Eigentümergemeinschaft und können angemietet werden. Die hier angebotene Wohnung liegt im 2. Obergeschoss des hinteren Hauses. Sie wurde 2015 umfassend modernisiert und ist sofort bezugsfähig. Zur Wohnung gehört ein Kellerraum.', '• 2015 modernisiert\n• Einbauküche\n• Parkett im Wohnbereich\n• Balkon\n• Kellerraum\n• PKW-Stellplatz ggf. anmietbar', 'Der charmante Stadtteil Lichterfelde-West ist mit seiner Vielfalt an herrschaftlichen Villen unterschiedlichster historischer Baustile, seinen großen Gärten und Alleen als eines der ältesten Villenviertel Berlins bekannt. Der in großen Teilen denkmalgeschützte Baubestand erzählt noch heute die bewegte Geschichte dieses einmaligen Stadtteils im attraktiven Süd-Westen der Hauptstadt. Heute gilt Lichterfelde-West als bevorzugtes Wohngebiet für einkommensstarke Familien, die ein Leben im Grünen mit der Bequemlichkeit des Stadtlebens verbinden möchten. Die Infrastruktur ist ausgezeichnet: Den attraktiven Stadtkern von Lichterfelde-West erreichen Sie in nur wenigen Minuten. Hier erwarten Sie bekannte Bio-Märkte, Cafés und eine erfrischende Fülle von inhabergeführten Geschäften. Von den S-Bahnhöfen „Lichterfelde-West“ bzw. „Sundgauer Strasse“ gelangen Sie bequem zur beliebten Shopping-Meile “Schloßstrasse“ im benachbarten Steglitz und in nur ca. 20 Minuten zum Potsdamer Platz. Mit dem PKW haben Sie ausgezeichneten Anschluss an die Flughäfen und die Berliner City. Der berühmte Botanische Garten und die zahlreichen Einrichtungen der Freien Universität im an-grenzenden Ortsteil Dahlem befinden sich in der unmittelbaren Nähe. In Richtung Westen liegen die Berliner Seen, aus-gedehnte Waldgebiete und Naherholungsziele sowie die preußische Kulturhauptstadt Potsdam. Ein idealer Standort, um urbanes Lebensgefühl in einem grünen Umfeld zu genießen.', 'Der Makler-Vertrag mit uns und/oder unserem Beauftragten kommt durch schriftliche Vereinbarung oder durch die Inanspruchnahme unserer Maklertätigkeit auf der Basis des Objekt-Exposés und seiner Bedingungen zustande. Die Käufercourtage in Höhe von 7,14 % auf den Kaufpreis einschließlich gesetzlicher Mehrwertsteuer ist bei notariellem Vertragsabschluss verdient und fällig. Die Höhe der Bruttocourtage unterliegt einer Anpassung bei Steuersatzänderung. Die Engel & Völkers EuV Residential Berlin GmbH und ggf. deren Beauftragte erhalten einen unmittelbaren Zahlungsanspruch gegenüber dem Käufer (Vertrag zugunsten Dritter, § 328 BGB). Grunderwerbssteuer, Notar- und Gerichtskosten trägt der Käufer.\n\nAlle Angaben sind ohne Gewähr und basieren ausschließlich auf Informationen, die uns von unserem Auftraggeber übermittelt wurden. Wir übernehmen keine Gewähr für die Vollständigkeit, Richtigkeit und Aktualität dieser Angaben. Zwischenvermietung bleibt vorbehalten. Sollte das von uns nachgewiesene Objekt bereits bekannt sein, teilen Sie uns dieses bitte unverzüglich mit. Die Weitergabe dieses Exposees an Dritte ohne unsere Zustimmung löst gegebenenfalls Courtage- bzw. Schadensersatzansprüche aus. Im Übrigen gelten die allgemeinen Geschäftsbedingungen für die Rechtsbeziehung zwischen Ihnen und Engel & Völkers EuV Residential Berlin GmbH.'];;
2020-05-11 12:26:45.567932;Berlin;;ONE_YEAR_FREE;175423;n;n;https://pictures.immobilienscout24.de/listings/fcab4b69-fbf1-4910-abf8-c02cf30373af-1359869203.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;1;10.47;40 MBit/s;telekom_layer_magenta_l;über VDSL;;REGULAR;10.47;116901101;gas;n;false;MagentaZuhause L;n;Berlin;n;6;;;no_information;energy_consumption;6.36;70;Berlin;13187;no_information;no_information;;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;apartment;13187;2;132;n;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;n;;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.175423;298000;profile0;;2;true;n;showqualicontactform;n;n;Pankow_Pankow;5444 (1/5444);3;Berlin;/expose/116901101;[];;
2020-05-11 12:26:46.089092;Berlin;;ONE_YEAR_FREE;175423;n;n;https://pictures.immobilienscout24.de/listings/246bf892-34b5-428a-a098-51c5d5fd05f8-1359869456.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;1;11.12;40 MBit/s;telekom_layer_magenta_l;über VDSL;1901;REGULAR;11.12;116901127;no_information;n;false;MagentaZuhause L;n;Berlin;n;10;1;;no_information;;6.13;120;Berlin;14050;first_time_use_after_refurbishment;sophisticated;;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;roof_storey;14050;3;;n;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;n;;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.175423;820000;profile0;;3;true;n;showqualicontactform;n;n;Charlottenburg_Charlottenburg;5445 (1/5445);5;Berlin;/expose/116901127;['Der Energieausweis ist beantragt, liegt aber noch nicht vor.'];;
2020-05-11 12:26:46.427291;Berlin;central_heating;ONE_YEAR_FREE;896742;n;y;https://pictures.immobilienscout24.de/listings/ccad4dbd-9772-4ed4-bab0-2092b646a831-1359861710.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;13;10.81;40 MBit/s;telekom_layer_magenta_l;über VDSL;1905;REGULAR;10.81;116900484;gas;n;false;MagentaZuhause L;y;Berlin;n;10;1;;4;energy_required;6.01;110.42;Berlin;12159;first_time_use_after_refurbishment;no_information;;false;100 MBit/s;no_information;"Bennigsenstra&szlig;e";y;https://padlock.link/ioml;https://padlock.link/ml;Bennigsenstraße;apartment;12159;3;194.1;n;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;n;2;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.896742;857000;profile0;4;3;true;y;showqualicontactform;n;n;Friedenau_Schöneberg;5660;5;Berlin;/expose/116900484;"['Der um 1905 erbaute Altbau wird nach revitalisierenden Sanierungsarbeiten in altem West-Berliner-Charme erstrahlen. Bestehend aus einem Vorderhaus und einem kleinen Seitenflügel bietet er insgesamt 10 Eigentumswohnungen; 2 Erdgeschosswohnungen, 6 Etagenwohnungen und 2 moderne, neu errichtete Dachgeschosswohnungen mit Dachterrassen. Ein neuer, verglaster Aufzug erschließt komfortabel alle Wohnungen. Wohnungsgrößen von 98 bis 119 m² Wohnfläche mit 2 bis 4 Zimmern und unterschiedlichen Wohnungsvarianten stehen zur Verfügung. \nIndividuelle Käuferwünsche bzgl. Grundrissgestaltung sind im Rahmen der bautechnischen Gegebenheiten noch möglich. Ebenso können aktuell durch Wohnungszusammenlegungen auch größere Wohnungsvarianten mit ca. 230 m² Wohnfläche umgesetzt werden.\nZu den umfangreichen baulichen Maßnahmen am Gemeinschaftseigentum zählen unter anderem die Anbringung neuer Balkone im grünen Hofbereich, Einbau neuer Holzisolierglasfenster im Altbaucharakter, die Instandsetzung und Neugestaltung der Straßen- und Hoffassaden, der Einbau einer neuen Gaszentralheizung, die Installation neuer Kellergrundleitungen und Steigestränge, Instandsetzung und Neugestaltung des Treppenhauses, Revitalisierung der Garten- und Hofbereiche etc…\nAlle Eigentumswohnungen werden ebenfalls umfangreich saniert und verfügen über moderne und unterschiedliche Grundrissvarianten, um individuelle Erwerberansprüche zu realisieren. Hochwertige Wohnungsausstattungen stehen den Erwerbern zur Verfügung.', 'Sie wohnen in sehr gefragter Friedenauer Lage in einer ruhigen und grünen Wohnstraße nahe dem Perelsplatz. Zahlreiche nette Cafés und Restaurants im Umfeld laden zum Verweilen und Genießen ein. \n\nDas nähere Umfeld bietet Einkaufsmöglichkeiten für den täglichen Bedarf; die gut erreichbare Schloßstraße darüber hinaus zahlreiche Shoppingcenter und umfangreiche Unterhaltungsangebote. \n\nIn wenigen Minuten erreichen sie fußläufig den Breslauer Platz, auf dem Sie mittwochs und samstags ein zahlreiches Angebot an frischen Gemüse und Obst treffen und regionale Leckereien genießen können. \n\nDie infrastrukturellen Gegebenheiten sind mit sehr gut zu bezeichnen.', 'WEITERE EINHEITEN:\n\nNeben dieser Eigentumswohnung stehen im Objekt weitere Eigentumswohnungen unterschiedlicher Wohnungsgrößen für Selbstnutzer sowie Kapitalanleger zur Verfügung.\n\nFIRMENHOMEPAGE:\n\nAuf der Homepage www.nehls-immo.de finden Sie weitere Immobilienangebote anderer Objekte.\n\nHAFTUNGSHINWEISE:\n\nBei abgebildeten Grundrissen handelt es sich um schematische Grundrisszeichnungen; exakte Maße können nicht abgeleitet werden. Die zeichnerischen Darstellungen können vom tatsächlichen baulichen Bestand (Wandstärken, Nischen, Pfeiler, Türschläge, Anordnung der Sanitärobjekte, etc.) abweichen. Dargestellte Möbel und Einrichtungsgegenstände in abgebildeten Grundrissen, außer im Kaufumfang enthaltener und beschriebener, dienen als Möblierungsvorschläge und sind nicht im Kaufpreis inbegriffen. Abgebildete Illustrationen (Innen- und Außenansichten) können in ihrer zeichnerischen Darstellung vom tatsächlichen baulichen Bestand oder geplanten und ausgeführten baulichen Leistungen (Wände, Fenster, Türen, Boden und Wandbeläge, Fassaden, Farbgebungen, Dächer, Balkone und Terrassen, Möbel, Bäume, Pflanzen, etc.) abweichen und bilden in ihrer Darstellung keine Zusicherung von Eigenschaften.']";;
2020-05-11 12:26:46.826803;Berlin;;ONE_YEAR_FREE;175423;n;n;https://pictures.immobilienscout24.de/listings/c3c83a45-ebeb-4e9e-8fe7-e859441fb7a2-1359872026.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;15;12.25;40 MBit/s;telekom_layer_magenta_l;über VDSL;1900;REGULAR;12.25;116901385;gas;n;false;MagentaZuhause L;y;Berlin;n;4;1;;no_information;energy_consumption;6.83;36;Berlin;12103;no_information;no_information;D;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;apartment;12103;1;126;n;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;n;3;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.175423;162000;profile0;3;1;true;n;showqualicontactform;n;n;Tempelhof_Tempelhof;5452 (1/5452);1;Berlin;/expose/116901385;['Bezugsfertige Altbauwohnung.\rSchöner begrünter Hof.\rRuhige Lage.\rDie Wohnung wird möbliert verkauft. ', 'Für sonstige Informationen und Besichtigungen kontaktieren Sie bitte Herrn \rLutz W. Potempa\rMobil:    0172 672 46 40\rE-Mail: potempa@ez-immobilien.de'];;
2020-05-11 12:26:47.136822;Berlin;no_information;ONE_YEAR_FREE;174522;n;y;https://pictures.immobilienscout24.de/listings/e5de1746-832b-4011-b9a3-9501418670eb-1359868014.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;11;12.1;40 MBit/s;telekom_layer_magenta_l;über VDSL;;REGULAR;12.1;116901014;;y;true;MagentaZuhause L;y;Berlin;y;5;;;no_information;;7.07;48;Berlin;10777;no_information;no_information;;false;100 MBit/s;no_information;no_information;y;https://padlock.link/ioml;https://padlock.link/ml;no_information;apartment;10777;2;;n;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;n;;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.174522;245000;profile0;;2;true;n;showqualicontactform;n;n;Schöneberg_Schöneberg;116901014;2;Berlin;/expose/116901014;['Diese Architektur steht für Lebensfreude in der City. Die zwei Zimmer präsentieren sich mit einer anregenden Tageshelligkeit. Wie die Loggia bieten beide Zimmer herrliche Aussichten in die weite Hofnatur. 2015 wurde diese Wohnung saniert. Seitdem erfreuen eine klassisch weiße Einbauküche und ein neues Badezimmer. Dieses taghelle Bad ist u.a. mit modischen großformatigen Fliesen, einer Duschkabine, Handtuchheizung und einem Platz für eine Waschmaschine bestens ausgestattet. Auch die übrigen Räumlichkeiten erhielten neue Bodenfliesen. Damit wurde ein frisches, mediterran anmutendes Flair erzeugt.\nMit dem Anschluss an die Zentralheizung, dem Abstellraum im Keller und dem Personenaufzug ist diese Wohnung perfekt in das gepflegte Gebäude integriert. Hier kann entspannt in einem erlebnisreichen Stadtteil gewohnt werden – ein erstklassiges Refugium für eine alleinlebende Person oder ein Paar.\nEin Energieausweis ist nicht vorhanden.', 'Sie möchten den Marktwert Ihrer Immobilie wissen oder Ihre Immobilie verkaufen? Wir sind seit 1995 erfolgreich im Verkauf von Immobilien in Berlin, Potsdam und Umgebung tätig. Unsere exzellenten Eigentümerbewertungen sprechen für sich.\n\n•\tOftmals haben wir schon den richtigen Käufer für Ihre Immobilie in unserer Kartei\n•\tWir sind Bellevue Best Property Agent und Mitglied in den Verbänden IVD & FIABCI\n•\tWir benötigen keinen schriftlichen Alleinauftrag\n•\tKosten entstehen Ihnen bei uns keine\n•\tUnsere Spezialisten stehen Ihnen gerne für ein erstes – für Sie unverbindliches - Gespräch zur Verfügung\n\nWir freuen uns über Ihre Kontaktaufnahme unter einkauf@immoberlin.de oder (030) 895 72 20.\nBitte besuchen Sie auch unsere Website: \nhttps://www.immoberlin.de'];disabled;
2020-05-11 12:26:47.479105;Berlin;;ONE_YEAR_FREE;175423;n;n;https://pictures.immobilienscout24.de/listings/95703db5-2c67-4f0b-833a-a618a4152dcf-1359871309.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;1;11.24;40 MBit/s;telekom_layer_magenta_l;über VDSL;;REGULAR;11.24;116901300;gas;n;false;MagentaZuhause L;n;Berlin;n;8;;;no_information;energy_consumption;6.2;99;Berlin;14197;no_information;no_information;;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;ground_floor;14197;3;142;n;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;n;;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.175423;498000;profile0;;3;true;n;showqualicontactform;n;n;Wilmersdorf_Wilmersdorf;5449 (1/5449);4;Berlin;/expose/116901300;['Komplett saniertes Gemeinschaftseigentum. Die Wohnung ist renovierungsbedürftig.'];;
2020-05-11 12:26:47.824079;Berlin;floor_heating;;18027065;n;y;https://pictures.immobilienscout24.de/listings/1311c929-b426-458e-9ae4-48ead42240ff-1359870393.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;9;11.37;;;;;;11.37;116901066;;y;false;;n;Berlin;y;8;;;8;;5.8;61;Berlin;10711;no_information;luxury;;false;;no_information;Heilbronner;y;;;Heilbronner;no_information;10711;2;;n;2,active;;Deutschland;standard;;wohnung_kauf;n;4;;false;009.9233d0ff-ce69-47de-ab6b-2b67a0fbd406;449000;profile0;;2;true;y;showqualicontactform;n;n;Wilmersdorf_Wilmersdorf;HIWE413;3;Berlin;/expose/116901066;['Vom lebhaften Ku’damm über die gemütlichen Kieze in direkter Nachbarschaft bis hin zur grünen Lunge, dem Grunewald: Rund um das HIGH WEST erwartet Sie eine bunte Mischung verschiedenster Spots, Quartiere und Naherholungsziele, die ein Großstadtleben voller Abwechslung und Inspirationen bieten.\n\nOb Radeln, Joggen, Paddeln oder Schwimmen: Der Grunewald bietet mit seiner Seenkette, der Havel und dem Wannsee unzählige Möglichkeiten für Erholungssuchende wie Sportbegeisterte. Mit der S-Bahn erreicht man das grüne Paradies vom Bahnhof Charlottenburg aus bereits in fünf Minuten! Schöne Spaziergänge ermöglicht auch der nahe Lietzensee mit seinen idyllischen Uferwegen.\n\nAbseits vom Großstadttrubel geht es am westlichen Ende des Stuttgarter Platzes beschaulich zu. Entlang der schönen Leonhardt- und Windscheidstraße reihen sich originelle Geschäfte und Boutiquen, kreative Werkstätten und Feinkostläden aneinander. In den vielen Cafés und Restaurants trifft sich ein buntes Publikum aus Jung und Alt zum geselligen Miteinander.'];;61
2020-05-11 12:26:48.138331;Berlin;central_heating;ONE_YEAR_FREE;17425585;n;n;https://pictures.immobilienscout24.de/listings/9cc3f8b3-580f-48d9-b774-55d7c1107f6f-1359868507.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;12;12.1;40 MBit/s;telekom_layer_magenta_l;über VDSL;1955;REGULAR;12.1;116901050;gas;y;true;MagentaZuhause L;y;Berlin;y;6;2;272;9;energy_consumption;7.07;60.54;Berlin;10781;refurbished;no_information;;false;100 MBit/s;no_information;"Traunsteiner Stra&szlig;e";n;https://padlock.link/ioml;https://padlock.link/ml;Traunsteiner_Straße;ground_floor;10781;2;159;n;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;n;;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;002.01008164665;300000;profile0;5;2;true;n;showqualicontactform;n;n;Schöneberg_Schöneberg;10781TR9/Eh1;2;Berlin;/expose/116901050;"['Sofort einziehen. Die schönen Dinge des Lebens genießen. Ruhig schlafen. \n\nDiese Wohnung strahlt frisch saniert wie ein kleiner Diamant und die beliebte Lage nahe dem Bayerischen Viertel und fußläufig zum Viktoria-Luise-Platz ein Glücksfall: eine ruhige Wohnstraße und trotzdem zentral und schnell an die City angebunden.\nDer perfekte Grundriss bietet mit ca. 61 m2 erstaunlich viel Platz: zwei große Zimmer, ein Badezimmer mit Tageslicht-Fenster, eine Küche mit Essbereich und ein weiteres halbes Zimmer, welches sich ideal als Arbeits- oder Gästeraum nutzen lässt. Die Erdgeschosswohnung ist durch ihre großen Fenster ungewöhnlich hell und das Wohnhaus von 1955 außergewöhnlich gut gepflegt.\nWillkommen im lässigen Schöneberg, dem charmanten Altberliner Bezirk \ninmitten der Hauptstadt.\n', 'Die frisch sanierte 2 Zimmerwohnung befindet sich im Erdgeschoss und verfügt über folgende Ausstattungsmerkmale: \n\n- Bad mit Tageslicht-Fenster\n- eigener Kellerabteil\n- Zentralheizung\n- Grünblick\n- Südausrichtung\n', 'Schöneberg liegt nicht nur geographisch zwischen dem Szenebezirk Kreuzberg und dem bürgerlich-schicken Wilmersdorf. Mit seinen stilvollen Cafés und Restaurants, kiezigen Kneipen und Galerien und dem wunderbaren Altberliner Flair der kleinen Nebenstraßen, ist der Bezirk \nein ebenso lebendiges wie gediegenes Ausgehviertel. Um Schöneberg zu erleben und zu ""genießen"", besucht man am besten am Wochenende den beliebten Winterfeldmarkt. Hier gibt es hochwertiges Obst und Gemüse sowie Blumen, Käse, Hausrat und Kleidung zu kaufen. \nKein Wunder, dass Schöneberg mit seiner Vielfältigkeit auch früher viele Persönlichkeiten angezogen hat: Marlene Dietrich wuchs hier auf, David Bowie lebte hier, ebenso auch Albert Einstein, Kurt Tucholsky und Helmut Newton. Fazit: der Name des Stadtteils ist Programm.', 'Bei diesem Angebot handelt es sich um eine Immobilie aus dem Firmenverbund.\n\nWeitere Angebote finden Sie unter: www.immokey.com']";;
2020-05-11 12:26:48.559952;Berlin;central_heating;ONE_YEAR_FREE;896742;n;y;https://pictures.immobilienscout24.de/listings/6be7fa43-3072-4d3f-be01-8a12a368a509-1359861367.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;12;10.81;40 MBit/s;telekom_layer_magenta_l;über VDSL;1905;REGULAR;10.81;116900457;gas;n;false;MagentaZuhause L;y;Berlin;n;10;1;;4;energy_required;6.01;109.26;Berlin;12159;first_time_use_after_refurbishment;no_information;;false;100 MBit/s;no_information;"Bennigsenstra&szlig;e";y;https://padlock.link/ioml;https://padlock.link/ml;Bennigsenstraße;apartment;12159;4;194.1;n;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;n;1;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.896742;834000;profile0;4;4;true;y;showqualicontactform;n;n;Friedenau_Schöneberg;5657;5;Berlin;/expose/116900457;"['Der um 1905 erbaute Altbau wird nach revitalisierenden Sanierungsarbeiten in altem West-Berliner-Charme erstrahlen. Bestehend aus einem Vorderhaus und einem kleinen Seitenflügel bietet er insgesamt 10 Eigentumswohnungen; 2 Erdgeschosswohnungen, 6 Etagenwohnungen und 2 moderne, neu errichtete Dachgeschosswohnungen mit Dachterrassen. Ein neuer, verglaster Aufzug erschließt komfortabel alle Wohnungen. Wohnungsgrößen von 98 bis 119 m² Wohnfläche mit 2 bis 4 Zimmern und unterschiedlichen Wohnungsvarianten stehen zur Verfügung. \nIndividuelle Käuferwünsche bzgl. Grundrissgestaltung sind im Rahmen der bautechnischen Gegebenheiten noch möglich. Ebenso können aktuell durch Wohnungszusammenlegungen auch größere Wohnungsvarianten mit ca. 230 m² Wohnfläche umgesetzt werden.\nZu den umfangreichen baulichen Maßnahmen am Gemeinschaftseigentum zählen unter anderem die Anbringung neuer Balkone im grünen Hofbereich, Einbau neuer Holzisolierglasfenster im Altbaucharakter, die Instandsetzung und Neugestaltung der Straßen- und Hoffassaden, der Einbau einer neuen Gaszentralheizung, die Installation neuer Kellergrundleitungen und Steigestränge, Instandsetzung und Neugestaltung des Treppenhauses, Revitalisierung der Garten- und Hofbereiche etc…\nAlle Eigentumswohnungen werden ebenfalls umfangreich saniert und verfügen über moderne und unterschiedliche Grundrissvarianten, um individuelle Erwerberansprüche zu realisieren. Hochwertige Wohnungsausstattungen stehen den Erwerbern zur Verfügung.', 'Sie wohnen in sehr gefragter Friedenauer Lage in einer ruhigen und grünen Wohnstraße nahe dem Perelsplatz. Zahlreiche nette Cafés und Restaurants im Umfeld laden zum Verweilen und Genießen ein. \n\nDas nähere Umfeld bietet Einkaufsmöglichkeiten für den täglichen Bedarf; die gut erreichbare Schloßstraße darüber hinaus zahlreiche Shoppingcenter und umfangreiche Unterhaltungsangebote. \n\nIn wenigen Minuten erreichen sie fußläufig den Breslauer Platz, auf dem Sie mittwochs und samstags ein zahlreiches Angebot an frischen Gemüse und Obst treffen und regionale Leckereien genießen können. \n\nDie infrastrukturellen Gegebenheiten sind mit sehr gut zu bezeichnen.', 'WEITERE EINHEITEN:\n\nNeben dieser Eigentumswohnung stehen im Objekt weitere Eigentumswohnungen unterschiedlicher Wohnungsgrößen für Selbstnutzer sowie Kapitalanleger zur Verfügung.\n\nFIRMENHOMEPAGE:\n\nAuf der Homepage www.nehls-immo.de finden Sie weitere Immobilienangebote anderer Objekte.\n\nHAFTUNGSHINWEISE:\n\nBei abgebildeten Grundrissen handelt es sich um schematische Grundrisszeichnungen; exakte Maße können nicht abgeleitet werden. Die zeichnerischen Darstellungen können vom tatsächlichen baulichen Bestand (Wandstärken, Nischen, Pfeiler, Türschläge, Anordnung der Sanitärobjekte, etc.) abweichen. Dargestellte Möbel und Einrichtungsgegenstände in abgebildeten Grundrissen, außer im Kaufumfang enthaltener und beschriebener, dienen als Möblierungsvorschläge und sind nicht im Kaufpreis inbegriffen. Abgebildete Illustrationen (Innen- und Außenansichten) können in ihrer zeichnerischen Darstellung vom tatsächlichen baulichen Bestand oder geplanten und ausgeführten baulichen Leistungen (Wände, Fenster, Türen, Boden und Wandbeläge, Fassaden, Farbgebungen, Dächer, Balkone und Terrassen, Möbel, Bäume, Pflanzen, etc.) abweichen und bilden in ihrer Darstellung keine Zusicherung von Eigenschaften.']";;
