timestamp;obj_regio1;obj_heatingType;obj_telekomTvOffer;obj_cId;obj_newlyConst;obj_balcony;obj_picture;obj_picturecount;obj_pricetrend;obj_telekomUploadSpeed;obj_telekomTrackingGroup;obj_telekomInternetTechnology;obj_yearConstructed;obj_telekomInternetType;obj_project_id;obj_pricetrendbuy;obj_scoutId;obj_firingTypes;obj_hasKitchen;obj_ExclusiveExpose;obj_telekomInternetProductName;obj_courtage;geo_bln;obj_cellar;obj_purchasePriceRange;obj_yearConstructedRange;obj_rentSubsidy;obj_houseNumber;obj_pricetrendrent;obj_livingSpace;geo_krs;obj_zipCode;obj_condition;obj_interiorQual;ga_cd_cxp_historicallisting;obj_telekomDownloadSpeed;obj_parkingSpace;obj_street;obj_lift;obj_telekomInternetUrlMobile;obj_telekomInternetUrl;obj_streetPlain;obj_typeOfFlat;geo_plz;obj_noRooms;obj_assistedLiving;obj_ityp;obj_telekomHdTelephone;geo_land;ga_cd_via;obj_telekomInternet;obj_immotype;obj_rented;obj_floor;obj_nbp;obj_telekomInternetServices;obj_telekomInternetProductAvailable;obj_cwId;obj_purchasePrice;ga_cd_application_requirements;obj_numberOfFloors;obj_noRoomsRange;ga_cd_maillead_default_shown;obj_garden;obj_barrierFree;obj_international;obj_regio3;obj_objectnumber;obj_livingSpaceRange;obj_regio2;URL;beschreibung;obj_energyType;obj_thermalChar;evt_count_pm_sig;obj_lastRefurbish;obj_groupnumber;obj_galleryAd;obj_usableArea;obj_noParkSpaces;obj_energyEfficiencyClass
2020-05-11 12:14:07.795227;Berlin;combined_heat_and_power_plant;ONE_YEAR_FREE;18346234;y;y;https://pictures.immobilienscout24.de/listings/ac2fec85-0994-4b36-9a6f-6d8de5f5ab2b-1366880078.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;2;11.3;40 MBit/s;telekom_layer_magenta_l;über VDSL;2021;REGULAR;82168;11.3;117991783;gas;n;false;MagentaZuhause L;n;Berlin;y;10;9;295.83;7;5.76;97.4;Berlin;10587;first_time_use;sophisticated;false;100 MBit/s;underground_garage;"Pascalstra&szlig;e";y;https://padlock.link/ioml;https://padlock.link/ml;Pascalstraße;ground_floor;10587;3;n;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;n;0;true;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;002.01009170479;755000;profile0;7;3;true;y;n;n;Charlottenburg_Charlottenburg;F-0.2 Fadi;4;Berlin;/expose/117991783;[];;;;;;;;;
2020-05-11 12:14:08.356437;Berlin;central_heating;ONE_YEAR_FREE;1163286;n;y;https://pictures.immobilienscout24.de/listings/f8a4a370-c4a5-4ee9-a142-310949db79fe-1366879700.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;1;11.73;40 MBit/s;telekom_layer_magenta_l;über VDSL;1926;REGULAR;;11.73;117992917;district_heating;n;false;MagentaZuhause L;y;Berlin;n;7;1;336;no_information;5.75;76;Berlin;12157;well_kept;normal;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;roof_storey;12157;3;n;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;y;4;;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.1163286;379000;profile1_customersettings;5;3;true;n;n;n;Steglitz_Steglitz;1179988;3;Berlin;/expose/117992917;['Weitere Angebote zu unseren Eigentumswohnungen finden Sie auf unserer Homepage: http://www.wohllebe-immobilien.de/etw.php\nDie vermietete Eigentumswohnung befindet sich im 4. OG im Vorderhaus in einem Altbaugebäude aus dem Jahre 1926. Das Gebäude hat keinen Personenaufzug.\nThe dwelling is located in the 4. floor in a building of 1926.', 'Die vermietete Eigentumswohnung hat 3 Zimmer und ein Wannenbad. Die Wohnung hat eine ruhige Süd-Terrasse. Für ein ausführliches Expose geben Sie bitte Ihren Namen und Postadresse an.\nThe dwelling has 3 rooms and a balcony to the south. If you whant more information with fotos, groundplan etc. please send us your name and your post adress.', 'Das Gebäude befindet sich in klassischer Lage Berlin Steglitz, nahe dem Lauenburger Platz. In der näheren Umgebung befinden sich sämtliche Einkaufsmöglichkeiten und Dienstleistungen, die man für den täglichen Bedarf benötigt. Auch Schulen, Kitas und andere (öffentliche) Einrichtungen sind fußläufig erreichbar.\nThe building is in a quiet street of Steglitz.  In the near region you have schools and shopping possibilities around.'];energy_consumption;68;showqualicontactform;;;;;;
2020-05-11 12:14:08.675899;Berlin;central_heating;ONE_YEAR_FREE;1163286;n;y;https://pictures.immobilienscout24.de/listings/8fc293b6-2421-4099-837e-269d36dfdb82-1366876539.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;1;12.78;40 MBit/s;telekom_layer_magenta_l;über VDSL;1919;REGULAR;;12.78;117992638;gas;n;false;MagentaZuhause L;y;Berlin;y;7;1;273;no_information;7.25;91;Berlin;10555;well_kept;normal;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;apartment;10555;3;n;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;y;4;;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.1163286;399000;profile1_customersettings;5;3;true;n;n;n;Tiergarten_Tiergarten;1179928888;4;Berlin;/expose/117992638;['Weitere Angebote zu unseren Eigentumswohnungen finden Sie auf unserer Homepage: http://www.wohllebe-immobilien.de/etw.php\nDie vermietete Eigentumswohnung befindet sich im 4. OG im Vorderhaus  in einem gepflegten Altbaugebäude aus dem Jahre 1919. Das Haus hat keinen Personenaufzug. The rented apartment is located in the 4. floor in a building of 1919.', 'Die vermietete Eigentumswohnung hat 3 Zimmer mit Dielenböden und Stuckdecken. Es gibt ein Wannenbad mit Fenster. Die Wohnung hat einen Balkon. Die Küche hat Platz für einen Eßplatz. Für ein ausführliches Expose geben Sie bitte Ihren Namen und Postadresse an. \nThe rented dwelling has 3 rooms. If you whant more information with fotos, groundplan etc. please send us your name and your mailing address.', 'Das Gebäude befindet sich in klassischer Lage Berlin Tiergarten, nahe der Spree. Die U-Bahn ist fußläufig erreichbar. In der näheren Umgebung befinden sich sämtliche Einkaufsmöglichkeiten und Dienstleistungen, die man für den täglichen Bedarf benötigt. Auch Schulen, Kitas und andere (öffentliche) Einrichtungen sind fußläufig erreichbar.\nThe building is located in Tiergarten. The U-Bahn is reachable  in a walking distance. In the near region you have schools and shopping possibilities around.'];energy_consumption;129;showqualicontactform;;;;;;
2020-05-11 12:14:09.032584;Berlin;central_heating;ONE_YEAR_FREE;1163286;n;y;https://pictures.immobilienscout24.de/listings/6c139153-326e-4036-b33f-6050e0e3ee62-1366875609.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;1;9.8;40 MBit/s;telekom_layer_magenta_l;über VDSL;1905;REGULAR;;9.8;117992228;gas;n;false;MagentaZuhause L;y;Berlin;y;4;1;143;no_information;4.77;58;Berlin;13507;well_kept;normal;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;apartment;13507;2;n;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;y;3;;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.1163286;159000;profile1_customersettings;4;2;true;n;n;n;Tegel_Reinickendorf;11799888;2;Berlin;/expose/117992228;['Weitere Angebote zu unseren Eigentumswohnungen finden Sie auf unserer Homepage: http://www.wohllebe-immobilien.de/etw.php\nDie vermietete Eigentumswohnung befindet sich im 3. OG im Vorderhaus in einem Altbaugebäude aus dem Jahre 1905. Das Gebäude hat keinen Personenaufzug.\nThe dwelling is located in the 3. floor in a building of 1905.', 'ie vermietete Eigentumswohnung hat 2 Zimmer mit Parkettböden. Die Wohnung hat einen Balkon. Es gibt ein Duschbad. Für ein ausführliches Expose geben Sie bitte Ihren Namen und Postadresse an.', 'Das Gebäude befindet sich in ruhiger Lage von Berlin Tegel, nahe dem Tegeler See. Die U-Bahn ist fußläufig erreichbar. In der näheren Umgebung befinden sich sämtliche Einkaufsmöglichkeiten und Dienstleistungen, die man für den täglichen Bedarf benötigt. Auch Schulen, Kitas und andere (öffentliche) Einrichtungen sind fußläufig erreichbar.\nThe building is in a street of Berlin Tegel, near the nahe dem Tegeler See. The U-Bahn is reachable  in a walking distance. In the near region you have schools and shopping possibilities around.'];energy_consumption;128.1;showqualicontactform;;;;;;
2020-05-11 12:14:09.481290;Berlin;combined_heat_and_power_plant;ONE_YEAR_FREE;18346234;y;y;https://pictures.immobilienscout24.de/listings/703c3dcb-bbcd-48d6-a3ad-ca740db75e6d-1366880104.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;2;11.3;40 MBit/s;telekom_layer_magenta_l;über VDSL;2021;REGULAR;82168;11.3;117991806;gas;n;false;MagentaZuhause L;n;Berlin;y;9;9;281.3;7;5.76;92;Berlin;10587;first_time_use;sophisticated;false;100 MBit/s;underground_garage;"Pascalstra&szlig;e";y;https://padlock.link/ioml;https://padlock.link/ml;Pascalstraße;apartment;10587;3;n;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;n;1;true;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;002.01009170479;639500;profile0;7;3;true;n;y;n;Charlottenburg_Charlottenburg;I-1.4 Ingar;4;Berlin;/expose/117991806;[];;;;;;;;;
2020-05-11 12:14:09.811689;Berlin;central_heating;ONE_YEAR_FREE;972156;n;y;https://pictures.immobilienscout24.de/listings/047ccc37-7cc7-4dfd-9e94-8f578ab63228-1366845839.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;22;11.48;10 MBit/s;telekom_layer_magenta_m;über VDSL;1900;REGULAR;;11.48;117987969;natural_gas_light;n;false;MagentaZuhause M;y;Berlin;y;9;1;299;no_information;7.14;125.05;Berlin;10247;well_kept;normal;false;50 MBit/s;no_information;no_information;n;https://padlock.link/iomm;https://padlock.link/mm;no_information;apartment;10247;4;n;2,active;true;Deutschland;top;50 MBit/s;wohnung_kauf;n;1;;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.972156;649000;profile0;5;4;true;y;n;n;Friedrichshain_Friedrichshain;052020;6;Berlin;/expose/117987969;['Das 1900 errichtete fünfgeschossige Mehrfamilienhaus wird von der Eigentümergemeinschaft gepflegt und wurde im Jahre 2005 komplett modernisiert.  Die Eigentümergemeinschaft umfasst 30 Wohnungen und 2 Gewerbeeinheiten. Das Haus wird durch eine Gaszentralheizung beheizt.', 'Die helle 4 Zi-Whg befindet sich in der 1. Etage und besticht durch ihre hervorragende Aufteilung. Alle Zimmer sind separat vom Flur begehbar. Kommt man in die Wohnung hinein gehen vom Flur 4 Zimmer links\nab. Vorne links das Zimmer hat eine Größe von ca. 14,4m², dann kommt 1 Zimmer mit ca. 21,0 m². Dass Zimmer hat auch einen Balkon.\nDas nächste Zimmer hat eine Größe von 33,0 m² und einen schönen Erker. Hinten links hat das Zimmer eine Größe von 21,0 m², auch mit Balkon und hat zusätzlich eine Flügeltür zum großem Zimmer. Das Bad ist zargenhoch gefliest, hat ein Fenster und eine geflieste Badewanne, zusätzlich gibt es ein Gäste WC. Die Küche ist ca. 12 m² groß.\nDen Innenhof nutzt die Eigentümergemeinschaft gemeinsam, die Kinder haben dort die Möglichkeit auf einem Trampolin oder im Spielhaus gemeinsam zu spielen. Zu der Wohnung gehört ein Keller.', 'Die Wohnung liegt in einer Seitenstraße zwischen der Boxhagener Str. und der\nFrankfurter Allee. Das Ring Center ist in 10 Minuten fußläufig erreichbar, dort befinden sich alle Geschäfte für den täglichen Gebrauch, Ärzte und sonstige Institutionen. U-Bhf und S-Bhf, sowie diverse Buslinien befinden sich an der Frankfurter Allee, die Sie in wenigen Minuten fußläufig erreichen.', 'Individuelle Besichtigungen können mit Angabe der persönlichen Kontaktdaten mit Herrn Baumert\ndurchgeführt werden.\nBüro: 030 2000 90 71 11\nMobil: 0151 44 23 78 07'];energy_consumption;98;showqualicontactform;2005;4;;;;
2020-05-11 12:14:10.134708;Berlin;central_heating;ONE_YEAR_FREE;16785385;n;n;https://pictures.immobilienscout24.de/listings/da1b46e9-f970-4b66-b685-f6280077312d-1367985910.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;12;11.48;10 MBit/s;telekom_layer_magenta_m;über VDSL;1956;REGULAR;;11.48;117996138;district_heating;n;false;MagentaZuhause M;y;Berlin;n;5;2;295;no_information;7.14;64.07;Berlin;10247;no_information;normal;false;50 MBit/s;no_information;no_information;n;https://padlock.link/iomm;https://padlock.link/mm;no_information;ground_floor;10247;3;n;2,active;true;Deutschland;top;50 MBit/s;wohnung_kauf;y;;;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;002.01007573808;225000;profile0;5;3;true;n;n;n;Friedrichshain_Friedrichshain;Weichs_12-2;3;Berlin;/expose/117996138;['Die zum Verkauf stehende Wohnung befindet sich im Erdgeschoss.\n\nDas Haus wurde im Jahre 1999/2000 saniert und modernisiert. Die Badezimmer und Küchen wurden gefliest, die Wohn- und Treppenhausfenster wurden durch Isolierglas Fensterkonstruktionen erneuert.\nDie Dämmung der Rohrleitungen (Wärmeverteilungs- und Warmwasserleitungen) und Armaturen entsprechen dem Stand Mitte 90er Jahre.\nDie oberste Geschossdecke ist gedämmt.\nDas Objekt verfügt über eine befestigte und teils eingezäunte Müllplatzfläche.', 'Der Weichselplatz befindet sich direkt vor Ort. Hier kann man sich vom Alltagsstress erholen. Gute Anbindungen an das öffentliche Verkehrsnetz sind hier zu finden.\nDer Weichselkiez ist ein sehr junger - dynamischer Kiez der in den letzten Jahrzehnte im absoluten Trend von Künstlern, Jungfamilien gekommen ist. Ebenso haben sich im Kiez namenhafte Firmen etablieren können. Die Wachstumsrate der Einwohner steigt in einem rasenden Tempo.', 'Die Wohnung ist vermietet. \n\nDie zur Zeit gezahlte Nettokaltmiete liegt bei ca. 5.858 Euro im Jahr.\n\nDas Hausgeld beträgt 295,00 € im Monat, inkl. der Instandsetzungsrücklage in Höhe von 39,00 €.\n\nWeitere Informationen erhalten Sie gerne auf Anfrage, nach Bestätigung der Widerrufsbelehrung zum Maklervertrag.\n\nBitte beachten Sie, dass die Wohnung vermietet und bewohnt ist. Besichtigungen können deshalb nur in Absprache mit den Mietern erfolgen. Hinterlassen Sie uns freundlicherweise Ihre Kontaktdaten und wir informieren Sie, wann eine Innenbesichtigung möglich ist.'];energy_consumption;129;showqualicontactform;;;disabled;;;
2020-05-11 12:14:10.457724;Berlin;central_heating;ONE_YEAR_FREE;5394580;n;y;https://pictures.immobilienscout24.de/listings/e7f36114-c379-46c5-8ed9-c99f395f3a17-1366856699.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;10;10.77;40 MBit/s;telekom_layer_magenta_l;über VDSL;2003;REGULAR;;10.77;117990169;district_heating;n;false;MagentaZuhause L;n;Berlin;y;11;6;800;no_information;5.67;253;Berlin;10178;negotiable;no_information;false;100 MBit/s;underground_garage;no_information;y;https://padlock.link/ioml;https://padlock.link/ml;no_information;loft;10178;5;n;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;n;5;;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.5394580;2695000;profile0;6;5;true;n;y;n;Mitte_Mitte;179549;7;Berlin;/expose/117990169;"['Sie suchen eine repräsentative Hauptstadtwohnung im Herzen von Berlin mit 253 qm? Herzlichen Glückwunsch. Dann dürfte die Suche nun ein Ende haben.\nDiese lichtdurchflutete Loft Wohnung befindet sich im fünften Obergeschoss mit einem einmaligen Blick auf das Stadtschloss, den Berliner Dom, die Spree, die Museumsinsel mit alter und neuer Nationalgalerie und wenn Sie den Blick weiter nach rechts schweifen lassen, dann sehen Sie das imposante Bode Museum. Von hier oben haben Sie den vollen Überblick über das Herzstück von Berlin.\nDer repräsentative Wohn- Essbereich mit ca. 150qm ermöglicht einen eindrucksvollen Empfang von Gästen. Zugleich kann man es sich auch zu zweit am Kamin gemütlich machen. Der 23qm große Balkon mit Premium Aussicht lädt dank seiner Süd-West Ausrichtung im Sommer zum gemütlichen Verweilen oder für Cocktail Empfänge ein.\n\nDer Master Bedroom mit begehbarem Kleiderschrank* und Master Badezimmer befinden sich im nördlichen Teil der Wohnung. Das Schlafgemach verfügt über einen eigenen, weiteren Balkon mit ca. 11qm. Von hier aus haben Sie ebenfalls einen Panorama Blick welcher von der goldenen Kuppel der jüdischen Synagoge bis hin zum Fernsehturm reicht.\n\nDas Gebäude wurde 2002 an der Stelle errichtet, an dem früher das Schloss Monbijou stand und besticht schon beim Betreten durch ein seriöses Entrée. Für Ihr Wohlbefinden wird die Wohnung über eine Fußbodenheizung erwärmt und im Sommer über eine Deckenkühlung gekühlt. Die Fenster sind schallisoliert. Des Weiteren können Sie entkalktes Wasser genießen und Ihren Besuch über eine Video-Gegensprechanlage begrüßen. Die Deckenhöhe beträgt 3m. Die Wohnung wurde bisher als Büro genutzt und ist vom neuen Eigentümer nach seinen Wünschen umzubauen. Gerne unterstützen wir Sie bei diesem Vorhaben.', 'Balkon, Keller, Fahrstuhl, Duschbad, Gäste-WC, Kamin, Barrierefrei, Parkett\n\nBemerkungen:\nParkettboden, Fußbodenheizung, Deckenkühlung, bodentiefe Fenster, Balkon, Blick, Ausblick, Sonnenrollos, Kamin, Verschattungssystem. \n\nIn die Wohnung gelangen Sie von der Tiefgarage, in welcher sich Ihre beiden Duplex Stellplätze befinden, barrierefrei durch einen Fahrstuhl bis in die fünfte Etage. Ein trockener Keller gehört ebenfalls zur Wohnung.', 'In Sichtweite der Spree und nur einen Steinwurf vom Hackeschen Markt entfernt. Besser könnte die Lage nicht sein.\nInfrastruktur (im Umkreis von 5 km):\nApotheke, Lebensmittel-Discount, Allgemeinmediziner, Öffentliche Verkehrsmittel', 'Heizungsart: Zentralheizung\nEnergieträger: Fernwärme\nEnergieausweis nicht vorhanden\n\nKauf auch als Share Deal mit Übernahme der Besitz-GmbH möglich; dadurch Ersparnis ca. 6% Grunderwerbsteuer. Verkauf direkt vom Eigentümer provisionsfrei ohne Makler.\n\nMakleranfragen nicht erwünscht.']";;;showqualicontactform;;;disabled;270;2;
2020-05-11 12:14:10.802683;Berlin;central_heating;ONE_YEAR_FREE;6735470;n;y;https://pictures.immobilienscout24.de/listings/a66de790-7f5c-4611-977a-37b5152aea36-1366866702.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;7;12.78;40 MBit/s;telekom_layer_magenta_l;über VDSL;1960;REGULAR;;12.78;117990487;district_heating;n;false;MagentaZuhause L;y;Berlin;y;4;2;220;19;7.25;35;Berlin;10557;no_information;no_information;false;100 MBit/s;outside;Flensburgerstrasse;y;https://padlock.link/ioml;https://padlock.link/ml;Flensburgerstrasse;apartment;10557;1;n;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;n;1;;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.6735470;195600;profile0;7;1;true;n;n;n;Tiergarten_Tiergarten;fl21;1;Berlin;/expose/117990487;"['Dieses 1-Zimmer Apartment wurde im Jahr 2014 umfassend renoviert. Ein neues Badezimmer eingebaut; der Stromkreis erneuert. Laminat verlegt und eine kleine Einbauküche eingebaut. Nun hat man dort Alles was man zu einem gemütlichen Leben braucht - ob für immer oder als Hauptstadtdependance. \nDie Wohnung liegt im 1. Stock und hat einen herrlichen Blick in den großen Gemeinschaftsgarten. Ein großer sonniger Südbalkon rundet den Wohnkomfort ab.', 'Besonderes Leben im Hansaviertel ! \n\nHier hat man von Allem das Beste ! Die Spree fußläufig in der Nähe , den Tiergarten um die Ecke, den Kurfürstendamm mit der U-Bahn in einer Station erreichbar ! \n\nSo zentral und doch so grün. Ob Jogger, Opernliebhaber, oder Naturliebhaber, jeder kann hier die eigenen speziellen Vorzüge leben.', 'Besonderes Leben im Hansaviertel ! \n\nHier hat man von Allem das Beste ! Die Spree fußläufig in der Nähe , den Tiergarten um die Ecke, den Kurfürstendamm mit der U-Bahn in einer Station erreichbar ! \n\nSo zentral und doch so grün. Ob Jogger, Opernliebhaber, oder Naturliebhaber, jeder kann hier die eigenen speziellen Vorzüge leben.', 'Die Wohnung ist derzeit noch möbliert vermietet und kann mit einmonatiger Frist bezugsfrei übergeben werden. \n\nBesichtigungstermine müssen jeweils mit dem Mieter abgestimmt werden - sind aber möglich. \n\nVirusbedingt - werden wir Ihnen auf Wunsch vorab ein Video senden.']";energy_required;225;showqualicontactform;;;;;;
2020-05-11 12:14:11.274897;Berlin;self_contained_central_heating;ONE_YEAR_FREE;306124;n;y;https://pictures.immobilienscout24.de/listings/bbb77e1a-edd2-4afa-a0de-06c77182de53-1366865887.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;28;11.3;40 MBit/s;telekom_layer_magenta_l;über VDSL;1920;REGULAR;;11.3;117990925;gas;y;false;MagentaZuhause L;y;Berlin;y;11;1;195;no_information;5.73;162;Berlin;10629;mint_condition;sophisticated;false;100 MBit/s;underground_garage;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;no_information;10629;6;n;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;n;;;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.306124;1150000;profile0;2;5;true;y;n;n;Charlottenburg_Charlottenburg;Leben in der Stadt im Haus;7;Berlin;/expose/117990925;['VIDEO-Rundgang!!!\n\nMitten in der CITY WEST zwischen Kurfürstendamm, Kantstraße und S-Bahnhof Savignyplatz liegt DAS Einfamilienhaus in der Niebuhrstraße. \n\nAufteilung: \nSie betreten das lichtdurchflutete Haus durch einen kleinen Vorflur und gelangen in die große Ess-Diele mit großzügiger Küchenmöblierung und Kochfeld-Tresen. Direkt von der Essdiele und dem sehr großen Wohnzimmer, fast ca. 40 m², gelangen Sie auf die ca. 30 m² SÜD-TERRASSE. Von der Essdiele gelangt man separat in das Wohnzimmer mit drehbarem Couch-Podest, sowie in ein kleines Arbeitszimmer und in das Gäste-WC mit Fenster. \nEine bequeme Treppe führt in das Obergeschoss mit 3 Schlafzimmern, einer Ankleide, einem großen schicken Wannen- und Duschbad mit Fenster und einem schmalen Hauswirtschaftsraum.\n \nIm Souterrain - dem ca. 42 m² großen Nutzflächenbereich, welcher nicht in der Wohnfläche enthalten ist - finden Sie ein sehr geräumiges Gäste-Zimmer, 1 zusätzliches Duschbad, einen Vorratsraum und einen kleinen Abstellraum/Technik-Raum vor. \n\nZum Haus gehören außerdem ein Vorgarten und ein ca. 150 m² größer Gartenanteil mit direktem Zugang vom Wohnzimmer.\n\nBitte schauen Sie sich den Video-Rundgang an.\n\nIm vorderen Bereich dieses unter Denkmal-Schutz stehenden Townhouse-Ensembles, das 2006/2007 umfassend saniert, wurde ein Neubau mit Tiefgarage errichtet, in der sich der Tiefgaragenstellplatz Nr. 47 befindet.', 'Sehr hochwertige Ausstattung: Holzfenster, Holztüren, Holzdielen-Fußböden, Gastherme, Kamin, 1 Dusch- und Wannenbad, 1 Duschbad, 1 Gäste-WC, separater Gäste-Bereich, ca. 30 m² Süd-Terrasse mit Zugang vom Wohnzimmer und von der Küche, Zugang zum Garten über Wohnungseingang und übers Wohnzimmer, etc..', 'Charlottenburg ist eine historisch gewachsene und bevorzugte Wohnlage in der westlichen Mitte Berlins. Die Umgebung des Standortes ist geprägt durch hochwertige Handels- und Büronutzungen sowie von einem Altbauwohnungsbestand von gehobenen Standard.', 'Bitte schauen Sie sich den Video-Rundgang an.\n\nBESICHTIGUNGEN: jederzeit nach Vereinbarung! \n\nVereinbaren Sie einen TERMIN in unserem Büro oder VORORT unter 030-88677221.\n\nGern senden wir Ihnen ein ausführliches Exposé zu. Bitte teilen Sie uns Ihre Telefonnummer und vollständige Adresse mit.\n\nDas Townhouse ist Teil einer Reihenhaus-Wohnungseigentümer-Gemeinschaft. Das Haus wird mit dem Tiefgaragenstellplatz verkauft. \n\nGrundstücksangabe: setzt sich zusammen aus dem Sondernutzungsrecht Garten und der ideelle Anteil am dem Grundstück auf dem die Grundfläche des Hauses steht und nebst Terrassenbereich.\n\nDas Hausgeld beträgt 195 Euro monatlich.\n\nDieses Angebot erfolgt für den KÄUFER provisionspflichtig. Bei Zustandekommen eines Kaufvertrages berechnet SCHNORR & PARTNER IMMOBILIEN dem Erwerber eine Provision in Höhe von 7,14 % (inklusive 19% Mehrwertsteuer) des beurkundeten Kaufpreises, sofern nicht anders vereinbart. Über die steuerlichen Aspekte informiert Sie Ihr Steuerberater. Auf Wunsch sind wir Ihnen auch gern bei Ihrer Finanzierung behilflich. Alle Angaben beruhen auf den uns vom Eigentümer zur Verfügung gestellten Informationen. Eine Haftung für die Richtigkeit bzw. Vollständigkeit können wir nicht übernehmen. Irrtum und Zwischenverkauf vorbehalten.'];;;showqualicontactform;2006;;;42.04;1;
