timestamp;obj_regio1;obj_heatingType;obj_cId;obj_newlyConst;obj_balcony;obj_picture;obj_picturecount;obj_pricetrend;obj_yearConstructed;obj_pricetrendbuy;obj_scoutId;obj_firingTypes;obj_hasKitchen;obj_ExclusiveExpose;obj_courtage;geo_bln;obj_cellar;obj_purchasePriceRange;obj_yearConstructedRange;obj_rentSubsidy;obj_houseNumber;obj_energyType;obj_pricetrendrent;obj_livingSpace;geo_krs;obj_zipCode;obj_condition;obj_interiorQual;ga_cd_cxp_historicallisting;obj_parkingSpace;obj_street;obj_lift;obj_streetPlain;obj_typeOfFlat;geo_plz;obj_noRooms;obj_thermalChar;obj_assistedLiving;obj_ityp;geo_land;ga_cd_via;obj_immotype;obj_rented;obj_floor;obj_cwId;obj_purchasePrice;ga_cd_application_requirements;obj_noRoomsRange;ga_cd_maillead_default_shown;obj_garden;evt_count_pm_sig;obj_barrierFree;obj_international;obj_regio3;obj_objectnumber;obj_livingSpaceRange;obj_regio2;URL;beschreibung;obj_telekomTvOffer;obj_telekomUploadSpeed;obj_telekomTrackingGroup;obj_usableArea;obj_telekomInternetTechnology;obj_telekomInternetType;obj_telekomInternetProductName;obj_telekomDownloadSpeed;obj_telekomInternetUrlMobile;obj_telekomInternetUrl;obj_telekomHdTelephone;obj_telekomInternet;obj_telekomInternetServices;obj_telekomInternetProductAvailable;obj_numberOfFloors;obj_energyEfficiencyClass;obj_lastRefurbish;ga_cd_via_qualified;obj_galleryAd;obj_groupnumber;obj_noParkSpaces
2020-05-11 12:36:38.371285;Berlin;self_contained_central_heating;14544073;n;y;https://pictures.immobilienscout24.de/listings/21e1dc07-3baf-48cb-8794-b199ef3b93fa-1349167258.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;1;7.75;1990;7.75;115593466;gas;n;false;y;Berlin;n;8;4;420;.;energy_required;3.57;93;Berlin;14193;fully_renovated;no_information;false;no_information;"Trabener Stra&szlig;e";n;Trabener_Straße;maisonette;14193;3;125.5;n;2,active;Deutschland;standard;wohnung_kauf;n;0;002.01000690340;480000;profile0;3;true;n;showqualicontactform;n;n;Grunewald_Wilmersdorf;201;4;Berlin;/expose/115593466;['Das Wohnhaus befindet sich nahe der Niersteiner Straße in ruhiger Lage, im schönen Ortsteil Grunewald.\n\nDie Wohnung ersteckt sich vom Erdgeschoss ins helle Untergeschoss zur ebener Erde zur Terrasse (moderne Bauweise).\n\nDer Kurfürstendamm mit den vielen Restaurants, kleinen Läden und Bars sowie dem umfangreichen Kulturangebot laden zum Bummeln ein.', '- Parkett\n- 2 Wannenbäder\n- Süd-Ost-Terrasse', '- in ca. 8 Minuten zm Kurfürstendamm und Anschlussstelle A 100\n\n- mit dem Bus zum S-Bahnhof Halensee'];;;;;;;;;;;;;;;;;;;;;
2020-05-11 12:36:38.691260;Berlin;self_contained_central_heating;12186575;n;y;https://pictures.immobilienscout24.de/listings/3bdb2070-cc7f-4714-8224-0896fe7bb4be-1349170079.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;3;12.86;1918;12.86;115593667;natural_gas_heavy;n;false;n;Berlin;n;5;1;179;80;energy_consumption;6.82;70;Berlin;13409;well_kept;sophisticated;false;no_information;Letteallee;n;Letteallee;ground_floor;13409;3;142;n;2,active;Deutschland;standard;wohnung_kauf;y;0;001.12186575;249000;profile0;3;true;n;showqualicontactform;n;n;Reinickendorf_Reinickendorf;LET80B;3;Berlin;/expose/115593667;['Ruhige Straße.\nDer Wohnung befindet sich 2 Terrassen (Sondernutzungsrecht).', 'Berlin vor der Tür!'];ONE_YEAR_FREE;40 MBit/s;telekom_layer_magenta_l;68;über VDSL;REGULAR;MagentaZuhause L;100 MBit/s;https://padlock.link/ioml;https://padlock.link/ml;true;100 MBit/s;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;4;;;;;;
2020-05-11 12:36:39.010995;Berlin;central_heating;14544073;n;y;https://pictures.immobilienscout24.de/listings/3b363001-272e-4d7b-a62d-d9a13ea53eed-1349169873.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;1;11.35;1912;11.35;115593696;gas;n;false;y;Berlin;y;7;1;;.;energy_required;7.53;62;Berlin;10245;need_of_renovation;no_information;false;no_information;"Modersohnstra&szlig;e";n;Modersohnstraße;apartment;10245;2;145.7;n;2,active;Deutschland;standard;wohnung_kauf;n;3;002.01000690340;372000;profile0;2;true;n;showqualicontactform;n;n;Friedrichshain_Friedrichshain;224+;3;Berlin;/expose/115593696;['Das Wohnhaus befindet sich nahe dem Rudofplatz.\n\nDiverse Einkaufsmöglichkeiten sind in der Umgebung vorhanden.', '- Naturdielen\n- Wannenbad\n- Balkon \n- Kellerraum', '- der S-U-Bahnhof Warschauer Straße ist ca. 10 Minuten entfernt'];;;;;;;;;;;;;;;;;;;;;
2020-05-11 12:36:39.465924;Berlin;central_heating;14544073;n;n;https://pictures.immobilienscout24.de/listings/ccb32dbb-4d01-4969-bdab-c5129078fc3b-1349165355.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;1;12.7;1912;12.7;115593302;;n;false;y;Berlin;y;6;1;;.;energy_consumption;7.58;60.45;Berlin;10559;need_of_renovation;no_information;false;no_information;"Rathenower Stra&szlig;e";y;Rathenower_Straße;apartment;10559;2;106.8;n;2,active;Deutschland;standard;wohnung_kauf;n;3;002.01000690340;284000;profile0;2;true;n;showqualicontactform;n;n;Tiergarten_Tiergarten;247+;2;Berlin;/expose/115593302;['Das Wohnhaus befindet sich in einer Nebentraße der Perleberger Straße nahe Stendaler Straße.\n\nDiverse Einkaufsmöglichkeiten sind in der nahen Umgebung vorhanden.', '- Deckenhöhe ca. 3,25 m\n- Naturdielen\n- Wannenbad \n- Kellerraum', '- mit dem Bus in ca. 5 Minuten zum U-Bahnhof Turmstraße'];;;;;;;;;;;;;;;;;;;;;
2020-05-11 12:36:39.770649;Berlin;central_heating;14544073;n;y;https://pictures.immobilienscout24.de/listings/576a9f7e-ca8c-47d2-8c64-fdea0810cc71-1349165673.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;1;11.12;1908;11.12;115593335;gas;n;false;y;Berlin;y;11;1;;.;energy_required;6.13;154;Berlin;10629;refurbished;sophisticated;false;no_information;"Lewishamstra&szlig;e";y;Lewishamstraße;apartment;10629;4.5;103.5;n;2,active;Deutschland;standard;wohnung_kauf;n;3;002.01000690340;1100000;profile0;4;true;n;showqualicontactform;n;n;Charlottenburg_Charlottenburg;325+;7;Berlin;/expose/115593335;['Das Wohnhaus befindet sich in einer Nebenstraße des Kurfürstendamms nahe dem Adenauerplatz.\n\nEs handelt sich um eine helle Wohnung im Vorderhaus.\n\nDiverse Einkaufsmöglichkeiten sind vorhanden.', 'Hochwertige Ausstattung:\n\n- gespachtelte Wände\n- Parkett\n- Wannen- und Duschbad\n- Balkon\n- Kellerraum', '- der Hauptbahnhof ist in ca. 10 Minuten mit dem PKW erreichbar\n\n- zum U-Banhof Adenauerplatz sind es nur 6 Gehminuten'];;;;;;;;;;;;;;;;;;;;;
2020-05-11 12:36:40.135012;Berlin;central_heating;14544073;n;y;https://pictures.immobilienscout24.de/listings/b52146bb-fd2a-409a-b392-2f8598986b8a-1349169683.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;1;11.35;1912;11.35;115593680;gas;n;false;y;Berlin;y;9;1;;.;energy_required;7.53;89;Berlin;10245;need_of_renovation;no_information;false;no_information;"Modersohnstra&szlig;e";n;Modersohnstraße;apartment;10245;3;145.7;n;2,active;Deutschland;standard;wohnung_kauf;n;2;002.01000690340;534000;profile0;3;true;n;showqualicontactform;n;n;Friedrichshain_Friedrichshain;289+;4;Berlin;/expose/115593680;['Das Wohnhaus befindet sich nahe dem Rudofplatz.\n\nDiverse Einkaufsmöglichkeiten sind in der Umgebung vorhanden.', '- Naturdielen\n- Wannenbad\n- Balkon \n- Kellerraum', '- der S-U-Bahnhof Warschauer Straße ist ca. 10 Minuten entfernt'];;;;;;;;;;;;;;;;;;;;;
2020-05-11 12:36:40.439263;Berlin;self_contained_central_heating;18573100;n;y;https://pictures.immobilienscout24.de/listings/d396e021-34b8-4fc2-b60e-4939f0b86a08-1349253076.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;8;10.95;1920;10.95;115601030;gas;y;false;n;Berlin;y;7;1;161;36;energy_consumption;6.54;57;Berlin;10435;well_kept;normal;false;no_information;Chorinerstrasse;n;Chorinerstrasse;apartment;10435;1.5;129;n;2,active;Deutschland;top;wohnung_kauf;n;3;009.ba792e0e-f7f8-4a15-ad3b-c69489f0c5bf;335000;profile0;1;true;n;showqualicontactform;n;n;Prenzlauer_Berg_Prenzlauer_Berg;60f041dc-ac24-4fc7-96c0-93cf85e2ccee;2;Berlin;/expose/115601030;"['Private (seller, no agency fees): \nVery charming Altbau appartment. 3rd floor with balcony giving on a green backyard. Quiet, friendly neighbours, in one of Berlin\'s best area (Kastanienallee) in Mitte. The flat used to be a two room flat with additional kitchen and we opened it into a 1,5 room flat (big bedroom with balcony + an opened kitchen-salon). The flat has a full kitchen in it (build in two years ago) with fridge/freezer, dishwasher and gas cooking. It has good light, even if orientated north-est.  It\'s very quiet and peaceful, while residing in the very center of the city. \n\nIt is sold privately by the owner (no additional 7,14% fees as usual in Berlin). Visits asap. The flat is vacant from today and can be moved in as soon as wanted. The monthly expenses for the housing  (""Hausgeld"") are 161€/month which is low for Berlin. External renovation works (of the building) were recently made and there are no further investments planned. The building is clealry more a family orientated house, with good vibes, and the neighbours are all very friendly. \n\nDiese schöne Altbauwohnung im sehr beliebten Berliner Mitte liegt in einer ruhigen Seitenstraße parallel zur Kastanienallee. Das Objekt wurde um 2008 saniert. Gute Anbindungen an U-Bahn und Tram. Die Wohnung bietet einen guten Schnitt in denen sich die ca. 57 qm optimal nutzen lassen. Die Wohnung befindet sich im dritten Obergeschoss mit Balkon der auf einen ruhigen und grünen Hinterhof-Park gibt. Perfekt für Singles oder Pärchen geeignet. Die Wohnung ist leerstehend und kann ab sofort bewohnt werden. Besichtigungen ab heute. \n\n\n', 'The flat has a complete kitchen with dishwasher and american fridge and also a washmachine. All of this is two years old. Some basic furniture (double bed, kitchen table and chairs) can remain in the flat if wanted.\n\nDie Wohnung hat eine komplette Küche (Spülmachine, Gas-Herd und Ofen, Waschmachine und grosser Kühlschrank) was alles vor zwei Jahren eingebaut wurde. Die Arbeitsfläche (in Bamboo holz) könnte neu geschliffen/lackiert werden, ansonsten ist der genereller Zustand gut mit Kleinigkeiten die man sanieren könnte. ', ""Chorinerstrasse is a reduced traffic street, parallel to Kastanienalle, in the heart of Mitte-Prenzlauer Berg's alive area. It is known for its family living atmosphere and still transmits the cultural beat of this historical part of the town. The street is very quiet and peaceful even if you are in the heart of its center. "", 'one balcony\none cellar \n\nBalkon und Keller, und nette Nachbarn :)']";ONE_YEAR_FREE;40 MBit/s;telekom_layer_magenta_l;;über VDSL;REGULAR;MagentaZuhause L;100 MBit/s;https://padlock.link/ioml;https://padlock.link/ml;true;100 MBit/s;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;5;D;2018;;;;
2020-05-11 12:36:40.741105;Berlin;central_heating;14544073;n;y;https://pictures.immobilienscout24.de/listings/b7fc092a-7e33-49c7-aae7-9766385b7dbb-1349168647.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;1;11.12;1920;11.12;115593545;district_heating;n;false;y;Berlin;n;11;1;;.;energy_required;6.13;246.52;Berlin;14057;no_information;no_information;false;no_information;Kaiserdamm;y;Kaiserdamm;roof_storey;14057;6;101.5;n;2,active;Deutschland;standard;wohnung_kauf;n;5;002.01000690340;1585200;profile0;5;true;n;showqualicontactform;n;n;Charlottenburg_Charlottenburg;362+;7;Berlin;/expose/115593545;['Das Wohnhaus befindet sich in einem gepflegtem Zustand.\n\nDer Rohling ist mit allen Versorgungsleitungen versehen.\n\nDiverse Einkaufsmöglichkeiten sind vor Ort vorhanden.', '- 2 Terrassen', '- wenige Minuten mit dem Bus zum U-Bahnhof Kaiserdamm'];;;;;;;;;;;;;;;;;;;;;
2020-05-11 12:36:41.066959;Berlin;central_heating;17984017;n;n;https://pictures.immobilienscout24.de/listings/38dc4e4f-fd28-4c62-ab68-bf4eb865d10a-1349161085.png/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;3;11.12;1960;11.12;115592714;district_heating;y;false;y;Berlin;y;3;2;;no_information;energy_required;6.13;36;Berlin;10625;well_kept;normal;false;no_information;no_information;y;no_information;roof_storey;10625;1;121;n;2,active;Deutschland;top;wohnung_kauf;n;6;009.4eebdd57-ba44-4752-b4dd-5eba8ebf65a6;150000;profile0;1;true;n;showqualicontactform;n;n;Charlottenburg_Charlottenburg;B-20191019;1;Berlin;/expose/115592714;['Den Feierabend über den Dächern der Haupstadt mit einem guten Wein genießen - hier bekommt man Lebensqualität. Diese Wohnung befindet sich im nachträglich aufgestockten Dachgeschoss und lässt sich bequem über den Fahrstuhl erreichen. Am Fuße des Hauses befindet sich ein attraktiver \n Gründerzeitkiez mit perfekter Anbindung an sämtliche Bezirke. Ein Stellplatz wäre optional anmietbar. \n\nHereinspaziert! Einmal in der Wohnung, empfängt Sie der helle und freundliche Flur, von dem idealerweise alle Zimmer einzeln abgehen. Kein Quadratmeter wird hier verschwendet. Ganz im Gegenteil. Das Zimmer ist das Highlight der Wohnung. Mit Blick über Berlin besticht es durch seine Helligkeit und sorgt für klare Gedanken. \n\nEin besonders durchdachter Grundriss! Sowohl die Küche als auch das Badezimmer sind hofseitig angeordnet. Minimale Lautstärke und maximales Wohlfühlen - jeder Raum verfügt über ein Fenster und hat perfekte Proportionen.', '• Bad mit Fenster und Badewanne\n• Einbauküche\n• Fliesenboden und Laminat\n• zusätzlicher Kelleranteil\n• Personenaufzug\n• vermietet seit dem 01.06.2009', 'Eingebettet zwischen der Bismarckstraße und dem Ernst-Reuter-Platz liegt das Objekt nahe der Technischen Universität Berlin im Herzen Charlottenburgs. Durch die optimale Infrastruktur erreichen Sie in nur wenigen Gehminuten die U-Bahnhöfe der Bismarckstraße oder des Ernst-Reuter-Platzes sowie unterschiedliche Bushaltestellen der Linien M45, 101, 245, X9, N2. In einem pulsierenden Umfeld können Sie Ihre Freizeit je nach Belieben gestalten. In unmittelbarer Nähe laden das Schiller und Renaissance Theater oder die Deutsche Oper zu einer bunten Auswahl an Veranstaltungen ein. Neben nahe gelegenen Fitness- und Sportvereinen bieten das Schloss Charlottenburg mit seiner wunderschönen Parkanlage oder die Uferpromenaden der Spree eine ansprechende Alternative, um etwas Ruhe vom Alltag zu genießen. Abgerundet wird das Ganze durch eine Vielzahl an Shoppingmöglichkeiten und Restaurants im direkten Umfeld.', 'Wir haben Ihr Interesse geweckt? Zögern Sie nicht uns zu kontaktieren. Wir freuen uns Sie kennen zu lernen!'];ONE_YEAR_FREE;40 MBit/s;telekom_layer_magenta_l;;über VDSL;REGULAR;MagentaZuhause L;100 MBit/s;https://padlock.link/ioml;https://padlock.link/ml;true;100 MBit/s;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;6;D;;;;;
2020-05-11 12:36:41.402687;Berlin;central_heating;14544073;n;y;https://pictures.immobilienscout24.de/listings/7a1a8c32-8eb2-488e-8c6b-5190bba8cf92-1349161884.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;1;12.7;1995;12.7;115592913;district_heating;y;false;y;Berlin;y;11;5;;.;energy_required;7.58;154;Berlin;10785;fully_renovated;sophisticated;false;no_information;Hitzigallee;y;Hitzigallee;apartment;10785;4.5;107.5;n;2,active;Deutschland;standard;wohnung_kauf;n;2;002.01000690340;1200000;profile0;4;true;n;showqualicontactform;n;n;Tiergarten_Tiergarten;209+;7;Berlin;/expose/115592913;['Das Wohnhaus befindet sich in einer ruhigen und\ngrünen Nebenstraße vom Reichpietschufer.\n\nDiverse Einkaufsmöglichkeiten sind in der nahen\nUmgebung vorhanden.', '- Parkett\n- Einbauküche\n- Wannen- und Duschbäder\n- Balkon\n- Sauna\n- Kellerraum', '- der Kurfürstendamm ist in ca. 5 Autominuten entfernt\n\n- der nächste U-Bahnhof ist U-Mendelssohn-Bartholdy-Park'];;;;;;;;;;;;;;;;;;;;;
