timestamp;obj_regio1;obj_heatingType;obj_cId;obj_newlyConst;obj_balcony;obj_picture;obj_picturecount;obj_pricetrend;obj_yearConstructed;obj_galleryAd;obj_pricetrendbuy;obj_scoutId;obj_noParkSpaces;obj_firingTypes;obj_hasKitchen;obj_ExclusiveExpose;obj_courtage;geo_bln;obj_cellar;obj_purchasePriceRange;obj_yearConstructedRange;obj_houseNumber;obj_energyType;obj_pricetrendrent;obj_livingSpace;geo_krs;obj_zipCode;obj_condition;obj_interiorQual;obj_energyEfficiencyClass;ga_cd_cxp_historicallisting;obj_parkingSpace;obj_street;obj_lift;obj_streetPlain;obj_typeOfFlat;geo_plz;obj_noRooms;obj_thermalChar;obj_assistedLiving;obj_ityp;geo_land;ga_cd_via;obj_immotype;obj_rented;obj_floor;obj_telekomInternetProductAvailable;obj_cwId;obj_purchasePrice;ga_cd_application_requirements;obj_numberOfFloors;obj_noRoomsRange;ga_cd_maillead_default_shown;obj_garden;evt_count_pm_sig;obj_barrierFree;obj_international;obj_regio3;obj_objectnumber;obj_livingSpaceRange;obj_regio2;URL;beschreibung;obj_telekomTvOffer;obj_telekomUploadSpeed;obj_telekomTrackingGroup;obj_telekomInternetTechnology;obj_telekomInternetType;obj_telekomInternetProductName;obj_telekomDownloadSpeed;obj_telekomInternetUrlMobile;obj_telekomInternetUrl;obj_lastRefurbish;obj_telekomHdTelephone;obj_telekomInternet;obj_telekomInternetServices;obj_usableArea;obj_rentSubsidy;ga_cd_developer_virtualreality;obj_telekomHybridUploadSpeed;obj_telekomHybridDownloadSpeed
2020-05-30 19:21:53.647739;Berlin;floor_heating;216206;y;y;https://pictures.immobilienscout24.de/listings/4ecc7669-2170-4b1f-ae92-a56548cabd97-1371692192.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;24;10.64;2019;disabled;10.64;118840922;1;district_heating;y;false;n;Berlin;y;11;9;no_information;energy_required;6.2;209;Berlin;13086;mint_condition;luxury;C;false;underground_garage;no_information;y;no_information;roof_storey;13086;5;76;n;2,active;Deutschland;standard;wohnung_kauf;n;5;false;001.216206;1399000;profile0;5;5;true;n;showqualicontactform;y;n;Weißensee_Weißensee;118840922;7;Berlin;/expose/118840922;['Dieses elegant geschnittene Penthouse befindet sich in einem modernen und hochwertigen Mehrfamilienhaus in ruhiger Lage. \n\nMit dem geräumigen Fahrstuhl gelangen Sie direkt zur privaten Eingangstür des Appartements.\n\nGroßflächig installierte und bodentiefe Fenster mit Thermoverglasung, versprechen lichtdurchflutete Räume.\n\nNeben der ausgiebigen Balkonfläche bietet die Dachterrasse einen tollen 360-Grad-Blick über Berlin, inklusive Sicht auf den Fernsehturm.\n\nDas Wohnhaus verfügt insgesamt über fünf Etagen plus Dachgeschoß und bietet neben optional erwerbbarem Tiefgaragenstellplatz, eine Gemeinschaftssauna zum Entspannen im Keller.', '- flexible Grundrisse\n- Fußbodenheizung\n- Parkettböden\n- Balkon oder Terrasse\n- 3-fach verglaste Holzfenster\n- teilweise HWR und Gäste Bad (nach Wohnungsgröße)\n- Gartenanteil im Erdgeschoss\n- Aufzug\n- Keller\n- Tiefgarage (optional)\n- Gemeinschaftssauna', 'Berlin-Weißensee an der Grenze zu Pankow und dem Prenzlauer Berg', 'Für Rückfragen erreichen Sie uns auch unter der Rufnummer 0172-3261193.'];;;;;;;;;;;;;;;;;;
2020-05-30 19:21:54.251447;Berlin;floor_heating;216206;n;y;https://pictures.immobilienscout24.de/listings/b583b2bc-8ad5-4f52-9d2f-4fa22d2bdb9c-1371698785.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;15;11.14;2018;disabled;11.14;118841939;;district_heating;n;false;y;Berlin;y;9;9;no_information;energy_required;6.17;88;Berlin;10409;mint_condition;sophisticated;C;false;underground_garage;no_information;y;no_information;roof_storey;10409;3;76;n;2,active;Deutschland;standard;wohnung_kauf;n;5;true;001.216206;599000;profile0;5;3;true;n;showqualicontactform;y;n;Prenzlauer_Berg_Prenzlauer_Berg;118841939;4;Berlin;/expose/118841939;['Dieses elegant geschnittene Penthouse befindet sich in einem modernen und hochwertigen Mehrfamilienhaus in ruhiger Lage. \n\nMit dem geräumigen Fahrstuhl gelangen Sie direkt zur privaten Eingangstür des Appartements.\n\nGroßflächig installierte und bodentiefe Fenster mit Thermoverglasung, versprechen lichtdurchflutete Räume.\n\nDas Wohnhaus verfügt insgesamt über fünf Etagen plus Dachgeschoß und bietet neben optional erwerbbarem Tiefgaragenstellplatz, eine Gemeinschaftssauna zum Entspannen im Keller.', '- flexible Grundrisse\n- Fußbodenheizung\n- Parkettböden\n- Balkon oder Terrasse\n- 3-fach verglaste Holzfenster\n- teilweise HWR und Gäste Bad (nach Wohnungsgröße)\n- Gartenanteil im Erdgeschoss\n- Aufzug\n- Keller\n- Tiefgarage (optional)\n- Gemeinschaftssauna', 'Berlin-Weißensee an der Grenze zu Pankow und dem Prenzlauer Berg', 'Für Rückfragen erreichen Sie uns unter 0172-3261193.\n\nWeitere Angebote auf Anfrage.'];ONE_YEAR_FREE;40 MBit/s;telekom_layer_magenta_l;über VDSL;REGULAR;MagentaZuhause L;100 MBit/s;https://padlock.link/ioml;https://padlock.link/ml;2019;true;100 MBit/s;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;;;;;
2020-05-30 19:21:54.593760;Berlin;central_heating;216206;n;y;https://pictures.immobilienscout24.de/listings/7d111ca3-25df-480f-a921-38c66d7a18c6-1371688107.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;18;11.14;2017;disabled;11.14;118840243;1;district_heating;y;false;y;Berlin;y;11;9;no_information;energy_required;6.17;207;Berlin;10409;mint_condition;luxury;C;false;underground_garage;no_information;y;no_information;roof_storey;10409;5;76;n;2,active;Deutschland;standard;wohnung_kauf;n;5;false;001.216206;1399000;profile0;5;5;true;n;showqualicontactform;y;n;Prenzlauer_Berg_Prenzlauer_Berg;118840243;7;Berlin;/expose/118840243;['Dieses elegant geschnittene Penthouse befindet sich in einem modernen und hochwertigen Mehrfamilienhaus in ruhiger Lage. \n\nMit dem geräumigen Fahrstuhl gelangen Sie direkt zur privaten Eingangstür des Appartements.\n\nGroßflächig installierte und bodentiefe Fenster mit Thermoverglasung, versprechen lichtdurchflutete Räume.\n\nNeben der ausgiebigen Balkonfläche bietet die Dachterrasse einen tollen 360-Grad-Blick über Berlin, inklusive Sicht auf den Fernsehturm.\n\nDas Wohnhaus verfügt insgesamt über fünf Etagen plus Dachgeschoß und bietet neben optional erwerbbarem Tiefgaragenstellplatz, eine Gemeinschaftssauna zum Entspannen im Keller.', '- Eichenparkett\n- bulthaupt Einbauküche\n- hohe Räume\n- 3-Fachverglassung\n- große Glasfronten\n- große Terrasse\n- Aufdachterrasse\n- Personenaufzug\n- Keller\n- Tiefgarage (optional)\n- aktuell keine Einbauküche', 'ca. 50m Supermarkt (EDEKA)\nca. 50m Bushaltestelle ( Bus 158 und 255) \nca. 400m Tram Haltestelle (12 / 50/ M2/ M13)\nca. 600m Biomarkt', 'Fragen und Besichtigungen können gern unter 0172-3261193 abgestimmt werden.\n\nWeitere Wohnungen auf Anfrage.'];;;;;;;;;;2020;;;;5;;;;
2020-05-30 19:21:55.168974;Berlin;central_heating;216206;n;n;https://pictures.immobilienscout24.de/listings/58155073-b2ee-41a2-8fbd-976c54ccf0e6-1371692150.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;13;11.48;1956;disabled;11.48;118840945;;district_heating;n;false;y;Berlin;y;7;2;no_information;energy_required;7.14;64;Berlin;10247;modernized;simple;C;false;no_information;no_information;n;no_information;apartment;10247;3;97.5;n;2,active;Deutschland;standard;wohnung_kauf;n;4;true;001.216206;329000;profile0;5;3;true;y;showqualicontactform;n;n;Friedrichshain_Friedrichshain;118840945;3;Berlin;/expose/118840945;['Der in den 1950er Jahren errichtete Altbau liegt in einer ruhigen Wohnstraße nahe dem belebten Boxhagener Platz und wurde umfassend saniert.  \n\nZu den ausgeführten Sanierungsarbeiten zählen unter anderem alle Stränge, Treppenhäuser, sowie die Fassade.\n\nVereinbaren Sie einen Termin mit uns und überzeugen Sie sich selbst von dem schönen Haus, sowie der tollen Umgebung.', '- Etagenwohnung \n- 4.OG\n- 3 Zimmer\n- Terrasse\n- kein Aufzug\nBad 2002 renoviert, ebenso die Fenster erneuert und die Stränge\nIn den Wohnungen sind die Böden, Wände und Decken renovierungsbedürftig. In diesem Zusammenhang sollte auch die Elektrik mit erneuert werden.', 'Sehr zentrale ruhige Lage nahe der Boxhagener Straße im Simon - Dach - Kiez.', 'Für Rückfragen erreichen Sie uns auch unter der Rufnummer 0172-3261193.'];ONE_YEAR_FREE;10 MBit/s;telekom_layer_magenta_m;über VDSL;REGULAR;MagentaZuhause M;50 MBit/s;https://padlock.link/iomm;https://padlock.link/mm;2018;true;50 MBit/s;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;3;;;;
2020-05-30 19:21:55.517277;Berlin;gas_heating;216206;n;n;https://pictures.immobilienscout24.de/listings/b08b7f54-e999-45f1-b5db-9b533ed1320f-1371698754.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;15;10.77;1902;disabled;10.77;118841948;;gas;n;false;y;Berlin;y;10;1;57 j;;5.67;135;Berlin;10117;well_kept;normal;;false;no_information;"Geschwister-Scholl Stra&szlig;e";n;Geschwister-Scholl_Straße;apartment;10117;5;;n;2,active;Deutschland;standard;wohnung_kauf;n;1;;001.216206;998000;profile0;5;5;true;n;showqualicontactform;n;n;Mitte_Mitte;118841948;6;Berlin;/expose/118841948;"['Verkauft wird einen großzügige Altbauwohnung mit ca. 135 m². Die Wohnung befindet sich in einem Einzeldenkmal aus dem Jahre 1903.\nDas ehemals Königliche Dienstwohngebäude besteht aus einem Vorderhaus, Seitenflügel und zwei Quergebäuden.\nDie architektonische Gestaltung des Gebäudes ist in neobarocken Formen gehalten. Das Eingangsportal ist mit Säulen gerahmt und verweist im Wappenfeld des Eingangsbvereiches mit den Initialen ""R"" und ""W"" (REX WILHELM) und der Königskrone auf den Königlichen Kronfideikommiss als Bauherrn.\n\nAktuell ist die Wohnung durch die Eigentümer bewohnt. Bezugsfrei ist die Wohnung Ende 2021.', '- original Holzdielen\n- modernes Hauptbad\n- Bad mit Fesnster\n- Gästetoilette\n- Gasetagenheizung\n- hohe Räume\n- Kamin', 'Berlin Mitte \nDas Wohnhaus befindet sich zwischen der Museumsinsel, der Prachtstraße ""Unter den Linden"" und der Friedrichstraße.\nDie Wohnung befindet sich im ruhigem 2. Hinterhof in der ertsen Etage.', 'Besichtigungen können gern kurzfristig unter 0176 321 435 349 abgestimmt werden.']";;;;;;;;;;1998;;;;5;400;;;
2020-05-30 19:21:55.959515;Berlin;district_heating;15349709;n;n;https://pictures.immobilienscout24.de/listings/1a56017a-06ac-4e7f-b70d-963b670cd179-1371698349.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;10;8.81;1905;disabled;8.81;118841868;;gas;n;false;y;Berlin;y;8;1;30;energy_consumption;3.97;117.48;Berlin;12587;no_information;no_information;;false;no_information;"B&ouml;lschestra&szlig;e";n;Bölschestraße;roof_storey;12587;4;118;n;2,active;Deutschland;top;wohnung_kauf;y;3;true;001.15297510;428000;profile0;3;4;true;n;showqualicontactform;n;n;Friedrichshagen_Köpenick;BOE30 WE 07;5;Berlin;/expose/118841868;['Gelegen im Zentrum von Friedrichshagen fügt sich der Altbau mit seiner eher schlichten Fassade in einem warmen Rosé perfekt in die Umgebung ein. Die Bölschestraße 30 überragt die niedrigeren Bauten zu beiden Seiten und spiegelt so das Gesamtbild der Architektur der Bölschestraße wider. Die Balkone an der Fassade setzen das im Jahr 1902/03 konstruierte Gebäude optisch ab. Die für Jugendstil typischen Elemente finden sich eher im Inneren des Hauses, an den schön verzierten Haustüren ebenso wie an den großen, unterteilten Fenstern, die viel Licht in die Wohnungen fluten lassen. Das Haupthaus enthält insgesamt 13 Wohneinheiten und ist Teil des denkmalgeschützten Ensembles Bölschestraße, das Gartenhaus enthält 2 Einheiten.\r\nAbgehend vom direkt an der Bölschestraße gelegenen Vorderhaus, zieht sich ein Seitenflügel von der Straße hinweg den Hof entlang. Der gepflegte Innenhof bietet große Grünflächen zum Entspannen, eine Remise für Fahrräder und einen Spielplatz für Kinder. Ein weiteres Juwel des Objektes ist das Gartenhaus, welches der Hof vom restlichen Gebäude trennt und so eine private Atmosphäre schafft. In der Bölschestraße 30 finden sowohl Familien, als auch Paare und Singles ihren Lebensmittelpunkt. Für Altbauliebhaber bietet das Haus Wohnungen im Vorderhaus oder Seitenflügel. \r\n\r\nAusgewählte Renovierungs- und Sanierungsarbeiten am Gemeinschaftseigentum, wie ein Neuanstrich der Fassade und die Instandsetzung des Treppenhauses, lassen das Haus im neuen Glanz erstrahlen.\r\n\r\n\r\n\r\n', '- Einheit Nr. 07\r\n- DG VH rechts\r\n- 4 Zimmer \r\n- ca. 117m² \r\n- Tageslichtbad\r\n- Gäste WC\r\n- Abstellraum\r\n- vermietet', 'Vintage-Flair, die Lebensqualität einer gewachsenen Gemeinschaft und nur wenige Schritte bis zum satten Grün am Müggelsee: Die Siedlung Friedrichshagen hat sich den Charme der heilen Welt erhalten, die seit Jahrhunderten Künstler und Erholungssuchende aus ganz Berlin anzieht. Der Ortsteil gehört zum landschaftlich schön gelegenen Köpenick, das seinen lebensechten, ländlichen Charakter in weiten Teilen bewahrt hat.\r\n\r\nNicht direkt an der quirligen Lebensader von Friedrichshagen, sondern in einer kleinen Abzweigung befindet sich unser Objekt Bölschestraße 30. Mehrere größere und kleinere Boutiquen und verschiedene Supermärkte bieten alles für den täglichen Bedarf. Restaurants wechseln sich hier mit zahlreichen Cafés und Galerien ab.\r\nIn nur zehn Minuten erreichen Sie zu Fuß den Müggelsee mit dem Strandbad Friedrichshagen. Das Ufer des Müggelsees ist nur zum Teil bebaut und bietet somit viel Platz im Grünen zum Entspannen und Flanieren.\r\nKinder wachsen hier im Einklang mit der Natur auf. In fußläufiger Entfernung von der Bölschestraße 30 befinden sich eine Grundschule und ein Gymnasium. Obwohl man in Friedrichshagen mit der Familie eher zurückgezogen lebt, kann das Zentrum von Berlin in wenigen Minuten erreicht werden. Haltestellen für Tram und Bus befinden sich in fast unmittelbarer Nähe der Eingangstür. Auch von der S-Bahnstation Friedrichshagen gelangt man innerhalb einer halben Stunde zum Berliner Hauptbahnhof.\r\n', 'Die Wohnungen werden im Ist-Zustand verkauft.'];ONE_YEAR_FREE;40 MBit/s;telekom_layer_magenta_l;über VDSL;REGULAR;MagentaZuhause L;100 MBit/s;https://padlock.link/ioml;https://padlock.link/ml;;true;100 MBit/s;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;;322.36;true;;
2020-05-30 19:21:56.303637;Berlin;central_heating;342969;n;y;https://pictures.immobilienscout24.de/listings/f9b1fc86-07ef-431a-a606-43a993a15926-1371690462.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;10;11.49;1962;;11.49;118840733;;oil;n;false;y;Berlin;y;3;2;no_information;energy_consumption;5.14;54.62;Berlin;12351;well_kept;no_information;E;false;outside;no_information;n;no_information;apartment;12351;2;145;n;2,active;Deutschland;top;wohnung_kauf;y;1;true;001.342969;137000;profile0;3;2;true;n;;n;n;Buckow_Neukölln;F274016;2;Berlin;/expose/118840733;"['Das Mehrfamilienhaus wurde 1962 errichtetet und verfügt über 3 Hausaufgänge. Es verfügt aktuell über 32 Wohnungen sowie 17 Außenstellplätze, von welchen sich 2 im Gemeinschaftseigentum befinden und 15 im Eigentum von einzelnen Eigentümern stehen. Das Haus ist komplett unterkellert, jeder Wohnung ist ein Kellerraum zugeordnet. Die Beheizung erfolgt über die Öl-Zentralheizung. Die Warmwasserversorgung erfolgt über Durchlauferhitzer in den einzelnen Wohnungen.\n\nEs besteht für die nahe Zukunft noch Sanierungsbedarf in der Wohnanlage. Deshalb wurde in der letzten Eigentümerversammlung im Jahr 2018 die Zuführung zur Instandhaltungsrücklage zur Finanzierung der Maßnahmen auf 1 € / m² erhöht.\n\nFolgende Maßnahmen wurden durch die Eigentümergemeinschaft bereits beschlossen und umgesetzt: Erneuerung der Drainage auf dem Parkplatz, Austausch der Vordächer.\n\nFolgende Maßnahmen wurden bereits vom Hausverwalter als notwendig für die nahe Zukunft genannt, aber noch nicht beschlossen: Balkonsanierung, Fassadenausbesserung, Dachsanierung, Erneuerung der Heizung, Einbau von Kaltwasseruhren, Beseitigung von Feuchtigkeit im Keller.\nZur Finanzierung der Maßnahmen wird aktuell neben der Erhöhung der Instandhaltungsrücklage ein Verkauf des Dachaufbaurechtes geprüft. Ein erstes Gespräch mit dem Bauamt verlief positiv. Als nächster Schritt soll eine Bauvoranfrage gestellt werden.\n\nMietkonditionen:\n303,14 € Kaltmiete (5,55 € / m²)\n86,00 € Betriebskosten\n63,00 € Heizkosten\n452,14 € Gesamtmiete\n\nOptional wird der Kauf eines PKW-Außenstellplatzes für 15.000 € zzgl. zum Kaufpreis angeboten.', '- Kapitalanlage - vermietete Wohnung\n- 2 Zimmerwohnung im 1. Obergeschoss\n- ruhige Lage in einer Sackgasse\n- Südausrichtung des Balkons\n- umgeben von Ein- und kleinen Mehrfamilienhäusern\n- Wohnzimmer mit Zugang zum Balkon\n- 1 Schlafzimmer\n- zum Teil gefliestes Badezimmer mit Badewanne, Toilette, Handwaschbecken\n- Küche \n- Flur mit Abstellraum\n- Kellerraum\n- Öl-Zentralheizung\n- Isolierglasfenster', 'Die Wohnanlage liegt im Süden der Bundeshauptstadt im aufstrebenden Bezirk Berlin-Neukölln. Sämtliche Einrichtungen wie Kitas, Schulen, U-Bahnhöfe, eben was der Hauptstädter von ""seinem Kiez"" verlangt, sind fußläufig erreichbar. Auch die Geschäfte für den täglichen Bedarf sowie Banken und Restaurants sind in der nahe gelegenen Buschkrugallee gelegen. Eines der größten Shoppingcenter Deutschlands, die ""Gropius Passagen"", befinden sich in unmittelbarer Umgebung. Die Mirkrolage ist geprägt von Ein- und Mehrfamilienhäusern in ruhiger und grüner Umgebung.', 'Die Provision in Höhe von 7,14 % inkl. der gesetzlichen Mehrwertsteuer bezogen auf den Kaufpreis ist bei Vertragsabschluss fällig und zahlbar und vom Käufer an die AKZENT Finanz- und Immobilienservice GmbH zu zahlen. Wir weisen darauf hin, dass je nach Nachfrage der Angebotspreis nach Verhandlung noch steigen oder sinken kann. Es gelten unsere Allgemeinen Geschäftsbedingungen.']";ONE_YEAR_FREE;40 MBit/s;telekom_layer_magenta_l;über VDSL;REGULAR;MagentaZuhause L;100 MBit/s;https://padlock.link/ioml;https://padlock.link/ml;;true;100 MBit/s;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;;213.51;;;
2020-05-30 19:21:56.708051;Berlin;central_heating;342969;n;y;https://pictures.immobilienscout24.de/listings/23b26a96-af20-4850-92bc-0fbc1da24f4e-1371702913.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;25;9.64;1964;;9.64;118842502;;oil;n;false;y;Berlin;y;6;2;no_information;energy_consumption;4.62;71.38;Berlin;12309;first_time_use_after_refurbishment;normal;E;false;outside;no_information;n;no_information;apartment;12309;3;158;n;2,active;Deutschland;standard;wohnung_kauf;n;1;true;001.342969;265000;profile0;2;3;true;n;;n;n;Lichtenrade_Tempelhof;F019011-2;3;Berlin;/expose/118842502;['Es handelt sich um ein ruhig gelegenes 2-stöckiges Mehrfamilienhaus, welches um 1964 erbaut wurde. Eine Erneuerung der Heizungsanlage sowie die Anbringung eines Wärmedämmverbundsystems wurden 1994 bei einer Sanierung des Hauses vorgenommen.\nDer große und sehr grüne Garten mit vielen Obstbäumen kann gemeinschaftlich von allen Bewohnern genutzt werden kann.\n\n\nAngeboten wird ein 3 Zimmerwohnung mit 71,38 m² (WE Nr. 11). Neben der wohnung liegt eine Wohnung mit 45,89 m², welche auf Wunsch ebenfalls erworben werden kann. Zu dieser Wohnung gehört auch ein Außenstellplatz auf dem Grundstück. \nDie daneben liegende Wohnung Nr. 12 mit 45,89 m² ist zum 01.07.2020 bezugsfrei, beide Wohnungen lassen sich zusammenlegen.\nDer Gesamtkaufpreis für beide Wohnungen ist 408.500 €.\n\nWohngeld lt. Wirtschaftsplan 2020 für WE Nr. 11: 261,00 € / Monat.', '- Lage im 1. Obergeschoss\n- 3 Zimmerwohnung\n- Erstbezug nach Sanierung\n- bezugsfrei ab sofort\n- mit Balkon und Keller\n- Warmwasser über Durchlauferhitzer\n- Öl-Zentralheizung\n- Komplettsanierung im Innenbereich\n- neues Parkett\n- neue Fenster\n- neues Badezimmer mit Badewanne, Waschbecken, Toilette, Fenster und Waschmaschinenanschluss\n- neue geflieste Küche ohne Einbauküche\n- neue Elektrik\n- alle Wände gespachtelt\n- neue Innentüren\n- neue Heizkörper', 'Die hier angebotene Eigentumswohnung befindet sich im Berliner Ortsteil Lichtenrade, welcher zum Bezirk Tempelhof-Schöneberg gehört.\n\nDie ruhige Umgebung ist geprägt durch Einfamilienhäuser und kleine Mehrfamilienhäuser. Die Bahnhofstraße mit ihren zahlreichen Einkaufsmöglichkeiten und Restaurants sowie dem S-Bahnhof Lichtenrade liegen nur wenige Minuten entfernt.\n\nLichtenrade bietet durch den nahegelegenen Speckgürtel ein großes Angebot an Freizeit- und Erholungsmöglichkeiten. Die Infrastruktur ist sehr gut entwickelt.', 'Link zur virtuellen 360° Besichtigung der bezugsfreien, komplett sanierten Wohnung: https://tour.ogulo.com/6HPj\n\nAuf dem Grundriss sind beide Wohnungen zu sehen.\n\nDie Provision in Höhe von 7,14 % inkl. der gesetzlichen Mehrwertsteuer bezogen auf den Kaufpreis ist bei Vertragsabschluss fällig und zahlbar und vom Käufer an die AKZENT Finanz- und Immobilienservice GmbH zu zahlen. Wir weisen darauf hin, dass je nach Nachfrage der Angebotspreis nach Verhandlung noch steigen oder sinken kann. Es gelten unsere Allgemeinen Geschäftsbedingungen.'];ONE_YEAR_FREE;40 MBit/s;telekom_layer_magenta_l;über VDSL;REGULAR;MagentaZuhause L;100 MBit/s;https://padlock.link/ioml;https://padlock.link/ml;;true;100 MBit/s;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;;261;;;
2020-05-30 19:21:57.094273;Berlin;central_heating;17749348;n;y;https://pictures.immobilienscout24.de/listings/55837a1e-473e-4517-8203-104c182fb710-1371699763.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;13;16.54;1906;;16.54;118841395;;gas;n;false;y;Berlin;y;8;1;no_information;energy_required;8.84;117;Berlin;12051;need_of_renovation;no_information;NO_INFORMATION;false;no_information;no_information;n;no_information;ground_floor;12051;5;136.8;n;2,active;Deutschland;top;wohnung_kauf;n;0;true;009.3c994d6b-0463-445d-951e-9b96b9d8a42b;430000;profile0;5;5;true;n;showqualicontactform;n;n;Neukölln_Neukölln;E2;5;Berlin;/expose/118841395;"['Ein echtes Schmuckstück mitten im Kiez\n\nHier ist der Kreativität keine Grenzen gesetzt. Wohnen und Arbeiten unter einem Dach,\nZusammenwohnen mehrerer Generationen, \ngroße Familienwohnung mitten im Kiez oder Unterteilung der Einheit in kleinere Einheiten für die bessere Vermietbarkeit - grundsätzlich ist alles möglich. \nDie jetzige Teileigentumseinheit kann auch wieder klassisch als reines Gewerbe genutzt werden. Praktisch ist dafür auch der eigene Zugang zum Keller aus der Einheit direkt. \nDie Einheit besticht durch eine tolle Helligkeit aufgrund der großen Fenster zu 2 verschiedenen Seiten, großzügige Räume und Decken und einem Sondernutzungsrecht für eine kleine Terrasse im begrünten Innenhof. \nZudem kann auch mindestens 1 Zimmer zum ruhigen Innenhof ausgerichtet werden. \nDie Wohnung wird im Ist-Zustand verkauft und bedarf einer umfasenden Renovierung, so dass der neue Erwerber sie nach seinen Wünschen gestalten kann. Anschließend besitzt man ein absolutes Schmuckstück in einer der neuen ""hippen"" Lagen Berlins.', '- Doppelkastenfenster\n- hohe, stuckverzierte Decken\n- Kassettentüren\n- Dielenfußboden\n- Terrasse\n- Rolläden', 'Mitten im Kiez\nFür die einen versprüht der Schillerkiez den maroden Charme und die Abgeschiedenheit einer Kleinstadt inmitten des Berliner Großstadtgetümmels, für andere ist er nur der Durchgangskiez für das Tempelhofer Feld.\nDer Schillerkiez bietet so viel Abwechslung wie kaum ein zweiter Kiez in Berlin. Viele Grünflächen zum Entspannen und das tobende Leben mit Restaurants, Bars oder Cafes.\nAuch alle Läden des täglichen Bedarfs sind bequem per Fuß zu erreichen.', 'Die Einheit ist in der Teilungserklärung als Teileigentum eingetragen. Bei Bedarf kann auch gerne ein Architekt für die Planung und Umsetzung vermittelt werden.']";ONE_YEAR_FREE;40 MBit/s;telekom_layer_magenta_l;über VDSL;REGULAR;MagentaZuhause L;100 MBit/s;https://padlock.link/ioml;https://padlock.link/ml;;true;100 MBit/s;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;;420;;;
2020-05-30 19:21:57.522283;Berlin;central_heating;216206;n;n;https://pictures.immobilienscout24.de/listings/a14a56a1-b6de-43d3-9d98-4fb2d94bc068-1371698991.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;15;11.48;1956;disabled;11.48;118841893;;district_heating;n;false;y;Berlin;y;6;2;no_information;energy_required;7.14;54.16;Berlin;10247;refurbished;simple;C;false;no_information;no_information;n;no_information;apartment;10247;2;97.5;n;2,active;Deutschland;standard;wohnung_kauf;n;;;001.216206;279000;profile0;5;2;true;n;showqualicontactform;n;n;Friedrichshain_Friedrichshain;118841893;2;Berlin;/expose/118841893;['Der in den 1950er Jahren errichtete Altbau liegt in einer ruhigen Wohnstraße nahe dem belebten Boxhagener Platz und wurde umfassend saniert. \n\nDas Dachgeschoß, welches einen tollen Ausblick über Berlin ermöglicht, ist ausgebaut und kann leer oder vermietet übergeben werden. \n\nInsgesamt haben wir 33 Wohneinheiten, 29 Einheiten als Bestand und 4 Einheiten neu (Dachgeschoß), welche über 3 Hauseingänge erschlossen werden. \n\nZu den ausgeführten Sanierungsarbeiten zählen unter anderem alle Stränge, Treppenhäuser, sowie die Fassade.\n\nVereinbaren Sie einen Termin mit uns und überzeugen Sie sich selbst von dem schönen Haus, sowie der tollen Umgebung.', '- Etagenwohnung \n- 4.OG\n- 2 Zimmer\n- Küche, Bad, Flur\n- Bad 2002 renoviert, \n- Fenster und Stränge erneuert\n\n- kein Aufzug\n\nIn den Wohnungen sind die Böden, Wände und Decken renovierungsbedürftig. In diesem Zusammenhang sollte auch die Elektrik mit erneuert werden.', 'Sehr zentrale ruhige Lage nahe der Boxhagener Straße im Simon - Dach - Kiez. Nur wenige Gehminuten zur U-Bahn Samariterstraße, sowie zu Restaurants/Bars.', 'Für Rückfragen erreichen Sie uns auch unter der Rufnummer 0172-3261193.'];;;;;;;;;;2018;;;;3;;;;
