timestamp;obj_regio1;obj_heatingType;obj_telekomTvOffer;obj_cId;obj_newlyConst;obj_balcony;obj_picture;obj_picturecount;obj_pricetrend;obj_telekomUploadSpeed;obj_telekomTrackingGroup;obj_telekomInternetTechnology;obj_yearConstructed;obj_telekomInternetType;obj_pricetrendbuy;obj_scoutId;obj_firingTypes;obj_hasKitchen;obj_ExclusiveExpose;obj_telekomInternetProductName;obj_courtage;geo_bln;obj_cellar;obj_purchasePriceRange;obj_yearConstructedRange;obj_rentSubsidy;obj_houseNumber;obj_energyType;obj_pricetrendrent;obj_livingSpace;geo_krs;obj_zipCode;obj_condition;obj_interiorQual;ga_cd_cxp_historicallisting;obj_telekomDownloadSpeed;obj_parkingSpace;obj_street;obj_lift;obj_telekomInternetUrlMobile;obj_telekomInternetUrl;obj_streetPlain;obj_typeOfFlat;geo_plz;obj_noRooms;obj_thermalChar;obj_assistedLiving;obj_groupnumber;obj_ityp;obj_telekomHdTelephone;geo_land;ga_cd_via;obj_telekomInternet;obj_immotype;obj_rented;obj_floor;obj_telekomInternetServices;obj_telekomInternetProductAvailable;obj_cwId;obj_purchasePrice;ga_cd_application_requirements;obj_numberOfFloors;obj_noRoomsRange;ga_cd_maillead_default_shown;obj_garden;evt_count_pm_sig;obj_barrierFree;obj_international;obj_regio3;obj_objectnumber;obj_livingSpaceRange;obj_regio2;URL;beschreibung;obj_noParkSpaces;obj_galleryAd;obj_lastRefurbish;obj_energyEfficiencyClass;obj_telekomHybridUploadSpeed;obj_usableArea;obj_telekomHybridDownloadSpeed;obj_project_id;obj_nbp;ga_cd_via_qualified;ga_cd_developer_virtualreality
2020-05-30 19:29:32.574634;Berlin;district_heating;ONE_YEAR_FREE;16677860;n;n;https://pictures.immobilienscout24.de/listings/13971b52-39eb-4e50-aed4-fb410f8f9013-1369110546.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;15;10.77;40 MBit/s;telekom_layer_magenta_l;über VDSL;1969;REGULAR;10.77;118344311;district_heating;n;false;MagentaZuhause L;y;Berlin;n;8;2;278.34;9;energy_consumption;5.67;77.86;Berlin;10178;modernized;normal;false;100 MBit/s;no_information;"Rochstra&szlig;e";y;https://padlock.link/ioml;https://padlock.link/ml;Rochstraße;apartment;10178;3;103;n;1;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;n;6;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;009.b91b88e3-9ba2-49d7-bfd5-e0e1ba0ca04e;458200;profile0;24;3;true;n;showqualicontactform;n;n;Mitte_Mitte;B10036/3;3;Berlin;/expose/118344311;['Es handelt sich hierbei um eine im Jahr 2016 renovierte Wohnung, in der ein neuer Laminatboden verlegt und das Bad neu gefliest und ausgestattet wurde. Diese Wohnung verfügt über 2 Schlafzimmer und einen offenen Wohn- und Essbereich. Eine praktische Abstellkammer rundet das Gesamtbild ab.\n\nDas Gemeinschaftseigentum ist in einem gepflegten Zustand, wobei das Instandhaltungsrücklagenkonto einen hohen Betrag aufweist. \n\nDie Wohnung ist aktuell noch bewohnt, kann jedoch kurzfristig frei übergeben werden.\n\nEs handelt sich hierbei um 2 Wohneinheiten, welche vom Käufer zusammengelegt werden müssten.', 'Hier tobt das Leben – hier ist Berlin.\n\nDie Rochstraße direkt in Berlin-Mitte liegt im Herzen Berlins und stellt eine der belebtesten Gegenden der Hauptstadt dar.\n\nDas Haus befindet sich unweit des Monbijouparkes, an dem die Spree entlang fließt und auch die Hackeschen Höfe sind wenige Gehminuten entfernt.\nDas Kiezleben hat etliche Restaurants, Cafés und Szenekneipen zu bieten, die alle fußläufig zu erreichen sind.\n\nDie optimale Anbindung der Öffentlichen Verkehrsmittel ist durch einen nicht weit entfernten S-Bahnhof (S-Bhf Hackescher Markt) , sowie ebenfalls einen zu Fuß erreichbaren U-Bahnhof (U-Bhf Weinmeisterstraße) , sichergestellt. Zudem ergänzt eine regelmäßig fahrende Straßenbahn den Bahnverkehr.\n\nUm das Berliner Kiezleben zu vollenden - das Gebiet zählt aufgrund seiner facettenreichen Freizeitmöglichkeiten, zu den attraktivsten Wohnzielen für Jung und Alt.\n'];;;;;;;;;;;
2020-05-30 19:29:32.947434;Berlin;district_heating;ONE_YEAR_FREE;16677860;n;n;https://pictures.immobilienscout24.de/listings/2aac3a21-db8a-43dc-9e53-8a0e550c060a-1369109998.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;12;10.77;40 MBit/s;telekom_layer_magenta_l;über VDSL;1969;REGULAR;10.77;118344218;district_heating;n;false;MagentaZuhause L;y;Berlin;n;6;2;175.58;9;energy_consumption;5.67;47.89;Berlin;10178;modernized;normal;false;100 MBit/s;no_information;"Rochstra&szlig;e";y;https://padlock.link/ioml;https://padlock.link/ml;Rochstraße;apartment;10178;2;103;n;1;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;n;6;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;009.b91b88e3-9ba2-49d7-bfd5-e0e1ba0ca04e;263395;profile0;24;2;true;n;showqualicontactform;n;n;Mitte_Mitte;B10036/2;2;Berlin;/expose/118344218;['Es handelt sich hierbei um eine im Jahr 2016 renovierte Wohnung, in der ein neuer Laminatboden verlegt und das Bad neu gefliest und ausgestattet wurde. Diese Wohnung verfügt über 1 Schlafzimmer und einen offenen Wohn- und Essbereich. Eine praktische Abstellkammer rundet das Gesamtbild ab.\n\nDas Gemeinschaftseigentum ist in einem gepflegten Zustand, wobei das Instandhaltungsrücklagenkonto einen hohen Betrag aufweist. \n\nDie Wohnung ist aktuell noch bewohnt, kann jedoch kurzfristig frei übergeben werden.', 'Hier tobt das Leben – hier ist Berlin.\n\nDie Rochstraße direkt in Berlin-Mitte liegt im Herzen Berlins und stellt eine der belebtesten Gegenden der Hauptstadt dar.\n\nDas Haus befindet sich unweit des Monbijouparkes, an dem die Spree entlang fließt und auch die Hackeschen Höfe sind wenige Gehminuten entfernt.\nDas Kiezleben hat etliche Restaurants, Cafés und Szenekneipen zu bieten, die alle fußläufig zu erreichen sind.\n\nDie optimale Anbindung der Öffentlichen Verkehrsmittel ist durch einen nicht weit entfernten S-Bahnhof (S-Bhf Hackescher Markt) , sowie ebenfalls einen zu Fuß erreichbaren U-Bahnhof (U-Bhf Weinmeisterstraße) , sichergestellt. Zudem ergänzt eine regelmäßig fahrende Straßenbahn den Bahnverkehr.\n\nUm das Berliner Kiezleben zu vollenden - das Gebiet zählt aufgrund seiner facettenreichen Freizeitmöglichkeiten, zu den attraktivsten Wohnzielen für Jung und Alt.\n'];;;;;;;;;;;
2020-05-30 19:29:33.345386;Berlin;no_information;ONE_YEAR_FREE;17958406;n;y;https://pictures.immobilienscout24.de/listings/3f7cc504-cdc5-4306-b092-f4750b129839-1369116764.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;1;13.06;40 MBit/s;telekom_layer_magenta_l;über VDSL;1982;REGULAR;13.06;118345916;;n;false;MagentaZuhause L;y;Berlin;y;7;4;;no_information;;6.49;85;Berlin;13403;well_kept;normal;false;100 MBit/s;garage;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;ground_floor;13403;3;;n;;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;n;;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;002.01008673168;320000;profile0;;3;true;y;showqualicontactform;n;n;Reinickendorf_Reinickendorf;118345916;4;Berlin;/expose/118345916;['Zum Verkauf steht eine schöne Eigentumswohnung mit 85 m² Wohnfläche und 3 Zimmern. \nBitte kontaktieren Sie uns für ausführliche Details und Informationen.', 'Die Wohnung befindet sich in einer ruhigen Wohngegend des Berliner Bezirks Reinickendorf. Einkaufsmöglichkeiten des täglichen Bedarfs, sowie Schulen und öffentliche Verkehrsmittel sind innerhalb wenigen Minuten zu Fuß erreichbar.'];1;;;;;;;;;;
2020-05-30 19:29:33.675125;Berlin;no_information;ONE_YEAR_FREE;17958406;n;y;https://pictures.immobilienscout24.de/listings/540b81cf-f028-4ad7-acc0-0b0abd313f81-1369117499.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;1;11.3;40 MBit/s;telekom_layer_magenta_l;über VDSL;1900;REGULAR;11.3;118346094;gas;n;false;MagentaZuhause L;y;Berlin;n;5;1;;no_information;;5.73;56;Berlin;10589;need_of_renovation;normal;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;ground_floor;10589;2;;n;;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;n;;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;002.01008673168;230000;profile0;;2;true;n;showqualicontactform;n;n;Charlottenburg_Charlottenburg;118346094;2;Berlin;/expose/118346094;['Zum sofortigen Verkauf steht eine bezugsfreie Eigentumswohnung in Berlin-Charlottenburg, nahe dem Schloß Charlottenburg mit seinem Park. Die Wohnung befindet sich im Erdgeschoß eines gepflegten Mehrfamilienhauses mit 18 Wohneinheiten. Die Wohnung besitzt ein Balkon. Alle Zimmer sind über den Flur zu erreichen.', 'Das Mehrfamilienhaus hat eine sehr gute Verkehrsanbindung. In ca. 8 Minuten erreicht\nman fußläufig die U-Bahn bzw. auch die S-Bahn, den Schlossgarten Charlottenburg nach 1,5 km Fußweg.\nZum Flughafen Berlin- Tegel sind es nur ca. 10 Autominuten. Schiffsanlegestellen für eine schöne Fahrt auf der Spree sind fußläufig erreichbar.'];;;;;;;;;;;
2020-05-30 19:29:34.070219;Berlin;central_heating;ONE_YEAR_FREE;17076257;n;y;https://pictures.immobilienscout24.de/listings/73811e41-392b-4b71-904a-a170c0575b4c-1369106132.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;10;16.54;40 MBit/s;telekom_layer_magenta_l;über VDSL;1900;REGULAR;16.54;118342676;district_heating;n;false;MagentaZuhause L;y;Berlin;y;6;1;204;42;energy_required;8.84;74.7;Berlin;12055;well_kept;normal;false;100 MBit/s;no_information;"B&ouml;hmische Stra&szlig;e";n;https://padlock.link/ioml;https://padlock.link/ml;Böhmische_Straße;ground_floor;12055;2;109.4;n;12020;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;n;0;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;002.01007851690;295000;profile0;5;2;true;n;showqualicontactform;n;n;Neukölln_Neukölln;BOE42-01;3;Berlin;/expose/118342676;['Der gepflegte Altbau (Baujahr 1900) befindet sich in einem der charmantesten Kieze von Neukölln. \nEin großer Anteil der Wohnungen wurde bei diversen Sanierungsarbeiten im Jahr 2010 bereits strangsaniert und die Dachgeschosswohnungen wurden in den 1990er Jahren ausgebaut.', 'WE 01:\n\n● EG Vorderhaus\n● bezugsfrei\n● Terrasse im Innenhof\n● Laminatfussboden\n● hohe Decken\n● Altbaudetails vorhanden', 'Als Oase der Ruhe im sonst so aufgeregten Neukölln hat sich der Richardkiez in den vergangenen Jahren zu einer beliebten Wohngegend entwickelt.\nVerkehrsberuhigte Straßen und Plätze, viele Cafés, Bars und Restaurants und Geschäfte des täglichen Bedarfs - alles ist nur einen kurzen Spaziergang entfernt. Der Kiez lädt dazu ein entdeckt zu werden. \n\nÖPNV\n\n5 Minuten Fußweg - M41/171 Hertzbergplatz\n7 Minuten Fußweg - S41/S42 S Sonnenallee\n10 Minuten Fußweg - U7 Karl-Marx-Straße', 'Wenden Sie sich an unser mehrsprachiges Team für weitere wichtige Informationen und das Exposé.\n\nDer Vertriebspartner ist YS real estate GmbH.'];;disabled;2019;;;;;;;;
2020-05-30 19:29:34.422229;Berlin;floor_heating;;14544073;n;y;https://pictures.immobilienscout24.de/listings/4e2fe6e7-1c2f-4757-9018-8ff8f0d3b592-1369120825.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;7;11.3;;;;1900;;11.3;118346223;district_heating;y;false;;y;Berlin;y;10;1;;no_information;energy_required;5.73;120.75;Berlin;14059;refurbished;sophisticated;false;;no_information;no_information;y;;;no_information;roof_storey;14059;3;85.5;n;;2,active;;Deutschland;standard;;wohnung_kauf;n;5;;;002.01000690340;784900;profile0;5;3;true;n;showqualicontactform;y;n;Charlottenburg_Charlottenburg;255;5;Berlin;/expose/118346223;['Das Wohnhaus befindet sich nahe der Schlosspark-Klinik und dem Charlottenburger Schloss.\n\nEs handelt sich hierbei um eine Dachgeschoss-Maisonette-Wohnung die sich vom 4. Obergeschoss ins Dachgeschoss ( Galerie ) erstreckt.\n\nDiverse Einkaufsmöglichkeiten sind in der Umgebung vorhanden.', '- Parkett\n- offene Küche mit Einbauküche\n- 1 Wannenbad mit Fenster\n- 1 Wannenbad\n- Ankleide\n- Hauswirtschaftsraum\n- Terrasse\n- Kellerraum', '- der S-Bahnhof Westend ist in ca. 5 Minuten erreichbar'];;;;;;;;;;;
2020-05-30 19:29:34.941958;Berlin;no_information;;174522;n;y;https://pictures.immobilienscout24.de/listings/069314af-a3b3-4975-bc28-341e7421194d-1369124568.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;11;10.37;;;;1995;;10.37;118347768;natural_gas_light;n;true;;y;Berlin;n;9;5;;no_information;energy_consumption;4.8;89;Berlin;12207;no_information;no_information;false;;no_information;no_information;n;;;no_information;apartment;12207;4;118;n;;2,active;;Deutschland;top;;wohnung_kauf;n;;;false;001.174522;580000;profile0;;4;true;n;showqualicontactform;n;n;Lichterfelde_Steglitz;118347768;4;Berlin;/expose/118347768;['Die sonnige 4-Zimmerwohnung im Erdgeschoss und der helle, ca. 26 m2 große Raum im Untergeschoss bilden eine sehr attraktive Immobilie. Neben der vorteilhaften Raumarchitektur für familienfreundliches Wohnen und einer wohnlichen Nutzfläche für Hobbys, erfreut das äußerst gepflegte Ambiente in klarem Gestaltungsdesign. Alle Erdgeschosszimmer sind mit charaktervollen Parkettböden ausgestattet. Großzügig ist der Wohn-, Koch- und Ess-bereich mit zeitgemäßer Einbauküche, Zugang zur überdachten Sonnenterrasse und Treppe in den Untergeschossraum. Klug in den Grundriss integriert ist das dem Wohn-, Koch- und Essbereich gegenüber liegende Gäste-WC. Drei geräumige Zimmer und das taghelle Badezimmer mit Wanne sowie eine große Diele und Kammer perfektionieren dieses lichtdurchflutete Erdgeschoss. Neben dem Hauseingang gibt es eine Schräge für Kinderwagen und Rollstuhl. Der untere, mit einem Südfenster, Heizkörper und einer Tür zum Untergeschoss ausgestattete Mehrzweckraum kann z.B. als Gäste-, Fitness- oder Kreativbereich genutzt werden. Zusätzlich ist dieser Wohnung ein verschließbarer Abstellraum zugeordnet. Der Hausgemeinschaft steht ein Waschraum, mit jeweils eigenem Strom- und Wasseranschluss zur Verfügung. Ferner sind Plätze für einen Wäscheständer und Fahrräder vorhanden. Die Wärmeversorgung obliegt einer Gaszentralheizung. Installiert ist zudem eine doppelte Wasserfilteranlage, die vor Viren, Bakterien und anderen Schadstoffen schützt. Außerdem gehören zum Kaufumfang ein kleines Gartenhäuschen und ein Pkw-Stellplatz. \nIn angenehmer Lage eignet sich diese Wohnung für diverse Ansprüche. Neben den Raumqualitäten für eine vierköpfige Familie überzeugt das Raumpotential auch für Freizeitaktivitäten – eine ansprechende Immobilie mit tollen Aussichten und Wohnoptionen.', 'Sie möchten den Marktwert Ihrer Immobilie wissen oder Ihre Immobilie verkaufen? Wir sind seit 1995 erfolgreich im Verkauf von Immobilien in Berlin, Potsdam und Umgebung tätig. Unsere exzellenten Eigentümerbewertungen sprechen für sich.\n\n•\tOftmals haben wir schon den richtigen Käufer für Ihre Immobilie in unserer Kartei\n•\tWir sind Bellevue Best Property Agent und Mitglied in den Verbänden IVD & FIABCI\n•\tWir benötigen keinen schriftlichen Alleinauftrag\n•\tKosten entstehen Ihnen bei uns keine\n•\tUnsere Spezialisten stehen Ihnen gerne für ein erstes – für Sie unverbindliches - Gespräch zur Verfügung\n\nWir freuen uns über Ihre Kontaktaufnahme unter einkauf@immoberlin.de oder (030) 895 72 20.\nBitte besuchen Sie auch unsere Website: \nhttps://www.immoberlin.de'];;disabled;;D;;;;;;;
2020-05-30 19:29:35.307037;Berlin;floor_heating;ONE_YEAR_FREE;18332233;n;n;https://pictures.immobilienscout24.de/listings/8d6027ab-fcdd-49a7-978f-da6813114c5c-1369121215.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;1;12.78;40 MBit/s;telekom_layer_magenta_l;über VDSL;2003;REGULAR;12.78;118346675;no_information;y;false;MagentaZuhause L;y;Berlin;n;11;6;;no_information;;7.25;250;Berlin;10785;no_information;no_information;false;100 MBit/s;underground_garage;no_information;y;https://padlock.link/ioml;https://padlock.link/ml;no_information;apartment;10785;4;;n;;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;n;2;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;002.01009150487;2900000;profile0;;4;true;n;;y;n;Tiergarten_Tiergarten;118346675;7;Berlin;/expose/118346675;['Sie wohnen in einer der exklusivsten Lagen in unmittelbarer Nähe zum Potsdamer Platz! Diese einzigartige Wohnung verfügt über eine luxuriöse Vollausstattung mit Einbauküche, Personenaufzug, barrierefreies höchstrepräsentatives Foyer, kontrollierter Zugang, Videoüberwachung, Alarmsystem, Dreifachisolierverglasung, elektrisch betriebene Jalousien, massive Parkettfußböden in Eiche, Fußbodenheizung, hochwertige Einbauschränke, Ankleiden, aufwendige Natursteinausstattung der Bäder, Video-Gegensprechanlage und gesicherte Tiefgarage. Die Wohnung wird auf Wunsch mit der vollständigen Einrichtung übergeben.', 'Eine der besten Lagen in Berlin Mitte, unweit von Museen und Sehenswürdigkeiten, erfreut sich das Quartier großer Beliebtheit durch seine Nähe zum Potsdamer Platz und dem Kurfürstendamm.', 'Unter dem gegebenen Anlass möchten wir Sie darüber informieren, das Besichtigungen der Immobilien weiterhin möglich sind. Da uns die Gesundheit unserer Verkäufer und Kaufinteressenten sehr am Herzen liegt, wird bei der Besichtigung der angebotenen Immobilie, der Eigentümer nicht anwesend sein, sondern ausschließlich der Immobilien-Experte und maximal 2 weitere Personen, immer unter Einhaltung des Mindestabstandes.\n\nSie möchten den Wert Ihrer Immobilie oder Ihres Grundstücks wissen?\nSie möchten den Verkaufshorizont selbst bestimmen?\nSie möchten unkompliziert und stressfrei verkaufen? \n\nIhre Objektunterlagen sind nicht vollständig? Sie sollten bei der Vermarktung Ihrer Immobilie weder auf Glück noch auf Hoffnung setzen! \n\nBerlin First! Wir wissen wie es geht! Ihr starker und kompetenter Partner an Ihrer Seite.\n\n- Kostenfreie Wertermittlung mit Preisstrategie-Analyse\n- Diskreter Immobilienverkauf mit unserem Secret-Service \n- Kostenlose Prüfung Ihrer Immobilienunterlagen\n- Beschaffung fehlender Dokumente, die für den Immobilienverkauf von hoher Bedeutung sind \n- Sie müssen sich um nichts kümmern!\n\nInformieren Sie sich auf unserer Webseite unter http://www.berlin-first.de oder nehmen Sie telefonisch unter 030-54-86-06-90 Kontakt zu unserer Bewertungs-Hotline auf.'];2;;;;;;;;;;
2020-05-30 19:29:35.688131;Berlin;central_heating;ONE_YEAR_FREE;15614422;n;n;https://pictures.immobilienscout24.de/listings/aad2316f-1bc3-49d8-9ad9-c01dd1124676-1369343091.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;15;11.3;2,4 MBit/s;telekom_layer_magenta_m_hybrid2;über Hybrid;1907;WITH_HYBRID;11.3;118341865;district_heating;y;false;MagentaZuhause M Hybrid (2);y;Berlin;n;9;1;812;no_information;energy_consumption;5.73;243;Berlin;14057;need_of_renovation;normal;false;16 MBit/s;no_information;no_information;y;https://padlock.link/mmh2sa;https://padlock.link/mmhy2;no_information;loft;14057;7;103.4;n;1000;2,active;true;Deutschland;top;50 MBit/s;wohnung_kauf;n;5;web,email,bank,music,dl-ul,game,sd,mltstr,hd;true;002.01002847056;729900;profile0;5;5;true;n;showqualicontactform;n;n;Charlottenburg_Charlottenburg;5982;7;Berlin;/expose/118341865;['++Folgende Möglichkeiten der Besichtigung gibt es und sind zulässig: +++\n\n- Einzelbesichtigungen \n- 2 Personen aus dem gleichen Haustand (z.B. Ehepaare und Lebenspartner)\n\n**Natürlich bieten wir auch Live- (Face Time oder WhatsApp) oder Videobesichtigungen an **\n\nEs ist ein kleiner Traum vom Wohnen !\n\nDiese tolle Dachgeschoss Galerie Wohnung entstand 1991 im Zuge der Sanierung eines schönen Altbau - Eckgebäudes.\nDer Lebensraum erstreckt sich auf 267 qm Nutzfläche verteilt auf 2 Wohnebenen, 70 % der Wohnfläche befinden sich in der unteren Geschossebene.\n', '+ Loftwohnung über 2 Etagen\n+ Dachgeschoss\n+ Fahrstuhl (1 Treppe bis zur Wohnung)\n+ 7 Zimmer\n+ 243 qm Wohnfläche\n+ 268 qm Nutzfläche\n+ Wohn- und Gewerbenutzung möglich (aktuell gewerbliche Nutzung)\n+ 2 Bäder (1 Wannenbad und 1 Duschbad)\n+ riesiger und heller Wohnbereich mit Gallerie\n+ Fertigparkett (verschlissen und müsste ausgetauscht werden)\n+ Einbauküche \n\n', 'Der Bezirk Charlottenburg ist beliebt bei Jung und Alt - eine gute Infrastruktur und verkehrsgünstige Anbindungen an die City mit der Shopping-Meile Kurfürstendamm garantieren gediegenes Wohnen auf hohem Niveau.\n\nSchulen, Kindergärten, Geschäfte des alltäglichen Bedarfs sowie Cafés befinden sich in unmittelbarer Nachbarschaft. \n\nAuch kulturell hat der Bezirk einiges zu bieten: das Renaissance-Theater und die Schaubühne  sowie das Schiller-Theater sind nicht weit entfernt. Als Pendant dazu befindet sich unweit der wissenschaftliche Schwerpunkt mit der Technischen Universität Berlin.'];;;;;10 MBit/s;267;50 MBit/s;;;;
2020-05-30 19:29:36.033159;Berlin;floor_heating;ONE_YEAR_FREE;8874474;n;y;https://pictures.immobilienscout24.de/listings/4d3e2c13-f863-4901-9783-ba25a1d5a29e-1369906333.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;35;10.77;40 MBit/s;telekom_layer_magenta_l;über VDSL;1997;REGULAR;10.77;118343844;district_heating;y;false;MagentaZuhause L;y;Berlin;y;10;5;550;no_information;energy_consumption;5.67;166.4;Berlin;10115;well_kept;no_information;false;100 MBit/s;no_information;no_information;y;https://padlock.link/ioml;https://padlock.link/ml;no_information;apartment;10115;4;138.9;n;;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;n;3;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.8874474;990000;profile0;;4;true;n;;n;n;Mitte_Mitte;CH-HA-09-33;7;Berlin;/expose/118343844;"['Das in 1997 unter dem Namen ""Wohnen am Torhaus"" erbaute Ensemble besticht durch seine architektonische Gestaltung und Großzügigkeit. Die hier angebotene sonnendurchflutete und ruhige Wohnung mit riesigen Fensterfronten, die einen direkten Blick auf den Berliner Fernsehturm eröffnen, ist im 3.OG gelegen und erstreckt sich mit ihren 4 Zimmern auf über 165 m². Sie verfügt über 2 Bäder sowie einen zusätzlichen Hauswirtschaftsraum. Ein großer Balkon ist von drei Zimmern aus direkt erreichbar !\nErbaut wurde das Objekt auf den Grundmauern der ehemaligen Berliner Akzisemauer, welche noch gut im Treppenhaus sichtbar ist.', 'Bei der Ausstattung wurden hochwertige Materialien verarbeitet, sämtliche Wände sind glatt gespachtelt. Eine Einbauküche ist im Kaufpreis enthalten. Die gesamte Wohnung wird mit einer Fußbodenheizung beheizt und verfügt über einen Aufzug direkt auf der Etage. Ein Parkplatz in der Tiefgarage kann bei Bedarf im Objekt angemietet werden.\nDie Wohnung ist derzeit noch von den Eigentümern bewohnt und wird frei nach Vereinbarung.', 'Gelegen im Dreieck zwischen Hauptbahnhof, Naturkundemuseum und Oranienburger Tor ist man verkehrstechnisch perfekt angebunden. Einkaufsmöglichkeiten für den täglichen Bedarf sind optimal fußläufig zu erreichen.']";;disabled;;;;;;;;;
