timestamp;obj_regio1;obj_heatingType;obj_telekomTvOffer;obj_cId;obj_newlyConst;obj_balcony;obj_picture;obj_picturecount;obj_pricetrend;obj_telekomUploadSpeed;obj_telekomTrackingGroup;obj_telekomInternetTechnology;obj_yearConstructed;obj_telekomInternetType;obj_galleryAd;obj_pricetrendbuy;obj_scoutId;obj_firingTypes;obj_hasKitchen;obj_ExclusiveExpose;obj_telekomInternetProductName;obj_courtage;geo_bln;obj_cellar;obj_purchasePriceRange;obj_yearConstructedRange;obj_rentSubsidy;obj_houseNumber;obj_energyType;obj_pricetrendrent;obj_livingSpace;geo_krs;obj_zipCode;obj_condition;obj_interiorQual;ga_cd_cxp_historicallisting;obj_telekomDownloadSpeed;obj_parkingSpace;obj_street;obj_lift;obj_telekomInternetUrlMobile;obj_telekomInternetUrl;obj_streetPlain;obj_typeOfFlat;geo_plz;obj_noRooms;obj_thermalChar;obj_assistedLiving;obj_ityp;obj_telekomHdTelephone;geo_land;ga_cd_via;obj_telekomInternet;obj_immotype;obj_rented;obj_floor;obj_telekomInternetServices;obj_telekomInternetProductAvailable;obj_cwId;obj_purchasePrice;ga_cd_application_requirements;obj_numberOfFloors;obj_noRoomsRange;ga_cd_maillead_default_shown;obj_garden;evt_count_pm_sig;obj_barrierFree;obj_international;obj_regio3;obj_objectnumber;obj_livingSpaceRange;obj_regio2;URL;beschreibung;obj_energyEfficiencyClass;obj_usableArea;obj_lastRefurbish;obj_noParkSpaces;obj_groupnumber;ga_cd_via_qualified
2020-05-30 19:52:22.813270;Berlin;central_heating;ONE_YEAR_FREE;15832933;n;n;https://pictures.immobilienscout24.de/listings/82d7ba4e-3e93-4e84-8eb5-3207121afe1c-1343982077.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;5;11.48;10 MBit/s;telekom_layer_magenta_m;über VDSL;1930;REGULAR;disabled;11.48;115188689;gas;n;false;MagentaZuhause M;y;Berlin;n;6;1;192.53;112;energy_required;7.14;57.92;Berlin;10245;well_kept;no_information;false;50 MBit/s;no_information;"Boxhagener Stra&szlig;e";n;https://padlock.link/iomm;https://padlock.link/mm;Boxhagener_Straße;apartment;10245;2;103;n;2,active;true;Deutschland;standard;50 MBit/s;wohnung_kauf;y;3;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.15612808;285888;profile0;5;2;true;n;showqualicontactform;n;n;Friedrichshain_Friedrichshain;939_3;2;Berlin;/expose/115188689;['In der Boxhagener Straße 112 stehen derzeit zwei bezugsfreie Wohneinheiten und vier vermietete Wohneinheiten zur Disposition. Die Aufteilung des Gebäudes in Wohneigentum fand im Jahre 2005 statt. Diese Wohnung wurde in 2015 seitens des Verkäufers umfassend saniert und ist seit 2014 vermietet. Die Küche sowie das Wohn- und Schlafzimmer sind südwestlich ausgerichet und sind somit angenehm hell. Das in 2018 umfassend energetisch sanierte Gebäude ist mit trockenen Kellern ausgestattet. Die Größe und der praktische Schnitt aller drei Woh- nungen wird der hohen Nachfrage von Singles, Paaren und Studenten, die in dieser Nachbarschaft ein neues Zuhause suchen, gerecht.\n\nOn Boxhagener Straße 112 there are currently two vacant, one that will be vacant soon and four rented residential units available. The division of the building into residential property took place in 2005. This apartment was extensively renovated by the seller in 2015 and is rented out since 2014. The kitchen as well as the living room and bedroom are oriented to the south-west and are therefore pleasantly bright. The building, which was extensively renovated in 2018, is equipped with dry cellars. The size and practical layout of all three apartments meet the high demand from singles, couples and students looking for a new home in this neighborhood.', 'Erker, Südwestausrichtung, saniert, hell, Wannenbad\nbay windows, south-west exposure, refurbished, bathtub', '[DE]Hier, mitten im Herzen Berlins, findet man ganz leicht die richtige Balance zwischen Urbanität und Entspannung im Grünen, zwischen Großstadttreiben und Kiezflair. Der legendäre „Boxi“ mit seiner zentralen Liegewiese gilt als Wahrzeichen und Lieblingstreffpunkt der Friedrichshainer. Die Boxhagener Straße gehört zu den belebten Achsen des Kiezes rund um den Boxhagener Platz. Die unmittelbare Nachbarschaft ist geprägt von interessanten kleinen Geschäften und allerhand gastronomischer Vielfalt. Supermärkte, alternative Lebensmittelangebote und moderne Läden sind in der Umgebung zahlreich vertreten. Hier präsentieren kleine Berliner Labels ausgefallene Kollektionen für ein urbanes Publikum. Am Sonntag kann man nach Herzenslust auf dem Flohmarkt am „Boxi“ stöbern. Die vielen nahegelegenen Kitas und Schulen machen diese Gegend auch für Familien einladend und sehr attraktiv. Der Volkspark Friedrichshain liegt in unmittelbarer Umgebung und lädt ganzjährig zu Sport und Freizeit ein.\nDie Verkehrsanbindungen sind hervorragend. In fußläufiger Nähe fahren diverse Tramlinien und Busse. Die U-Bahn Frankfurter Tor sowie der S- und U-Bahnhof Warschauer Straße sind innerhalb weniger Minuten fußläufig zu erreichen.\n[EN]Right at the heart of Berlin, you can easily find the right balance between urbanity and relaxation amidst greenery, between big-city bustle and neighborhood charm: the legendary „Boxi“ with its central lawn is the landmark and favorite spot of the Friedrichshainer. The immediate neighborhood is characterized by interesting small shops and all sorts of gastronomic diversity. Supermarkets, alternative food and modern shops are numerous in the area. Small Berlin labels present unusual collections for an urban audience. On Sunday you can browse to your heart‘s content at the flea market on „Boxi“. The many kindergartens and schools nearby also make this area inviting and attractive to families.', 'Dieses Kaufangebot ist provisionspflichtig. Dem Erwerber wird bei Abschluss eines Kaufvertrages eine Provision in Höhe von 7,14 % des beurkundeten Kaufpreises inkl. der gesetzlichen MwSt. berechnet. Abweichungen sind nur in Form einer gesonderten, schriftlichen Vereinbarung gültig. Die Neo Res Immobilien GmbH ist Rechnungssteller und Empfänger der Provision. Irrtum und Zwischenverkauf sind vorbehalten. Alle Informationen und Unterlagen sind uns von Seiten des Verkäufers übermittelt und werden ohne Haftung für Vollständigkeit oder Fehlinformationen von uns weitergeleitet. Hinsichtlich weiterer Dienstleistungen in Zusammenhang mit dem Erwerb, wie beispielsweise Finanzierungen oder entsprechende Versicherungen unterstützen wir Sie gerne. Es ist uns leider nicht gestattet, Sie zu steuerrelevanten Aspekten zu beraten. Hierzu wenden Sie sich bitte an Ihren Steuerberater, beziehungsweise werden wir auch in diesem Zusammenhang gerne vermittelnd tätig. Es gelten unsere nachstehenden AGB.'];;;;;;
2020-05-30 19:52:23.270361;Berlin;self_contained_central_heating;ONE_YEAR_FREE;22352;n;y;https://pictures.immobilienscout24.de/listings/f4eb4480-9e00-491c-a889-fa8f10ef219c-1344293402.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;8;10.37;40 MBit/s;telekom_layer_magenta_l;über VDSL;1910;REGULAR;disabled;10.37;115211043;natural_gas_heavy;n;false;MagentaZuhause L;n;Berlin;y;10;1;385;5;energy_required;4.8;157.82;Berlin;12203;no_information;no_information;false;100 MBit/s;no_information;"Undinestra&szlig;e";n;https://padlock.link/ioml;https://padlock.link/ml;Undinestraße;apartment;12203;5;114.8;n;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;n;3;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.22352;950000;profile0;5;5;true;n;;n;n;Lichterfelde_Steglitz;2447-12;7;Berlin;/expose/115211043;['Der heute sechsgeschossige, bezaubernde Gründerzeitaltbau wurde als reines Vorderhaus auf einem ca.698 m2 großen Grundstück errichtet und vor einigen Jahren komplett saniert. Im Zuge dieser aufwendigen Modernisierung wurde das Dachgeschoß zu 2 weiteren Wohnungen ausgebaut, so dass das Haus heute 15 Einheiten hat.', 'Die Wohnungen haben alle einen Balkon bzw. Loggia, modernisierte Bäder sowie die typischen, charmanten Altbaustilelemente wie Parkettböden, Stuck, originalen Holztüren. Ein Aufzug ist nicht vorhanden. Die Wohnungen werden über Gasetagenheizungen beheizt.', 'Der sehr schöne Altbau liegt in einer sehr charmanten und gutbürgerlichen Wohnadresse von Berlin-Lichterfelde-West, im sog. „Komponistenviertel“, in einer kleinen und ruhigen Anwohnerstraße, nahe dem schönen Botanischen Garten. Diese zentrale und beliebte Lage zeichnet sich nicht nur durch die perfekten Einkaufsmöglichkeiten wegen der unmittelbaren Nähe zu Berlins größter „Einkaufsmeile“, der Schloßstraße, aus sondern auch wegen dem charmanten Wohnflair, den nahegelegenen Parks, dem tollen Altbaubestand sowie der nahen Schulen bzw. Kindergärten. Zudem bietet die sehr zentrale Lage eine ideale Verkehrsanbindung an die Öffentlichen Verkehrsmittel, wie U- und S-Bahn sowie mit dem PKW, an die Stadtautobahn.'];D;;;;;
2020-05-30 19:52:23.620561;Berlin;no_information;ONE_YEAR_FREE;43448;n;y;https://pictures.immobilienscout24.de/listings/5a942b5b-6d61-4f05-8457-d6f24c470848-1344203640.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;7;10.99;40 MBit/s;telekom_layer_magenta_l;über VDSL;1964;REGULAR;;10.99;115201373;oil;n;false;MagentaZuhause L;y;Berlin;n;3;2;207.61;12;energy_consumption;5.59;65;Berlin;13589;well_kept;normal;false;100 MBit/s;no_information;"Wasserwerkstra&szlig;e";n;https://padlock.link/ioml;https://padlock.link/ml;Wasserwerkstraße;no_information;13589;2;159;n;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;y;5;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.43448;149000;profile0;;2;true;n;showqualicontactform;n;n;Spandau_Spandau;115201373;3;Berlin;/expose/115201373;['Solide Eigentumswohnung im grünen Spandau!', 'Zwischen Städtischer Friedhof in den Kisseln und Spektewiesen\n\nGute Verkehrsanbindung S,-und U-Bhf. Rathaus Spandau und B2/B5 in wenigen Minuten mit dem Auto erreichbar.\n\nIn einem grüneren Teil der Stadt das Leben genießen. \nEinkaufsmöglichkeiten, Restaurants fußläufig zu erreichen.', 'Anschauen lohnt sich!\nLassen Sie sich von uns beraten! Grundrisse und weiter Informationen erhalten Sie von uns auf Anfrage.\n\nUnsere telefonische Erreichbarkeit:\nmontags bis mittwochs 9:30 bis 19:00 Uhr.\ndonnerstags 9.30 bis 18:00 Uhr\nfreitags und samstags 10:00 bis 17:00 Uhr\n\nReservieren Sie am besten heute noch einen persönlichen Besichtigungstermin!'];;;;;;
2020-05-30 19:52:23.956153;Berlin;;ONE_YEAR_FREE;22352;n;n;https://pictures.immobilienscout24.de/listings/7cd54513-d828-4371-88dd-6a81d954a006-1344293391.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;5;11.73;40 MBit/s;telekom_layer_magenta_l;über VDSL;1954;REGULAR;disabled;11.73;115211042;oil;n;false;MagentaZuhause L;n;Berlin;n;4;2;160.65;113g;energy_consumption;5.75;45.37;Berlin;12169;no_information;no_information;false;100 MBit/s;no_information;Steglitzer Damm;n;https://padlock.link/ioml;https://padlock.link/ml;Steglitzer_Damm;ground_floor;12169;2;172.7;n;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;y;0;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.22352;151000;profile0;3;2;true;n;;n;n;Steglitz_Steglitz;2133-47;2;Berlin;/expose/115211042;['Die Wohnanlage am Steglitzer Damm zählt wegen der hervorragenden Infrastruktur und der guten Verkehrsanbindung traditionell zu den guten Wohnlagen Berlins. Zu jeder Wohnung gehört ein Kellerraum.', 'Diese gut geschnittene Erdgeschoß-Wohnung ist vermietet und bietet mit ihren 2 Zimmern, Küche und Tageslichtbad mit Badewanne ausreichend Platz und einen schönen Blick ins Grüne. Der dazugehörige Kellerraum und die Abstellkammer in der Wohnung bieten zusätzliche Abstellmöglichkeiten.', 'Das Objekt liegt im schönen Berlin-Steglitz mit guter ÖPNV- sowie Verkehrsanbindung. Die S-Bahnhöfe Attilastraße und Südende können Sie fußläufig erreichen und der Bus 282 fährt in unmittelbarer Nähe. Mit diesem Bus erreichen Sie innerhalb von ca. 13 Minuten die Schlossstraße, die Einkaufsstraße in Steglitz, hier werden im Bereich Shopping und Freizeit viele Wünsche erfüllt.\nFür den kleineren Einkauf können auch die Supermärkte in der näheren Objektumgebung genutzt werden.\nViele Freizeitmöglichkeiten befinden sich in der Umgebung. Entspannen kann man zum Beispiel im Freibad am Insulaner und im nicht weit entfernten Botanischen Garten.\nVerschiedene Schulen und Kindergärten sind fußläufig erreichbar und die FU Berlin ist nicht weit entfernt. In weniger als 10 Autominuten ist zudem das renommierte Universitätsklinikum Benjamin-Franklin zu erreichen.'];;;;;;
2020-05-30 19:52:24.319762;Berlin;central_heating;ONE_YEAR_FREE;2808866;n;n;https://pictures.immobilienscout24.de/listings/ede0eaf4-22cd-471a-9a02-bfb90d3b786e-1343690809.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;6;11.14;40 MBit/s;telekom_layer_magenta_l;über VDSL;1910;REGULAR;;11.14;115168470;;y;false;MagentaZuhause L;y;Berlin;y;4;1;131.59;39;energy_consumption;6.17;42.34;Berlin;10409;well_kept;normal;false;100 MBit/s;no_information;Naugader Str.;n;https://padlock.link/ioml;https://padlock.link/ml;Naugader_Str.;raised_ground_floor;10409;1;123;n;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;y;0;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.2808866;157000;profile0;5;1;true;n;showqualicontactform;n;n;Prenzlauer_Berg_Prenzlauer_Berg;115168470;2;Berlin;/expose/115168470;['Bei dem Objekt handelt es sich um eine vermietete  \n1-Zimmerwohnung in einem sanierten Mehrfamilienhaus aus dem Jahr 1990.\nDie Wohnung befindet sich im Quergebäude des Objektes und liegt im Norden des beliebten Bezirks Prenzlauer Berg. Die Heizung des Gebäudes sowie das Warmwasser wird mit einer Zentralheizung versorgt. Die Wohnung hat einen vorteilhaften Grundriss und Zusätzlich ist das Badezimmer der Wohnung mit einem Wannenbad ausgestattet. In den Apartments wurden überwiegend Gegensprechanlagen installiert. Der Wohnung ist weiterhin ein separates Kellerabteil zugeordnet.', 'Die Wohnung hat folgende Markmalen:\neine geräumige wohn.-Schlafzimmer.\neine offene Küche mit Einbauküche.\nein Flur\nein großes Wannenbad\nEin Mieterkeller\nDer Fußboden in dem Wohnzimmer und in dem Flur ist mit Laminat ausgestattet.  \nFernsehen ist über einen Kabelanschluss möglich.', 'Die Wohnung liegt zentral, in Berlin-Prenzlauer Berg, \nEs besteht eine sehr gute Verkehrsanbindung. \nDer S-Bahnhof Greifswalder Str. ist ca. 400 m entfernt von der Wohnung. \nEine sehr gute Einkaufsmöglichkeiten sind gegeben. Naherholungsgebiete liegen ebenfalls zahlreich vor.\nDer Ortsteil Prenzlauer Berg ist Teil des Bezirks Pankow im Nordosten Berlins und grenzt im Westen und Südwesten an den Bezirk Mitte, im Süden an den Bezirk Friedrichshain-Kreuzberg, im Osten an den Bezirk Lichtenberg und im Norden an die Ortsteile Weißensee und Pankow.', 'Besichtigungen sind ab sofort nach Terminabsprache mit dem jetzigen Mieter möglich.\n \nBitte kontaktieren Sie uns. \nWir freuen uns auf Ihre E-Mail oder Ihren Anruf.\nFür Rückfragen zu der Wohnung stehen wir Ihnen gern zur Verfügung.\nWir können leider keine weitere Fotos veröffentlichen, weil die Wohnung vermietet ist. \nAlle genannten Angaben zum Objekt beruhen auf den Angaben des Eigentümers. \nFür die Richtigkeit der Angaben übernehmen wir keine Haftung.\nSollte aufgrund unserer Nachweis- bzw. Vermittlungstätigkeit ein notarieller Kaufvertrag zustande kommen, so erheben wir eine Provision in Höhe von netto 3% zzgl. der gesetzlichen MwSt. in Höhe von 19%. \n\nFür weitere Anfragen und Informationen sowie Besichtigungen stehen wir Ihnen gern zur Verfügung.'];;5;;;;
2020-05-30 19:52:24.711237;Berlin;gas_heating;ONE_YEAR_FREE;2999742;n;n;https://pictures.immobilienscout24.de/listings/3f8af204-3b0a-4b92-a360-5a1be5ea24da-1344256545.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;34;12.24;40 MBit/s;telekom_layer_magenta_l;über VDSL;1912;REGULAR;;12.24;115208347;;y;false;MagentaZuhause L;y;Berlin;y;9;1;280;no_information;;6.53;100;Berlin;10781;refurbished;sophisticated;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;apartment;10781;4;;n;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;n;2;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.2999742;700000;profile0;5;4;true;y;;n;n;Schöneberg_Schöneberg;115208347;4;Berlin;/expose/115208347;['Sehr geschmackvoll renovierte und sanierte Etagenwohnung im absolut ruhigen Gartenhaus im alten Westberliner Szenekiez Goltzstraße. Hier hat schon David Bowie seine Zeit in Berlin verbracht. Viele nette Cafés, interessante kleine Läden und zweimal die Woche der berühmteste und schönste Markt Berlins am Winterfeldplatz bieten eine Atmosphäre wie man so nirgendwo in Berlin findet.\nDie Gegend mit dem speziellen echten Berliner Lebensgefühl.', 'Großzügige Räume mit den typisch herrschaftlich hohen Decken, Eichenparkett und neu abgezogene Altbautüren mit den originalen Messingbeschlägen bieten dieses einmalige Flair der gepflegten Berliner Altbauwohnung. Dazu gibt es ein modernes sehr interessant gestaltetes Bad und eine schicke moderne Einbauküche und viele kleine interessante Details. Hier kann man sich einfach nur wohl fühlen und mit Freunden oder Familie nette gemeinsame Abende verbringen und im Sommer den Hofgarten genießen.', 'Toplage in der Innenstadt, im Szenekiez Winterfeldplatz/ Goltzstraße nur wenige Minuten vom KaDeWe und Kurfürstendamm.'];;5;2017;;;
2020-05-30 19:52:25.059430;Berlin;gas_heating;ONE_YEAR_FREE;17336565;n;y;https://pictures.immobilienscout24.de/listings/407f868c-f710-47bc-82d5-32f8efa88090-1343996800.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;9;10.14;40 MBit/s;telekom_layer_magenta_l;über VDSL;2018;REGULAR;;10.14;115189961;heat_supply;y;false;MagentaZuhause L;y;Berlin;y;11;9;874.23;no_information;;5.19;223.38;Berlin;14195;mint_condition;luxury;false;100 MBit/s;underground_garage;no_information;y;https://padlock.link/ioml;https://padlock.link/ml;no_information;no_information;14195;6;;n;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;n;;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;002.01008088872;1795500;profile0;2;5;true;y;showqualicontactform;y;n;Schmargendorf_Wilmersdorf;1043/Eh2;7;Berlin;/expose/115189961;['Die angebotene Wohnung befindet sich im Erdgeschoss einer luxuriösen Stadtvilla aus dem Jahr 2018. Es handelt sich um eine 6-Zimmer-Wohnung mit ca. 379 m² Garten als Sondernutzung sowie Wohnnutzfläche im Untergeschoss. Die Wohnung verfügt im Erdgeschoss über ein Wohn- und Esszimmer mit offener Küche und Zugang zu einer ca. 36 m² großen Terrasse und zum Garten in Südausrichtung, zwei Schlafzimmer, ein Badezimmer sowie einen Hauswirtschaftsraum. Im Untergeschoss befinden sich drei Zimmer und zwei Bäder.', '- ca. 379 m² Garten sowie Terrasse in Süd-Ausrichtung\n- ca. 118,99 m² Wohnfläche im Erdgeschoss\n- ca. 104,39 m² Wohnnutzfläche im Untergeschoss\n- Eichenparkett\n- hochwertige Einbauküche\n- hochwertige Fliesen- oder Natursteinböden in den Bädern\n- Sanitärkeramik und Armaturen von namhaften Herstellern\n- Tiefgarage mit XL-Stellplätzen\n- Aufzug\n- Fußbodenheizung (kann zur Kühlfläche umgeschaltet werden)\n- Energiequelle Luft/Wasser-Wärmepumpe unterstützt durch Solarthermie\n- Bus-System\n- hoher Sicherheitsstandard, zentralgesteuerte Alarmanlage\n- großer Gemeinschaftsgarten mit Kinderspielplatz\n- 847,23 EUR Wohngeld inkl. 110,66 EUR Instandhaltungsrücklage', 'Grunewald gehört zu den exklusivsten Villenlagen Berlins. Die waldreiche Umgebung mit zahlreichen kleinen Seen bietet Ruhe und Entspannung. Der nur wenige Gehminuten entfernte Grunewald mit seinen Spazierwegen und die idyllische Lage in der Nähe des Grunewaldsees tragen zu der Exklusivität des Domizils bei. Viele hervorragende Schulen, Kultureinrichtungen und alle Geschäfte und Dienstleistungen des alltäglichen Bedarfs sowie der Kurfürstendamm mit seinen luxuriösen Geschäften, zahlreichen Cafés und Restaurants befinden sich in direkter Umgebung.', 'Die Informationen zu unseren Immobilienangeboten erhalten wir vom Eigentümer oder den jeweils im Angebot angegebenen Stellen. Diese Angaben geben wir ohne Übernahme einer Haftung für deren Richtigkeit an Sie weiter. '];;104.39;;2;;
2020-05-30 19:52:25.419807;Berlin;central_heating;ONE_YEAR_FREE;16668234;n;y;https://pictures.immobilienscout24.de/listings/7824cbdb-0bee-4863-b504-de706c91f304-1344202576.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;2;9.64;40 MBit/s;telekom_layer_magenta_l;über VDSL;1965;REGULAR;;9.64;115204161;;n;false;MagentaZuhause L;y;Berlin;y;5;2;247;no_information;energy_required;4.62;75;Berlin;12307;refurbished;normal;false;100 MBit/s;underground_garage;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;raised_ground_floor;12307;3;106.4;n;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;y;1;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;002.01007477538;215000;profile0;4;3;true;y;showqualicontactform;n;n;Lichtenrade_Tempelhof;115204161;3;Berlin;/expose/115204161;['-Komplett sanierte WEG in einer sehr schönen, ruhigen Lage', '-Wohnzimmer mit Balkon\n-Badezimmer mit Fenster\n-2 seperate Zimmer in den grossen, grünen  Gemeinschaftsgarten', 'Die Wohnung ist seit Januar 2018 vermietet und die Mieterin möchte sehr gerne bleiben und nicht ausziehen !!!!'];;78;1997;1;;
2020-05-30 19:52:25.744920;Berlin;self_contained_central_heating;ONE_YEAR_FREE;12418475;n;n;https://pictures.immobilienscout24.de/listings/a8c7a414-070d-4b37-8d54-afa84790dbfc-1343950825.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;9;11.3;40 MBit/s;telekom_layer_magenta_l;über VDSL;1906;REGULAR;disabled;11.3;115186365;gas;y;false;MagentaZuhause L;y;Berlin;n;6;1;203;no_information;energy_consumption;5.73;65.06;Berlin;10589;well_kept;sophisticated;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;apartment;10589;2;112.9;n;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;y;3;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.12418475;259000;profile0;;2;true;n;showqualicontactform;n;n;Charlottenburg_Charlottenburg;SL653;3;Berlin;/expose/115186365;['Die schöne Wohnung liegt in der dritten Etage des Quergebäudes eines sehr gepflegten Hauses in zentraler Lage von Berlin-Charlottenburg. Das Haus wurde in den letzten Jahren ständig instand gehalten und befindet sich in einem guten Zustand.', 'Die helle und gut geschnittene Wohnung verfügt über zwei Zimmer, ein Badezimmer, eine Küche und einen Kellerraum. Das große Wohnzimmer lädt zum Verweilen ein. Das große Schlafzimmer bietet viel Platz und gute Stellflächen für Möbel. Das Badezimmer ist mit einer Badewanne und Sauna und wandhängendem WC ausgestattet. Die Wohnung besitzt außerdem eine große Küche die viel Platz und gute Stellflächen bietet.\nDie Wohnung ist noch bis Juni 2020 vermietet und wird dann bezugsfrei übergeben. Die monatliche Bruttokaltmiete beträgt € 900. Die Teilung des Hauses in Eigentumswohnungen fand schon im Jahr 1997 statt. Der befristete Mietvertrag wurde zum 01.06.2018 abgeschlossen und läuft zum 31.05.2020 aus.', 'Das Objekt liegt in einer ruhigen Nebenstrasse, die nur von Anliegern befahren wird. Diverse öffentliche Verkehrsmittel, Einkaufsmöglichkeiten, Schulen, Ärzte und Restaurants befinden sich in unmittelbarer Umgebung.', 'Bitte haben Sie Verständnis dafür, dass wir nur vollständig ausgefüllte Kontaktanfragen bearbeiten werden\n( Name , Anschrift , E-Mail , Telefonnummer). Irrtum und Zwischenverkauf vorbehalten. Unsere Informationen basieren auf Angaben des Verkäufers und der uns zur Verfügung gestellten Unterlagen für die wir keine Haftung übernehmen können.'];NO_INFORMATION;4;;;;
2020-05-30 19:52:26.083525;Berlin;central_heating;ONE_YEAR_FREE;16640094;n;y;https://pictures.immobilienscout24.de/listings/7c8ce391-f36d-4480-b340-d0ea17ba28a6-1343262239.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;9;14.43;40 MBit/s;telekom_layer_magenta_l;über VDSL;1902;REGULAR;;14.43;115130651;gas;n;false;MagentaZuhause L;y;Berlin;y;5;1;204;34;;7.95;51.53;Berlin;13353;well_kept;no_information;false;100 MBit/s;no_information;"Br&uuml;sseler Str.";n;https://padlock.link/ioml;https://padlock.link/ml;Brüsseler_Str.;apartment;13353;1;;n;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;n;2;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.16144842;216426;profile0;4;1;true;n;showqualicontactform;n;n;Wedding_Wedding;ETW-421;2;Berlin;/expose/115130651;['Diese charmante 1-Zimmer-Wohnung befindet sich im Vorderhaus eines Altbauhauses im 2. Obergeschoss. Die Wohnung ist gut geschnitten und erstreckt sich über einen kleinen Flur, ein großzügiges Zimmer, eine geräumige Wohnküche und einem Badezimmer. Altbau-Elemente wie die Doppelkastenfenster und Holzdielen sind erhalten worden. Von der Küche haben Sie Zutritt zum Balkon, der Ihnen in den Sommermonaten eine Oase der Erholung bietet.', 'Die Wohnung befindet sich in der Brüsseler Str. 34 in einer beliebten Kiezlage Weddings leicht nördlich des Berliner Schifffahrtskanal. Im Süden liegen die Ortsteile Moabit und Tiergarten, südöstlich liegt das Herz der Stadt, der Bezirk Mitte. Nicht nur deswegen hat diese Lage auch viel Potenzial zum Wachstum. Die Wohnung befindet in einer international gepräg- ten Gegend mit überwiegend Mehrfamilienhäusern aus der Gründerzeit. Der nahe gelegene Volkspark Rehberge mit dem Plötzensee im Westen sowie der riesige Tiergarten im Süden bietet Ihnen genügend Raum für erholsame Spaziergänge und sportliche Aktivitäten. Es gibt eine große Auswahl an internationalen Läden, Cafés und Restaurants. Eine Vielzahl an Einkaufsmöglichkeiten für den täglichen Bedarf befinden sich in unmittelbarer Nähe. Die Anbindung an die öffentlichen Verkehrsmittel ist hervorragend. Der U-Bhf Amrumer Straße und diverse Buslinien sind in wenigen Gehminuten zu erreichen.'];;;;;;
