timestamp;obj_regio1;obj_heatingType;obj_telekomTvOffer;obj_cId;obj_newlyConst;obj_balcony;obj_picture;obj_picturecount;obj_pricetrend;obj_telekomUploadSpeed;obj_telekomTrackingGroup;obj_telekomInternetTechnology;obj_yearConstructed;obj_telekomInternetType;obj_pricetrendbuy;obj_scoutId;obj_firingTypes;obj_hasKitchen;obj_ExclusiveExpose;obj_telekomInternetProductName;obj_courtage;geo_bln;obj_cellar;obj_purchasePriceRange;obj_yearConstructedRange;obj_rentSubsidy;obj_houseNumber;obj_energyType;obj_pricetrendrent;obj_livingSpace;geo_krs;obj_zipCode;obj_condition;obj_interiorQual;obj_energyEfficiencyClass;ga_cd_cxp_historicallisting;obj_telekomDownloadSpeed;obj_parkingSpace;obj_street;obj_lift;obj_telekomInternetUrlMobile;obj_telekomInternetUrl;obj_streetPlain;obj_typeOfFlat;geo_plz;obj_noRooms;obj_thermalChar;obj_assistedLiving;obj_ityp;obj_telekomHdTelephone;geo_land;ga_cd_via;obj_telekomInternet;obj_immotype;obj_rented;obj_floor;obj_telekomInternetServices;obj_telekomInternetProductAvailable;obj_cwId;obj_purchasePrice;ga_cd_application_requirements;obj_noRoomsRange;ga_cd_maillead_default_shown;obj_garden;obj_barrierFree;obj_international;obj_regio3;obj_objectnumber;obj_livingSpaceRange;obj_regio2;URL;beschreibung;obj_lastRefurbish;obj_numberOfFloors;evt_count_pm_sig;obj_galleryAd;obj_noParkSpaces;obj_groupnumber;ga_cd_via_qualified;obj_usableArea;ga_cd_developer_virtualreality
2020-05-30 19:33:36.746521;Berlin;gas_heating;ONE_YEAR_FREE;16257733;n;n;https://pictures.immobilienscout24.de/listings/deb95561-54ab-45f4-b5e4-6dd115f5b6ea-1367051580.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;10;10.37;40 MBit/s;telekom_layer_magenta_l;über VDSL;1957;REGULAR;10.37;118022340;gas;y;false;MagentaZuhause L;y;Berlin;y;3;2;198.07;no_information;energy_consumption;4.8;45.27;Berlin;12203;well_kept;no_information;E;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;ground_floor;12203;2;155.97;n;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;y;1;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.15944898;135000;profile0;2;true;y;n;n;Lichterfelde_Steglitz;118022340;2;Berlin;/expose/118022340;['Es handelt sich bei diesem Objekt um eine 2 Zimmer Wohnung eines Hauses aus dem Jahre 1957. Das Haus und die Gartenanlage machen einen gepflegten Eindruck.', '- 2 Zimmer\n- Bad mit Fenster und Badewanne\n- Laminatböden\n- Einbauküche\n- Grüner und gepflegter Gemeinschaftsgarten\n- Kellerabteil', 'Das Objekt befindet sich in der Prausestraße, in der Nähe vom Viktoriaplatz. In der nahegelegenen Drakestraße befinden sich zahlreichen Einkaufsmöglichkeiten rund um den S-BH Lichterfelde-West (S1), dieser ist in wenigen Gehminuten erreichbar.\n\nEine Busverbindung bringt Sie direkt zum Rathaus Steglitz.', 'Besichtigungen nach Vereinbarung:\nAlexander Abel\nTel.: 0176-10428769\n\nBitte haben Sie dafür Verständnis, dass nur Anfragen \nmit kompletten Angaben zum Interessenten bearbeitet werden können.\nDie Angaben zum Objekt stammen direkt vom Eigentümer, eine Haftung für die Richtigkeit dieser kann nicht übernommen werden.'];;;;;;;;;
2020-05-30 19:33:37.062425;Berlin;self_contained_central_heating;ONE_YEAR_FREE;178772;n;y;https://pictures.immobilienscout24.de/listings/4558fec5-cba1-4f0c-9311-9b3142a301e3-1365657265.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;1;12.41;40 MBit/s;telekom_layer_magenta_l;über VDSL;1911;REGULAR;12.41;117775175;gas;n;false;MagentaZuhause L;y;Berlin;y;4;1;150;no_information;energy_consumption;6.33;64.64;Berlin;12103;well_kept;normal;;false;100 MBit/s;no_information;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;apartment;12103;2;218.3;n;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;y;2;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.178772;199000;profile0;2;true;n;n;n;Tempelhof_Tempelhof;001680;3;Berlin;/expose/117775175;['Interssant geschnittene, im 2. OG gelegene Wohnung mit 2 Zimmern, Küche, Bad/WC, Flur, Abstellraum und Loggia. \n\nDie Wohnfläche beträgt gemäß Teilungserklärung 64,64 m².. Zur Wohnung gehört ein Keller-Abteil.', 'Zeitgemäße Standardausstattung in Küche und Bad.', 'Die Wohnung liegt In ruhiger Wohnstraße mit sehr guten Einkaufsmöglichkeiten. Durch die Nähe zur U-Bahn ist eine gute Verkehrsanbindung an die Zentren der Stadt gegeben.', 'Im Zuge einer 1997 durchgeführten Modernisierung erhielt die Wohnung ein gefliestes Bad, eine Gasetagenheizung, sowie neue Elektrik und z. T. neue Fenster. \n\nDie Wohnung ist unbefristet vermietet'];1997;5;showqualicontactform;;;;;;
2020-05-30 19:33:37.463206;Berlin;;ONE_YEAR_FREE;5394580;n;y;https://pictures.immobilienscout24.de/listings/a438bf6e-8197-4fbc-ad17-4d3217bc48d0-1367145947.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;20;12.78;40 MBit/s;telekom_layer_magenta_l;über VDSL;2010;REGULAR;12.78;118027822;gas;y;false;MagentaZuhause L;n;Berlin;y;11;7;800;7;;7.25;124;Berlin;10785;mint_condition;no_information;;false;100 MBit/s;underground_garage;"Clara-Wieck-Stra&szlig;e";y;https://padlock.link/ioml;https://padlock.link/ml;Clara-Wieck-Straße;apartment;10785;4;;n;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;n;3;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.5394580;1450000;profile0;4;true;n;n;n;Tiergarten_Tiergarten;179738;6;Berlin;/expose/118027822;['Angeboten wird eine luxuriöse und sonnige Wohnung im Diplomatenpark Berlin. Die Wohnung befindet sich in einem edlen 5-Parteien-Haus. Es steht ein Doormanservice zur Verfügung und die Wohnung ist mit einem Sicherheitssystem ausgestattet.  Die Wohnung ist mit Parkettboden und bodentiefen Fenstern ausgestattet, die viel Licht in die Wohnung bringen. Die Wohnung und der Balkon sind Richtung Südwesten ausgerichtet. Der Stellplatz ist großzügig dimensioniert und gut anfahrbar. Es fällt keine Maklercourtage an. Ich freue mich auf Ihre Kontaktaufnahme.', 'Balkon, Keller, Fahrstuhl, Vollbad, Einbauküche, Gäste-WC, Parkett', 'Die Wohnung befindet sich im Diplomatenpark Berlin in unmittelbarer Nähe zum Tiergarten, der zahlreiche Sport- und Freizeitaktivitäten bietet. Der Kudamm und der Potsdamer Platz sind fußläufig erreichbar.\nInfrastruktur (im Umkreis von 5 km):\nApotheke, Lebensmittel-Discount, Allgemeinmediziner, Kindergarten, Grundschule, Hauptschule, Realschule, Gymnasium, Gesamtschule, Öffentliche Verkehrsmittel', 'Energieträger: Gas\nEnergieausweis nicht vorhanden\n\nMakleranfragen nicht erwünscht.'];;;showqualicontactform;disabled;1;;;;
2020-05-30 19:33:37.832355;Berlin;self_contained_central_heating;ONE_YEAR_FREE;589889;n;n;https://pictures.immobilienscout24.de/listings/d43e9da0-ed4e-4bfb-9e3e-94454c75dd4f-1366967298.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;21;12.41;40 MBit/s;telekom_layer_magenta_l;über VDSL;1908;REGULAR;12.41;118004980;natural_gas_light;y;false;MagentaZuhause L;y;Berlin;y;7;1;177;21;energy_consumption;6.33;68.21;Berlin;12103;modernized;sophisticated;;false;100 MBit/s;no_information;"Blumenthalstra&szlig;e";n;https://padlock.link/ioml;https://padlock.link/ml;Blumenthalstraße;apartment;12103;3;105;n;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;y;1;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.589889;310000;profile0;3;true;y;n;n;Tempelhof_Tempelhof;La 1500;3;Berlin;/expose/118004980;"['Im Hochparterre des Seitenflügels eines gepflegten Altberliner-Mehrfamilienhauses (Bj. 1908) möchten wir Ihnen eine im Jahr 2018 umfassend modernisierte Altbauwohnung mit einem großzügig geschnittenen Wohn-Küchenbereich, einem großen Wohn-Arbeitszimmer,  einem Schlafzimmer, einem neuen Wannenbad  und Flur zum Kauf anbieten. Alle Fenster der Wohnung zeigen zum schön begrünten Innenhof und sind nach Süden ausgerichtet.', 'abgezogene Dielenfußböden in allen Wohnräumen und im Flur, gespachtelte Wände in allen Räumen, Flügeltür, neue Fliesen und Sanitärobjekte im Bad, neu Elektrik mit modernem Stromzählerkasten, Holzinnentüren, Stuckverzierungern an der Decke im Wohn-Küchenbereich. Beheizt wird die Wohnung über eine moderne Gasetagenheizung (Therme). Der Wohnung wurde ein Kellerraum zugewiesen', 'In begehrter Tempelhoflage nahe dem ""Bosepark"" und dem ""Alten Park"" in einer ruhigen Anliegerstraße mit üppigem Baumbestand. Die Parks in der unmittelbaren Nachbarschaft bieten ideale Möglichkeiten zum Joggen und Spazierengehen, zudem bietet das Tempelhofer Feld ( der ehemalige Flughafen Tempelhof), das von der Wohnung mit dem Fahrrad in ca. 10 Minuten erreichbar ist, traumhafte Freizeitmöglichkeiten. Der U-Bahnhof ""Kaiserin-Augusta-Str"" der Linie U 6 (führt direkt bis zum Bahnhof Friedrichstraße) ist ebenso fußläufig erreichbar wie der Tempelhofer Damm mit seinen vielfältigen Geschäften und Restaurants. Kindergärten, Schulen und Tennisplätze befinden sich ebenfalls in unmittelbarer Nachbarschaft.']";2018;4;showqualicontactform;;;1;;;
2020-05-30 19:33:38.158496;Berlin;central_heating;;14544073;n;n;https://pictures.immobilienscout24.de/listings/b4fea29a-5459-4f84-a369-40778a8ec7ff-1367116377.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;1;11.37;;;;1912;;11.37;118027929;district_heating;y;false;;y;Berlin;y;11;1;600;.;energy_required;5.8;181;Berlin;10707;first_time_use_after_refurbishment;no_information;;false;;no_information;"Emser Stra&szlig;e";y;;;Emser_Straße;apartment;10707;4;102.5;n;2,active;;Deutschland;standard;;wohnung_kauf;n;3;;;002.01000690340;1480000;profile0;4;true;n;n;n;Wilmersdorf_Wilmersdorf;352+;7;Berlin;/expose/118027929;['Das Wohnhaus befindet sich nahe dem Ludwigkirchplatz.\n\nDiverse Einkaufsmöglichkeiten sind in unmittelbarer Umgbung vorhanden.', '- Deckenhöhe ca. 3,60 m\n- Stuck\n- 4 Zimmer\n- 3 Schlafzimmer\n- Einbauküche mit hochwertigen Geräten\n- Parkett/Naturdielen\n- Wannenbad mit ebenerdiger Dusche\n- Duschbad\n- Ankleide\n- Lift\n- Kellerraum', '- ca. 10 Gehminuten vom Kurfürstendamm entfernt\n- mit dem PKW in ca 12 Minuten zum Hauptbahnhof'];;3;showqualicontactform;;;;;;
2020-05-30 19:33:38.529079;Berlin;central_heating;ONE_YEAR_FREE;17638653;n;y;https://pictures.immobilienscout24.de/listings/fc90696f-f213-433a-8c88-e8ed7e747141-1367010978.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;15;11.3;40 MBit/s;telekom_layer_magenta_l;über VDSL;2006;REGULAR;11.3;118014679;oil;y;false;MagentaZuhause L;y;Berlin;y;9;7;;no_information;energy_required;5.73;113;Berlin;14052;mint_condition;luxury;;false;100 MBit/s;underground_garage;no_information;n;https://padlock.link/ioml;https://padlock.link/ml;no_information;ground_floor;14052;4;177.6;n;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;n;0;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;009.e4c8c503-e30b-4ea9-93f5-e12413dfcf4c;675000;profile0;4;true;y;y;n;Charlottenburg_Charlottenburg;118014679;5;Berlin;/expose/118014679;['Dieses in 1968 in Massivbauweise errichtete 3 geschossige Wohnhaus liegt in einem Villenviertel in Charlottenburg- Westend. Die Eigentumswohnung besticht durch eine große Sonnenterrasse mit angrenzendem Gemeinschaftsgarten. Die Erdgeschosswohnung lässt sich barrierefrei betreten und verfügt zudem über einen Tiefgaragenstellplatz, welcher bereits im Kaufpreis enthalten ist. Die kleine Eigentümergemeinschaft umfasst lediglich 12 Parteien mit je einer Einheit. Die angebotene Wohnung wurde in 2017 vom derzeitigen Eigentümer, welcher selbst Architekt ist, modernisiert. Die Wohnung verfügt über einen offenen Wohn- Essbereich mit hochwertiger Einbauküche Inklusive zwei Kühlschränken, Geschirrspüler, Herd mit Ceranfeld, integrierter Kaffee- und Espressoautomat und einer Mikrowelle. Bei der aufwendigen Modernisierung wurden neue Elektroleitungen, sämtliche Stränge und Bodenbeläge ausgetauscht. In allen Räumen wurden die Decken abgehängt und mit einer hochwertig indirekten Beleuchtung und einer zentralen Musikanlage in allen Zimmern ausgestattet. Des Weiteren wurde die Wohnung mit zentralgeregelten Jalousinen, 6fach Verriegelung und Lammelen Gardinen ausgestattet. Die großzügige Terrasse besticht durch die perfekte Süd-West Ausrichtung inklusive elektrischer Markise, Wärmestrahlern und indirekter Beleuchtung. Die Garage kann zudem mit einer Wandladestation für ein\nElektroauto nachgerüstet werden.', '• Einbauküche\n• Integrierter Kaffee- und Espressoautomat\n• barrierefrei\n• Tiefgaragenstellplatz\n• Sonnenterrasse mit Südwest Ausrichtung\n• Elektrische Markise\n• Wärmestrahler\n• Indirekte Deckenbeleuchtung in allen Räumen\n• Gäste WC\n• Garten/-mitbenutzung\n• Teure Modernisierungen wie Elektro u. Stränge  • Zentrale Musikanlage in allen Räumen', 'Diese schöne Eigentumswohnung liegt im beliebten Charlottenburg - Westend, welches sich den Charakter eines anspruchsvollen Wohnbezirkes mit individueller Villenarchitektur und seinen herrschaftlichen Mehrfamilienhäusern bewahren konnte. Dieser besondere Standort wird gerade von Familien sehr geschätzt, da sich in der unmittelbaren Nähe zahlreiche Einkaufsmöglichkeiten, Kindergärten, Schulen, Restaurants und Cafés befinden. Die Anbindung an das BVG-Netz ergänzt diese ruhige aber zentrale Lage. Unweit vom Theodor-Heuss-Platz und der Reichsstraße finden Sie außerdem eine gute ärztliche Versorgung sowie Unterhaltungsangebote wie zum Beispiel das Kabarett die Wühlmäuse. Durch das angrenzende türkische und belgische Konsulat wird die Mikrolage 24 Stunden bewacht und ist somit besonders sicher.'];2017;3;showqualicontactform;;1;;;;
2020-05-30 19:33:38.963857;Berlin;floor_heating;ONE_YEAR_FREE;17285800;n;y;https://pictures.immobilienscout24.de/listings/98bb73de-2ee1-4611-abc3-205ad5298a27-1366767414.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;20;10.62;40 MBit/s;telekom_layer_magenta_l;über VDSL;2010;REGULAR;10.62;117968995;district_heating;y;false;MagentaZuhause L;n;Berlin;y;7;7;184.74;20;;5.96;56;Berlin;13189;mint_condition;sophisticated;;false;100 MBit/s;no_information;Eschengraben;y;https://padlock.link/ioml;https://padlock.link/ml;Eschengraben;apartment;13189;2;;n;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;n;1;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;009.77826306-30fb-4afc-a991-2180b7c24ddb;350000;profile0;2;true;y;y;n;Pankow_Pankow;b4fce3c1-45ae-4aaf-b0ac-2ef071ce15f0;2;Berlin;/expose/117968995;"['Ab sofort können Sie diese ansprechende, neuwertige Wohnung im ersten Stock erwerben, die durch eine gehobene Innenausstattung besticht. Die Wohnung verfügt über zwei einladende Zimmer. Das Objekt ist barrierefrei zugänglich und durch einen Fahrstuhl gelangen Sie bequem ins entsprechende Stockwerk. Das Apartment befindet sich in einem 2010 erbauten Haus mit nur 13 Wohnungen und wird durch eine Fußbodenheizung beheizt. Ein aktueller Energieausweis liegt zur Besichtigung vor. Das monatliche Hausgeld beträgt 184,74\xa0€. Besonders attraktiv wird das Apartment dadurch, dass es nicht nur eine Balkonterrasse gibt, sondern Sie auch im zugehörigen Garten die frische Luft genießen können. Zu dem Garten gehört ein Gartenhaus mit Teileigentum. Außerdem gehört ein Keller und Waschraum zur Immobilie. Zur Innenausstattung gehört auch eine neuwertige Einbauküche, sowie im Flur ein Einbauschrank mit Garderobe. Mehrheitlich wird das Haus von den Eigentümern bewohnt. Eine Nachbarschaft, die sich kennt und schätzt. Sie können die Immobilie provisionsfrei erwerben.', 'Moderne Architektur mit Eichenstabparkett, Fußbodenheizung, Panoramafenster in den Garten mit Außenjalousie, Einbauküche mit Induktion, Kühl-Gefrierkombination u. Geschirrspüler (2018), Videogegensprechanlage, Telefon-Fernsehen-Internetverkabelung in beiden Zimmern; Wärmeschutz nach KfW 55 mit 3-fach Verglasung und Be- und Entlüftungssystem', 'Pankow ist einer der beliebtesten Stadtbezirke Berlins mit hervorragender Infrastruktur (U-Bahn, Straßenbahn). Das Haus liegt in einer ruhigen Seitenstraße zur Schönhauser Allee/ Berliner Straße. Bis zur quirligen Szene sind es nur wenige Minuten. Schulen, Kindergärten, Ärztehäuser und Shopping sind fussläufig erreichbar.', 'Die Wohnung ist gut geeignet für 1-2 Personen oder auch als Berliner Zweitwohnung. Ein aktuelles Wertgutachten über 373.000 Euro liegt vor.']";;5;showqualicontactform;;;;;;
2020-05-30 19:33:39.371389;Berlin;central_heating;ONE_YEAR_FREE;700568;n;y;https://pictures.immobilienscout24.de/listings/60da7dc4-634a-4d20-8664-5e5fa3a93fe4-1366993246.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;9;12.24;40 MBit/s;telekom_layer_magenta_l;über VDSL;2004;REGULAR;12.24;118007171;oil;y;false;MagentaZuhause L;y;Berlin;y;9;6;359;1;energy_consumption;6.53;75.71;Berlin;10829;well_kept;normal;NO_INFORMATION;false;100 MBit/s;no_information;Gotenstrasse;y;https://padlock.link/ioml;https://padlock.link/ml;Gotenstrasse;apartment;10829;2;91;n;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;y;5;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.700568;550000;profile0;2;true;n;n;n;Schöneberg_Schöneberg;01809010;3;Berlin;/expose/118007171;"['In einer sehr gepflegten, großen Altbauanlage aus der Jahrhundertwende gelegen, liegt die seit 2005 vermietete, wirklich schön geschnittene Dachgeschoßwohnung, die wir hiermit zur Kapitalanlage anbieten.\n\nDas charmante Eckhaus, welches im Jahre 2000 in Wohneigentum mit 36 Einheiten umgewandelt wurde - besteht aus drei Aufgängen mit jeweils einem Aufzug.\n\nDer Aufzug zur angebotenen Wohnung, hält ein halbes Podest unterhalb der Wohnung; sie ist altersgerecht nutzbar - im EG ist der Aufzug ohne Stufen erreichbar.  \n\nDas Haus steht als Baudenkmal unter Denkmalschutz! \n\nKein Instandhaltungsrückstau - hohe Rücklagen.', 'Angeboten werden 2 helle geräumige Zimmer,  eine offene Einbauküche, das Wannen-/Duschbad und eine Dachterrasse mit Blick in den Innenhof.\n\nDie Mieterin nutzt einen Kellerverschlag.', 'Das große, helle Eckhaus Gotenstrasse/Cheruskerstrasse ist mit seinem Turm bereits von der Schöneberger Kolonnenbrücke aus sichtbar; beide Straßen sind keine Durchfahrtstrassen - daher geht es dort noch verkehrsberuhigt zu. \n\nDie ruhige aber zentrale Lage mit der Anbindung an die S-Bahn und die nahe Regionalbahn machen dieses Angebot so interessant.', 'Die Wohnung ist vermietet - die Wohnung wird ausschließlich als Kapitalanlage angeboten. \n\nVon Makleranfragen oder direkter Kontaktaufnahme beim Mieter oder Verkäufer bitten wir abzusehen - das Objekt wird von uns im Alleinauftrag angeboten !\n\nHat unser Angebot Ihr Interesse geweckt ??, \ndann senden Sie uns bitte eine Anfrage mit Ihren Kontaktdaten zu; gerne lassen wir Ihnen ein ausführliches Angebot zukommen. \n\nErst im darauffolgenden Schritt vereinbaren wir einen Besichtigungstermin mit der Mieterin.']";;5;showqualicontactform;;;2;;;
2020-05-30 19:33:39.734697;Berlin;;ONE_YEAR_FREE;18581436;n;y;https://pictures.immobilienscout24.de/listings/267b206b-6920-4f90-860d-78f7e5cb1c06-1351243639.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;7;11.12;40 MBit/s;telekom_layer_magenta_l;über VDSL;2000;REGULAR;11.12;115764174;no_information;y;false;MagentaZuhause L;n;Berlin;y;7;5;180;13;;6.13;45;Berlin;10623;mint_condition;sophisticated;;false;100 MBit/s;underground_garage;Uhlandstrasse;y;https://padlock.link/ioml;https://padlock.link/ml;Uhlandstrasse;apartment;10623;1;;n;2,active;true;Deutschland;standard;100 MBit/s;wohnung_kauf;n;4;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;009.73567b7f-1e6e-4ace-b89b-05300e69eb5a;310000;profile0;1;true;n;y;n;Charlottenburg_Charlottenburg;1a95ce9d-0db8-4dad-a313-d425c2e5f39b;2;Berlin;/expose/115764174;['Modernes, helles und ruhiges Appartement mit großem Balkon, Keller und Tiefgarage in schöner Lage', 'Eichenparkett, bodentiefe Fenster, Einbauküche, Einbauschrank', 'Ruhige Lage zum Innehof'];;6;showqualicontactform;;;;;;
2020-05-30 19:33:40.092662;Berlin;no_information;ONE_YEAR_FREE;174522;n;y;https://pictures.immobilienscout24.de/listings/7a885add-228f-4636-85e3-cfaa7e3feb69-1367087776.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;9;11.3;40 MBit/s;telekom_layer_magenta_l;über VDSL;;REGULAR;11.3;118026666;;n;true;MagentaZuhause L;y;Berlin;n;6;;;no_information;;5.73;66;Berlin;10629;no_information;no_information;;false;100 MBit/s;no_information;no_information;y;https://padlock.link/ioml;https://padlock.link/ml;no_information;apartment;10629;2;;n;2,active;true;Deutschland;top;100 MBit/s;wohnung_kauf;y;;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;true;001.174522;270000;profile0;2;true;n;n;n;Charlottenburg_Charlottenburg;118026666;3;Berlin;/expose/118026666;['Dieses ist eine optimale Wohnung, um in begehrter Zentrumslage komfortabel und lichtdurchflutet wohnen zu können. Dafür gibt es ein ansprechendes Wohnzimmer mit Zugang auf den Balkon, eine geräumige Küche, ein anregend tagehelles Bad und ein behagliches Schlafzimmer. Dieser mit einem Personenaufzug bequem erreichbaren Wohnung ist ein Kellerraum zugeordnet. Der Pkw-Stellplatz in der Tiefgarage muss für 25.000,- € extra mit dem Kauf der Wohnung erworben werden. Die Wärmeversorgung obliegt einer Ölheizung. Diese attraktive und gepflegte Wohnung wird seit über 20 Jahren an den gleichen zuverlässigen Mieter vermietet.\nIn gefragter Lage nahe dem Kurfürstendamm ist diese Immobilie eine erstklassige Anlageempfehlung. Ein Energieausweis ist nicht vorhanden.', 'Sie möchten den Marktwert Ihrer Immobilie wissen oder Ihre Immobilie verkaufen? Wir sind seit 1995 erfolgreich im Verkauf von Immobilien in Berlin, Potsdam und Umgebung tätig. Unsere exzellenten Eigentümerbewertungen sprechen für sich.\n\n•\tOftmals haben wir schon den richtigen Käufer für Ihre Immobilie in unserer Kartei\n•\tWir sind Bellevue Best Property Agent und Mitglied in den Verbänden IVD & FIABCI\n•\tWir benötigen keinen schriftlichen Alleinauftrag\n•\tKosten entstehen Ihnen bei uns keine\n•\tUnsere Spezialisten stehen Ihnen gerne für ein erstes – für Sie unverbindliches - Gespräch zur Verfügung\n\nWir freuen uns über Ihre Kontaktaufnahme unter einkauf@immoberlin.de oder (030) 895 72 20.\nBitte besuchen Sie auch unsere Website: \nhttps://www.immoberlin.de'];;;showqualicontactform;disabled;;;;;
